Tempo Switch RegrasInstaladas RegrasAceitas RegrasBloqueadas BytesEnviados
11 HW 11 11 0 1687392
11 SW 11 12 0 1953504
16 HW 30 30 0 12295584
16 SW 35 35 0 14168952
20 HW 40 40 0 38382120
20 SW 46 46 0 43346016
24 HW 55 55 0 82688256
24 SW 60 60 0 91203840
28 HW 70 70 0 148191120
28 SW 78 78 0 161091504
32 HW 86 86 0 239091048
32 SW 85 91 0 257476968
36 HW 102 102 0 360745056
36 SW 105 111 0 392081256
40 HW 110 119 0 507774960
40 SW 114 130 0 562600080
44 HW 125 137 0 692576136
44 SW 129 149 0 777379680
48 HW 139 155 0 925545096
48 SW 139 168 0 1044317232
52 HW 152 172 0 1202396832
52 SW 147 181 0 1370094264
56 HW 163 191 0 1534070664
56 SW 152 201 0 1757188944
60 HW 175 211 0 1923105240
60 SW 170 222 0 2216599560
64 HW 186 231 0 2369777256
64 SW 184 243 0 2751191352
68 HW 197 255 0 2887546536
68 SW 200 266 0 3338613936
72 HW 200 268 10 3457643112
73 SW 203 281 0 3990887712
77 HW 198 276 26 4071596760
77 SW 204 297 0 4712947848
81 HW 196 294 34 4738343400
81 SW 216 327 0 5495539392
85 HW 200 314 36 5435992296
85 SW 219 345 0 6326375832
89 HW 200 323 74 6180667416
89 SW 233 372 0 7215832512
93 HW 200 337 98 6950352528
93 SW 242 393 0 8176557312
97 HW 200 347 122 7773690960
97 SW 240 418 0 9203704272
101 HW 200 363 152 8636140296
101 SW 253 445 0 10309624920
105 HW 195 372 170 9534281904
105 SW 256 463 0 11466035784
109 HW 196 388 176 10457509104
109 SW 267 487 0 12706515360
113 HW 197 400 194 11405909592
113 SW 266 517 0 13929994008
117 HW 192 423 194 12303818352
118 SW 266 544 0 15181544448
121 HW 199 455 208 13188032928
122 SW 272 580 0 16451557920
125 HW 200 470 238 14111594280
126 SW 287 611 0 17748040464
130 HW 199 482 264 15070114584
130 SW 275 639 0 18950196888
134 HW 185 498 264 15992035416
134 SW 287 671 0 20203000776
138 HW 180 517 264 16893432360
