Inicio(seg) Duracao(seg) Banda(Kbps) PortaCli PortaServ
20 92 40 3501 5001
5 90 1318 3502 5002
3 24 2730 3503 5003
61 11 2208 3504 5004
33 1 1371 3505 5005
6 73 2443 3506 5006
15 110 2394 3507 5007
22 17 892 3508 5008
19 53 1087 3509 5009
18 62 2007 3510 5010
47 96 1408 3511 5011
7 38 181 3512 5012
0 14 3369 3513 5013
34 75 1514 3514 5014
8 24 3712 3515 5015
43 90 670 3516 5016
9 39 344 3517 5017
3 12 3287 3518 5018
87 46 5514 3519 5019
5 55 3341 3520 5020
15 72 4452 3521 5021
8 71 76 3522 5022
8 10 696 3523 5023
11 93 77 3524 5024
8 38 1932 3525 5025
28 6 4048 3526 5026
18 105 1032 3527 5027
6 62 1739 3528 5028
7 36 49 3529 5029
16 29 1557 3530 5030
1 57 661 3531 5031
13 117 792 3532 5032
7 117 1110 3533 5033
38 62 1648 3534 5034
30 9 1193 3535 5035
0 86 1684 3536 5036
7 42 1581 3537 5037
3 61 2137 3538 5038
2 7 787 3539 5039
9 22 4144 3540 5040
2 27 2666 3541 5041
18 89 1211 3542 5042
20 18 388 3543 5043
15 6 545 3544 5044
51 27 917 3545 5045
15 111 1597 3546 5046
17 2 7281 3547 5047
41 95 1574 3548 5048
3 70 2356 3549 5049
2 51 2261 3550 5050
14 53 347 3551 5051
32 98 180 3552 5052
4 68 1699 3553 5053
0 52 670 3554 5054
27 4 1152 3555 5055
3 67 928 3556 5056
30 100 1745 3557 5057
30 101 1765 3558 5058
27 74 40 3559 5059
14 21 1171 3560 5060
3 58 3553 3561 5061
27 2 3607 3562 5062
2 55 1030 3563 5063
25 41 189 3564 5064
17 10 440 3565 5065
32 35 2036 3566 5066
33 42 187 3567 5067
39 94 954 3568 5068
35 46 568 3569 5069
20 88 1353 3570 5070
67 26 4317 3571 5071
7 38 3832 3572 5072
4 4 96 3573 5073
48 9 568 3574 5074
33 55 266 3575 5075
38 49 47 3576 5076
8 33 2358 3577 5077
15 95 3556 3578 5078
9 67 249 3579 5079
44 52 1367 3580 5080
31 36 964 3581 5081
36 50 390 3582 5082
90 68 118 3583 5083
9 28 1821 3584 5084
34 96 1886 3585 5085
18 35 613 3586 5086
6 112 2346 3587 5087
73 15 1172 3588 5088
0 81 410 3589 5089
35 114 3736 3590 5090
53 115 1745 3591 5091
9 18 231 3592 5092
20 92 739 3593 5093
8 2 1497 3594 5094
9 107 5396 3595 5095
1 48 4346 3596 5096
1 49 266 3597 5097
17 94 693 3598 5098
18 105 4062 3599 5099
7 77 111 3600 5100
32 83 400 3601 5101
3 62 2704 3602 5102
15 10 1256 3603 5103
22 83 437 3604 5104
66 95 81 3605 5105
1 117 1527 3606 5106
32 42 39 3607 5107
24 25 295 3608 5108
14 7 566 3609 5109
11 119 302 3610 5110
6 72 195 3611 5111
36 86 1528 3612 5112
19 70 389 3613 5113
19 106 1389 3614 5114
10 61 4592 3615 5115
2 64 801 3616 5116
18 79 5240 3617 5117
46 101 469 3618 5118
2 2 488 3619 5119
17 108 4604 3620 5120
29 11 237 3621 5121
8 88 174 3622 5122
15 93 269 3623 5123
16 90 607 3624 5124
11 57 1553 3625 5125
28 83 2419 3626 5126
12 5 2169 3627 5127
36 12 1819 3628 5128
1 88 741 3629 5129
3 5 1564 3630 5130
0 32 513 3631 5131
80 19 65 3632 5132
10 43 3334 3633 5133
29 31 515 3634 5134
38 80 2340 3635 5135
16 63 1116 3636 5136
44 78 2967 3637 5137
27 37 278 3638 5138
11 63 2933 3639 5139
5 100 1472 3640 5140
3 8 184 3641 5141
48 53 3181 3642 5142
21 69 657 3643 5143
67 76 1337 3644 5144
19 96 5039 3645 5145
0 117 2397 3646 5146
11 35 3517 3647 5147
31 21 232 3648 5148
6 78 1330 3649 5149
15 76 877 3650 5150
2 91 3498 3651 5151
3 61 1980 3652 5152
32 1 6518 3653 5153
2 33 625 3654 5154
49 58 5143 3655 5155
70 30 959 3656 5156
29 33 5306 3657 5157
3 106 3911 3658 5158
36 94 4582 3659 5159
8 85 701 3660 5160
4 29 179 3661 5161
23 74 5136 3662 5162
14 67 584 3663 5163
4 96 667 3664 5164
0 3 2597 3665 5165
0 52 3408 3666 5166
0 61 1247 3667 5167
1 2 770 3668 5168
10 72 4146 3669 5169
1 5 161 3670 5170
0 97 3080 3671 5171
10 103 4626 3672 5172
19 35 3536 3673 5173
36 17 496 3674 5174
33 101 474 3675 5175
14 64 1800 3676 5176
0 77 9 3677 5177
23 83 359 3678 5178
17 34 108 3679 5179
68 36 744 3680 5180
2 24 815 3681 5181
14 48 186 3682 5182
1 89 10 3683 5183
84 7 4119 3684 5184
54 62 422 3685 5185
14 78 2997 3686 5186
2 94 778 3687 5187
1 108 8 3688 5188
7 16 5443 3689 5189
2 26 563 3690 5190
20 48 2508 3691 5191
13 30 492 3692 5192
28 103 1920 3693 5193
25 53 976 3694 5194
1 45 1536 3695 5195
27 71 629 3696 5196
5 36 2706 3697 5197
7 1 287 3698 5198
4 24 1520 3699 5199
20 93 1266 3700 5200
25 20 4939 3701 5201
4 19 2456 3702 5202
65 99 418 3703 5203
4 66 481 3704 5204
7 75 1916 3705 5205
33 98 1037 3706 5206
41 32 7830 3707 5207
0 54 780 3708 5208
4 118 2181 3709 5209
21 6 25 3710 5210
7 13 708 3711 5211
75 14 5608 3712 5212
1 108 3037 3713 5213
3 86 1162 3714 5214
28 77 56 3715 5215
7 106 19 3716 5216
0 99 228 3717 5217
5 97 546 3718 5218
11 19 617 3719 5219
8 31 873 3720 5220
7 40 690 3721 5221
