Inicio(seg)	Duracao(seg)	Banda(Kbps)	PCli	PServ
0.502081	78.275461	40.053267	8501	4001
0.629396	76.136369	1318.216400	8502	4002
0.722025	23.815972	2730.020501	8503	4003
2.255031	13.392282	2208.581846	8504	4004
3.092342	5.375085	1371.062812	8505	4005
3.264910	63.189976	2443.375903	8506	4006
3.655948	92.188542	2394.717367	8507	4007
4.216582	18.506155	892.643013	8508	4008
4.697444	46.974152	1087.145115	8509	4009
5.156890	53.748133	2007.328967	8510	4010
6.353412	81.496204	1408.446690	8511	4011
6.532250	35.327428	181.097770	8512	4012
6.556266	15.828514	3369.679048	8513	4013
7.411688	64.497279	1514.931654	8514	4014
7.628353	23.900016	3712.780928	8515	4015
8.705161	76.691531	670.262034	8516	4016
8.954387	35.923606	344.454354	8517	4017
9.036325	13.878736	3287.033437	8518	4018
11.232382	41.490873	5514.303767	8519	4019
11.377140	48.348932	3341.365896	8520	4020
11.759524	61.750307	4452.804723	8521	4021
11.980471	61.069129	76.541560	8522	4022
12.181247	12.563244	696.205324	8523	4023
12.461861	78.513878	77.888854	8524	4024
12.674450	34.918053	1932.827588	8525	4025
13.394806	9.094249	4048.353692	8526	4026
13.859972	88.419181	1032.243821	8527	4027
14.012024	53.779330	1739.813126	8528	4028
14.192554	33.582774	49.140337	8529	4029
14.609341	27.997208	1557.588818	8530	4030
14.642545	50.137564	661.698311	8531	4031
14.984192	97.987819	792.789202	8532	4032
15.175755	97.822669	1110.094447	8533	4033
16.137602	54.380714	1648.470024	8534	4034
16.899116	11.469241	1193.008770	8535	4035
16.918016	73.267267	1684.509981	8536	4036
17.096160	38.312357	1581.973789	8537	4037
17.182857	53.671745	2137.717906	8538	4038
17.240038	9.795379	787.324243	8539	4039
17.467390	21.995767	4144.778844	8540	4040
17.523907	25.783088	2666.988816	8541	4041
17.979877	75.737308	1211.843903	8542	4042
18.497797	19.023918	388.462674	8543	4043
18.888686	9.619661	545.942543	8544	4044
20.165704	26.543468	917.401775	8545	4045
20.546922	92.908903	1597.600737	8546	4046
20.972441	6.411702	7281.195691	8547	4047
22.021591	80.216915	1574.845206	8548	4048
22.101989	60.498604	2356.779721	8549	4049
22.157242	45.702820	2261.078974	8550	4050
22.510843	46.762498	347.169793	8551	4051
23.315734	82.808407	180.357437	8552	4052
23.426120	58.687004	1699.916113	8553	4053
23.445261	46.431234	670.104841	8554	4054
24.128240	7.915060	1152.682042	8555	4055
24.220246	57.943064	928.866889	8556	4056
24.983518	84.634825	1745.592989	8557	4057
25.742998	85.608372	1765.278538	8558	4058
26.437075	63.495003	40.859456	8559	4059
26.796947	21.724003	1171.667435	8560	4060
26.893020	50.981985	3553.316969	8561	4061
27.571727	6.390313	3607.826166	8562	4062
27.633789	48.386266	1030.242251	8563	4063
28.262882	37.174518	189.937382	8564	4064
28.689277	12.323113	440.463520	8565	4065
29.502997	32.913998	2036.670406	8566	4066
30.342167	38.365283	187.368093	8567	4067
31.341482	79.562338	954.841836	8568	4068
32.225704	41.482923	568.161916	8569	4069
32.742575	74.956357	1353.169542	8570	4070
34.432483	25.252724	4317.688162	8571	4071
34.618220	35.115148	3832.572327	8572	4072
34.720275	7.400075	96.352721	8573	4073
35.944553	11.558167	568.605680	8574	4074
36.774634	48.495704	266.455568	8575	4075
37.746499	43.329635	47.245903	8576	4076
37.966350	31.058008	2358.460772	8577	4077
38.352605	80.459361	3556.179760	8578	4078
38.589725	58.113219	249.617324	8579	4079
39.701439	45.730996	1367.215360	8580	4080
40.489618	33.520008	964.383708	8581	4081
41.406682	44.166227	390.412907	8582	4082
43.657852	59.080783	118.284037	8583	4083
43.887306	26.734322	1821.638574	8584	4084
44.748096	81.263714	1886.477018	8585	4085
45.207558	32.384048	613.685076	8586	4086
45.360415	94.158849	2346.615450	8587	4087
47.201119	16.621913	1172.408400	8588	4088
47.225052	69.654566	410.165002	8589	4089
48.104901	95.501174	3736.932629	8590	4090
49.441116	96.570550	1745.043582	8591	4091
49.673747	18.943037	231.097644	8592	4092
50.181851	77.823212	739.825800	8593	4093
50.387910	5.876005	1497.611892	8594	4094
50.630263	90.312309	5396.255525	8595	4095
50.660575	42.631190	4346.678493	8596	4096
50.706068	43.511032	266.375970	8597	4097
51.144670	79.476607	693.768812	8598	4098
51.604010	88.454287	4062.352109	8599	4099
51.780553	66.296636	111.343075	8600	4100
52.592848	70.718588	400.189966	8601	4101
52.690727	53.902556	2704.314851	8602	4102
53.067021	12.848928	1256.625260	8603	4103
53.623436	71.149286	437.606504	8604	4104
55.276709	80.360586	81.430666	8605	4105
55.310264	97.662308	1527.956423	8606	4106
56.117117	37.797495	39.425355	8607	4107
56.718926	24.753074	295.309014	8608	4108
57.075940	10.505232	566.374592	8609	4109
57.374418	99.549585	302.597685	8610	4110
57.544773	62.136836	195.458965	8611	4111
58.456636	73.475991	1528.574062	8612	4112
58.934545	60.131478	389.719890	8613	4113
59.426487	89.260733	1389.147665	8614	4114
59.693111	52.980616	4592.028628	8615	4115
59.762499	55.869528	801.298900	8616	4116
60.236815	67.968066	5240.522819	8617	4117
61.404223	85.060157	469.446401	8618	4118
61.475036	5.928148	488.848226	8619	4119
61.910048	91.216580	4604.077017	8620	4120
62.647220	13.311840	237.400686	8621	4121
62.868386	74.615551	174.115593	8622	4122
63.254299	78.455104	269.224042	8623	4123
63.672251	76.698739	607.718569	8624	4124
63.962819	50.285072	1553.459633	8625	4125
64.668896	70.905050	2419.377187	8626	4126
64.993194	8.545591	2169.380875	8627	4127
65.903010	14.516282	1819.134455	8628	4128
