Tempo Switch RegrasInstaladas RegrasAceitas VezesBloqueado BytesEnviados
8 SW 16 17 0 5279904
8 HW 2 16 0 0
13 HW 16 16 0 14793408
13 SW 48 49 0 5279904
18 HW 16 16 0 43823808
18 SW 70 71 0 69075720
23 HW 66 80 0 104058864
23 SW 74 90 0 69075720
28 HW 65 80 0 218603448
28 SW 89 109 0 72397584
33 HW 83 115 0 367119648
33 SW 57 139 0 72397584
38 HW 78 115 0 557683056
38 SW 81 163 0 74544624
43 HW 86 137 0 785739528
43 SW 91 188 0 74544624
48 HW 70 137 0 1044873648
48 SW 125 223 0 76962312
53 HW 91 167 0 1335785472
53 SW 126 252 0 76962312
58 HW 78 167 0 1648305288
58 SW 163 291 0 77760648
63 HW 95 189 0 1993676328
63 SW 170 316 0 77760648
68 HW 75 189 0 2345296464
68 SW 196 353 0 78469776
73 HW 93 215 0 2714407416
73 SW 195 381 0 78469776
78 HW 74 215 0 3082834944
79 SW 220 416 0 78519672
83 HW 94 241 0 3437557704
84 SW 219 450 0 78519672
88 HW 70 241 0 3739130640
89 SW 243 489 0 78565032
93 HW 94 271 0 4011815304
94 SW 233 520 0 78565032
98 HW 65 271 0 4279800672
99 SW 257 551 0 78646680
103 HW 97 306 0 4543767144
104 SW 261 599 0 78646680
108 HW 64 306 0 4798944360
109 SW 292 639 0 79308936
113 HW 94 342 0 5024908224
114 SW 278 669 0 79308936
119 HW 59 342 0 5221144656
120 SW 298 713 0 79788240
124 HW 99 383 0 5416053552
125 SW 279 758 0 79788240
129 HW 62 383 0 5596178112
130 SW 297 799 0 79925832
134 HW 99 421 0 5783044680
135 SW 284 843 0 79925832
139 HW 62 421 0 5986525104
141 SW 291 887 0 79987824
144 HW 98 460 0 6207402600
146 SW 286 933 0 79987824
149 HW 62 460 0 6435206568
151 SW 316 981 0 80042256
154 HW 99 498 0 6642007344
156 SW 301 1019 0 80042256
159 HW 60 498 0 6862202928
162 SW 298 1052 0 80089128
164 HW 92 538 0 7101256176
167 SW 264 1078 0 80089128
169 HW 60 538 0 7337586312
172 SW 275 1117 0 80207064
174 HW 97 579 0 7586803224
177 SW 260 1160 0 80207064
179 HW 68 579 0 7865386200
182 SW 279 1200 0 80560872
184 HW 98 613 0 8057348208
187 SW 265 1238 0 80560872
189 HW 60 613 0 8269437960
192 SW 275 1286 0 81041688
194 HW 100 655 0 8511988464
198 SW 271 1338 0 81041688
199 HW 68 655 0 8765810928
203 SW 298 1389 0 81076464
204 HW 100 689 0 9060493680
209 SW 300 1433 0 81076464
209 HW 67 689 0 9414787032
214 SW 303 1470 0 81106704
214 HW 89 724 0 9755225928
219 SW 280 1501 0 81106704
219 HW 66 724 0 10161802728
224 HW 65 724 0 10612262304
225 SW 304 1556 0 81136944
230 HW 76 759 0 11088313992
230 SW 308 1599 0 81136944
235 HW 71 759 0 11570908104
235 SW 321 1635 0 81204984
240 HW 94 788 0 12095662824
240 SW 309 1689 0 81204984
245 HW 68 788 0 12582525312
245 SW 306 1727 0 82125792
250 HW 97 821 0 13087450152
250 SW 303 1770 0 82125792
255 HW 67 821 0 13610694384
256 SW 302 1814 0 82166616
260 HW 97 854 0 14134839768
261 SW 292 1852 0 82166616
265 HW 66 854 0 14649199488
266 SW 272 1872 0 82219536
270 HW 91 889 0 15069538512
271 SW 234 1889 0 82219536
275 HW 58 889 0 15431836392
276 SW 215 1909 0 82289088
280 HW 97 934 0 15692350968
281 SW 165 1921 0 82289088
285 HW 64 934 0 15933085560
286 SW 170 1941 0 82416096
290 HW 99 971 0 16188137280
291 SW 131 1955 0 82416096
295 HW 52 971 0 16448801544
296 SW 130 1965 0 141807456
300 HW 96 1019 0 16623439056
302 SW 105 1979 0 141807456
305 HW 60 1019 0 16810423560
307 SW 101 1989 0 183500856
310 HW 84 1060 0 16954495992
312 SW 63 2000 0 183500856
315 HW 49 1060 0 17092993680
317 SW 58 2007 0 963097128
320 HW 97 1111 0 17251056648
322 SW 42 2015 0 963097128
325 HW 69 1111 0 17408284992
327 SW 41 2021 0 1409676912
330 HW 78 1143 0 17549103600
332 SW 33 2030 0 1409676912
336 HW 39 1143 0 17637263784
337 SW 22 2038 0 1623827520
341 HW 51 1161 0 17733824640
342 SW 8 2040 0 1623827520
346 HW 33 1161 0 17832624768
347 SW 6 2041 0 1697245704
351 HW 29 1165 0 17901523584
352 SW 4 2042 0 1697245704
356 HW 10 1165 0 17928028944
357 SW 4 2043 0 1697248728
361 HW 10 1167 0 17934618240
362 SW 2 2043 0 1697248728
366 HW 5 1167 0 17936594424
367 SW 4 2045 0 1697248728
371 HW 4 1167 0 17936594424
372 SW 4 2045 0 1697248728
