Tempo Switch RegrasInstaladas RegrasAceitas RegrasBloqueadas BytesEnviados
8 HW 11 11 0 1378944
8 SW 13 13 0 1965600
12 HW 30 30 0 12008304
12 SW 35 35 0 14262696
16 HW 40 40 0 37896768
16 SW 45 45 0 41929272
20 HW 55 55 0 82157544
20 SW 57 59 0 88370352
24 HW 69 70 0 145715976
24 SW 75 77 0 156535848
28 HW 84 85 0 235261152
28 SW 86 93 0 251991432
32 HW 101 102 0 356077512
32 SW 106 113 0 385113960
36 HW 111 119 0 506111760
37 SW 116 132 0 555796080
41 HW 125 137 0 691068672
41 SW 129 149 0 770240016
45 HW 139 155 0 924036120
45 SW 139 169 0 1037189664
49 HW 152 172 0 1200597552
49 SW 149 185 0 1363290264
53 HW 162 190 0 1530886392
53 SW 154 204 0 1750214088
57 HW 175 211 0 1919837808
57 SW 173 225 0 2202988536
61 HW 186 230 0 2366677656
61 SW 183 243 0 2728080432
65 HW 196 254 0 2880821160
65 SW 198 268 0 3316416264
69 HW 200 268 3 3450456576
69 SW 199 281 0 3967888680
73 HW 198 276 13 4064324040
73 SW 202 298 0 4690617120
77 HW 196 294 17 4731344352
77 SW 217 329 0 5467627872
81 HW 200 314 18 5428253880
81 SW 221 349 0 6298674480
85 HW 197 322 38 6171039000
86 SW 237 375 0 7196103936
90 HW 200 337 49 6940678752
90 SW 242 397 0 8156674512
94 HW 199 346 61 7767757872
94 SW 242 424 0 9183871368
98 HW 200 363 75 8636497128
98 SW 256 450 0 10289252232
102 HW 195 372 84 9544209696
102 SW 260 470 0 11445527199
106 HW 195 387 87 10477355616
106 SW 273 497 0 12685666758
110 HW 199 399 96 11448499608
110 SW 267 524 0 13907282805
114 HW 191 420 99 12369699216
114 SW 267 552 0 15158119764
118 HW 197 451 104 13280655024
118 SW 271 588 0 16424702508
122 HW 200 466 119 14235160968
122 SW 282 619 0 17716709532
126 HW 199 479 135 15225409080
127 SW 277 647 0 18917062140
130 HW 185 493 138 16169438376
131 SW 287 679 0 20170120044
134 HW 184 514 138 17102095920
135 SW 282 708 0 21463108356
138 HW 193 538 138 17978434488
139 SW 292 738 0 22800664380
143 HW 198 556 142 18860320584
143 SW 285 763 0 24056211036
147 HW 201 569 156 19794763800
147 SW 284 796 0 25322876940
151 HW 199 585 164 20741953176
151 SW 281 825 0 26489295732
155 HW 186 596 168 21663521712
155 SW 276 848 0 27645860820
159 HW 190 623 168 22514541840
159 SW 283 878 0 28830760788
163 HW 200 638 185 23432542056
164 SW 264 904 0 29980249716
167 HW 197 657 186 24259333896
168 SW 271 934 0 31151472132
171 HW 193 668 205 25101474048
172 SW 282 969 0 32363432364
175 HW 199 688 212 25976959848
176 SW 284 997 0 33543118956
179 HW 191 699 226 26792153136
180 SW 290 1026 0 34758360228
183 HW 199 721 226 27579691944
184 SW 287 1053 0 35979338028
187 HW 183 728 234 28327277664
188 SW 263 1067 0 37205486868
191 HW 180 750 234 29040436656
192 SW 255 1093 0 38455564620
196 HW 184 777 234 29658292776
196 SW 246 1121 0 39667006236
200 HW 199 801 234 30317320656
201 SW 250 1146 0 40837764468
204 HW 198 816 243 30949690464
205 SW 274 1182 0 42052057716
208 HW 191 835 252 31601082744
209 SW 271 1213 0 43231478196
212 HW 190 852 252 32246581248
213 SW 267 1237 0 44425309548
216 HW 197 877 252 32827713912
217 SW 277 1267 0 45625751364
220 HW 199 894 262 33445261584
221 SW 265 1293 0 46737839460
224 HW 194 910 264 34049911896
225 SW 255 1317 0 47839532556
228 HW 198 927 275 34683603192
229 SW 269 1349 0 48886126860
232 HW 199 943 280 35366623488
233 SW 272 1378 0 49948551804
236 HW 197 959 289 36084893040
237 SW 267 1395 0 50974434732
240 HW 201 970 302 36831361392
242 SW 285 1433 0 52026842676
244 HW 198 982 308 37579039344
246 SW 285 1461 0 53132651436
249 HW 198 995 314 38368425816
250 SW 292 1487 0 54310228788
253 HW 200 1014 318 39169422936
254 SW 295 1513 0 55479508284
257 HW 198 1026 332 39939059664
258 SW 288 1542 0 56595987228
261 HW 201 1043 338 40738443480
262 SW 281 1568 0 57732178116
265 HW 200 1050 355 41596760520
266 SW 296 1598 0 58893135564
269 HW 198 1064 364 42469453656
270 SW 297 1630 0 60044425284
273 HW 200 1074 381 43390004616
274 SW 306 1662 0 61222441116
277 HW 200 1093 388 44277202368
278 SW 317 1694 0 62456642868
281 HW 197 1103 406 45181633896
283 SW 304 1722 0 63593771196
285 HW 194 1123 417 46075026312
287 SW 292 1750 0 64717536468
289 HW 197 1142 424 46982568024
291 SW 303 1787 0 65854666308
293 HW 194 1161 424 47899019952
295 SW 285 1815 0 66950542740
297 HW 185 1177 431 48757122288
299 SW 289 1845 0 68059758036
302 HW 174 1194 431 49559764464
303 SW 271 1863 0 69108258972
306 HW 176 1217 431 50358050568
307 SW 251 1889 0 70148725140
310 HW 180 1240 431 51044787360
311 SW 253 1915 0 71156876844
314 HW 186 1260 431 51755268600
316 SW 249 1943 0 72146257068
318 HW 193 1282 431 52508206800
320 SW 257 1968 0 73004921868
322 HW 191 1303 431 53231990616
324 SW 254 1994 0 73838815572
326 HW 192 1327 431 53990195112
328 SW 249 2017 0 74667101268
330 HW 201 1351 436 54759641328
332 SW 253 2053 0 75506586348
334 HW 197 1371 436 55517348376
336 SW 252 2078 0 76329357780
338 HW 198 1386 446 56310972984
340 SW 257 2106 0 77197891404
342 HW 194 1403 455 57116539368
344 SW 261 2129 0 78124428372
346 HW 201 1423 455 57937621896
348 SW 238 2149 0 79028513652
350 HW 195 1435 457 58760077320
352 SW 238 2170 0 79948356996
