Inicio(seg)	Duracao(seg)	Banda(Kbps)	PCli	PServ
0.333193	60.872426	2334.699323	18501	14001
0.509724	82.504560	37.426640	18502	14002
0.670644	40.974689	748.412703	18503	14003
0.860844	23.415771	325.518278	18504	14004
1.084755	79.385343	1944.889998	18505	14005
1.293470	8.483109	127.061292	18506	14006
1.585864	27.725731	301.169368	18507	14007
1.615409	95.229007	844.617409	18508	14008
1.765056	78.173934	694.296771	18509	14009
1.868411	84.752303	632.947509	18510	14010
1.915370	69.544056	1077.319801	18511	14011
2.013743	11.395843	1511.402499	18512	14012
2.059646	36.274609	731.810839	18513	14013
2.181927	34.498597	1009.442824	18514	14014
2.226682	35.265058	514.322141	18515	14015
2.363428	60.312907	180.525271	18516	14016
2.562236	83.453240	174.148622	18517	14017
2.806660	43.821126	1544.377729	18518	14018
2.970475	79.676787	918.724433	18519	14019
3.078574	66.423892	567.800598	18520	14020
3.263284	52.619495	38.695836	18521	14021
3.355548	63.940907	1540.316992	18522	14022
3.477753	41.081528	353.442757	18523	14023
3.911650	12.995542	1021.667592	18524	14024
3.975061	89.667566	2159.125418	18525	14025
4.136581	71.794551	767.358871	18526	14026
4.143984	30.487610	958.361017	18527	14027
4.171147	71.072561	364.170557	18528	14028
4.540275	36.563934	185.188288	18529	14029
4.558940	31.982376	116.581332	18530	14030
4.564368	76.774742	1869.512284	18531	14031
4.672937	16.537158	2269.676850	18532	14032
4.895527	92.819806	891.354722	18533	14033
4.968546	45.154305	1787.523645	18534	14034
5.043941	38.662866	572.163660	18535	14035
5.113623	85.239823	479.358456	18536	14036
5.276688	44.514581	565.855577	18537	14037
5.320574	23.028713	1312.621994	18538	14038
5.567176	96.454043	145.741474	18539	14039
5.764226	38.724568	90.558460	18540	14040
5.804914	99.677081	9.870416	18541	14041
6.343967	48.882854	1484.054333	18542	14042
6.432117	92.014965	906.639427	18543	14043
6.626662	46.902214	1212.561387	18544	14044
7.062809	74.799612	496.503175	18545	14045
7.214600	80.398580	305.312041	18546	14046
7.226625	85.288350	7.992866	18547	14047
7.426901	98.995388	1602.819723	18548	14048
7.443625	87.307035	268.640895	18549	14049
7.657475	75.578851	660.126574	18550	14050
7.729613	51.169348	330.621380	18551	14051
8.258651	69.239133	1365.598184	18552	14052
8.279265	69.729458	690.412768	18553	14053
8.323541	52.863939	539.721788	18554	14054
8.488709	63.716272	2308.026925	18555	14055
8.975634	59.706069	1071.281178	18556	14056
9.031534	87.115078	1563.247441	18557	14057
9.140521	30.831817	3231.175039	18558	14058
9.315970	44.655425	1042.942036	18559	14059
9.769326	78.006217	598.967306	18560	14060
9.803460	55.615172	385.268190	18561	14061
9.985527	98.608024	645.949032	18562	14062
10.147608	19.687388	1344.554617	18563	14063
10.384093	74.960724	2428.744085	18564	14064
10.390364	42.522124	2614.318051	18565	14065
10.507473	80.462500	1863.663570	18566	14066
10.583460	64.885359	3679.216296	18567	14067
10.769099	52.836270	669.722683	18568	14068
10.787759	6.676575	67.295368	18569	14069
10.930272	83.934094	374.401108	18570	14070
11.191434	57.587393	1584.266406	18571	14071
11.522983	82.825194	59.537534	18572	14072
11.746713	95.419249	255.894744	18573	14073
11.918285	44.440558	637.967763	18574	14074
12.394523	93.613952	1995.647448	18575	14075
12.702190	65.192336	70.587496	18576	14076
13.059109	39.282730	1044.648811	18577	14077
13.920943	53.169691	2007.805241	18578	14078
13.964689	99.854379	360.016421	18579	14079
14.278615	25.688808	643.493116	18580	14080
14.380614	46.658514	248.852046	18581	14081
14.453901	92.878331	122.725584	18582	14082
14.462380	42.880967	376.940424	18583	14083
14.503603	25.094384	2830.210644	18584	14084
14.649282	6.411371	568.619927	18585	14085
14.674008	39.302528	3269.702096	18586	14086
14.921104	95.386982	666.833752	18587	14087
14.926784	65.128727	202.369247	18588	14088
15.123760	94.928582	2261.916637	18589	14089
15.397911	48.580879	557.793248	18590	14090
15.469707	50.960714	527.301813	18591	14091
15.497537	94.913865	1083.433244	18592	14092
15.744120	75.226972	489.849104	18593	14093
15.845292	40.396940	237.350351	18594	14094
15.898955	23.270392	208.544946	18595	14095
16.271664	61.255892	701.859326	18596	14096
16.524526	66.452274	143.150949	18597	14097
16.589053	25.218854	43.635227	18598	14098
16.646867	71.246723	312.838765	18599	14099
16.798646	96.001140	4236.577117	18600	14100
17.060145	76.526224	3355.264381	18601	14101
17.115957	25.922923	278.478418	18602	14102
17.468910	98.148354	1042.821513	18603	14103
17.469571	6.300810	1490.367494	18604	14104
17.504351	9.112365	4.998348	18605	14105
17.863691	36.299516	3287.083445	18606	14106
17.868590	60.528967	1708.733396	18607	14107
17.897691	76.826461	90.093113	18608	14108
18.136013	93.329676	308.527427	18609	14109
18.311987	55.310068	1237.780070	18610	14110
18.356575	50.255473	1299.377886	18611	14111
18.364383	35.577264	1642.741264	18612	14112
18.402127	30.055601	238.759928	18613	14113
18.477225	67.878765	134.437765	18614	14114
18.534136	63.196894	395.970370	18615	14115
18.615035	62.600381	1833.936644	18616	14116
18.919900	9.587417	2211.581141	18617	14117
19.010700	39.915103	1031.551062	18618	14118
19.024420	72.620724	142.203239	18619	14119
19.049878	95.886374	2146.189096	18620	14120
19.070045	19.522678	482.587963	18621	14121
19.078409	88.113918	2455.026548	18622	14122
19.342923	93.419713	2151.958650	18623	14123
19.421390	67.794413	150.741479	18624	14124
19.444929	94.388826	389.145461	18625	14125
19.447844	20.967480	769.830250	18626	14126
19.517859	69.349833	118.590638	18627	14127
19.559345	17.827176	1131.506960	18628	14128
19.622797	71.876581	1013.361008	18629	14129
19.777102	9.287735	7623.795571	18630	14130
19.849619	5.667078	1408.888376	18631	14131
20.194126	9.194871	245.141538	18632	14132
20.229571	23.759516	97.860566	18633	14133
20.355128	99.338346	1016.567242	18634	14134
20.469600	56.360906	1993.843211	18635	14135
20.924644	68.246755	1656.991541	18636	14136
21.142483	8.602357	321.507411	18637	14137
21.314142	59.881223	472.285070	18638	14138
21.508395	63.608222	395.447660	18639	14139
21.512646	26.254366	2013.171969	18640	14140
21.674120	63.954061	1081.883263	18641	14141
21.675536	81.099088	420.919974	18642	14142
21.783324	85.900426	1633.065837	18643	14143
22.062208	87.745244	531.830177	18644	14144
22.668438	73.948875	1016.951511	18645	14145
22.735891	98.181544	2065.975192	18646	14146
22.742188	6.571012	2176.683280	18647	14147
23.943959	38.005414	330.225881	18648	14148
24.009845	26.465130	335.653186	18649	14149
24.020740	12.716094	820.091751	18650	14150
24.320418	63.194905	72.689210	18651	14151
24.459636	95.983959	490.895397	18652	14152
24.475307	43.274358	1703.084001	18653	14153
24.589487	96.678875	2086.760052	18654	14154
24.690286	65.824490	1674.566599	18655	14155
24.888909	34.172906	202.486905	18656	14156
25.271118	70.983660	766.552262	18657	14157
25.324231	30.755458	359.582824	18658	14158
25.345396	38.193119	1221.284544	18659	14159
25.347025	66.177365	1226.320557	18660	14160
25.397054	25.800783	27.027759	18661	14161
25.529715	16.322952	336.703793	18662	14162
25.677646	7.682079	32.311536	18663	14163
25.743987	63.389793	366.226826	18664	14164
25.763760	58.161625	536.068021	18665	14165
26.044580	98.174546	2625.901040	18666	14166
26.059719	6.920552	99.211753	18667	14167
26.275813	61.270319	1020.791369	18668	14168
26.292373	73.892492	1384.171839	18669	14169
26.339239	57.242104	1297.868063	18670	14170
26.423444	31.566295	451.083637	18671	14171
26.432591	23.682862	194.873883	18672	14172
26.478679	87.083228	700.047589	18673	14173
26.533797	6.390443	1034.556572	18674	14174
26.963426	66.612511	684.453301	18675	14175
28.113376	64.302151	667.768704	18676	14176
28.129086	79.223229	82.582551	18677	14177
28.254279	49.779969	1343.614610	18678	14178
28.277300	22.876862	517.905808	18679	14179
28.499846	21.355153	129.703162	18680	14180
28.500655	69.471993	624.946382	18681	14181
28.860785	69.418923	2391.334208	18682	14182
28.862904	79.057030	1090.211465	18683	14183
28.977554	83.606101	1733.135871	18684	14184
29.028402	86.626496	2825.836355	18685	14185
29.074114	20.917445	672.289672	18686	14186
29.207607	36.984468	1090.680150	18687	14187
29.264135	29.033021	802.683475	18688	14188
29.787002	8.619369	1445.580192	18689	14189
29.832329	11.191046	267.343271	18690	14190
29.842985	88.860120	207.536045	18691	14191
29.927085	37.102492	1135.526612	18692	14192
30.467583	40.833448	213.471799	18693	14193
30.633741	54.887450	2158.623330	18694	14194
30.739563	18.277725	2412.529883	18695	14195
30.782077	9.907106	779.594304	18696	14196
30.808728	78.740962	441.791164	18697	14197
31.003407	96.899533	157.494019	18698	14198
31.082233	73.339588	2352.807003	18699	14199
31.134022	5.863836	481.351766	18700	14200
31.260341	17.841340	1511.618104	18701	14201
31.315220	99.936570	24.190717	18702	14202
31.494778	94.264270	155.337866	18703	14203
