PSrc PDst
18858 14358
18860 14360
18870 14370
18872 14372
14156 18656
18874 14374
14208 18708
14178 18678
18878 14378
18880 14380
18882 14382
18884 14384
18886 14386
18888 14388
18890 14390
14066 18566
18904 14404
18906 14406
18908 14408
18910 14410
18912 14412
18914 14414
18916 14416
18918 14418
18920 14420
18922 14422
18928 14428
18930 14430
18932 14432
18948 14448
18950 14450
14362 18862
14276 18776
18960 14460
14254 18754
18962 14462
14074 18574
18964 14464
18966 14466
14012 18512
18968 14468
18970 14470
14108 18608
18974 14474
18976 14476
18978 14478
18980 14480
14106 18606
18982 14482
18984 14484
18986 14486
18988 14488
18990 14490
14014 18514
18992 14492
18996 14496
14162 18662
18998 14498
19000 14500
14264 18764
14050 18550
19008 14508
19014 14514
14062 18562
19016 14516
19018 14518
19020 14520
19022 14522
14260 18760
19024 14524
19026 14526
19030 14530
19032 14532
14010 18510
19034 14534
14436 18936
14134 18634
19036 14536
19038 14538
19040 14540
19042 14542
14392 18892
19044 14544
19048 14548
19050 14550
14258 18758
19064 14564
19066 14566
19068 14568
19070 14570
19072 14572
14396 18896
19074 14574
14096 18596
19076 14576
19078 14578
14206 18706
19080 14580
19082 14582
14008 18508
19084 14584
19086 14586
19092 14592
19094 14594
19102 14602
19104 14604
14234 18734
19106 14606
19108 14608
19110 14610
14200 18700
14142 18642
19112 14612
19124 14624
14304 18804
14298 18798
14252 18752
19126 14626
14424 18924
14288 18788
19132 14632
19134 14634
19136 14636
14158 18658
19138 14638
19140 14640
19142 14642
19144 14644
14512 19012
19184 14684
14232 18732
14600 19100
19186 14686
19188 14688
19190 14690
14076 18576
19192 14692
14114 18614
19202 14702
19204 14704
14330 18830
19206 14706
14630 19130
14116 18616
19210 14710
19212 14712
14368 18868
14148 18648
19230 14730
19234 14734
14312 18812
19236 14736
14172 18672
14244 18744
19238 14738
14646 19146
19240 14740
14278 18778
19242 14742
19244 14744
19248 14748
19250 14750
14236 18736
19260 14760
19262 14762
14056 18556
14454 18954
19266 14766
14002 18502
19268 14768
14044 18544
19272 14772
14400 18900
19280 14780
19282 14782
19284 14784
14226 18726
19286 14786
14322 18822
14620 19120
14286 18786
14204 18704
19296 14796
19298 14798
14212 18712
14086 18586
19300 14800
19302 14802
19308 14808
14446 18946
19310 14810
14456 18956
19312 14812
19314 14814
19316 14816
19322 14822
19324 14824
19326 14826
14670 19170
14256 18756
19328 14828
14328 18828
19330 14830
19332 14832
19334 14834
14558 19058
19336 14836
14072 18572
19338 14838
19340 14840
19342 14842
19344 14844
19346 14846
14696 19196
19348 14848
14562 19062
19350 14850
19374 14874
19376 14876
19378 14878
14110 18610
19382 14882
19384 14884
14650 19150
19386 14886
19388 14888
14494 18994
19390 14890
19392 14892
19394 14894
19396 14896
19398 14898
14804 19304
19400 14900
19402 14902
14180 18680
14138 18638
19420 14920
19422 14922
19424 14924
19426 14926
19428 14928
14064 18564
19430 14930
14554 19054
19442 14942
19444 14944
19446 14946
14764 19264
19448 14948
19460 14960
19462 14962
19464 14964
14170 18670
14224 18724
