Tempo Switch RegrasInstaladas RegrasAceitas VezesBloqueado BytesEnviados
7 HW 2 2 0 0
7 SW 26 26 0 0
12 HW 2 2 0 0
12 SW 59 59 0 0
17 HW 55 55 0 0
17 SW 89 89 0 0
22 HW 55 55 0 0
22 SW 110 110 0 0
27 HW 106 159 0 0
27 SW 126 136 0 9372
32 HW 104 159 0 0
32 SW 118 181 0 51688020
37 HW 155 255 0 0
37 SW 142 206 0 51689532
42 HW 146 255 0 287280
42 SW 138 249 0 98794380
47 HW 169 309 0 10184832
47 SW 162 282 0 99922332
52 HW 158 309 0 15618960
53 SW 142 326 0 152721372
57 HW 184 351 0 23374008
58 SW 175 370 0 152910372
62 HW 176 351 0 39553920
63 SW 182 415 0 179510988
67 HW 182 375 0 65752344
68 SW 207 462 0 181041312
72 HW 170 375 0 100241064
73 SW 181 491 0 238066512
77 HW 178 406 0 143189424
78 SW 214 538 0 238182936
83 HW 170 406 0 157518648
83 SW 212 585 0 290236560
88 HW 188 440 0 185776416
88 SW 239 627 0 295224648
93 HW 176 440 0 264938688
93 SW 241 676 0 348822024
98 HW 185 467 0 356535648
98 SW 271 741 0 354065640
103 HW 172 467 0 405539568
104 SW 282 798 0 397045752
108 HW 181 496 0 488185488
109 SW 300 843 0 407517984
113 HW 159 496 0 653480352
114 SW 295 903 0 458762868
118 HW 167 539 0 879729984
119 SW 298 953 0 469213812
123 HW 157 539 0 958951224
124 SW 294 1007 0 531564156
128 HW 173 584 0 1103401656
129 SW 308 1065 0 555045516
133 HW 159 584 0 1211057568
134 SW 291 1117 0 632243700
138 HW 174 631 0 1300415256
139 SW 319 1175 0 646067916
143 HW 161 631 0 1402327080
145 SW 304 1224 0 718146648
148 HW 174 674 0 1536836112
150 SW 304 1267 0 745039080
153 HW 159 674 0 1696822344
155 SW 267 1307 0 840146904
159 HW 178 718 0 1817726400
160 SW 273 1346 0 851865084
164 HW 163 718 0 1932069888
165 SW 260 1399 0 922661460
169 HW 189 758 0 1980032040
170 SW 283 1453 0 946903356
174 HW 179 758 0 2058399000
175 SW 276 1505 0 1008045612
179 HW 183 782 0 2175494328
180 SW 304 1561 0 1018673460
184 HW 170 782 0 2280322800
185 SW 267 1595 0 1106933616
189 HW 183 817 0 2373573888
191 SW 289 1656 0 1142994816
194 HW 167 817 0 2495778264
196 SW 280 1711 0 1210461768
199 HW 183 854 0 2600493336
201 SW 305 1761 0 1219789296
204 HW 167 854 0 2723198184
206 SW 286 1809 0 1295247288
209 HW 177 892 0 2872530864
211 SW 304 1863 0 1312583880
214 HW 157 892 0 3073102200
216 SW 295 1919 0 1363175400
219 HW 181 940 0 3211843320
221 SW 301 1965 0 1378622112
224 HW 169 940 0 3293494344
226 SW 299 2016 0 1439176200
229 HW 179 978 0 3424534848
232 SW 315 2071 0 1456142352
235 HW 166 978 0 3580385760
237 SW 294 2115 0 1530089736
240 HW 183 1018 0 3671775576
242 SW 301 2162 0 1545631584
245 HW 163 1018 0 3862689768
247 SW 281 2215 0 1609758708
250 HW 173 1059 0 3964355136
252 SW 309 2272 0 1623663060
255 HW 162 1059 0 4068407952
257 SW 292 2320 0 1694110344
260 HW 182 1104 0 4162514832
262 SW 313 2381 0 1714678080
265 HW 160 1104 0 4320961848
268 SW 300 2437 0 1800653424
270 HW 179 1149 0 4382090496
273 SW 313 2487 0 1820769072
275 HW 165 1149 0 4536083160
278 SW 285 2541 0 1904483976
280 HW 180 1195 0 4646185488
283 SW 289 2588 0 1922132040
285 HW 160 1195 0 4846546656
288 SW 277 2641 0 1979913120
290 HW 182 1242 0 4920773760
293 SW 295 2697 0 2000148516
295 HW 173 1242 0 4965095016
298 SW 284 2749 0 2061918252
300 HW 185 1278 0 5086576656
303 SW 291 2790 0 2079811260
306 HW 171 1278 0 5201627760
309 SW 261 2829 0 2163355308
311 HW 189 1312 0 5254940880
314 SW 280 2884 0 2180217132
316 HW 177 1312 0 5367881232
319 SW 266 2928 0 2237270940
321 HW 195 1341 0 5419021608
324 SW 293 2977 0 2244465036
326 HW 175 1341 0 5603606568
329 SW 269 3029 0 2318547288
331 HW 185 1376 0 5726662200
334 SW 297 3080 0 2327781072
336 HW 172 1376 0 5825817648
339 SW 294 3132 0 2385409440
341 HW 189 1412 0 5944744008
344 SW 299 3178 0 2411382576
346 HW 178 1412 0 6056371944
350 SW 284 3228 0 2479625184
351 HW 187 1447 0 6192030096
355 SW 296 3284 0 2498281752
356 HW 167 1447 0 6373075464
360 SW 288 3335 0 2572634352
361 HW 184 1488 0 6516984600
365 SW 321 3399 0 2594910648
366 HW 171 1488 0 6609980160
370 SW 309 3452 0 2660377584
372 HW 188 1528 0 6706338408
375 SW 336 3518 0 2673550128
377 HW 169 1528 0 6905526264
380 SW 308 3567 0 2746779312
382 HW 185 1571 0 7017012072
385 SW 312 3609 0 2770774752
387 HW 166 1571 0 7184107728
391 SW 294 3666 0 2866937952
392 HW 182 1615 0 7328357064
396 SW 329 3731 0 2886218976
397 HW 170 1615 0 7448548968
401 SW 329 3780 0 2960754528
402 HW 189 1651 0 7486690680
406 SW 331 3827 0 2986162176
407 HW 173 1651 0 7596047592
411 SW 293 3877 0 3071454276
412 HW 186 1692 0 7792030008
416 SW 318 3936 0 3091217808
417 HW 176 1692 0 7871062248
422 SW 338 4009 0 3154045944
422 HW 194 1726 0 7949690784
427 SW 355 4062 0 3188634456
427 HW 181 1726 0 8025009552
432 SW 328 4109 0 3276198912
433 HW 186 1758 0 8173002600
437 SW 323 4169 0 3315148032
438 HW 168 1758 0 8327034576
442 SW 315 4217 0 3379610640
443 HW 189 1803 0 8415418536
447 SW 331 4278 0 3410408568
448 HW 174 1803 0 8524308240
452 SW 319 4328 0 3469048644
453 HW 189 1848 0 8774497368
457 SW 339 4391 0 3506187900
458 HW 179 1848 0 8844223248
463 SW 294 4435 0 3605795556
463 HW 181 1886 0 9085270824
468 SW 319 4491 0 3630038964
468 HW 174 1886 0 9130357152
473 SW 282 4541 0 3720858756
473 HW 157 1928 0 9276058008
478 SW 305 4597 0 3728285700
478 HW 169 1929 0 9442010592
483 SW 290 4643 0 3793292628
484 HW 149 1929 0 9583282800
488 SW 302 4702 0 3813517140
489 HW 175 1979 0 9672870312
493 SW 310 4765 0 3854864472
494 HW 158 1979 0 9760877784
498 SW 314 4807 0 3884324280
499 HW 174 2020 0 9834949152
504 SW 267 4833 0 3962512824
504 HW 158 2020 0 9910966464
509 SW 254 4860 0 3976142112
509 HW 168 2060 0 10057651632
514 SW 200 4884 0 4032864792
514 HW 148 2060 0 10322546472
519 SW 180 4904 0 4058701848
519 HW 167 2112 0 10374343056
524 SW 142 4929 0 4143488760
524 HW 153 2112 0 10440340344
529 SW 129 4948 0 4155683040
529 HW 160 2159 0 10540297152
534 SW 104 4965 0 4202183268
534 HW 136 2159 0 10636473960
539 SW 64 4981 0 4218054732
539 HW 159 2222 0 10722369168
544 SW 50 4994 0 4245544404
544 HW 134 2222 0 10796829120
549 SW 33 5009 0 4245592788
550 HW 148 2268 0 10925894952
554 SW 28 5020 0 4254932592
555 HW 108 2268 0 10993021704
559 SW 14 5032 0 4254971904
560 HW 122 2294 0 11143940472
564 SW 21 5039 0 4254971904
565 HW 75 2294 0 11232977616
569 SW 8 5043 0 4254997608
570 HW 81 2311 0 11345806080
575 SW 17 5052 0 4254997608
575 HW 42 2311 0 11459216664
580 SW 4 5054 0 4255017384
580 HW 51 2324 0 11490636024
585 SW 10 5060 0 4255017384
585 HW 28 2324 0 11548287072
590 SW 4 5060 0 4255026456
590 HW 27 2330 0 11593592640
595 SW 4 5060 0 4255026456
595 HW 11 2330 0 11604019392
600 SW 2 5060 0 4255026576
600 HW 8 2330 0 11606582232
