Tempo Switch RegrasInstaladas RegrasAceitas RegrasBloqueadas BytesEnviados
3 HW 2 2 0 0
7 SW 2 2 0 0
8 HW 19 19 0 0
12 SW 6 6 0 0
13 HW 38 38 0 0
17 SW 6 6 0 0
18 HW 52 52 0 0
22 SW 6 6 0 0
23 HW 66 66 0 0
27 SW 2 6 0 300
28 HW 81 81 0 0
32 SW 2 6 0 300
33 HW 94 96 0 146664
37 SW 2 6 0 300
38 HW 111 115 0 2417688
42 SW 4 8 0 300
43 HW 140 146 0 4168584
47 SW 4 8 0 300
48 HW 151 163 0 10180296
52 SW 4 8 0 300
53 HW 161 185 0 15277248
57 SW 113 194 0 480
58 HW 171 212 0 30090312
62 SW 129 293 0 480
63 HW 187 239 0 39367944
67 SW 152 426 0 480
68 HW 155 265 0 108065664
72 SW 124 469 0 600
73 HW 134 292 0 171054072
77 SW 146 514 0 600
78 HW 137 319 0 186917976
82 SW 158 557 0 600
83 HW 143 359 0 243047952
87 SW 185 643 0 833712
88 HW 155 394 0 274001616
92 SW 193 731 0 3006636
93 HW 153 429 0 360084312
97 SW 213 838 0 6627876
98 HW 138 461 0 450290232
102 SW 186 840 0 15479124
103 HW 159 499 0 518880600
107 SW 217 930 0 23256852
108 HW 147 541 0 602277984
112 SW 245 1051 0 33402372
113 HW 140 576 0 615964608
117 SW 268 1168 0 51102024
118 HW 152 609 0 725513544
122 SW 224 1168 0 60500616
123 HW 145 644 0 785757672
127 SW 210 1209 0 80746296
128 HW 137 674 0 834906744
132 SW 171 1209 0 100543032
133 HW 151 705 0 916164648
137 SW 192 1251 0 145862208
138 HW 144 734 0 992652192
142 SW 199 1289 0 168614784
144 HW 138 780 0 1109098872
147 SW 235 1391 0 206369424
148 HW 147 821 0 1293729192
152 SW 258 1552 0 228382632
153 HW 145 857 0 1384671456
157 SW 239 1595 0 257571792
158 HW 142 891 0 1475182800
162 SW 213 1628 0 311081592
163 HW 124 924 0 1601188344
167 SW 187 1667 0 397986936
168 HW 122 955 0 1618423632
172 SW 195 1706 0 454783704
173 HW 141 982 0 1623160728
177 SW 196 1739 0 471692400
178 HW 129 1018 0 1736876736
182 SW 166 1739 0 525471216
183 HW 133 1042 0 1785841344
187 SW 179 1779 0 561735024
188 HW 132 1078 0 1840740552
192 SW 203 1890 0 642503040
193 HW 153 1130 0 1886324328
197 SW 239 2011 0 647314224
199 HW 175 1169 0 1902579840
202 SW 240 2098 0 654201504
203 HW 153 1202 0 1978907112
207 SW 215 2140 0 669540864
208 HW 147 1242 0 2063178432
212 SW 191 2173 0 716548944
213 HW 140 1272 0 2195847360
217 SW 189 2211 0 755183568
218 HW 141 1316 0 2255362704
222 SW 183 2243 0 849902808
223 HW 149 1346 0 2313177048
227 SW 229 2375 0 1012467000
228 HW 154 1381 0 2337636672
232 SW 232 2496 0 1047037368
233 HW 146 1411 0 2364080040
237 SW 246 2590 0 1075153008
238 HW 140 1440 0 2436467040
242 SW 230 2631 0 1157425584
243 HW 128 1488 0 2645027784
247 SW 214 2663 0 1193453520
248 HW 141 1515 0 2656584000
252 SW 199 2697 0 1223648280
253 HW 134 1550 0 2703463560
257 SW 230 2785 0 1262491560
258 HW 132 1586 0 2846025504
262 SW 207 2787 0 1298171736
263 HW 155 1612 0 2852374392
267 SW 210 2829 0 1320655176
268 HW 138 1642 0 2933768376
272 SW 207 2874 0 1345448952
273 HW 149 1691 0 2981798568
277 SW 244 2954 0 1365351588
278 HW 146 1725 0 3055742928
282 SW 230 2996 0 1413164052
283 HW 137 1753 0 3108865536
287 SW 247 3112 0 1443301236
288 HW 131 1792 0 3231373824
292 SW 196 3112 0 1496395116
293 HW 143 1824 0 3298940568
297 SW 190 3148 0 1568008152
299 HW 130 1850 0 3392946144
302 SW 151 3148 0 1617697008
303 HW 142 1882 0 3441077640
307 SW 133 3148 0 1670406840
308 HW 143 1917 0 3511768176
312 SW 173 3229 0 1683352704
313 HW 147 1952 0 3587921568
317 SW 194 3272 0 1715629368
318 HW 147 1980 0 3775039128
322 SW 225 3360 0 1753246416
323 HW 141 2013 0 3840354504
327 SW 192 3405 0 1802265456
329 HW 144 2051 0 3930253488
332 SW 205 3514 0 1843553640
334 HW 146 2092 0 3983143248
337 SW 212 3631 0 1871741856
338 HW 143 2124 0 4053678048
342 SW 207 3673 0 1910737968
344 HW 145 2151 0 4134347784
347 SW 171 3673 0 1954540608
349 HW 142 2177 0 4261169808
352 SW 171 3710 0 1976185008
354 HW 136 2213 0 4359897360
357 SW 187 3753 0 1990497600
359 HW 146 2248 0 4361971824
362 SW 180 3753 0 2015493984
364 HW 162 2274 0 4504932936
367 SW 205 3843 0 2062406808
369 HW 148 2308 0 4559098824
372 SW 220 3925 0 2092595400
374 HW 143 2347 0 4647449520
377 SW 242 3998 0 2129148000
379 HW 156 2385 0 4688273520
382 SW 205 4037 0 2154049248
384 HW 147 2416 0 4739850864
387 SW 199 4075 0 2167063152
389 HW 138 2444 0 4877793648
392 SW 163 4075 0 2220414072
394 HW 150 2475 0 4990599432
397 SW 207 4158 0 2253089904
399 HW 141 2511 0 5090031576
402 SW 212 4192 0 2290847568
404 HW 140 2541 0 5118824592
407 SW 232 4238 0 2338522440
409 HW 151 2570 0 5176047744
412 SW 195 4277 0 2382095436
414 HW 149 2611 0 5308656192
417 SW 186 4312 0 2420276460
419 HW 141 2632 0 5339540304
422 SW 161 4314 0 2473824120
424 HW 163 2667 0 5350724568
427 SW 174 4356 0 2559903792
429 HW 162 2702 0 5367004272
432 SW 190 4403 0 2570068968
434 HW 177 2753 0 5475352680
437 SW 237 4497 0 2630972508
439 HW 159 2770 0 5527335240
442 SW 217 4546 0 2690726748
444 HW 162 2809 0 5664007944
447 SW 182 4548 0 2746806828
449 HW 148 2835 0 5792822784
452 SW 195 4633 0 2760321084
454 HW 146 2874 0 5871610080
457 SW 202 4675 0 2782993524
459 HW 153 2916 0 5971207032
462 SW 226 4723 0 2795263764
464 HW 156 2954 0 6028625232
467 SW 214 4763 0 2821360884
469 HW 160 2986 0 6111517608
472 SW 214 4849 0 2880242700
474 HW 143 3013 0 6260933448
477 SW 187 4849 0 2936109588
479 HW 138 3037 0 6436677927
482 SW 169 4851 0 2941610244
484 HW 131 3067 0 6512048103
487 SW 201 4961 0 2974007988
489 HW 119 3108 0 6573993231
492 SW 205 4996 0 3006113796
494 HW 151 3144 0 6638180655
497 SW 243 5079 0 3040968420
499 HW 136 3173 0 6722468607
502 SW 182 5079 0 3092898240
504 HW 132 3203 0 6839547303
507 SW 158 5079 0 3121154616
509 HW 150 3230 0 6894644583
512 SW 172 5154 0 3155150424
514 HW 115 3269 0 6936011391
517 SW 184 5188 0 3248043168
519 HW 147 3304 0 6954864519
522 SW 201 5233 0 3284071104
524 HW 153 3334 0 7060208583
527 SW 183 5278 0 3339162336
529 HW 133 3372 0 7188560751
532 SW 180 5319 0 3360731136
534 HW 140 3403 0 7309215327
537 SW 169 5355 0 3398594760
539 HW 149 3438 0 7354353063
542 SW 181 5444 0 3427448256
544 HW 134 3463 0 7408036623
547 SW 155 5444 0 3445834176
549 HW 143 3491 0 7501454031
552 SW 131 5444 0 3454684032
554 HW 153 3516 0 7542696855
557 SW 102 5444 0 3467794584
559 HW 135 3550 0 7599655407
562 SW 162 5530 0 3486068616
564 HW 153 3586 0 7606218999
567 SW 212 5667 0 3500249664
569 HW 158 3628 0 7685689719
572 SW 240 5794 0 3518925888
574 HW 154 3666 0 7811347503
577 SW 224 5923 0 3555217152
579 HW 154 3705 0 7855003479
582 SW 210 6038 0 3617621928
584 HW 141 3739 0 7972006575
587 SW 205 6080 0 3627797688
589 HW 141 3770 0 8135332815
592 SW 189 6121 0 3673266552
594 HW 133 3805 0 8187521007
597 SW 207 6227 0 3697080552
599 HW 129 3844 0 8291653959
602 SW 220 6298 0 3737927352
604 HW 153 3879 0 8331266847
607 SW 210 6337 0 3774594864
609 HW 142 3903 0 8448277503
612 SW 201 6375 0 3794651544
614 HW 137 3939 0 8502325455
617 SW 201 6414 0 3825197148
619 HW 138 3973 0 8637331935
622 SW 218 6478 0 3851252052
624 HW 143 4006 0 8705517087
627 SW 221 6552 0 3880776876
629 HW 134 4036 0 8801650047
632 SW 216 6589 0 3925787604
634 HW 131 4064 0 8907363039
637 SW 207 6624 0 3948358740
639 HW 141 4105 0 8965954551
642 SW 200 6665 0 3994512540
644 HW 153 4147 0 9045369327
647 SW 202 6709 0 4025708304
649 HW 135 4178 0 9139346175
652 SW 200 6750 0 4114740912
654 HW 151 4212 0 9268731039
657 SW 186 6790 0 4157634840
659 HW 146 4239 0 9347737575
662 SW 160 6790 0 4175269296
664 HW 130 4273 0 9413848263
667 SW 191 6871 0 4211645112
669 HW 146 4305 0 9437768103
672 SW 195 6913 0 4221027072
674 HW 150 4335 0 9480104103
677 SW 184 6913 0 4246112664
679 HW 142 4364 0 9576404895
682 SW 218 7067 0 4325402064
684 HW 132 4397 0 9628124367
687 SW 193 7067 0 4353189600
689 HW 145 4440 0 9718139775
692 SW 242 7192 0 4376680032
694 HW 146 4479 0 9768386559
697 SW 202 7266 0 4517987016
699 HW 134 4506 0 9860323719
702 SW 192 7268 0 4569647520
704 HW 142 4528 0 9969314727
707 SW 145 7270 0 4639778616
709 HW 124 4557 0 10061905071
712 SW 155 7312 0 4686649104
714 HW 139 4591 0 10186974687
717 SW 177 7351 0 4703837700
719 HW 141 4617 0 10278816591
722 SW 217 7431 0 4709628840
724 HW 130 4655 0 10402269879
727 SW 210 7474 0 4747064448
729 HW 142 4688 0 10474688631
732 SW 210 7514 0 4766983536
734 HW 149 4734 0 10515503559
737 SW 230 7667 0 4799033400
739 HW 137 4766 0 10550265951
742 SW 240 7778 0 4837550088
744 HW 140 4807 0 10649732871
747 SW 214 7780 0 4868500728
749 HW 147 4832 0 10734773799
752 SW 168 7782 0 4907002296
754 HW 135 4852 0 10860575223
757 SW 136 7782 0 4927414296
759 HW 117 4864 0 10942549815
762 SW 117 7782 0 4963672236
764 HW 131 4899 0 10959192399
767 SW 98 7782 0 5021689368
769 HW 119 4912 0 10995441087
772 SW 90 7782 0 5068605216
774 HW 120 4928 0 11024329359
777 SW 65 7782 0 5166746112
779 HW 112 4939 0 11032512303
782 SW 58 7782 0 5212269408
784 HW 130 4974 0 11054986671
787 SW 50 7784 0 5247465744
789 HW 120 4988 0 11113487463
792 SW 43 7784 0 5260354032
794 HW 116 4996 0 11182844415
797 SW 26 7784 0 5315991096
799 HW 110 5019 0 11238619071
802 SW 23 7786 0 5322315972
804 HW 110 5047 0 11314361199
807 SW 19 7786 0 5327653332
809 HW 106 5070 0 11344492335
812 SW 17 7786 0 5331889956
814 HW 92 5094 0 11494756407
817 SW 5 7786 0 5358197364
819 HW 76 5110 0 11602995951
822 SW 4 7786 0 5362526220
824 HW 71 5120 0 11639949231
827 SW 5 7788 0 5367071292
