Tempo Switch RegrasInstaladas RegrasAceitas RegrasBloqueadas BytesEnviados
13 HW 23 24 0 0
13 SW 24 24 0 0
18 HW 42 42 0 0
18 SW 46 46 0 0
23 HW 74 75 0 0
23 SW 77 78 0 0
28 HW 99 100 0 0
28 SW 103 103 0 0
33 HW 129 129 0 0
33 SW 129 133 0 300
38 HW 163 167 0 2416176
38 SW 166 172 0 63804
43 HW 194 204 0 10331496
43 SW 196 206 0 1595460
48 HW 198 217 21 21781872
48 SW 218 238 0 6746844
53 HW 201 227 43 28543536
53 SW 243 273 0 13827540
58 HW 198 240 75 48167784
58 SW 274 313 0 24599028
63 HW 199 249 105 71900136
63 SW 287 344 0 42903300
68 HW 200 263 124 88285680
68 SW 299 381 0 61514628
73 HW 196 278 149 147288456
74 SW 332 428 0 92832684
78 HW 199 295 175 209705328
79 SW 355 469 0 110164860
84 HW 200 313 205 260785224
84 SW 385 524 0 155561148
89 HW 200 328 222 310930704
89 SW 411 579 0 231490764
94 HW 200 346 251 388750320
94 SW 432 635 0 333469116
99 HW 200 362 278 444307248
99 SW 437 677 0 431103492
104 HW 200 378 297 529435872
104 SW 426 726 0 573165144
109 HW 198 402 308 630810936
110 SW 411 774 0 731708928
114 HW 196 424 325 746379144
115 SW 436 835 0 849896510
119 HW 200 447 338 831432168
120 SW 445 894 0 1018616054
124 HW 197 468 360 953373456
125 SW 459 952 0 1129483574
129 HW 199 491 377 1039040352
130 SW 443 1003 0 1449884013
134 HW 200 507 399 1175920200
135 SW 421 1055 0 1693889061
139 HW 195 530 410 1335451320
140 SW 408 1098 0 1848247749
144 HW 200 554 427 1429895376
146 SW 405 1145 0 1995782661
150 HW 200 571 439 1499835960
151 SW 405 1194 0 2184563421
155 HW 194 589 454 1577475648
156 SW 422 1248 0 2342372373
160 HW 199 609 481 1631431368
161 SW 429 1295 0 2528762661
165 HW 201 622 503 1669187520
166 SW 426 1348 0 2733422445
170 HW 200 638 522 1721321280
171 SW 420 1397 0 2973490245
175 HW 196 655 542 1841561568
176 SW 425 1443 0 3131455173
180 HW 201 672 556 1916263440
182 SW 414 1488 0 3377719149
185 HW 200 689 573 2003849064
187 SW 418 1545 0 3576397461
190 HW 200 705 605 2051449848
192 SW 425 1599 0 3722346285
195 HW 200 722 629 2139809616
197 SW 438 1661 0 3945239277
200 HW 200 738 657 2259706680
202 SW 433 1708 0 4161848397
205 HW 200 763 676 2465257032
207 SW 433 1770 0 4417443045
211 HW 200 779 701 2510459784
212 SW 429 1827 0 4616500869
216 HW 199 803 714 2627217936
218 SW 443 1879 0 4731024285
221 HW 195 822 727 2767741704
223 SW 433 1934 0 5014823661
226 HW 200 845 745 2833996032
228 SW 422 1984 0 5249387961
231 HW 200 867 762 2940561792
233 SW 417 2034 0 5459637609
236 HW 200 887 787 3047312016
238 SW 410 2092 0 5646247137
241 HW 200 899 812 3089794680
243 SW 403 2134 0 5900663817
246 HW 198 922 819 3151172808
248 SW 408 2190 0 6143087493
251 HW 197 953 827 3376559088
254 SW 398 2232 0 6273636597
256 HW 201 969 850 3482105760
259 SW 386 2266 0 6356273445
261 HW 191 978 854 3549988512
264 SW 357 2293 0 6558752925
266 HW 192 992 854 3610046664
269 SW 351 2315 0 6658889661
272 HW 185 1002 854 3705585408
274 SW 327 2333 0 6824867949
277 HW 171 1014 854 3863843424
279 SW 293 2348 0 6965416209
282 HW 156 1027 854 3990350952
284 SW 277 2373 0 7213816641
287 HW 152 1043 854 4134080160
289 SW 265 2397 0 7457421009
292 HW 134 1051 854 4270914648
295 SW 252 2415 0 7540278609
297 HW 116 1059 854 4351489128
300 SW 218 2432 0 7736197521
302 HW 91 1064 854 4516501248
305 SW 186 2448 0 7959400473
307 HW 84 1073 854 4588579800
310 SW 173 2467 0 8068296405
312 HW 78 1083 854 4703951448
315 SW 156 2484 0 8264316621
317 HW 70 1085 854 4753741608
320 SW 131 2491 0 8402654037
322 HW 56 1087 854 4807924128
325 SW 109 2507 0 8597110845
327 HW 44 1097 854 4958767296
330 SW 88 2519 0 8714374185
332 HW 43 1100 854 4976261136
335 SW 83 2527 0 8799749265
337 HW 42 1103 854 5026869288
340 SW 61 2533 0 8949231633
342 HW 23 1106 854 5131392336
345 SW 38 2536 0 9104778813
347 HW 23 1110 854 5146784496
350 SW 24 2538 0 9137188533
352 HW 18 1111 854 5163380208
355 SW 12 2538 0 9195137445
357 HW 12 1111 854 5182387560
360 SW 8 2540 0 9230722365
362 HW 4 1111 854 5244532272
365 SW 4 2540 0 9251243229
367 HW 2 1111 854 5270525064
370 SW 4 2540 0 9251243229
373 HW 2 1111 854 5270525064
375 SW 2 2540 0 9251243409
378 HW 2 1111 854 5270525064
