Inicio(seg)	Duracao(seg)	Banda(Kbps)	PCli	PServ
0.108781	66.193636	490.745622	18501	14001
0.151347	20.546819	3365.164563	18502	14002
0.239463	99.216344	274.386052	18503	14003
0.318019	43.635560	149.968643	18504	14004
0.589602	54.226753	1491.041441	18505	14005
1.104483	13.521821	223.100461	18506	14006
1.203665	27.342147	279.658510	18507	14007
1.206828	74.820495	1193.837049	18508	14008
1.287934	90.738815	345.581778	18509	14009
1.356085	40.759923	27.632858	18510	14010
1.428524	84.297934	468.239197	18511	14011
1.564836	49.876017	499.720277	18512	14012
1.602835	36.847998	926.669815	18513	14013
1.722551	37.893790	287.554339	18514	14014
1.769375	25.147679	318.473845	18515	14015
1.940287	59.443408	2553.075923	18516	14016
2.093838	20.502185	25.038112	18517	14017
2.262238	30.161451	424.506264	18518	14018
2.448873	81.708198	696.681118	18519	14019
2.479545	39.693049	50.188936	18520	14020
2.517151	49.067380	1210.434300	18521	14021
2.632507	48.940995	1754.178221	18522	14022
2.732651	35.783213	880.577282	18523	14023
2.828885	61.663858	151.858373	18524	14024
2.832016	51.879051	158.752645	18525	14025
2.837899	94.219794	303.965020	18526	14026
3.267551	41.832281	452.363293	18527	14027
3.765220	94.261111	895.109294	18528	14028
3.782860	99.041878	2050.967730	18529	14029
3.824542	40.006573	375.122870	18530	14030
3.829741	32.595386	1040.113304	18531	14031
3.905592	93.842510	26.813115	18532	14032
3.918045	11.802360	1204.239779	18533	14033
3.955255	23.383688	2493.197389	18534	14034
4.008011	34.986038	1684.706429	18535	14035
4.022439	53.634619	168.356332	18536	14036
4.032603	6.468325	487.880213	18537	14037
4.207993	47.007727	250.059842	18538	14038
4.522446	69.579645	321.464401	18539	14039
4.619070	98.422264	360.532100	18540	14040
4.852422	21.234666	109.758625	18541	14041
4.903383	9.660621	161.339170	18542	14042
5.351312	61.171745	1158.329342	18543	14043
5.473449	37.941331	345.525099	18544	14044
5.677025	45.736781	1756.478977	18545	14045
5.867754	79.133044	236.831871	18546	14046
5.902555	39.991799	2360.473902	18547	14047
5.928579	65.622188	1595.233295	18548	14048
5.933753	73.644286	330.419562	18549	14049
6.081738	7.951339	1222.616441	18550	14050
6.086232	86.676758	287.426135	18551	14051
6.237279	95.342460	1939.094662	18552	14052
6.305531	43.018250	299.666639	18553	14053
6.570785	57.199705	195.990223	18554	14054
6.601847	22.156039	330.441453	18555	14055
6.757538	88.118003	1874.662570	18556	14056
6.834717	71.088963	2064.134722	18557	14057
6.947021	33.928570	2082.783567	18558	14058
6.968737	23.725147	1598.159375	18559	14059
7.093520	57.352654	814.519559	18560	14060
7.112645	85.311261	1963.964539	18561	14061
7.306104	32.605489	1576.694518	18562	14062
7.344858	31.418126	379.358273	18563	14063
7.491903	10.735423	3697.729094	18564	14064
7.588986	37.043878	24.342087	18565	14065
7.592681	66.607152	482.085691	18566	14066
7.648701	86.881249	50.054848	18567	14067
7.722673	99.754041	1207.589624	18568	14068
7.827662	66.175480	150.938921	18569	14069
7.885740	56.587635	3435.134229	18570	14070
8.016472	28.327235	28.858937	18571	14071
8.023193	17.509271	415.106739	18572	14072
8.082953	40.644983	104.170671	18573	14073
8.128457	59.882118	1894.468455	18574	14074
8.243958	32.501211	488.725981	18575	14075
8.387128	53.018670	1951.505958	18576	14076
8.772871	24.461750	80.141760	18577	14077
9.189228	71.691989	122.483891	18578	14078
9.276626	52.846042	55.304966	18579	14079
9.278368	44.405236	510.690387	18580	14080
9.406780	82.501497	2833.137546	18581	14081
9.511476	16.626388	634.210882	18582	14082
9.584370	48.423177	1002.107791	18583	14083
9.642313	23.365655	1078.065133	18584	14084
9.664732	40.166578	135.487173	18585	14085
9.714396	93.197787	454.933082	18586	14086
9.834147	62.850532	1307.612586	18587	14087
10.008292	16.423041	1055.777612	18588	14088
10.039162	74.981490	186.581173	18589	14089
10.117362	98.397724	412.770285	18590	14090
10.345455	13.430113	1152.954388	18591	14091
10.459894	8.809807	152.249245	18592	14092
10.520488	62.510245	44.678597	18593	14093
10.691714	98.805215	47.665486	18594	14094
10.809684	28.702183	1392.640865	18595	14095
10.991511	36.881482	214.181488	18596	14096
11.228091	66.399668	185.914175	18597	14097
11.239336	73.153226	720.358631	18598	14098
11.277348	6.829236	672.632325	18599	14099
11.308659	22.129852	708.982696	18600	14100
11.386895	17.463640	231.658145	18601	14101
11.513180	21.137577	308.899657	18602	14102
11.603507	20.218703	1138.211692	18603	14103
11.683891	5.345844	233.366115	18604	14104
11.748860	93.756310	1207.768950	18605	14105
11.754391	78.813762	3550.249658	18606	14106
11.862740	55.095657	159.674041	18607	14107
11.947595	8.144855	491.213266	18608	14108
