Inicio(seg)	Duracao(seg)	Banda(Kbps)	PCli	PServ
0.087859	93.110651	2108.478462	18501	14001
0.103877	90.991167	390.159680	18502	14002
0.171904	86.655740	582.280205	18503	14003
0.202324	47.993551	462.057954	18504	14004
0.206792	61.176195	379.985502	18505	14005
0.227953	72.272376	209.614227	18506	14006
0.264635	74.820161	137.844068	18507	14007
0.646176	93.744346	4351.199752	18508	14008
0.801288	17.466591	5.023181	18509	14009
0.843044	69.097654	432.189650	18510	14010
1.328382	51.392833	771.153847	18511	14011
1.349089	95.062185	1652.218533	18512	14012
1.380127	19.735839	33.789448	18513	14013
1.425667	39.774737	3539.842413	18514	14014
1.672103	50.969366	226.194254	18515	14015
1.677462	25.290567	1903.751367	18516	14016
1.702377	27.052684	1642.722711	18517	14017
1.770532	33.485982	551.705075	18518	14018
1.782070	22.551061	157.929365	18519	14019
2.075305	46.909004	1814.102029	18520	14020
2.118556	55.795595	987.140912	18521	14021
2.457554	87.264401	889.529670	18522	14022
2.491274	86.910898	473.861556	18523	14023
2.797984	77.259435	146.589721	18524	14024
2.908916	66.969353	2259.789260	18525	14025
3.154210	79.265268	494.865614	18526	14026
3.170578	7.233307	616.876475	18527	14027
3.194305	99.040925	2641.327008	18528	14028
3.201558	26.998845	357.948860	18529	14029
3.224002	98.217441	499.548568	18530	14030
3.232346	14.922559	340.341519	18531	14031
3.301727	57.484884	1096.555669	18532	14032
3.308924	5.978818	795.920533	18533	14033
3.426384	26.167897	1472.657850	18534	14034
3.737626	25.468095	2144.205530	18535	14035
3.978885	65.983096	960.320851	18536	14036
4.046075	61.584183	2302.435260	18537	14037
4.066840	38.441254	1443.496454	18538	14038
4.098320	34.165908	25.172726	18539	14039
4.189292	88.730111	534.439708	18540	14040
4.354991	60.287662	435.618556	18541	14041
4.359137	75.518718	2720.463210	18542	14042
4.370024	54.435082	651.415467	18543	14043
4.405586	63.082426	97.008374	18544	14044
4.430504	78.703758	1196.274293	18545	14045
4.572482	36.218603	191.770575	18546	14046
4.632937	54.888469	198.526571	18547	14047
4.667045	64.110659	649.816233	18548	14048
4.790368	94.914797	1343.123784	18549	14049
5.147135	19.724595	131.654912	18550	14050
5.235929	68.219025	175.016194	18551	14051
5.237841	34.367005	3262.166248	18552	14052
5.341414	69.732050	338.622267	18553	14053
5.367140	53.333517	2268.775042	18554	14054
5.423189	41.575799	0.489615	18555	14055
5.649154	62.571996	686.908177	18556	14056
5.649601	40.479077	1876.445723	18557	14057
5.652516	97.402906	1077.567744	18558	14058
5.656313	68.375316	17.135621	18559	14059
5.825642	89.341451	441.262638	18560	14060
6.037834	12.495010	1349.129780	18561	14061
6.644931	19.370999	968.469039	18562	14062
6.805041	56.376744	829.234093	18563	14063
6.835019	9.942575	649.457159	18564	14064
6.899625	39.344849	673.338696	18565	14065
7.023422	10.633966	643.890184	18566	14066
7.267606	24.835344	943.276543	18567	14067
7.368271	37.065460	87.525302	18568	14068
7.451341	19.473308	242.761570	18569	14069
7.571083	52.184457	663.232479	18570	14070
7.856286	70.740482	501.835107	18571	14071
7.907103	35.040147	138.481679	18572	14072
7.909977	99.384365	1336.091638	18573	14073
8.053624	15.376755	902.142212	18574	14074
8.063935	53.405218	100.307638	18575	14075
8.070523	30.561913	404.431968	18576	14076
8.109943	32.278974	439.538716	18577	14077
8.236110	66.645423	956.503410	18578	14078
8.323045	97.984459	17.047887	18579	14079
8.362893	22.315414	4182.309551	18580	14080
8.379931	42.495673	873.954153	18581	14081
8.384506	99.410485	1598.699847	18582	14082
8.544671	55.108276	825.773641	18583	14083
8.721698	66.058626	227.927809	18584	14084
8.785358	20.589598	709.010344	18585	14085
8.793310	99.287384	78.816403	18586	14086
8.804377	19.517856	2553.147536	18587	14087
8.812668	77.315105	1577.956466	18588	14088
8.820763	21.331406	347.798998	18589	14089
8.832874	60.394061	158.964069	18590	14090
8.833462	44.785760	1252.792733	18591	14091
8.878432	5.874914	1213.745429	18592	14092
8.940668	71.682847	1865.230520	18593	14093
8.961926	81.812981	3307.115232	18594	14094
9.007317	54.849256	1872.996670	18595	14095
9.069266	60.717163	134.883554	18596	14096
9.209561	40.774457	376.016395	18597	14097
9.220196	14.414451	42.764806	18598	14098
9.396435	29.622843	1519.258748	18599	14099
9.396992	11.371215	71.454464	18600	14100
9.428902	24.464100	725.995022	18601	14101
9.760803	95.750880	260.809722	18602	14102
9.772546	35.900926	990.697499	18603	14103
9.947811	67.329043	68.420590	18604	14104
9.976776	92.102292	993.143778	18605	14105
10.310016	67.628990	4.884410	18606	14106
10.315725	16.804117	683.011668	18607	14107
10.403802	58.811121	85.051791	18608	14108
10.418114	99.834168	3104.916335	18609	14109
10.483865	72.964680	1638.032762	18610	14110
10.491278	58.755769	41.950404	18611	14111
10.500509	68.640526	2110.585947	18612	14112
10.646586	10.409493	556.951027	18613	14113
10.710138	53.272740	4370.029303	18614	14114
10.804157	56.740393	3730.773320	18615	14115
10.827211	14.619445	260.642606	18616	14116
10.847721	57.411568	1796.381961	18617	14117
10.879414	78.201139	396.606362	18618	14118
10.994867	6.101338	1583.624152	18619	14119
11.012524	66.300750	350.990697	18620	14120
11.078451	53.672764	1775.266028	18621	14121
11.466127	72.310190	207.617806	18622	14122
11.644596	67.835676	235.972855	18623	14123
11.684895	78.571220	3068.232977	18624	14124
11.705097	65.961891	1320.234097	18625	14125
11.776735	78.430044	233.738961	18626	14126
11.902704	10.984330	1762.137806	18627	14127
11.958698	59.144316	254.012137	18628	14128
12.019378	41.713218	140.488313	18629	14129
12.054171	93.197987	573.730935	18630	14130
12.128973	76.268395	1956.111640	18631	14131
12.310481	12.703734	264.940850	18632	14132
12.357336	88.977636	280.093812	18633	14133
12.387757	45.165435	1217.915656	18634	14134
12.484107	67.155438	839.119176	18635	14135
12.500932	20.935420	1034.390857	18636	14136
12.516031	19.909465	817.357233	18637	14137
12.530701	90.420524	344.731691	18638	14138
12.649614	36.867006	362.880938	18639	14139
12.756726	10.055813	500.924051	18640	14140
13.007105	52.815643	4469.133424	18641	14141
13.051652	64.522852	251.996505	18642	14142
13.055511	9.905560	410.587261	18643	14143
13.063368	32.795441	3340.807191	18644	14144
13.115682	38.123815	1822.617517	18645	14145
13.170171	77.532076	694.907122	18646	14146
13.177027	92.978401	97.980796	18647	14147
13.246179	83.261560	648.021040	18648	14148
13.268358	37.684267	153.362681	18649	14149
13.443362	50.043992	718.241065	18650	14150
13.535325	82.891870	1477.136721	18651	14151
13.619569	58.431386	666.096933	18652	14152
13.674962	89.090128	717.643489	18653	14153
13.840654	37.420768	495.022208	18654	14154
13.857102	47.284662	387.722383	18655	14155
14.027432	67.939837	307.013468	18656	14156
14.167835	50.486800	103.395243	18657	14157
14.376557	59.008246	751.810570	18658	14158
14.411801	32.699796	373.684131	18659	14159
14.432058	37.572901	393.429896	18660	14160
14.484394	88.078654	1008.135613	18661	14161
14.705176	57.120539	946.355990	18662	14162
14.880843	63.828777	390.735292	18663	14163
15.211581	37.710519	257.237436	18664	14164
15.275518	96.752497	159.805838	18665	14165
15.442280	53.135967	997.994652	18666	14166
15.590074	22.988505	1686.820674	18667	14167
15.593788	82.590430	249.756022	18668	14168
15.709402	37.350192	1597.934499	18669	14169
15.749733	31.186075	1149.715734	18670	14170
15.930102	6.694972	786.758616	18671	14171
15.948319	46.664950	1110.741799	18672	14172
16.354350	29.713245	895.100144	18673	14173
16.431853	9.946545	1483.809454	18674	14174
16.799175	28.540811	232.779548	18675	14175
16.805787	19.141432	465.053693	18676	14176
17.121320	55.820755	3062.719645	18677	14177
17.244146	64.691854	1516.474838	18678	14178
17.342721	9.785654	573.867037	18679	14179
17.468225	67.553031	673.201718	18680	14180
17.518594	55.116310	1478.843922	18681	14181
17.783850	72.154471	896.833741	18682	14182
18.013831	44.790675	651.814943	18683	14183
18.068527	10.811549	216.567009	18684	14184
18.077092	96.240824	904.529100	18685	14185
18.167771	82.572709	598.111489	18686	14186
18.336135	62.124532	168.695292	18687	14187
18.348514	24.926685	87.569940	18688	14188
18.366307	98.536019	531.075821	18689	14189
18.476852	99.370287	302.984308	18690	14190
18.564812	64.536460	894.529657	18691	14191
18.573792	60.538770	1117.615130	18692	14192
18.592180	70.074615	2748.288865	18693	14193
18.731559	68.499278	4130.757724	18694	14194
18.836169	49.636284	1397.822842	18695	14195
18.856499	56.040210	2826.456981	18696	14196
18.973719	20.183921	1567.322795	18697	14197
19.034652	36.609975	93.053488	18698	14198
19.055537	34.458780	3710.922667	18699	14199
19.096047	8.476128	570.972104	18700	14200
19.144273	52.441104	452.442981	18701	14201
19.146417	86.915606	397.802652	18702	14202
19.164371	56.495765	1018.970512	18703	14203
19.203940	31.488957	3.052235	18704	14204
19.232067	71.950220	381.193941	18705	14205
