Inicio(seg)	Duracao(seg)	Banda(Kbps)	PCli	PServ
0.094359	54.581993	1230.843886	18501	14001
0.441057	69.075778	2444.032536	18502	14002
0.534363	25.107068	390.809664	18503	14003
0.559521	16.448100	5900.845597	18504	14004
1.120376	32.036976	784.646227	18505	14005
1.260389	24.011793	1711.662078	18506	14006
1.591237	81.915918	12.357413	18507	14007
1.753473	32.599799	399.022300	18508	14008
2.148669	51.207620	2927.697772	18509	14009
2.365677	97.683636	885.477211	18510	14010
2.657095	47.280636	2056.084820	18511	14011
2.850898	55.285715	70.484378	18512	14012
2.883321	27.290393	771.806118	18513	14013
3.981629	19.331769	3037.396617	18514	14014
4.010403	12.294781	1763.401009	18515	14015
4.066971	72.908156	936.264070	18516	14016
4.709764	72.919939	308.506100	18517	14017
4.718610	45.554600	2484.355213	18518	14018
5.629273	75.096065	1187.830762	18519	14019
5.722533	64.140435	3583.713887	18520	14020
6.041130	83.507980	3557.463147	18521	14021
6.783404	59.653199	2535.992293	18522	14022
6.788148	5.511436	916.716610	18523	14023
6.834689	25.002594	1319.298859	18524	14024
7.102156	71.250323	509.429644	18525	14025
7.793220	90.773896	606.935318	18526	14026
7.981480	57.771270	1938.751599	18527	14027
8.253634	23.593947	372.108165	18528	14028
8.330673	87.988286	3476.832257	18529	14029
8.750904	79.326242	341.103138	18530	14030
9.269284	39.972892	14.418870	18531	14031
9.321874	17.441698	538.555184	18532	14032
9.822451	77.108622	1123.121252	18533	14033
10.155322	67.594420	403.117868	18534	14034
10.183476	77.198548	139.844054	18535	14035
10.243090	25.549569	1822.317644	18536	14036
10.370600	13.118564	203.080443	18537	14037
10.694903	43.109552	624.279086	18538	14038
11.114307	88.339158	13.829791	18539	14039
11.535172	73.399695	256.153693	18540	14040
11.580651	26.695676	145.913433	18541	14041
11.899361	15.888584	512.427050	18542	14042
12.000808	24.085169	377.490719	18543	14043
12.040154	41.041723	2884.221655	18544	14044
12.064644	98.119639	795.953337	18545	14045
12.350025	50.698370	865.591285	18546	14046
12.630408	63.639871	573.802526	18547	14047
13.163788	61.963292	2009.543366	18548	14048
13.391551	75.102522	100.136090	18549	14049
13.468056	51.548497	1241.168014	18550	14050
14.582066	48.033657	569.134450	18551	14051
14.665098	38.202918	1531.681831	18552	14052
15.566620	71.878793	179.241825	18553	14053
15.828883	73.909158	187.832519	18554	14054
15.866705	21.803907	312.437562	18555	14055
15.902415	98.845340	1010.434816	18556	14056
15.966263	66.920089	586.692104	18557	14057
15.978209	20.068782	0.845557	18558	14058
16.232162	51.767590	179.207100	18559	14059
16.291826	15.601043	1147.144488	18560	14060
16.568721	49.818420	3047.252505	18561	14061
16.612081	49.169450	924.294865	18562	14062
16.859314	66.377241	537.624292	18563	14063
17.409789	53.483468	546.522896	18564	14064
17.950186	95.451752	1884.152672	18565	14065
17.954330	77.444115	2222.631746	18566	14066
18.199197	42.755422	1473.464676	18567	14067
18.427308	93.272223	211.235681	18568	14068
18.433966	61.843616	1317.459430	18569	14069
18.935799	23.222812	1028.902909	18570	14070
19.134579	48.171205	266.098594	18571	14071
19.851064	16.179151	1514.335131	18572	14072
20.052038	83.269572	681.235534	18573	14073
20.054020	22.187313	58.367695	18574	14074
20.073091	79.516806	1893.384227	18575	14075
20.155275	98.942227	413.437100	18576	14076
20.996161	85.851494	179.394403	18577	14077
21.114399	46.357112	158.093179	18578	14078
22.052904	35.197535	489.535158	18579	14079
22.400576	27.013853	1263.684912	18580	14080
22.837818	28.611236	1675.934775	18581	14081
23.152874	70.256748	827.033661	18582	14082
23.675992	66.469620	334.815953	18583	14083
23.942798	89.598359	274.825369	18584	14084
25.457908	70.483540	2126.968230	18585	14085
25.624321	22.394163	2346.482198	18586	14086
25.761848	10.299206	1327.918010	18587	14087
26.732506	88.933587	2864.872070	18588	14088
27.055117	80.013410	127.467009	18589	14089
27.238312	25.356532	1402.187741	18590	14090
27.999791	83.965953	1224.640119	18591	14091
28.241211	74.655198	557.069425	18592	14092
28.818899	61.936639	834.599088	18593	14093
29.659569	53.304195	665.671353	18594	14094
29.897251	41.317048	658.001734	18595	14095
29.907699	89.420932	579.854320	18596	14096
30.359331	61.217173	1887.171343	18597	14097
31.066236	12.515081	84.908872	18598	14098
31.082495	38.093046	1505.586599	18599	14099
31.196862	38.647258	295.238561	18600	14100
31.892144	53.473168	1739.417684	18601	14101
32.363300	46.150832	905.317658	18602	14102
32.516873	60.258801	1599.593094	18603	14103
32.830698	66.825025	129.992266	18604	14104
33.362488	55.337820	888.630217	18605	14105
33.877469	74.294435	44.523957	18606	14106
34.667533	67.122437	1476.901931	18607	14107
35.042585	29.327684	1835.416859	18608	14108
35.441036	42.639256	2128.720696	18609	14109
35.710949	89.712319	211.938993	18610	14110
36.475675	28.183156	678.785478	18611	14111
36.780591	10.234357	1513.637746	18612	14112
36.781415	36.794747	3011.552730	18613	14113
37.384563	38.140053	818.872295	18614	14114
37.447704	57.663635	1770.352119	18615	14115
37.566252	93.302744	1.908206	18616	14116
38.116426	62.936955	818.008373	18617	14117
38.262958	17.852738	631.053164	18618	14118
38.497596	30.512464	142.465193	18619	14119
39.571260	28.670383	3320.887409	18620	14120
40.451430	79.876883	1430.119295	18621	14121
40.597471	52.568933	998.272561	18622	14122
40.876279	58.819178	732.987727	18623	14123
40.881412	35.981022	1381.515397	18624	14124
40.957364	78.356096	510.842621	18625	14125
41.046938	10.165198	124.016913	18626	14126
41.381367	22.605857	1438.845424	18627	14127
41.485485	59.633833	184.251252	18628	14128
41.843874	90.281557	322.281512	18629	14129
42.028773	47.499505	1813.781807	18630	14130
42.093136	16.978843	1644.833601	18631	14131
42.147393	51.043420	3088.653149	18632	14132
43.325595	31.766814	44.537018	18633	14133
43.436286	33.494345	570.789874	18634	14134
43.554251	59.104108	240.345018	18635	14135
43.570112	18.893200	3063.395360	18636	14136
44.140726	26.000658	77.748981	18637	14137
44.499888	76.051236	232.435702	18638	14138
44.531786	26.207816	1435.179623	18639	14139
44.613056	83.297752	364.652141	18640	14140
44.646559	67.804320	2104.643117	18641	14141
44.784687	16.602571	47.349966	18642	14142
45.901763	92.495213	2653.792689	18643	14143
46.016261	49.984481	2443.007584	18644	14144
46.387229	98.414038	1182.010583	18645	14145
46.451306	65.402727	1490.351940	18646	14146
46.594473	35.592935	2058.856016	18647	14147
46.886747	16.076409	420.256904	18648	14148
46.981736	63.941777	816.454533	18649	14149
48.738684	31.551616	889.272043	18650	14150
48.816224	29.177777	335.921677	18651	14151
48.920724	38.456173	509.323159	18652	14152
49.250596	58.832162	1847.957580	18653	14153
49.671872	78.564401	2190.275086	18654	14154
49.871706	98.327690	379.198936	18655	14155
50.031390	91.118778	554.393356	18656	14156
50.120845	34.333955	235.693605	18657	14157
50.297589	85.887444	2298.289812	18658	14158
50.334513	84.371201	568.427862	18659	14159
50.474904	73.862324	550.838677	18660	14160
51.769411	11.599438	775.817156	18661	14161
52.169290	57.565896	585.993584	18662	14162
52.704547	22.534343	5.855248	18663	14163
53.814695	92.668472	535.515937	18664	14164
53.937894	13.833036	772.592925	18665	14165
53.948658	32.004629	2303.097626	18666	14166
53.970718	97.282384	1947.903373	18667	14167
54.294076	92.480225	4052.075146	18668	14168
55.132138	24.156303	936.998473	18669	14169
55.712123	44.371735	7.383723	18670	14170
55.735288	46.411902	884.421658	18671	14171
56.024848	55.719374	937.989732	18672	14172
56.972669	75.902768	547.841648	18673	14173
56.996639	44.925798	1552.119730	18674	14174
58.174972	95.491953	40.863313	18675	14175
58.456688	44.450519	904.473754	18676	14176
58.990208	68.571371	90.260590	18677	14177
59.184295	16.041900	1639.983340	18678	14178
59.192437	33.832097	671.081813	18679	14179
59.809079	87.772931	348.212086	18680	14180
60.133238	91.681366	1185.922620	18681	14181
60.696679	96.614770	40.785680	18682	14182
60.787092	73.139174	345.269195	18683	14183
60.872344	10.438192	2352.756091	18684	14184
61.195970	27.297940	218.731177	18685	14185
61.287434	99.996921	831.554060	18686	14186
61.984772	22.540167	722.130657	18687	14187
62.100635	47.094940	484.719843	18688	14188
62.676004	85.486417	984.623325	18689	14189
62.791966	51.121584	1216.482732	18690	14190
63.479978	41.960188	531.464929	18691	14191
64.272923	31.193685	1317.741879	18692	14192
64.322171	87.393847	131.618662	18693	14193
64.652888	21.093104	48.777493	18694	14194
64.665541	91.612473	366.879467	18695	14195
64.895718	66.833333	57.492920	18696	14196
65.396721	46.443903	575.884443	18697	14197
65.591684	57.879557	3316.961334	18698	14198
65.666361	12.379432	1842.878320	18699	14199
65.732691	70.301666	41.907421	18700	14200
65.797017	46.082648	3786.174257	18701	14201
67.077483	37.969246	160.976799	18702	14202
67.563672	56.221775	1848.943735	18703	14203
67.983163	56.720317	4.632862	18704	14204
68.123262	5.340548	889.216201	18705	14205
68.173770	68.852613	255.664470	18706	14206
68.325358	79.025961	59.163063	18707	14207
68.360825	68.571393	298.468527	18708	14208
68.599470	81.150515	122.841624	18709	14209
68.627795	11.971019	736.928469	18710	14210
68.663944	67.843135	1653.031637	18711	14211
69.154284	98.584880	489.188881	18712	14212
69.764912	13.070522	615.881103	18713	14213
69.789262	62.854632	340.609355	18714	14214
69.834198	38.819657	1326.365719	18715	14215
69.965598	33.094057	460.360713	18716	14216
70.036133	39.385608	1469.566815	18717	14217
70.503618	15.250594	340.669148	18718	14218
70.637326	59.893974	293.840453	18719	14219
70.838383	25.192786	5333.435814	18720	14220
70.920322	94.985885	483.011702	18721	14221
70.929686	90.893789	492.039304	18722	14222
71.274519	16.927341	1910.257236	18723	14223
72.609583	48.618160	282.287043	18724	14224
72.765201	51.165898	2309.374880	18725	14225
73.178405	95.002902	343.087079	18726	14226
73.755131	43.809081	2382.463850	18727	14227
73.864433	44.281739	1019.921782	18728	14228
74.010120	37.719316	503.533816	18729	14229
74.035989	73.835518	538.413986	18730	14230
74.120938	20.305198	409.771937	18731	14231
74.493292	11.144225	989.745400	18732	14232
74.592828	92.914449	534.230266	18733	14233
75.488285	97.661471	2011.686205	18734	14234
76.321317	12.499236	699.391605	18735	14235
76.449605	78.660346	700.869884	18736	14236
76.672449	5.575442	221.686461	18737	14237
76.762427	84.317315	3432.174129	18738	14238
76.905260	68.280987	717.014523	18739	14239
77.226801	40.416957	582.757343	18740	14240
77.248212	41.990907	311.841991	18741	14241
77.313582	65.386565	2979.859772	18742	14242
77.446756	14.684182	898.193288	18743	14243
77.663251	62.974191	245.775234	18744	14244
77.898164	43.890998	35.808306	18745	14245
77.980465	36.829080	631.401202	18746	14246
78.068551	60.187391	1364.459677	18747	14247
78.219273	51.993305	550.722266	18748	14248
78.695907	58.556268	544.095662	18749	14249
78.947727	12.965240	718.815660	18750	14250
79.869983	93.710365	447.421998	18751	14251
79.971032	84.440732	207.990959	18752	14252
80.835971	86.521354	2333.848239	18753	14253
80.898197	64.872448	2483.672687	18754	14254
80.930733	94.278036	1693.756142	18755	14255
81.156739	48.776425	565.055941	18756	14256
81.778667	44.363377	177.892011	18757	14257
82.038644	54.388071	1116.118177	18758	14258
82.169578	16.037730	216.956041	18759	14259
82.217379	78.958822	757.393310	18760	14260
82.496111	78.953695	583.878500	18761	14261
82.503545	96.462164	906.547773	18762	14262
82.630177	32.766327	1650.251431	18763	14263
82.757205	72.444243	467.594095	18764	14264
83.234327	9.999437	2582.768007	18765	14265
83.878952	72.249653	219.957365	18766	14266
83.887045	73.905767	300.098908	18767	14267
84.072245	77.057536	941.703895	18768	14268
84.278162	5.811394	1508.086325	18769	14269
84.503655	29.569146	1632.614032	18770	14270
84.514258	63.680615	574.998599	18771	14271
84.802289	6.794817	767.018288	18772	14272
84.974011	83.726484	1150.464274	18773	14273
85.241981	91.398174	26.581381	18774	14274
86.953320	77.503986	54.574547	18775	14275
87.589446	32.822353	2798.160623	18776	14276
87.603301	85.291240	1551.763685	18777	14277
88.112991	85.283878	744.895613	18778	14278
88.406272	45.786819	3187.019732	18779	14279
89.032957	10.184895	1256.535684	18780	14280
89.261886	10.034711	624.859720	18781	14281
89.990421	95.806625	2643.054629	18782	14282
90.366430	49.082065	181.528357	18783	14283
90.420015	7.401160	517.327034	18784	14284
91.002495	64.735681	1457.380531	18785	14285
91.030142	54.031831	1515.252751	18786	14286
91.415343	97.214432	861.867107	18787	14287
91.657270	86.859251	1447.152465	18788	14288
91.962405	42.415181	366.667760	18789	14289
92.068038	67.699754	734.122072	18790	14290
92.100176	36.197682	376.592660	18791	14291
92.117795	31.786481	411.595320	18792	14292
92.525236	88.376034	2946.972269	18793	14293
92.692898	11.616509	172.672951	18794	14294
92.934351	21.437524	389.045639	18795	14295
93.020467	98.150328	1626.913784	18796	14296
93.528204	29.792915	4505.406617	18797	14297
93.615699	77.625281	504.317579	18798	14298
93.860191	19.452262	181.086966	18799	14299
93.866221	56.378031	0.945758	18800	14300
94.068591	35.112014	464.927346	18801	14301
94.218105	43.378474	67.736642	18802	14302
94.659521	96.971877	1461.939411	18803	14303
95.388036	25.050407	1716.157931	18804	14304
95.388644	55.187303	3241.047846	18805	14305
95.448707	42.977847	212.171386	18806	14306
95.800140	30.759898	56.260151	18807	14307
96.736966	27.030352	744.538663	18808	14308
96.996489	22.705771	1770.042545	18809	14309
97.603687	83.958925	898.235809	18810	14310
97.684180	41.847543	1311.154710	18811	14311
97.942889	30.228663	3570.606143	18812	14312
98.071426	33.809037	3397.516389	18813	14313
98.244917	91.537194	2525.289875	18814	14314
98.494336	79.344518	462.033368	18815	14315
99.274685	78.998302	1520.242704	18816	14316
100.705295	82.825420	956.492158	18817	14317
101.233202	22.947797	899.909886	18818	14318
101.527641	25.131082	564.528927	18819	14319
101.838675	95.237384	921.192336	18820	14320
101.896066	88.776655	1811.514361	18821	14321
102.025893	50.795753	2097.973047	18822	14322
102.358202	54.591963	1937.262979	18823	14323
102.481421	60.952196	219.285158	18824	14324
102.505508	94.514467	1061.209454	18825	14325
103.102672	23.001547	2721.899284	18826	14326
103.689998	15.305130	239.066133	18827	14327
103.791528	73.309416	1553.094301	18828	14328
104.117130	7.801512	3397.758290	18829	14329
105.659622	79.523836	209.781820	18830	14330
105.730101	30.270120	1934.571173	18831	14331
105.768756	51.764039	1699.461412	18832	14332
105.947929	46.436895	1084.905575	18833	14333
105.994391	64.743712	1982.759018	18834	14334
106.218994	47.492601	323.745551	18835	14335
107.168973	50.266344	63.661713	18836	14336
107.212294	89.358567	276.030651	18837	14337
107.444345	12.201284	493.260352	18838	14338
107.798568	79.982752	1023.513336	18839	14339
107.800236	10.897343	168.521463	18840	14340
108.003856	38.757156	11.906612	18841	14341
108.250624	37.383141	1687.390043	18842	14342
108.949471	76.167773	162.659619	18843	14343
109.400047	45.127549	727.284125	18844	14344
109.725486	86.312156	2485.563998	18845	14345
109.895963	17.639154	526.743130	18846	14346
109.976358	18.749340	519.291998	18847	14347
110.806187	13.022073	2758.065650	18848	14348
111.013128	89.355448	268.061276	18849	14349
111.151655	69.428559	1547.113535	18850	14350
111.235681	86.488670	1838.839087	18851	14351
111.309809	60.737998	623.548764	18852	14352
111.629682	39.854899	2738.867819	18853	14353
111.645193	49.720361	2387.099091	18854	14354
111.667081	47.859138	1186.396631	18855	14355
111.782524	18.533616	212.421294	18856	14356
111.820934	41.799363	466.365424	18857	14357
112.514463	60.902670	1926.201197	18858	14358
112.836182	6.399413	1540.270539	18859	14359
113.933817	6.323045	3191.454437	18860	14360
114.093810	43.495850	687.904712	18861	14361
114.237062	82.171036	117.834584	18862	14362
114.862832	64.629097	786.890388	18863	14363
115.059135	11.830558	2156.785565	18864	14364
115.637332	67.207944	371.287778	18865	14365
115.935469	15.265109	1383.033319	18866	14366
116.113891	84.229660	15.893705	18867	14367
116.348064	98.493385	565.980536	18868	14368
116.888396	66.536317	4184.745919	18869	14369
117.462220	59.004568	684.594293	18870	14370
118.160750	27.635678	236.637326	18871	14371
118.810589	31.972540	4351.391329	18872	14372
118.810868	81.562022	101.113297	18873	14373
118.890136	30.415272	832.477452	18874	14374
118.899013	6.439843	859.928899	18875	14375
119.249238	66.846406	1744.687298	18876	14376
119.865107	33.312962	52.031740	18877	14377
120.185044	43.474835	72.381483	18878	14378
120.838979	47.998204	2445.810972	18879	14379
121.012915	7.543490	1141.484446	18880	14380
121.457166	45.216391	75.087173	18881	14381
121.602797	41.922462	1105.096588	18882	14382
122.109667	71.867989	364.460405	18883	14383
122.200620	34.264366	430.324138	18884	14384
122.268414	29.230605	726.506008	18885	14385
123.995878	20.579130	2744.144343	18886	14386
124.170046	57.932949	1204.348381	18887	14387
125.728649	93.371220	1262.630547	18888	14388
125.836287	55.684514	978.244014	18889	14389
126.099385	75.848390	848.988457	18890	14390
126.424713	55.729930	459.666682	18891	14391
126.701475	78.810841	2230.990056	18892	14392
127.131897	75.493434	1375.472880	18893	14393
127.839483	90.668696	137.693735	18894	14394
127.975700	50.902544	506.836817	18895	14395
128.252039	61.126086	961.704065	18896	14396
128.270418	64.501686	1830.655095	18897	14397
129.265556	12.806924	4139.000547	18898	14398
129.421280	27.899043	1103.920241	18899	14399
129.452004	84.241478	2218.858841	18900	14400
129.540193	69.244333	1231.808799	18901	14401
129.624478	89.124169	85.555344	18902	14402
129.671253	34.541060	919.028549	18903	14403
129.875191	65.296282	460.287546	18904	14404
130.498728	48.707940	412.173520	18905	14405
130.798815	39.638687	1420.402451	18906	14406
130.903418	75.693902	1141.075921	18907	14407
132.420433	37.004130	1032.644991	18908	14408
132.561279	47.396187	949.385508	18909	14409
132.767652	53.097034	2249.999563	18910	14410
132.846732	99.656743	1638.655973	18911	14411
132.892291	44.720423	3.354161	18912	14412
133.132761	59.657219	550.554782	18913	14413
133.166560	64.719738	1852.396734	18914	14414
133.616774	5.018528	662.035019	18915	14415
134.361577	98.811246	632.169748	18916	14416
134.598656	61.033143	499.535461	18917	14417
134.851178	67.618121	1862.481257	18918	14418
135.260024	17.520711	725.820050	18919	14419
135.290469	7.966757	687.343469	18920	14420
135.384921	6.349065	35.024016	18921	14421
135.915801	92.507024	363.884734	18922	14422
135.925972	75.113753	779.698347	18923	14423
136.040453	73.265682	2139.438989	18924	14424
136.412446	56.762688	2349.500233	18925	14425
136.470431	59.806244	42.534019	18926	14426
136.578987	76.847831	1156.906673	18927	14427
136.761428	77.017831	1593.522779	18928	14428
136.766749	77.204415	2501.037110	18929	14429
136.786964	80.730408	1958.250824	18930	14430
137.012809	89.180034	502.191667	18931	14431
137.038613	19.840558	815.121026	18932	14432
137.586148	41.984144	660.931101	18933	14433
137.593562	78.490351	989.824365	18934	14434
137.717132	42.725277	301.733265	18935	14435
137.932137	51.728191	237.389850	18936	14436
138.016587	76.942877	299.662883	18937	14437
138.155528	99.140580	936.170488	18938	14438
138.410342	50.009109	254.595558	18939	14439
138.956967	61.167685	417.256744	18940	14440
139.200275	60.331902	70.041067	18941	14441
139.501776	49.874924	1210.788906	18942	14442
139.783346	24.766488	6694.852430	18943	14443
140.205586	95.028762	4322.682021	18944	14444
140.352578	33.588222	278.374725	18945	14445
142.467159	51.318733	2797.498268	18946	14446
142.563317	51.113287	345.461795	18947	14447
142.581964	35.183976	543.358736	18948	14448
142.744253	6.691709	746.008624	18949	14449
142.870472	7.267068	433.213610	18950	14450
142.903513	55.182758	736.064864	18951	14451
143.334424	14.622910	424.882716	18952	14452
143.533391	11.493782	505.256173	18953	14453
143.847332	12.664875	58.185517	18954	14454
144.061236	32.448153	344.843941	18955	14455
144.103316	92.194954	2544.082607	18956	14456
144.808782	16.924524	1705.421474	18957	14457
144.932988	15.321824	73.473035	18958	14458
145.338925	40.976724	2261.952108	18959	14459
145.353938	80.449490	629.669117	18960	14460
145.474286	98.631890	412.187499	18961	14461
145.964608	79.548568	895.347522	18962	14462
145.967735	68.358943	398.939666	18963	14463
146.216708	94.889015	217.814246	18964	14464
146.280939	78.584858	393.179664	18965	14465
146.619575	85.955678	1298.904858	18966	14466
146.635184	20.324350	929.491112	18967	14467
147.127348	40.140913	673.565538	18968	14468
147.243894	46.939781	2141.423241	18969	14469
147.780192	69.449527	866.538919	18970	14470
