Inicio(seg) Duracao(seg) Banda(Kbps) PortaCli PortaServ
3 129 1318 3501 5001
21 111 421 3502 5002
10 97 7 3503 5003
14 93 3198 3504 5004
18 61 4771 3505 5005
2 120 1493 3506 5006
8 134 1113 3507 5007
10 57 1836 3508 5008
11 123 3124 3509 5009
5 140 4570 3510 5010
26 81 231 3511 5011
14 73 91 3512 5012
29 129 423 3513 5013
21 95 827 3514 5014
2 109 752 3515 5015
1 79 952 3516 5016
43 79 925 3517 5017
9 99 8388 3518 5018
34 73 1737 3519 5019
13 111 1460 3520 5020
5 86 158 3521 5021
22 79 766 3522 5022
15 87 722 3523 5023
0 74 812 3524 5024
8 99 4019 3525 5025
10 103 1776 3526 5026
0 44 683 3527 5027
4 108 689 3528 5028
5 149 1231 3529 5029
57 142 126 3530 5030
8 88 7211 3531 5031
11 26 731 3532 5032
9 123 134 3533 5033
19 97 2908 3534 5034
12 75 824 3535 5035
10 92 680 3536 5036
6 62 98 3537 5037
2 104 218 3538 5038
20 81 471 3539 5039
20 115 215 3540 5040
3 162 305 3541 5041
0 67 1978 3542 5042
7 98 491 3543 5043
38 41 4878 3544 5044
57 127 28 3545 5045
23 163 1625 3546 5046
18 120 1676 3547 5047
8 95 307 3548 5048
2 70 1106 3549 5049
25 99 1350 3550 5050
8 149 421 3551 5051
0 133 670 3552 5052
12 88 2608 3553 5053
2 75 928 3554 5054
28 99 2915 3555 5055
22 124 1765 3556 5056
2 82 2651 3557 5057
10 91 1171 3558 5058
0 126 366 3559 5059
20 88 3607 3560 5060
6 21 237 3561 5061
18 54 189 3562 5062
24 38 2036 3563 5063
1 108 826 3564 5064
29 106 954 3565 5065
4 108 925 3566 5066
15 106 1353 3567 5067
33 112 457 3568 5068
0 77 48 3569 5069
1 113 389 3570 5070
2 100 1169 3571 5071
7 83 3170 3572 5072
23 118 839 3573 5073
11 59 3556 3574 5074
8 59 905 3575 5075
33 94 1367 3576 5076
7 65 3010 3577 5077
27 42 390 3578 5078
3 69 8599 3579 5079
6 93 1821 3580 5080
5 105 3288 3581 5081
13 125 613 3582 5082
1 94 583 3583 5083
55 99 1172 3584 5084
45 59 91 3585 5085
26 107 3736 3586 5086
2 92 5104 3587 5087
6 103 231 3588 5088
0 67 1940 3589 5089
6 123 1497 3590 5090
0 46 4346 3591 5091
2 41 992 3592 5092
31 111 4025 3593 5093
15 39 1754 3594 5094
3 86 2247 3595 5095
10 81 3102 3596 5096
9 69 164 3597 5097
17 106 1437 3598 5098
0 108 3010 3599 5099
55 57 6315 3600 5100
0 68 808 3601 5101
3 92 3082 3602 5102
4 103 114 3603 5103
80 66 1363 3604 5104
1 85 1757 3605 5105
19 55 650 3606 5106
3 126 1658 3607 5107
32 95 1825 3608 5108
36 159 1343 3609 5109
11 99 1018 3610 5110
41 64 2076 3611 5111
27 79 1811 3612 5112
3 96 18 3613 5113
35 85 270 3614 5114
1 94 174 3615 5115
19 114 2815 3616 5116
2 82 2833 3617 5117
21 69 1474 3618 5118
12 104 1236 3619 5119
17 40 1109 3620 5120
17 118 72 3621 5121
1 114 1238 3622 5122
5 123 2528 3623 5123
0 101 134 3624 5124
4 53 595 3625 5125
2 96 37 3626 5126
4 122 1015 3627 5127
22 76 515 3628 5128
11 126 3664 3629 5129
12 120 1116 3630 5130
5 124 4255 3631 5131
20 108 278 3632 5132
27 134 1073 3633 5133
4 94 1472 3634 5134
36 82 3181 3635 5135
5 52 1639 3636 5136
50 128 1337 3637 5137
39 131 3139 3638 5138
0 95 2397 3639 5139
27 91 649 3640 5140
23 52 232 3641 5141
10 83 1999 3642 5142
11 116 877 3643 5143
27 48 2742 3644 5144
2 90 1980 3645 5145
51 60 3 3646 5146
1 71 625 3647 5147
