Tempo Switch RegrasInstaladas RegrasAceitas VezesBloqueado BytesEnviados
17 HW 2 2 0 0
17 SW 49 49 0 36628200
27 HW 45 45 0 89395488
28 SW 92 93 0 54908280
37 HW 67 100 0 217331856
38 SW 81 136 0 57874824
48 HW 69 133 0 396296712
48 SW 105 189 0 60486048
58 HW 74 164 0 631966104
58 SW 148 252 0 60777864
68 HW 81 190 0 923525064
68 SW 165 311 0 61695648
78 HW 70 209 0 1241153928
78 SW 205 378 0 61763688
88 HW 78 239 0 1584303840
88 SW 225 446 0 61985952
98 HW 62 261 0 1926365112
98 SW 247 519 0 62221824
108 HW 73 299 0 2315336184
108 SW 265 592 0 62400240
118 HW 60 327 0 2693561472
119 SW 285 661 0 62781264
128 HW 70 368 0 2996997192
129 SW 299 751 0 63050400
138 HW 54 399 0 3296866104
139 SW 300 826 0 63124488
148 HW 67 445 0 3597758640
149 SW 248 867 0 63174384
158 HW 53 478 0 3945618432
159 SW 223 906 0 63246960
168 HW 64 525 0 4294963008
169 SW 152 931 0 65439360
178 HW 51 561 0 4539681720
179 SW 124 959 0 121561776
188 HW 59 610 0 4774737240
189 SW 101 986 0 174584592
198 HW 48 652 0 4966505712
199 SW 58 1003 0 987683760
208 HW 69 706 0 5085701208
209 SW 40 1016 0 1309708008
218 HW 37 737 0 5208077952
219 SW 13 1025 0 1309718592
228 HW 23 744 0 5299307496
230 SW 12 1033 0 1309730688
238 HW 15 752 0 5371791264
240 SW 7 1038 0 1309735224
248 HW 6 755 0 5374476576
250 SW 4 1040 0 1309735224
