Tempo Switch RegrasInstaladas RegrasAceitas RegrasBloqueadas BytesEnviados
13 HW 35 35 0 16148160
13 SW 41 41 0 19560744
23 HW 69 69 0 79718688
23 SW 77 77 0 87738336
33 HW 104 108 0 210045528
33 SW 112 120 0 236522160
43 HW 136 152 0 434837592
43 SW 139 163 0 497062440
53 HW 170 200 0 785166480
54 SW 161 209 0 913279752
64 HW 199 253 0 1290018744
64 SW 200 262 0 1502409384
74 HW 199 281 30 1922325048
74 SW 204 303 0 2247674184
84 HW 198 320 72 2657036088
84 SW 233 368 0 3132540432
94 HW 199 350 132 3491198928
94 SW 246 424 0 4186939680
104 HW 194 384 176 4401108432
104 SW 262 482 0 5394605832
114 HW 193 431 188 5293401624
114 SW 262 546 0 6646156272
124 HW 197 476 252 6245110368
124 SW 274 626 0 7918505784
134 HW 182 522 266 7109783856
134 SW 284 702 0 9220067136
144 HW 200 570 284 7999090848
144 SW 278 770 0 10476315360
154 HW 185 599 328 8907876936
155 SW 278 841 0 11634460488
164 HW 195 649 358 9752684256
165 SW 267 909 0 12803584335
174 HW 199 687 410 10676395296
175 SW 284 985 0 13986810606
184 HW 199 722 446 11577108816
185 SW 271 1048 0 15213157518
195 HW 188 778 448 12308963688
195 SW 247 1108 0 16414636566
205 HW 196 828 474 12963165264
205 SW 275 1178 0 17647208382
215 HW 200 870 496 13641179328
215 SW 280 1251 0 18868024398
225 HW 199 918 518 14301782712
225 SW 263 1317 0 19976621286
235 HW 190 947 584 15027055848
235 SW 271 1382 0 21008023014
245 HW 197 979 624 15810941664
245 SW 284 1457 0 22127346030
255 HW 200 1016 668 16658511408
256 SW 292 1525 0 23258243406
265 HW 197 1044 726 17535199248
266 SW 298 1595 0 24420543510
275 HW 197 1084 776 18424733040
276 SW 308 1672 0 25621951494
285 HW 192 1117 844 19277110944
286 SW 291 1744 0 26745547422
295 HW 196 1166 870 20194565328
296 SW 285 1826 0 27817316526
305 HW 177 1215 870 20980746360
306 SW 254 1883 0 28854551550
316 HW 196 1267 870 21743370432
316 SW 254 1947 0 29835791166
326 HW 200 1321 872 22523075568
326 SW 256 2011 0 30662602662
336 HW 191 1368 898 23270378544
336 SW 254 2081 0 31495561950
346 HW 197 1414 926 24033451680
346 SW 241 2140 0 32383505118
356 HW 197 1465 932 24848965512
357 SW 264 2212 0 33313530270
366 HW 198 1498 992 25663225896
367 SW 286 2290 0 34242657294
376 HW 199 1540 1046 26581268448
377 SW 281 2362 0 35218417422
386 HW 187 1561 1072 27514870992
387 SW 267 2412 0 36171547446
396 HW 173 1587 1072 28387607976
397 SW 218 2443 0 37068054582
406 HW 130 1608 1072 29166318216
407 SW 178 2475 0 37804068966
416 HW 124 1636 1072 29838072600
417 SW 130 2493 0 38411162670
426 HW 82 1646 1072 30315498696
427 SW 116 2517 0 39010767438
436 HW 55 1659 1072 30657440520
437 SW 85 2532 0 39508965390
446 HW 44 1670 1072 30937290552
447 SW 68 2549 0 39894121686
456 HW 25 1675 1072 31102514352
457 SW 39 2556 0 40148970798
466 HW 14 1678 1072 31131647568
467 SW 30 2565 0 40304629686
477 HW 4 1678 1072 31134514320
477 SW 12 2569 0 40321598862
487 HW 2 1678 1072 31134514320
487 SW 6 2569 0 40325221614
