Tempo Switch RegrasInstaladas RegrasAceitas VezesBloqueado BytesEnviados
10 HW 2 2 0 0
10 SW 10 10 0 0
14 HW 2 2 0 0
14 SW 24 24 0 0
18 HW 2 2 0 0
18 SW 41 41 0 21379680
22 HW 37 37 0 8285760
22 SW 54 55 0 21379680
26 HW 37 37 0 32290272
26 SW 71 72 0 21379680
30 HW 37 37 0 69592824
30 SW 81 87 0 77112000
34 HW 81 116 0 84723408
34 SW 82 99 0 77112000
38 HW 80 116 0 122697288
38 SW 57 106 0 77112000
42 HW 79 116 0 182519568
42 SW 73 122 0 126460656
46 HW 94 187 0 238016016
46 SW 74 136 0 126460656
50 HW 93 187 0 324854712
50 SW 61 154 0 126460656
54 HW 91 187 0 440752536
55 SW 74 168 0 166371408
58 HW 125 259 0 559288800
59 SW 82 187 0 166371408
62 HW 121 259 0 714088872
63 SW 75 205 0 166371408
67 HW 116 259 0 901368216
67 SW 97 228 0 207961992
71 HW 153 343 0 1094793840
71 SW 100 251 0 207961992
75 HW 146 343 0 1316587608
75 SW 82 270 0 207961992
79 HW 141 343 0 1567274184
79 SW 99 289 0 216082944
83 HW 154 403 0 1833245568
83 SW 98 314 0 216082944
87 HW 145 403 0 2122045128
87 SW 87 331 0 216082944
91 HW 138 403 0 2427366312
91 SW 99 344 0 231975576
95 HW 152 465 0 2737315728
95 SW 105 373 0 231975576
99 HW 143 465 0 3062861424
99 SW 114 396 0 231975576
103 HW 137 465 0 3414289536
104 SW 128 412 0 242827200
107 HW 152 528 0 3778013232
108 SW 112 433 0 242827200
111 HW 143 528 0 4154088456
112 SW 102 450 0 242827200
115 HW 139 528 0 4551865416
116 SW 125 479 0 257597928
119 HW 185 589 0 4938972192
120 SW 121 510 0 257597928
123 HW 143 589 0 5327769384
124 SW 135 530 0 257597928
128 HW 136 589 0 5717047392
128 SW 155 553 0 266547456
132 HW 172 653 0 6058104696
132 SW 131 568 0 266547456
136 HW 130 653 0 6384296016
136 SW 127 590 0 266547456
140 HW 124 653 0 6685439544
140 SW 147 611 0 307522656
144 HW 177 730 0 6972604632
144 SW 138 638 0 307522656
148 HW 140 730 0 7205463216
148 SW 151 665 0 307522656
152 HW 130 730 0 7414273440
