Inicio(seg)	Duracao(seg)	Banda(Kbps)	PCli	PServ
0.251040	78.275461	21.473584	18501	14001
0.314698	76.136369	706.729630	18502	14002
0.361013	23.815972	1463.634028	18503	14003
1.127516	13.392282	1184.077387	18504	14004
1.546171	5.375085	735.061948	18505	14005
1.632455	63.189976	1309.956505	18506	14006
1.827974	92.188542	1283.869416	18507	14007
2.108291	18.506155	478.568820	18508	14008
2.348722	46.974152	582.846386	18509	14009
2.578445	53.748133	1076.180556	18510	14010
3.176706	81.496204	755.104403	18511	14011
3.266125	35.327428	97.091160	18512	14012
3.278133	15.828514	1806.571385	18513	14013
3.705844	64.497279	812.193724	18514	14014
3.814176	23.900016	1990.517105	18515	14015
4.352581	76.691531	359.344671	18516	14016
4.477194	35.923606	184.670816	18517	14017
4.518162	13.878736	1762.262953	18518	14018
5.616191	41.490873	2956.359716	18519	14019
5.688570	48.348932	1791.391978	18520	14020
5.879762	61.750307	2387.262846	18521	14021
5.990235	61.069129	41.035894	18522	14022
6.090623	12.563244	373.253535	18523	14023
6.230930	78.513878	41.758213	18524	14024
6.337225	34.918053	1036.238455	18525	14025
6.697403	9.094249	2170.426273	18526	14026
6.929986	88.419181	553.412394	18527	14027
7.006012	53.779330	932.758451	18528	14028
7.096277	33.582774	26.345395	18529	14029
7.304671	27.997208	835.063324	18530	14030
7.321273	50.137564	354.753440	18531	14031
7.492096	97.987819	425.034630	18532	14032
7.587877	97.822669	595.150112	18533	14033
8.068801	54.380714	883.787070	18534	14034
8.449558	11.469241	639.602608	18535	14035
8.459008	73.267267	903.109016	18536	14036
8.548080	38.312357	848.136733	18537	14037
8.591429	53.671745	1146.085411	18538	14038
8.620019	9.795379	422.104725	18539	14039
8.733695	21.995767	2222.122270	18540	14040
8.761954	25.783088	1429.841125	18541	14041
8.989938	75.737308	649.700606	18542	14042
9.248899	19.023918	208.264805	18543	14043
9.444343	9.619661	292.693803	18544	14044
10.082852	26.543468	491.842627	18545	14045
10.273461	92.908903	856.514741	18546	14046
10.486221	6.411702	3903.635805	18547	14047
11.010796	80.216915	844.314917	18548	14048
11.050994	60.498604	1263.530070	18549	14049
11.078621	45.702820	1212.222445	18550	14050
11.255422	46.762498	186.126632	18551	14051
11.657867	82.808407	96.694249	18552	14052
11.713060	58.687004	911.368639	18553	14053
11.722630	46.431234	359.260396	18554	14054
12.064120	7.915060	617.982414	18555	14055
12.110123	57.943064	497.989369	18556	14056
12.491759	84.634825	935.857183	18557	14057
12.871499	85.608372	946.411112	18558	14058
13.218538	63.495003	21.905803	18559	14059
13.398473	21.724003	628.160971	18560	14060
13.446510	50.981985	1905.024386	18561	14061
13.785863	6.390313	1934.248165	18562	14062
13.816894	48.386266	552.339301	18563	14063
14.131441	37.174518	101.830303	18564	14064
14.344639	12.323113	236.143793	18565	14065
14.751499	32.913998	1091.911254	18566	14066
15.171083	38.365283	100.452842	18567	14067
15.670741	79.562338	511.915204	18568	14068
