Inicio(seg) Duracao(seg) Banda(Kbps) PortaCli PortaServ
55 102 40 8501 4001
14 99 1318 8502 4002
10 33 2730 8503 4003
168 20 2208 8504 4004
92 10 1371 8505 4005
18 83 2443 8506 4006
43 120 2394 8507 4007
61 27 892 8508 4008
52 63 1087 8509 4009
50 71 2007 8510 4010
131 106 1408 8511 4011
19 48 181 8512 4012
2 23 3369 8513 4013
94 85 1514 8514 4014
23 33 3712 8515 4015
118 100 670 8516 4016
27 49 344 8517 4017
9 21 3287 8518 4018
241 56 5514 8519 4019
15 64 3341 8520 4020
42 81 4452 8521 4021
24 80 76 8522 4022
22 19 696 8523 4023
30 102 77 8524 4024
23 47 1932 8525 4025
79 15 4048 8526 4026
51 115 1032 8527 4027
16 71 1739 8528 4028
19 46 49 8529 4029
45 39 1557 8530 4030
3 67 661 8531 4031
37 127 792 8532 4032
21 127 1110 8533 4033
105 72 1648 8534 4034
83 18 1193 8535 4035
2 96 1684 8536 4036
19 52 1581 8537 4037
9 71 2137 8538 4038
6 16 787 8539 4039
25 31 4144 8540 4040
6 36 2666 8541 4041
50 99 1211 8542 4042
56 27 388 8543 4043
42 15 545 8544 4044
140 37 917 8545 4045
41 121 1597 8546 4046
46 11 7281 8547 4047
115 105 1574 8548 4048
8 80 2356 8549 4049
6 61 2261 8550 4050
38 62 347 8551 4051
88 108 180 8552 4052
12 77 1699 8553 4053
2 62 670 8554 4054
75 13 1152 8555 4055
10 76 928 8556 4056
83 110 1745 8557 4057
83 111 1765 8558 4058
76 83 40 8559 4059
39 31 1171 8560 4060
10 68 3553 8561 4061
74 11 3607 8562 4062
6 64 1030 8563 4063
69 50 189 8564 4064
46 19 440 8565 4065
89 45 2036 8566 4066
92 52 187 8567 4067
109 104 954 8568 4068
97 56 568 8569 4069
56 98 1353 8570 4070
185 35 4317 8571 4071
20 48 3832 8572 4072
11 13 96 8573 4073
134 18 568 8574 4074
91 64 266 8575 4075
106 58 47 8576 4076
24 42 2358 8577 4077
42 105 3556 8578 4078
26 77 249 8579 4079
122 61 1367 8580 4080
86 46 964 8581 4081
100 59 390 8582 4082
247 78 118 8583 4083
25 37 1821 8584 4084
94 106 1886 8585 4085
50 44 613 8586 4086
16 122 2346 8587 4087
202 24 1172 8588 4088
2 91 410 8589 4089
96 124 3736 8590 4090
146 125 1745 8591 4091
25 27 231 8592 4092
55 101 739 8593 4093
22 11 1497 8594 4094
26 117 5396 8595 4095
3 57 4346 8596 4096
5 58 266 8597 4097
48 104 693 8598 4098
50 115 4062 8599 4099
19 87 111 8600 4100
89 93 400 8601 4101
10 71 2704 8602 4102
41 19 1256 8603 4103
61 93 437 8604 4104
181 105 81 8605 4105
3 127 1527 8606 4106
88 51 39 8607 4107
66 34 295 8608 4108
39 16 566 8609 4109
32 129 302 8610 4110
18 82 195 8611 4111
100 96 1528 8612 4112
52 79 389 8613 4113
54 116 1389 8614 4114
29 70 4592 8615 4115
7 74 801 8616 4116
52 89 5240 8617 4117
128 111 469 8618 4118
7 11 488 8619 4119
47 118 4604 8620 4120
81 20 237 8621 4121
24 97 174 8622 4122
42 102 269 8623 4123
45 100 607 8624 4124
31 67 1553 8625 4125
77 93 2419 8626 4126
35 14 2169 8627 4127
100 22 1819 8628 4128
3 98 741 8629 4129
9 14 1564 8630 4130
1 42 513 8631 4131
220 28 65 8632 4132
29 53 3334 8633 4133
81 40 515 8634 4134
105 90 2340 8635 4135
44 72 1116 8636 4136
122 88 2967 8637 4137
76 47 278 8638 4138
30 73 2933 8639 4139
15 110 1472 8640 4140
10 17 184 8641 4141
132 62 3181 8642 4142
58 79 657 8643 4143
185 86 1337 8644 4144
52 106 5039 8645 4145
0 127 2397 8646 4146
32 44 3517 8647 4147
87 30 232 8648 4148
18 87 1330 8649 4149
42 86 877 8650 4150
6 101 3498 8651 4151
9 71 1980 8652 4152
90 10 6518 8653 4153
7 42 625 8654 4154
135 67 5143 8655 4155
193 39 959 8656 4156
80 43 5306 8657 4157
8 116 3911 8658 4158
100 104 4582 8659 4159
24 95 701 8660 4160
11 38 179 8661 4161
64 83 5136 8662 4162
41 77 584 8663 4163
11 106 667 8664 4164
2 12 2597 8665 4165
0 62 3408 8666 4166
1 71 1247 8667 4167
3 11 770 8668 4168
29 81 4146 8669 4169
4 14 161 8670 4170
0 107 3080 8671 4171
28 113 4626 8672 4172
52 44 3536 8673 4173
101 26 496 8674 4174
91 111 474 8675 4175
40 74 1800 8676 4176
1 86 9 8677 4177
65 92 359 8678 4178
48 44 108 8679 4179
187 45 744 8680 4180
6 33 815 8681 4181
38 58 186 8682 4182
5 99 10 8683 4183
233 16 4119 8684 4184
148 72 422 8685 4185
39 88 2997 8686 4186
6 104 778 8687 4187
4 118 8 8688 4188
19 25 5443 8689 4189
5 35 563 8690 4190
57 58 2508 8691 4191
37 40 492 8692 4192
77 113 1920 8693 4193
70 62 976 8694 4194
4 54 1536 8695 4195
74 81 629 8696 4196
14 45 2706 8697 4197
19 10 287 8698 4198
12 33 1520 8699 4199
56 103 1266 8700 4200
69 30 4939 8701 4201
11 28 2456 8702 4202
178 109 418 8703 4203
13 75 481 8704 4204
19 85 1916 8705 4205
92 107 1037 8706 4206
113 41 7830 8707 4207
1 63 780 8708 4208
11 128 2181 8709 4209
59 15 25 8710 4210
20 22 708 8711 4211
208 24 5608 8712 4212
3 118 3037 8713 4213
9 96 1162 8714 4214
77 87 56 8715 4215
21 116 19 8716 4216
1 109 228 8717 4217
15 107 546 8718 4218
30 28 617 8719 4219
23 41 873 8720 4220
20 49 690 8721 4221
187 42 4403 8722 4222
57 117 892 8723 4223
89 47 3171 8724 4224
91 105 225 8725 4225
21 103 4132 8726 4226
61 22 335 8727 4227
90 95 517 8728 4228
320 120 7973 8729 4229
4 71 2300 8730 4230
24 118 3208 8731 4231
0 127 931 8732 4232
32 12 1500 8733 4233
29 13 877 8734 4234
9 58 11945 8735 4235
190 62 601 8736 4236
57 80 2326 8737 4237
16 100 4136 8738 4238
14 37 1762 8739 4239
15 97 2083 8740 4240
25 32 716 8741 4241
21 80 2719 8742 4242
17 70 1674 8743 4243
57 95 1167 8744 4244
69 70 1078 8745 4245
47 11 159 8746 4246
50 107 1574 8747 4247
12 36 4813 8748 4248
13 92 898 8749 4249
81 108 232 8750 4250
43 67 5710 8751 4251
57 72 3950 8752 4252
8 49 20 8753 4253
60 102 3419 8754 4254
68 79 4566 8755 4255
56 67 2347 8756 4256
75 12 3103 8757 4257
14 56 1685 8758 4258
12 128 1697 8759 4259
23 128 3663 8760 4260
45 88 5164 8761 4261
289 84 1208 8762 4262
32 122 54 8763 4263
19 50 323 8764 4264
20 96 1274 8765 4265
17 120 2272 8766 4266
67 105 12605 8767 4267
41 66 3031 8768 4268
157 78 6471 8769 4269
37 80 498 8770 4270
50 62 767 8771 4271
192 21 234 8772 4272
241 124 913 8773 4273
22 96 4927 8774 4274
101 111 1773 8775 4275
30 20 824 8776 4276
0 106 529 8777 4277
9 56 4862 8778 4278
15 99 5628 8779 4279
19 28 802 8780 4280
44 42 1228 8781 4281
8 10 3541 8782 4282
79 101 164 8783 4283
78 53 528 8784 4284
127 16 1137 8785 4285
97 118 1208 8786 4286
24 90 579 8787 4287
173 121 4083 8788 4288
7 36 312 8789 4289
160 67 568 8790 4290
306 68 2437 8791 4291
0 62 41 8792 4292
6 66 1940 8793 4293
68 36 2536 8794 4294
100 125 2510 8795 4295
68 81 2188 8796 4296
27 31 918 8797 4297
30 56 396 8798 4298
3 98 8818 8799 4299
35 112 2933 8800 4300
27 45 1261 8801 4301
5 117 627 8802 4302
14 70 373 8803 4303
124 93 4134 8804 4304
91 106 2954 8805 4305
11 48 1852 8806 4306
16 112 6047 8807 4307
136 18 2496 8808 4308
31 111 25 8809 4309
8 57 1045 8810 4310
52 101 2252 8811 4311
21 121 2400 8812 4312
9 107 5611 8813 4313
24 73 2886 8814 4314
44 54 2307 8815 4315
56 84 438 8816 4316
19 69 2043 8817 4317
6 26 3461 8818 4318
29 23 1173 8819 4319
21 123 1014 8820 4320
73 48 547 8821 4321
3 13 1996 8822 4322
78 38 181 8823 4323
35 35 2179 8824 4324
36 121 328 8825 4325
4 20 370 8826 4326
17 51 2158 8827 4327
19 47 106 8828 4328
192 112 1602 8829 4329
9 93 271 8830 4330
1 56 362 8831 4331
39 37 981 8832 4332
64 35 344 8833 4333
91 21 817 8834 4334
12 65 1879 8835 4335
25 21 7086 8836 4336
268 79 539 8837 4337
117 77 1389 8838 4338
21 11 2502 8839 4339
31 88 3332 8840 4340
22 28 1239 8841 4341
13 38 1788 8842 4342
24 68 1121 8843 4343
25 53 460 8844 4344
95 28 2358 8845 4345
158 44 2334 8846 4346
58 26 1292 8847 4347
28 72 266 8848 4348
6 59 1076 8849 4349
116 40 1216 8850 4350
0 103 3035 8851 4351
139 112 418 8852 4352
29 23 200 8853 4353
100 109 2051 8854 4354
13 45 657 8855 4355
7 114 9353 8856 4356
87 72 840 8857 4357
104 116 3795 8858 4358
3 61 2724 8859 4359
17 39 1729 8860 4360
151 122 1815 8861 4361
151 123 1753 8862 4362
3 63 78 8863 4363
123 51 424 8864 4364
238 25 1388 8865 4365
29 128 327 8866 4366
58 92 842 8867 4367
16 30 1267 8868 4368
65 112 114 8869 4369
9 101 269 8870 4370
220 108 4318 8871 4371
15 99 2824 8872 4372
8 111 35 8873 4373
31 53 948 8874 4374
32 111 2369 8875 4375
17 98 226 8876 4376
47 96 5175 8877 4377
135 39 2202 8878 4378
8 46 1232 8879 4379
1 111 1603 8880 4380
57 33 5367 8881 4381
0 13 4270 8882 4382
2 11 7 8883 4383
22 56 718 8884 4384
98 63 7743 8885 4385
36 107 2290 8886 4386
14 77 68 8887 4387
13 25 2220 8888 4388
137 109 516 8889 4389
115 128 1295 8890 4390
71 33 172 8891 4391
81 22 3205 8892 4392
55 16 289 8893 4393
24 55 638 8894 4394
154 44 4135 8895 4395
73 96 1403 8896 4396
7 113 139 8897 4397
113 23 501 8898 4398
77 104 595 8899 4399
48 125 2508 8900 4400
189 91 254 8901 4401
49 20 695 8902 4402
4 83 444 8903 4403
73 88 592 8904 4404
123 72 434 8905 4405
51 76 4412 8906 4406
67 96 562 8907 4407
0 44 1247 8908 4408
13 52 86 8909 4409
172 62 289 8910 4410
131 42 414 8911 4411
12 94 3854 8912 4412
315 38 4090 8913 4413
26 125 1330 8914 4414
14 58 2700 8915 4415
33 103 1954 8916 4416
147 22 1209 8917 4417
100 121 1712 8918 4418
49 46 1482 8919 4419
6 12 386 8920 4420
209 121 75 8921 4421
31 38 245 8922 4422
112 103 1090 8923 4423
83 42 1226 8924 4424
58 111 1171 8925 4425
12 102 1894 8926 4426
29 111 3479 8927 4427
47 89 1064 8928 4428
