Inicio(seg)	Duracao(seg)	Banda(Kbps)	PCli	PServ
0.150624	78.275461	20.970297	18501	14001
0.188819	76.136369	690.165654	18502	14002
0.216608	23.815972	1429.330105	18503	14003
0.676509	13.392282	1156.325574	18504	14004
0.927703	5.375085	717.833933	18505	14005
0.979473	63.189976	1279.254399	18506	14006
1.096784	92.188542	1253.778726	18507	14007
1.264974	18.506155	467.352363	18508	14008
1.409233	46.974152	569.185924	18509	14009
1.547067	53.748133	1050.957574	18510	14010
1.906024	81.496204	737.406644	18511	14011
1.959675	35.327428	94.815586	18512	14012
1.966880	15.828514	1764.229868	18513	14013
2.223506	64.497279	793.157934	18514	14014
2.288506	23.900016	1943.864360	18515	14015
2.611548	76.691531	350.922531	18516	14016
2.686316	35.923606	180.342593	18517	14017
2.710897	13.878736	1720.959915	18518	14018
3.369715	41.490873	2887.070035	18519	14019
3.413142	48.348932	1749.406228	18520	14020
3.527857	61.750307	2331.311373	18521	14021
3.594141	61.069129	40.074115	18522	14022
3.654374	12.563244	364.505405	18523	14023
3.738558	78.513878	40.779504	18524	14024
3.802335	34.918053	1011.951617	18525	14025
4.018442	9.094249	2119.556907	18526	14026
4.157992	88.419181	540.441791	18527	14027
4.203607	53.779330	910.896925	18528	14028
4.257766	33.582774	25.727925	18529	14029
4.382802	27.997208	815.491528	18530	14030
4.392764	50.137564	346.438906	18531	14031
4.495258	97.987819	415.072881	18532	14032
4.552726	97.822669	581.201281	18533	14033
4.841281	54.380714	863.073311	18534	14034
5.069735	11.469241	624.611922	18535	14035
5.075405	73.267267	881.942398	18536	14036
5.128848	38.312357	828.258528	18537	14037
5.154857	53.671745	1119.224035	18538	14038
5.172011	9.795379	412.211645	18539	14039
5.240217	21.995767	2170.041279	18540	14040
5.257172	25.783088	1396.329223	18541	14041
5.393963	75.737308	634.473248	18542	14042
5.549339	19.023918	203.383599	18543	14043
5.666606	9.619661	285.833792	18544	14044
6.049711	26.543468	480.315066	18545	14045
6.164076	92.908903	836.440176	18546	14046
6.291732	6.411702	3812.144341	18547	14047
6.606477	80.216915	824.526286	18548	14048
6.630597	60.498604	1233.916084	18549	14049
6.647173	45.702820	1183.810981	18550	14050
6.753253	46.762498	181.764289	18551	14051
6.994720	82.808407	94.427977	18552	14052
7.027836	58.687004	890.008436	18553	14053
7.033578	46.431234	350.840231	18554	14054
7.238472	7.915060	603.498451	18555	14055
7.266074	57.943064	486.317743	18556	14056
7.495055	84.634825	913.923031	18557	14057
7.722899	85.608372	924.229601	18558	14058
7.931123	63.495003	21.392385	18559	14059
8.039084	21.724003	613.438448	18560	14060
8.067906	50.981985	1860.375377	18561	14061
8.271518	6.390313	1888.914223	18562	14062
8.290137	48.386266	539.393849	18563	14063
8.478865	37.174518	99.443656	18564	14064
8.606783	12.323113	230.609173	18565	14065
8.850899	32.913998	1066.319584	18566	14066
9.102650	38.365283	98.098478	18567	14067
9.402445	79.562338	499.917192	18568	14068
9.667711	41.482923	297.466972	18569	14069
9.822773	74.956357	708.465729	18570	14070
10.329745	25.252724	2260.569718	18571	14071
10.385466	35.115148	2006.582370	18572	14072
10.416083	7.400075	50.446451	18573	14073
10.783366	11.558167	297.699309	18574	14074
11.032390	48.495704	139.505533	18575	14075
11.323950	43.329635	24.736075	18576	14076
11.389905	31.058008	1234.796216	18577	14077
11.505782	80.459361	1861.874220	18578	14078
11.576917	58.113219	130.689699	18579	14079
11.910432	45.730996	715.819560	18580	14080
12.146885	33.520008	504.912936	18581	14081
12.422005	44.166227	204.404664	18582	14082
13.097356	59.080783	61.928815	18583	14083
13.166192	26.734322	953.737473	18584	14084
13.424429	81.263714	987.684302	18585	14085
13.562267	32.384048	321.301087	18586	14086
13.608125	94.158849	1228.594476	18587	14087
14.160336	16.621913	613.826387	18588	14088
14.167516	69.654566	214.746074	18589	14089
14.431470	95.501174	1956.509230	18590	14090
14.832335	96.570550	913.635383	18591	14091
14.902124	18.943037	120.993531	18592	14092
15.054555	77.823212	387.343351	18593	14093
15.116373	5.876005	784.089996	18594	14094
15.189079	90.312309	2825.264673	18595	14095
15.198173	42.631190	2275.747902	18596	14096
15.211820	43.511032	139.463859	18597	14097
