Tempo Switch RegrasInstaladas RegrasAceitas RegrasBloqueadas BytesEnviados
17 SW 17 52 0 8441679
17 HW 10 24 0 6799464
27 SW 27 92 0 49811511
27 HW 25 90 0 43215984
37 SW 42 135 0 148402983
37 HW 39 127 0 125595792
47 SW 53 161 0 293190774
47 HW 39 160 0 251041896
57 SW 46 193 0 465217062
57 HW 46 192 0 436208976
67 SW 55 243 0 693947886
67 HW 53 234 0 678597696
77 SW 60 293 0 948357006
77 HW 68 285 0 1000839672
87 SW 72 370 0 1264977366
87 HW 74 325 12 1347387048
97 SW 71 457 0 1625104014
97 HW 69 375 42 1661356872
107 SW 75 509 0 2047481397
107 HW 73 408 42 2034456480
117 HW 71 455 42 2427605208
117 SW 79 563 0 2600562108
127 HW 77 490 78 2904553512
127 SW 86 634 0 3254698668
137 HW 68 537 170 3373303752
137 SW 92 724 0 3931223412
147 HW 67 564 170 3859691472
147 SW 88 758 0 4731472092
157 HW 67 612 210 4382716464
157 SW 89 818 0 5530877076
167 HW 66 660 246 4871976984
167 SW 78 908 0 6221322804
177 HW 63 699 246 5284214712
177 SW 81 953 0 7002143796
187 HW 66 742 246 5737379256
187 SW 88 998 0 7741755228
197 HW 74 773 246 6231443400
197 SW 89 1017 0 8574673692
207 HW 70 823 272 6663093696
207 SW 93 1115 0 9489624204
218 HW 70 866 272 7105754376
218 SW 87 1145 0 10418252268
228 HW 58 897 272 7493853024
228 SW 82 1178 0 11293419036
238 HW 61 940 272 7894545120
238 SW 77 1228 0 11952493971
248 HW 62 991 340 8337978432
248 SW 85 1292 0 12618102258
258 HW 64 1019 340 8834925960
258 SW 79 1377 0 13212415026
268 HW 70 1067 352 9359744184
268 SW 77 1436 0 13658839074
278 HW 68 1079 352 9925135416
278 SW 70 1445 0 14137981290
288 HW 58 1087 352 10496031840
288 SW 59 1456 0 14611532130
298 HW 35 1090 352 10865566152
298 SW 61 1468 0 15030702378
308 HW 34 1096 352 11186491176
308 SW 40 1477 0 15326593218
318 HW 27 1098 352 11477372760
318 SW 25 1482 0 15532379442
328 HW 19 1102 352 11633532120
328 SW 25 1488 0 15697335618
338 HW 14 1105 352 11757002040
338 SW 18 1491 0 15787868130
348 SW 10 1493 0 15842158002
348 HW 14 1107 352 11859420384
358 SW 8 1497 0 15865072362
358 HW 9 1110 352 11933124336
368 SW 4 1497 0 15865072362
368 HW 8 1111 352 11991557088
378 SW 2 1497 0 15865072362
378 HW 2 1111 352 11991557088
