Tempo Switch RegrasInstaladas RegrasAceitas RegrasBloqueadas BytesEnviados
9 SW 7 7 0 793800
9 HW 6 6 0 577584
13 SW 15 15 0 5186160
13 HW 11 11 0 4342464
17 SW 24 24 0 16476264
17 HW 19 19 0 13933080
22 SW 31 31 0 38066112
22 HW 27 27 0 33880896
26 SW 40 40 0 74741430
26 HW 35 35 0 65330496
30 SW 42 48 0 125162422
30 HW 42 42 0 109477872
34 SW 49 55 0 189446942
34 HW 47 47 0 166699512
38 SW 53 59 0 266553304
38 HW 48 50 0 235757088
42 HW 51 57 0 315403200
42 SW 60 68 0 354547578
46 HW 54 65 0 409877496
46 SW 58 74 0 453525020
50 HW 62 74 0 521426808
50 SW 64 85 0 566533822
54 HW 68 80 0 655194960
54 SW 65 93 0 692250574
58 HW 71 86 0 804710592
58 SW 77 106 0 839619166
62 HW 73 95 0 970961040
62 SW 82 113 0 1003072414
66 HW 83 107 0 1161852552
66 SW 82 123 0 1188395230
70 HW 92 117 0 1377165888
70 SW 93 135 0 1404892462
74 HW 104 130 0 1618370712
74 SW 86 143 0 1618323358
78 HW 106 140 0 1867746384
78 SW 93 152 0 1864617574
82 HW 108 152 0 2123847432
82 SW 95 164 0 2139019870
86 SW 95 172 0 2446155454
86 HW 108 162 0 2391569712
90 SW 96 177 0 2788138102
90 HW 102 168 0 2663900568
94 SW 108 193 0 3141599854
94 HW 110 183 0 2961586152
98 SW 108 203 0 3525292534
99 HW 106 192 0 3277040760
103 HW 107 199 0 3611416536
103 SW 116 217 0 3954405694
107 HW 111 211 0 3971387448
107 SW 118 225 0 4425165382
111 HW 110 218 0 4362428448
111 SW 112 234 0 4904239558
115 HW 113 233 0 4768888824
115 SW 115 246 0 5412511966
119 HW 119 245 0 5202618120
119 SW 115 262 0 5929513150
123 HW 121 257 0 5649713496
123 SW 122 273 0 6489282766
127 HW 124 269 0 6118985376
127 SW 121 282 0 7062864502
131 HW 115 277 0 6559754544
131 SW 120 293 0 7645330750
135 HW 116 286 0 7028662092
135 SW 111 304 0 8214464182
139 HW 123 301 0 7511566224
139 SW 117 313 0 8802379678
143 HW 121 315 0 8008866108
143 SW 120 327 0 9422192326
147 HW 126 324 0 8516922360
147 SW 120 339 0 9997651966
151 HW 124 333 0 9033652896
151 SW 121 352 0 10574194198
155 HW 116 345 0 9545903376
155 SW 125 362 0 11162578414
159 HW 116 355 0 10022890992
159 SW 121 368 0 11751082078
163 SW 105 378 0 12300621502
164 HW 118 369 0 10496880312
168 SW 114 393 0 12877503934
168 HW 121 384 0 10956433056
172 SW 116 405 0 13471899862
172 HW 118 395 0 11377534128
176 SW 121 418 0 14070408430
176 HW 112 404 0 11802693408
180 SW 120 431 0 14652939694
180 HW 103 413 0 12235070976
184 SW 119 442 0 15260913382
184 HW 95 420 0 12640220448
188 SW 122 455 0 15866322718
188 HW 107 436 0 13063148016
192 SW 120 467 0 16487252734
192 HW 107 447 0 13504466040
196 HW 115 458 0 13958687472
196 SW 124 485 0 16970238454
200 HW 115 468 0 14447633496
200 SW 123 494 0 17454854110
204 HW 119 482 0 14940054096
204 SW 126 505 0 17970728854
208 HW 119 490 0 15452743056
208 SW 116 514 0 18438532582
212 HW 117 502 0 15956889216
212 SW 116 528 0 18915880054
216 HW 117 516 0 16466120232
216 SW 115 538 0 19371132670
220 HW 120 529 0 16985643432
220 SW 119 550 0 19833216502
224 HW 120 537 0 17537552160
224 SW 120 563 0 20280260470
228 HW 127 550 0 18093892560
228 SW 129 579 0 20753929246
232 HW 115 556 0 18644706600
232 SW 125 586 0 21220784950
237 HW 108 564 0 19149655632
237 SW 121 595 0 21705721150
241 HW 104 571 0 19643819568
241 SW 112 601 0 22179376318
245 HW 105 587 0 20092121520
245 SW 100 613 0 22622387782
249 HW 100 595 0 20530365648
