Tempo Switch RegrasInstaladas RegrasAceitas VezesBloqueado BytesEnviados
6 HW 2 2 0 0
6 SW 24 25 0 0
10 HW 2 2 0 0
10 SW 64 64 0 0
14 HW 2 2 0 0
15 SW 85 86 0 56287224
18 HW 81 81 0 16730280
19 SW 111 114 0 56287224
23 HW 81 81 0 63122976
23 SW 146 149 0 56287224
27 HW 81 81 0 137752272
27 SW 171 177 0 94646664
31 HW 136 200 0 195562080
31 SW 185 212 0 94646664
35 HW 128 200 0 286301736
35 SW 149 248 0 94646664
39 HW 125 200 0 407963304
39 SW 185 285 0 102223296
43 HW 147 276 0 554763384
43 SW 198 323 0 102223296
47 HW 144 276 0 731590272
47 SW 185 355 0 102223296
51 HW 137 276 0 935686080
52 SW 225 400 0 104764968
55 HW 184 339 0 1167696432
56 SW 227 436 0 104764968
59 HW 154 339 0 1436009904
60 SW 252 480 0 104764968
63 HW 147 339 0 1731280824
64 SW 293 525 0 105162624
67 HW 193 396 0 2040070536
68 SW 268 557 0 105162624
71 HW 157 396 0 2365424208
72 SW 282 591 0 105162624
75 HW 145 396 0 2699544456
76 SW 323 643 0 105830928
79 HW 190 452 0 3040146648
80 SW 317 689 0 105830928
84 HW 140 452 0 3401169912
85 SW 352 736 0 105830928
88 HW 134 452 0 3755112480
89 SW 389 781 0 106967952
92 HW 191 519 0 4135944456
93 SW 378 843 0 106967952
96 HW 144 519 0 4528251000
97 SW 420 904 0 106967952
100 HW 137 519 0 4894421112
101 SW 445 942 0 107208360
104 HW 197 586 0 5268461184
105 SW 416 989 0 107208360
108 HW 134 586 0 5631359328
110 SW 437 1041 0 107208360
112 HW 122 586 0 5935594896
114 SW 450 1099 0 107602992
116 HW 197 668 0 6243531840
118 SW 437 1182 0 107602992
120 HW 129 668 0 6532700328
122 SW 481 1240 0 107602992
124 HW 117 668 0 6759027072
127 SW 505 1295 0 107722440
128 HW 199 752 0 6999448680
131 SW 451 1352 0 107722440
132 HW 124 752 0 7246107288
135 SW 476 1405 0 107722440
136 HW 120 752 0 7503295464
139 SW 507 1460 0 108505656
140 HW 197 835 0 7753363632
144 SW 462 1521 0 108505656
145 HW 123 835 0 8005860072
148 SW 504 1584 0 108505656
149 HW 117 835 0 8145706464
152 SW 518 1630 0 108696168
153 HW 158 921 0 8279252352
156 SW 460 1684 0 108696168
157 HW 123 921 0 8425750032
161 SW 489 1744 0 108696168
161 HW 121 921 0 8569677312
165 SW 508 1800 0 109146744
165 HW 118 921 0 8713925136
169 SW 478 1868 0 109146744
169 HW 119 1003 0 8872056144
173 HW 117 1003 0 9034664184
173 SW 517 1927 0 109146744
177 HW 114 1003 0 9195330816
177 SW 542 1984 0 109313064
181 HW 123 1089 0 9360534960
182 SW 487 2047 0 109313064
185 HW 116 1089 0 9523912608
186 SW 490 2083 0 109313064
189 HW 114 1089 0 9695733264
190 SW 496 2134 0 109473336
193 HW 112 1177 0 9860929848
194 SW 441 2197 0 109473336
197 HW 111 1177 0 9987452496
198 SW 467 2247 0 109473336
201 HW 111 1177 0 10122886872
203 SW 503 2311 0 109975320
205 HW 200 1266 0 10265825304
207 SW 443 2373 0 109975320
209 HW 115 1266 0 10411102800
211 SW 461 2416 0 109975320
213 HW 114 1266 0 10560414312
215 SW 507 2482 0 110499984
218 HW 199 1353 0 10682744184
219 SW 447 2538 0 110499984
222 HW 110 1353 0 10780676424
224 SW 470 2588 0 110499984
226 HW 109 1353 0 10886026536
228 SW 530 2658 0 111089664
230 HW 197 1445 0 10992041928
232 SW 463 2710 0 111089664
234 HW 117 1445 0 11095665336
236 SW 486 2754 0 111089664
238 HW 117 1445 0 11217050208
240 SW 529 2819 0 111389040
242 HW 195 1528 0 11352489120
245 SW 471 2870 0 111389040
246 HW 114 1528 0 11504115504
249 SW 496 2920 0 111389040
250 HW 114 1528 0 11670700104
253 SW 524 2973 0 111886488
254 HW 196 1615 0 11849107032
257 SW 481 3034 0 111886488
258 HW 120 1615 0 12036192840
261 SW 504 3084 0 111886488
262 HW 118 1615 0 12232279584
266 SW 553 3148 0 112506408
266 HW 194 1699 0 12404042784
270 SW 506 3211 0 112506408
270 HW 118 1699 0 12573690696
274 SW 547 3275 0 112506408
275 HW 117 1699 0 12740479416
278 SW 594 3343 0 112727160
