Inicio(seg)	Duracao(seg)	Banda(Kbps)	PCli	PServ
0.555322	60.872426	2334.699323	18501	14001
0.849539	82.504560	37.426640	18502	14002
1.117740	40.974689	748.412703	18503	14003
1.434740	23.415771	325.518278	18504	14004
1.807926	79.385343	1944.889998	18505	14005
2.155783	8.483109	127.061292	18506	14006
2.643107	27.725731	301.169368	18507	14007
2.692348	95.229007	844.617409	18508	14008
2.941759	78.173934	694.296771	18509	14009
3.114018	84.752303	632.947509	18510	14010
3.192284	69.544056	1077.319801	18511	14011
3.356239	11.395843	1511.402499	18512	14012
3.432744	36.274609	731.810839	18513	14013
3.636545	34.498597	1009.442824	18514	14014
3.711137	35.265058	514.322141	18515	14015
3.939046	60.312907	180.525271	18516	14016
4.270394	83.453240	174.148622	18517	14017
4.677766	43.821126	1544.377729	18518	14018
4.950792	79.676787	918.724433	18519	14019
5.130956	66.423892	567.800598	18520	14020
5.438806	52.619495	38.695836	18521	14021
5.592580	63.940907	1540.316992	18522	14022
5.796255	41.081528	353.442757	18523	14023
6.519416	12.995542	1021.667592	18524	14024
6.625101	89.667566	2159.125418	18525	14025
6.894302	71.794551	767.358871	18526	14026
6.906641	30.487610	958.361017	18527	14027
6.951912	71.072561	364.170557	18528	14028
7.567125	36.563934	185.188288	18529	14029
7.598233	31.982376	116.581332	18530	14030
7.607279	76.774742	1869.512284	18531	14031
7.788229	16.537158	2269.676850	18532	14032
8.159212	92.819806	891.354722	18533	14033
8.280910	45.154305	1787.523645	18534	14034
8.406569	38.662866	572.163660	18535	14035
8.522706	85.239823	479.358456	18536	14036
8.794479	44.514581	565.855577	18537	14037
8.867623	23.028713	1312.621994	18538	14038
9.278626	96.454043	145.741474	18539	14039
9.607044	38.724568	90.558460	18540	14040
9.674856	99.677081	9.870416	18541	14041
10.573279	48.882854	1484.054333	18542	14042
10.720194	92.014965	906.639427	18543	14043
11.044437	46.902214	1212.561387	18544	14044
11.771348	74.799612	496.503175	18545	14045
12.024333	80.398580	305.312041	18546	14046
12.044375	85.288350	7.992866	18547	14047
12.378168	98.995388	1602.819723	18548	14048
12.406041	87.307035	268.640895	18549	14049
12.762459	75.578851	660.126574	18550	14050
12.882688	51.169348	330.621380	18551	14051
13.764418	69.239133	1365.598184	18552	14052
13.798775	69.729458	690.412768	18553	14053
13.872568	52.863939	539.721788	18554	14054
14.147849	63.716272	2308.026925	18555	14055
14.959390	59.706069	1071.281178	18556	14056
15.052556	87.115078	1563.247441	18557	14057
15.234202	30.831817	3231.175039	18558	14058
15.526617	44.655425	1042.942036	18559	14059
16.282211	78.006217	598.967306	18560	14060
16.339100	55.615172	385.268190	18561	14061
16.642546	98.608024	645.949032	18562	14062
16.912679	19.687388	1344.554617	18563	14063
17.306821	74.960724	2428.744085	18564	14064
17.317273	42.522124	2614.318051	18565	14065
17.512454	80.462500	1863.663570	18566	14066
17.639099	64.885359	3679.216296	18567	14067
17.948498	52.836270	669.722683	18568	14068
17.979598	6.676575	67.295368	18569	14069
18.217120	83.934094	374.401108	18570	14070
18.652391	57.587393	1584.266406	18571	14071
19.204972	82.825194	59.537534	18572	14072
19.577856	95.419249	255.894744	18573	14073
19.863808	44.440558	637.967763	18574	14074
20.657538	93.613952	1995.647448	18575	14075
21.170316	65.192336	70.587496	18576	14076
21.765182	39.282730	1044.648811	18577	14077
23.201572	53.169691	2007.805241	18578	14078
23.274481	99.854379	360.016421	18579	14079
23.797692	25.688808	643.493116	18580	14080
23.967689	46.658514	248.852046	18581	14081
24.089835	92.878331	122.725584	18582	14082
24.103967	42.880967	376.940424	18583	14083
24.172671	25.094384	2830.210644	18584	14084
24.415470	6.411371	568.619927	18585	14085
24.456680	39.302528	3269.702096	18586	14086
24.868507	95.386982	666.833752	18587	14087
24.877974	65.128727	202.369247	18588	14088
25.206267	94.928582	2261.916637	18589	14089
25.663184	48.580879	557.793248	18590	14090
25.782845	50.960714	527.301813	18591	14091
25.829229	94.913865	1083.433244	18592	14092
26.240200	75.226972	489.849104	18593	14093
26.408820	40.396940	237.350351	18594	14094
26.498258	23.270392	208.544946	18595	14095
27.119440	61.255892	701.859326	18596	14096
27.540877	66.452274	143.150949	18597	14097
27.648422	25.218854	43.635227	18598	14098
27.744778	71.246723	312.838765	18599	14099
27.997744	96.001140	4236.577117	18600	14100
28.433575	76.526224	3355.264381	18601	14101
28.526595	25.922923	278.478418	18602	14102
29.114850	98.148354	1042.821513	18603	14103
29.115952	6.300810	1490.367494	18604	14104
29.173919	9.112365	4.998348	18605	14105
29.772819	36.299516	3287.083445	18606	14106
29.780983	60.528967	1708.733396	18607	14107
29.829485	76.826461	90.093113	18608	14108
30.226689	93.329676	308.527427	18609	14109
30.519978	55.310068	1237.780070	18610	14110
30.594292	50.255473	1299.377886	18611	14111
30.607305	35.577264	1642.741264	18612	14112
30.670212	30.055601	238.759928	18613	14113
30.795376	67.878765	134.437765	18614	14114
30.890227	63.196894	395.970370	18615	14115
31.025059	62.600381	1833.936644	18616	14116
31.533167	9.587417	2211.581141	18617	14117
31.684499	39.915103	1031.551062	18618	14118
31.707367	72.620724	142.203239	18619	14119
31.749797	95.886374	2146.189096	18620	14120
31.783409	19.522678	482.587963	18621	14121
31.797348	88.113918	2455.026548	18622	14122
32.238204	93.419713	2151.958650	18623	14123
32.368983	67.794413	150.741479	18624	14124
32.408215	94.388826	389.145461	18625	14125
32.413073	20.967480	769.830250	18626	14126
32.529764	69.349833	118.590638	18627	14127
32.598908	17.827176	1131.506960	18628	14128
32.704662	71.876581	1013.361008	18629	14129
32.961836	9.287735	7623.795571	18630	14130
33.082699	5.667078	1408.888376	18631	14131
33.656876	9.194871	245.141538	18632	14132
33.715952	23.759516	97.860566	18633	14133
33.925213	99.338346	1016.567242	18634	14134
34.116000	56.360906	1993.843211	18635	14135
34.874407	68.246755	1656.991541	18636	14136
35.237472	8.602357	321.507411	18637	14137
35.523571	59.881223	472.285070	18638	14138
35.847326	63.608222	395.447660	18639	14139
35.854409	26.254366	2013.171969	18640	14140
36.123533	63.954061	1081.883263	18641	14141
36.125894	81.099088	420.919974	18642	14142
36.305540	85.900426	1633.065837	18643	14143
36.770346	87.745244	531.830177	18644	14144
37.780730	73.948875	1016.951511	18645	14145
37.893152	98.181544	2065.975192	18646	14146
37.903646	6.571012	2176.683280	18647	14147
39.906598	38.005414	330.225881	18648	14148
40.016408	26.465130	335.653186	18649	14149
40.034566	12.716094	820.091751	18650	14150
40.534030	63.194905	72.689210	18651	14151
40.766060	95.983959	490.895397	18652	14152
40.792178	43.274358	1703.084001	18653	14153
40.982478	96.678875	2086.760052	18654	14154
41.150476	65.824490	1674.566599	18655	14155
41.481515	34.172906	202.486905	18656	14156
42.118530	70.983660	766.552262	18657	14157
