Tempo Switch RegrasInstaladas RegrasAceitas RegrasBloqueadas BytesEnviados
13 SW 28 28 0 18721584
13 HW 22 22 0 15307488
23 HW 42 42 0 89062848
23 SW 48 48 0 104408136
33 HW 63 63 0 241986528
33 SW 68 74 0 266527800
43 HW 75 88 0 475892928
43 SW 79 97 0 511884576
53 HW 99 117 0 834551424
53 SW 106 134 0 895104000
63 HW 119 149 0 1338195600
63 SW 112 162 0 1425307968
73 HW 127 175 20 1983715272
73 SW 121 193 0 2137766904
83 HW 127 199 26 2746507176
83 SW 145 229 0 3093639696
93 HW 130 233 32 3606951600
93 SW 139 261 0 4159141560
103 HW 126 247 74 4597913376
103 SW 152 301 0 5407135776
113 HW 126 272 88 5652953712
113 SW 160 337 0 6805144584
123 HW 125 299 114 6686210664
123 SW 161 374 0 8216844552
133 HW 128 326 136 7762323744
134 SW 160 417 0 9705473568
143 HW 129 361 140 8746123176
144 SW 162 460 0 11113500888
154 HW 129 386 174 9719813376
154 SW 174 503 0 12596036544
164 HW 113 409 176 10612691712
164 SW 157 536 0 14181429024
174 HW 115 436 176 11529514080
174 SW 164 577 0 15442577640
184 HW 121 470 176 12453972048
184 SW 158 615 0 16641084096
194 HW 130 505 192 13407049152
194 SW 164 665 0 17806913208
204 HW 129 534 212 14405322960
204 SW 171 714 0 19035995328
214 HW 126 555 238 15494773392
214 SW 167 757 0 20440182168
224 HW 127 576 268 16625217168
224 SW 178 801 0 21974673168
234 HW 122 600 280 17796731400
234 SW 181 842 0 23442429024
244 HW 126 626 318 19019162232
244 SW 168 889 0 24762187296
254 HW 127 658 330 20233210536
255 SW 165 926 0 26048587824
264 HW 116 681 342 21303937872
265 SW 145 954 0 27400448880
274 HW 84 694 342 22053652488
275 SW 128 975 0 28723796640
284 HW 66 702 342 22518553176
285 SW 111 994 0 30066934968
294 HW 52 710 342 22914128664
295 SW 85 1010 0 31376760912
304 HW 47 721 342 23258501784
305 SW 55 1020 0 32148903024
315 HW 35 727 342 23525641944
315 SW 50 1033 0 32801911632
325 HW 21 731 342 23691596040
325 SW 34 1037 0 33342947568
335 HW 13 735 342 23767294320
335 SW 28 1045 0 33692033592
345 HW 7 735 342 23800833504
345 SW 22 1051 0 33952938264
355 HW 4 736 342 23821646184
355 SW 11 1056 0 34060556376
365 HW 2 736 342 23821646184
365 SW 8 1057 0 34064563176
