Tempo Switch RegrasInstaladas RegrasAceitas VezesBloqueado BytesEnviados
10 HW 2 2 0 0
10 SW 89 364 0 35922096
15 HW 87 87 0 81369792
15 SW 167 646 0 118921824
20 HW 163 248 0 243741960
20 SW 249 3363 0 125928432
25 HW 197 335 0 587135304
25 SW 243 6068 0 127735272
30 HW 233 388 0 1125420912
30 SW 288 8027 0 128285640
35 HW 248 405 0 1873980360
36 SW 255 9052 0 128285640
40 HW 239 428 0 2837157624
45 HW 215 428 0 4019234688
50 HW 208 428 0 5407822224
53 SW 261 9968 0 128486736
53 SW 313 9968 0 128486736
53 SW 361 9968 0 128486736
55 HW 250 470 2 6959221920
60 HW 242 470 2 8646471792
62 SW 406 10191 0 128486736
65 HW 235 480 2 10508198904
70 HW 217 480 2 12494700792
75 HW 206 480 2 14603588496
80 HW 193 480 2 16812021744
85 HW 180 480 2 19108958400
90 HW 162 480 2 21421488312
95 HW 150 480 2 23762809728
100 HW 142 480 2 26183362968
100 SW 188 10978 0 476644392
100 SW 244 10978 0 476644392
100 SW 264 10978 0 476644392
100 SW 291 10978 0 476644392
101 SW 311 10978 0 476644392
101 SW 330 10978 0 476644392
101 SW 353 10978 0 476644392
101 SW 371 10978 0 476644392
101 SW 393 10983 0 476644392
105 HW 240 592 8 28644932232
110 HW 231 592 8 31129001568
115 HW 215 592 8 33500535768
120 HW 162 592 8 35859331368
123 SW 121 11338 0 1732339224
123 SW 163 11342 0 1732339224
123 SW 175 11343 0 1732339224
123 SW 181 11343 0 1732339224
125 HW 240 690 11 38067029784
125 SW 169 11345 0 1732339224
130 HW 220 700 11 40247469864
130 SW 172 11369 0 1732544856
135 HW 224 734 11 42326280864
135 SW 150 11377 0 1735458480
140 HW 174 763 11 44326876104
140 SW 84 11389 0 2615454576
145 HW 227 840 11 46139213736
145 SW 87 11405 0 2660230944
150 SW 116 11506 0 2660250600
150 HW 197 898 11 47819422224
155 HW 184 898 11 49390724376
156 SW 129 11542 0 2687394024
160 HW 202 965 11 51016766976
160 SW 54 11566 0 3030740496
165 HW 216 1012 11 52310490120
166 SW 48 11590 0 3385770192
170 HW 195 1054 11 53429737536
170 SW 46 11606 0 3744389376
175 HW 162 1098 11 54477143784
175 SW 44 11620 0 4063053960
180 HW 148 1140 11 55398090888
180 SW 32 11641 0 4075974000
185 HW 144 1168 11 56312088840
185 SW 24 11652 0 4086685008
190 HW 135 1188 11 57148135632
190 SW 24 11661 0 4095699552
195 HW 124 1208 11 57990241008
195 SW 27 11686 0 4108460832
200 HW 121 1231 11 58917972456
200 SW 30 11703 0 4124426040
205 SW 29 11715 0 4138767360
205 HW 122 1280 11 59810103864
210 SW 29 11727 0 4156569648
210 HW 116 1305 11 60745895784
215 SW 25 11738 0 4167749376
215 HW 112 1326 11 61677203112
220 SW 17 11745 0 4175342640
220 HW 106 1341 11 62584543728
225 SW 17 11759 0 4181620464
225 HW 101 1356 11 63516464928
230 SW 23 11793 0 4186085400
230 HW 97 1375 11 64427723136
235 SW 22 11804 0 4190609304
235 HW 101 1393 11 65331602784
240 SW 21 11833 0 4195409904
240 HW 102 1408 11 66216222576
245 SW 14 11848 0 4199528592
245 HW 95 1418 11 66964401000
250 SW 16 11866 0 4204282320
250 HW 75 1430 11 67606155792
255 SW 19 11880 0 4209539544
255 HW 67 1445 11 68245801344
260 SW 16 11885 0 4214095200
260 HW 66 1457 11 68848359048
265 SW 13 11889 0 4218035472
265 HW 63 1466 11 69416582256
270 SW 8 11902 0 4220311032
270 HW 55 1472 11 69978458088
275 SW 7 11905 0 4222624392
275 HW 45 1477 11 70530846120
280 SW 12 11912 0 4224980088
280 HW 42 1485 11 71104978224
285 SW 9 11915 0 4227311592
285 HW 40 1488 11 71560814472
290 SW 9 11917 0 4227424992
290 HW 37 1491 11 71959107024
295 SW 9 11933 0 4228811496
295 HW 32 1496 11 72286659144
300 SW 5 11934 0 4230318960
300 HW 31 1499 11 72638356392
305 SW 8 11938 0 4231827936
305 HW 29 1503 11 72976900752
310 SW 9 11944 0 4233752712
310 HW 26 1508 11 73270230264
315 SW 7 11957 0 4236655752
315 HW 25 1511 11 73517170104
320 HW 22 1511 11 73665751320
320 SW 6 11958 0 4239669168
325 HW 21 1515 11 73790904096
325 SW 8 11969 0 4245021648
330 HW 20 1519 11 73933337520
330 SW 11 11997 0 4255037136
335 HW 21 1524 11 74082612744
335 SW 12 12001 0 4262654592
340 SW 9 12002 0 4270267512
340 HW 24 1533 11 74242071288
346 SW 4 12003 0 4275307008
346 HW 24 1535 11 74408763240
351 HW 20 1535 11 74501436744
351 SW 5 12006 0 4275308520
356 HW 16 1536 11 74606259168
356 SW 7 12009 0 4275387144
361 SW 7 12011 0 4275473328
361 HW 17 1542 11 74693800944
366 HW 16 1542 11 74779839792
366 SW 3 12011 0 4275556488
371 HW 14 1543 11 74868842160
371 SW 2 12011 0 4275556488
376 HW 10 1543 11 74954082672
376 SW 5 12014 0 4275558000
381 HW 9 1544 11 75048612912
381 SW 6 12016 0 4275561024
386 HW 11 1546 11 75150471816
386 SW 4 12016 0 4275561024
391 HW 10 1546 11 75246917760
391 SW 4 12018 0 4275561024
396 HW 7 1546 11 75323999520
396 SW 4 12018 0 4275561024
401 HW 5 1546 11 75408347952
401 SW 4 12019 0 4275561024
406 HW 5 1546 11 75498823008
406 SW 3 12019 0 4275562536
411 HW 6 1547 11 75594727656
411 SW 2 12019 0 4275562536
416 HW 5 1547 11 75669995016
416 SW 2 12019 0 4275562536
421 HW 4 1547 11 75750673824
421 SW 4 12021 0 4275562536
426 HW 4 1547 11 75836755008
426 SW 4 12021 0 4275562536
431 SW 4 12021 0 4275562536
431 HW 4 1547 11 75928241592
436 SW 4 12023 0 4275562536
436 HW 4 1547 11 76025130552
441 HW 4 1547 11 76127302440
