Tempo Switch RegrasInstaladas RegrasAceitas RegrasBloqueadas
21 HW 28 103 371
21 SW 115 639 0
36 HW 46 176 447
36 SW 144 746 0
51 HW 62 231 457
51 SW 155 808 0
66 HW 65 260 457
66 SW 163 827 0
81 HW 70 284 457
81 SW 161 849 0
96 HW 60 297 457
96 SW 146 876 0
111 HW 51 307 457
111 SW 127 919 0
126 HW 46 317 457
126 SW 81 949 0
141 HW 36 332 457
141 SW 65 973 0
156 HW 14 336 457
156 SW 28 986 0
171 HW 9 339 457
171 SW 23 997 0
186 HW 7 341 457
186 SW 10 1002 0
201 HW 3 343 457
201 SW 8 1004 0
216 HW 2 344 457
216 SW 4 1008 0
231 HW 2 344 457
231 SW 2 1010 0
246 HW 2 344 457
246 SW 2 1010 0
261 HW 2 344 457
261 SW 4 1014 0
276 HW 2 344 457
276 SW 2 1014 0
291 HW 2 344 457
291 SW 6 1018 0
