Inicio(seg)	Duracao(seg)	Banda(Kbps)	PCli	PServ
0.251040	78.275461	40.053267	8501	4001
0.314698	76.136369	1318.216400	8502	4002
0.361013	23.815972	2730.020501	8503	4003
1.127516	13.392282	2208.581846	8504	4004
1.546171	5.375085	1371.062812	8505	4005
1.632455	63.189976	2443.375903	8506	4006
1.827974	92.188542	2394.717367	8507	4007
2.108291	18.506155	892.643013	8508	4008
2.348722	46.974152	1087.145115	8509	4009
2.578445	53.748133	2007.328967	8510	4010
3.176706	81.496204	1408.446690	8511	4011
3.266125	35.327428	181.097770	8512	4012
3.278133	15.828514	3369.679048	8513	4013
3.705844	64.497279	1514.931654	8514	4014
3.814176	23.900016	3712.780928	8515	4015
4.352581	76.691531	670.262034	8516	4016
4.477194	35.923606	344.454354	8517	4017
4.518162	13.878736	3287.033437	8518	4018
5.616191	41.490873	5514.303767	8519	4019
5.688570	48.348932	3341.365896	8520	4020
5.879762	61.750307	4452.804723	8521	4021
5.990235	61.069129	76.541560	8522	4022
6.090623	12.563244	696.205324	8523	4023
6.230930	78.513878	77.888854	8524	4024
6.337225	34.918053	1932.827588	8525	4025
6.697403	9.094249	4048.353692	8526	4026
6.929986	88.419181	1032.243821	8527	4027
7.006012	53.779330	1739.813126	8528	4028
7.096277	33.582774	49.140337	8529	4029
7.304671	27.997208	1557.588818	8530	4030
7.321273	50.137564	661.698311	8531	4031
7.492096	97.987819	792.789202	8532	4032
7.587877	97.822669	1110.094447	8533	4033
8.068801	54.380714	1648.470024	8534	4034
8.449558	11.469241	1193.008770	8535	4035
8.459008	73.267267	1684.509981	8536	4036
8.548080	38.312357	1581.973789	8537	4037
8.591429	53.671745	2137.717906	8538	4038
8.620019	9.795379	787.324243	8539	4039
8.733695	21.995767	4144.778844	8540	4040
8.761954	25.783088	2666.988816	8541	4041
8.989938	75.737308	1211.843903	8542	4042
9.248899	19.023918	388.462674	8543	4043
9.444343	9.619661	545.942543	8544	4044
10.082852	26.543468	917.401775	8545	4045
10.273461	92.908903	1597.600737	8546	4046
10.486221	6.411702	7281.195691	8547	4047
11.010796	80.216915	1574.845206	8548	4048
11.050994	60.498604	2356.779721	8549	4049
11.078621	45.702820	2261.078974	8550	4050
11.255422	46.762498	347.169793	8551	4051
11.657867	82.808407	180.357437	8552	4052
11.713060	58.687004	1699.916113	8553	4053
11.722630	46.431234	670.104841	8554	4054
12.064120	7.915060	1152.682042	8555	4055
12.110123	57.943064	928.866889	8556	4056
12.491759	84.634825	1745.592989	8557	4057
12.871499	85.608372	1765.278538	8558	4058
13.218538	63.495003	40.859456	8559	4059
13.398473	21.724003	1171.667435	8560	4060
13.446510	50.981985	3553.316969	8561	4061
13.785863	6.390313	3607.826166	8562	4062
13.816894	48.386266	1030.242251	8563	4063
14.131441	37.174518	189.937382	8564	4064
14.344639	12.323113	440.463520	8565	4065
14.751499	32.913998	2036.670406	8566	4066
15.171083	38.365283	187.368093	8567	4067
15.670741	79.562338	954.841836	8568	4068
16.112852	41.482923	568.161916	8569	4069
16.371288	74.956357	1353.169542	8570	4070
17.216241	25.252724	4317.688162	8571	4071
17.309110	35.115148	3832.572327	8572	4072
17.360138	7.400075	96.352721	8573	4073
17.972277	11.558167	568.605680	8574	4074
18.387317	48.495704	266.455568	8575	4075
18.873249	43.329635	47.245903	8576	4076
18.983175	31.058008	2358.460772	8577	4077
19.176303	80.459361	3556.179760	8578	4078
19.294862	58.113219	249.617324	8579	4079
19.850719	45.730996	1367.215360	8580	4080
20.244809	33.520008	964.383708	8581	4081
20.703341	44.166227	390.412907	8582	4082
21.828926	59.080783	118.284037	8583	4083
21.943653	26.734322	1821.638574	8584	4084
22.374048	81.263714	1886.477018	8585	4085
22.603779	32.384048	613.685076	8586	4086
22.680208	94.158849	2346.615450	8587	4087
23.600559	16.621913	1172.408400	8588	4088
23.612526	69.654566	410.165002	8589	4089
24.052451	95.501174	3736.932629	8590	4090
24.720558	96.570550	1745.043582	8591	4091
24.836873	18.943037	231.097644	8592	4092
25.090925	77.823212	739.825800	8593	4093
25.193955	5.876005	1497.611892	8594	4094
25.315132	90.312309	5396.255525	8595	4095
25.330288	42.631190	4346.678493	8596	4096
25.353034	43.511032	266.375970	8597	4097
25.572335	79.476607	693.768812	8598	4098
25.802005	88.454287	4062.352109	8599	4099
25.890277	66.296636	111.343075	8600	4100
26.296424	70.718588	400.189966	8601	4101
26.345364	53.902556	2704.314851	8602	4102
26.533510	12.848928	1256.625260	8603	4103
26.811718	71.149286	437.606504	8604	4104
27.638354	80.360586	81.430666	8605	4105
27.655132	97.662308	1527.956423	8606	4106
28.058558	37.797495	39.425355	8607	4107
28.359463	24.753074	295.309014	8608	4108
28.537970	10.505232	566.374592	8609	4109
28.687209	99.549585	302.597685	8610	4110
28.772386	62.136836	195.458965	8611	4111
29.228318	73.475991	1528.574062	8612	4112
29.467272	60.131478	389.719890	8613	4113
29.713243	89.260733	1389.147665	8614	4114
29.846556	52.980616	4592.028628	8615	4115
29.881250	55.869528	801.298900	8616	4116
30.118407	67.968066	5240.522819	8617	4117
30.702111	85.060157	469.446401	8618	4118
30.737518	5.928148	488.848226	8619	4119
30.955024	91.216580	4604.077017	8620	4120
31.323610	13.311840	237.400686	8621	4121
31.434193	74.615551	174.115593	8622	4122
31.627150	78.455104	269.224042	8623	4123
31.836125	76.698739	607.718569	8624	4124
31.981409	50.285072	1553.459633	8625	4125
32.334448	70.905050	2419.377187	8626	4126
32.496597	8.545591	2169.380875	8627	4127
32.951505	14.516282	1819.134455	8628	4128
32.969072	74.719934	741.017854	8629	4129
33.012914	8.546373	1564.279648	8630	4130
33.017798	30.449378	513.428132	8631	4131
34.019861	19.410210	65.876916	8632	4132
34.152719	39.246104	3334.148111	8633	4133
34.523548	29.052019	515.926124	8634	4134
35.003143	68.769406	2340.326066	8635	4135
35.204861	54.594709	1116.923260	8636	4136
35.761891	66.939511	2967.729424	8637	4137
36.109393	34.364990	278.346133	8638	4138
36.249891	55.049156	2933.572984	8639	4139
36.321953	84.690426	1472.214919	8640	4140
36.369803	10.594931	184.229142	8641	4141
36.972909	46.729163	3181.411190	8642	4142
