Tempo Switch RegrasInstaladas RegrasAceitas VezesBloqueado
19 HW 2 2 0
20 SW 205 910 0
34 HW 100 100 0
35 SW 188 1161 0
49 HW 99 100 1
50 SW 215 1309 0
64 HW 97 101 1
65 SW 235 1367 0
79 HW 94 105 1
80 SW 257 1451 0
94 HW 84 111 1
95 SW 242 1502 0
109 HW 76 127 1
110 SW 223 1572 0
124 HW 69 151 1
125 SW 184 1632 0
139 HW 59 182 1
140 SW 128 1684 0
154 HW 58 223 1
155 SW 70 1712 0
169 SW 36 1725 0
170 HW 49 299 1
185 SW 18 1735 0
185 HW 35 311 1
200 SW 7 1740 0
200 HW 16 316 1
215 HW 10 316 1
215 SW 9 1747 0
230 SW 2 1747 0
230 HW 5 319 1
245 SW 6 1751 0
245 HW 2 319 1
