Inicio(seg) Duracao(seg) Banda(Kbps) PortaCli PortaServ
50 92 40 3501 5001
12 90 1318 3502 5002
9 24 2730 3503 5003
153 11 2208 3504 5004
83 1 1371 3505 5005
17 73 2443 3506 5006
39 110 2394 3507 5007
56 17 892 3508 5008
48 53 1087 3509 5009
45 62 2007 3510 5010
119 96 1408 3511 5011
17 38 181 3512 5012
2 14 3369 3513 5013
85 75 1514 3514 5014
21 24 3712 3515 5015
107 90 670 3516 5016
24 39 344 3517 5017
8 12 3287 3518 5018
219 46 5514 3519 5019
14 55 3341 3520 5020
38 72 4452 3521 5021
22 71 76 3522 5022
20 10 696 3523 5023
28 93 77 3524 5024
21 38 1932 3525 5025
72 6 4048 3526 5026
46 105 1032 3527 5027
15 62 1739 3528 5028
18 36 49 3529 5029
41 29 1557 3530 5030
3 57 661 3531 5031
34 117 792 3532 5032
19 117 1110 3533 5033
96 62 1648 3534 5034
76 9 1193 3535 5035
1 86 1684 3536 5036
17 42 1581 3537 5037
8 61 2137 3538 5038
5 7 787 3539 5039
22 22 4144 3540 5040
5 27 2666 3541 5041
45 89 1211 3542 5042
51 18 388 3543 5043
39 6 545 3544 5044
127 27 917 3545 5045
38 111 1597 3546 5046
42 2 7281 3547 5047
104 95 1574 3548 5048
8 70 2356 3549 5049
5 51 2261 3550 5050
35 53 347 3551 5051
80 98 180 3552 5052
11 68 1699 3553 5053
1 52 670 3554 5054
68 4 1152 3555 5055
9 67 928 3556 5056
76 100 1745 3557 5057
75 101 1765 3558 5058
69 74 40 3559 5059
35 21 1171 3560 5060
9 58 3553 3561 5061
67 2 3607 3562 5062
6 55 1030 3563 5063
62 41 189 3564 5064
42 10 440 3565 5065
81 35 2036 3566 5066
83 42 187 3567 5067
99 94 954 3568 5068
88 46 568 3569 5069
51 88 1353 3570 5070
168 26 4317 3571 5071
18 38 3832 3572 5072
10 4 96 3573 5073
122 9 568 3574 5074
83 55 266 3575 5075
97 49 47 3576 5076
21 33 2358 3577 5077
38 95 3556 3578 5078
23 67 249 3579 5079
111 52 1367 3580 5080
78 36 964 3581 5081
91 50 390 3582 5082
225 68 118 3583 5083
22 28 1821 3584 5084
86 96 1886 3585 5085
45 35 613 3586 5086
15 112 2346 3587 5087
184 15 1172 3588 5088
2 81 410 3589 5089
87 114 3736 3590 5090
133 115 1745 3591 5091
