Inicio(seg)	Duracao(seg)	Banda(Kbps)	PCli	PServ
0.630273	91.315474	305.528645	18501	14001
0.848725	75.201720	1226.323633	18502	14002
0.873144	95.450415	2508.065802	18503	14003
1.180349	79.320450	123.556576	18504	14004
1.326653	12.577487	270.255441	18505	14005
1.474618	27.489832	6581.541249	18506	14006
1.668998	73.764509	615.441086	18507	14007
1.936262	56.800062	580.643244	18508	14008
2.046728	14.972254	2021.389536	18509	14009
2.337073	51.237824	241.484089	18510	14010
2.447220	37.427147	698.708682	18511	14011
2.459761	44.672538	1462.101416	18512	14012
2.680166	52.487353	1715.212804	18513	14013
3.087641	45.993316	1374.264744	18514	14014
3.162142	88.680156	4143.797170	18515	14015
3.320868	13.862656	161.284847	18516	14016
3.642077	39.028591	3653.034352	18517	14017
3.946134	68.813139	1379.711318	18518	14018
3.983844	90.248961	393.656199	18519	14019
5.051446	26.840030	111.209968	18520	14020
5.233035	49.012763	246.082697	18521	14021
5.314317	99.945228	106.682742	18522	14022
5.440395	17.762937	1320.487292	18523	14023
5.478439	13.375771	1851.132877	18524	14024
6.558727	8.326870	205.257257	18525	14025
7.110382	25.241764	710.792162	18526	14026
7.174588	48.665030	1586.299465	18527	14027
7.471300	24.538260	2373.636760	18528	14028
7.750603	37.906736	633.810728	18529	14029
7.802862	20.287271	1325.131669	18530	14030
7.941813	46.520872	413.792771	18531	14031
8.052252	57.517121	209.426332	18532	14032
8.381326	13.717040	1533.402106	18533	14033
8.677460	42.951134	308.194775	18534	14034
8.783599	86.322728	638.030287	18535	14035
8.867581	19.811201	650.622093	18536	14036
9.547489	38.707167	677.928138	18537	14037
9.642430	22.960937	126.281312	18538	14038
10.546345	18.954348	977.909269	18539	14039
10.970059	99.038522	429.677483	18540	14040
11.055946	28.017323	1068.702435	18541	14041
11.478409	49.633023	981.812005	18542	14042
11.624847	22.415784	327.833431	18543	14043
11.733244	71.672382	4032.269904	18544	14044
11.895810	84.399549	1623.986014	18545	14045
12.353005	10.665628	481.895241	18546	14046
12.374251	65.648888	542.047991	18547	14047
12.431959	65.946388	2513.847611	18548	14048
12.715636	85.452462	654.243315	18549	14049
12.869420	45.345398	1253.506777	18550	14050
12.973483	73.023110	80.239099	18551	14051
13.183468	86.135778	450.359104	18552	14052
13.463290	58.340843	830.155578	18553	14053
13.676021	29.705671	141.881999	18554	14054
13.936737	48.189778	580.045999	18555	14055
14.154522	70.372359	325.278246	18556	14056
14.320812	99.942545	2499.969764	18557	14057
14.398675	37.641736	423.777240	18558	14058
14.614926	97.173583	951.226162	18559	14059
14.655755	22.016636	1816.645070	18560	14060
15.041562	96.809985	262.982730	18561	14061
15.506423	45.180803	1304.702321	18562	14062
15.509810	31.957859	1807.002305	18563	14063
15.736575	86.980666	433.846097	18564	14064
16.065900	23.109384	322.650491	18565	14065
16.482942	34.502228	1996.811157	18566	14066
16.493917	73.067338	998.688654	18567	14067
16.737334	89.012816	212.259497	18568	14068
16.777272	62.363748	1267.393012	18569	14069
17.380971	18.304010	1314.163240	18570	14070
17.453100	73.218739	1425.656554	18571	14071
18.043137	76.477651	746.133429	18572	14072
18.649439	85.184124	1153.070382	18573	14073
18.705982	38.772110	1751.007120	18574	14074
19.034695	52.385848	579.395107	18575	14075
19.146586	60.288836	53.136052	18576	14076
19.578406	65.038459	764.000030	18577	14077
20.087608	95.046637	734.859176	18578	14078
20.543022	12.339985	3044.163854	18579	14079
20.560408	78.595084	2145.108332	18580	14080
20.857304	57.578817	3915.517971	18581	14081
21.546318	5.330809	258.818464	18582	14082
22.577022	34.215551	588.873165	18583	14083
22.769286	97.064402	49.276882	18584	14084
22.792169	22.856834	734.210767	18585	14085
23.162828	70.830852	25.472550	18586	14086
23.431563	27.766589	190.156630	18587	14087
23.626794	40.839851	790.989357	18588	14088
23.983575	92.584904	456.227929	18589	14089
24.138975	20.877282	1954.531756	18590	14090
24.466520	54.185213	680.578400	18591	14091
24.505347	39.955902	1560.891231	18592	14092
25.114323	68.584425	30.695118	18593	14093
25.333149	12.779795	2676.170081	18594	14094
25.524531	47.567527	204.332434	18595	14095
26.245650	47.621502	2610.006920	18596	14096
27.049191	83.703929	1743.356682	18597	14097
27.655200	10.450837	1683.655891	18598	14098
29.169788	67.027764	1004.683884	18599	14099
29.635230	39.894171	421.896830	18600	14100
29.862782	34.894637	1148.959558	18601	14101
30.189735	43.994542	888.318253	18602	14102
30.447333	76.717316	49.709571	18603	14103
30.772168	85.113641	2879.806901	18604	14104
31.026062	99.427203	418.510777	18605	14105
31.255145	36.206182	2741.113822	18606	14106
31.694005	31.112930	1423.253409	18607	14107
31.856427	35.105195	2072.275903	18608	14108
31.895196	92.666254	1330.777860	18609	14109
31.960465	75.858740	931.495459	18610	14110
32.551086	45.108816	187.161661	18611	14111
32.685798	6.696901	1272.457789	18612	14112
32.972437	17.890609	1154.193177	18613	14113
33.028375	56.626184	475.970734	18614	14114
33.211523	73.495847	162.155176	18615	14115
33.302897	57.400818	1165.032815	18616	14116
33.539482	55.619527	55.580956	18617	14117
34.248656	72.507318	1526.698932	18618	14118
34.292892	11.435566	128.691419	18619	14119
34.898724	65.378835	425.654038	18620	14120
35.008973	72.782065	5589.153620	18621	14121
36.760317	20.320466	2836.259606	18622	14122
36.929296	67.206894	28.818249	18623	14123
37.249679	51.734835	616.468280	18624	14124
37.286437	46.432994	638.652633	18625	14125
37.320619	73.484007	303.850217	18626	14126
37.419880	9.125420	16.841805	18627	14127
37.447337	21.625486	449.480148	18628	14128
37.639081	40.257185	1643.251545	18629	14129
37.684267	6.868428	327.533212	18630	14130
37.924965	29.039053	1960.730578	18631	14131
38.008866	91.568125	708.294447	18632	14132
38.044445	73.345429	869.448121	18633	14133
38.362510	39.581890	230.463603	18634	14134
38.527715	76.491226	1244.583794	18635	14135
38.704612	20.203816	37.456666	18636	14136
38.926507	24.646036	772.912213	18637	14137
38.932873	78.443677	2061.780869	18638	14138
38.967031	99.757196	433.993902	18639	14139
39.103906	84.363062	1551.223082	18640	14140
39.261328	19.791800	700.646182	18641	14141
39.324997	46.341425	2395.258879	18642	14142
39.605395	13.053060	217.439120	18643	14143
39.672597	65.298759	85.178366	18644	14144
40.156825	69.764966	2007.836824	18645	14145
40.372749	10.022650	1224.358165	18646	14146
40.846021	64.113637	3382.382289	18647	14147
41.002475	56.658621	1409.010270	18648	14148
41.678510	70.337364	672.385972	18649	14149
41.723111	90.827321	531.548524	18650	14150
42.052412	66.724431	834.708243	18651	14151
42.108955	78.886125	624.304258	18652	14152
42.384611	81.132445	504.313690	18653	14153
42.513373	59.369884	2552.000871	18654	14154
43.278999	60.555736	157.063619	18655	14155
43.370576	21.356085	892.241329	18656	14156
43.631558	13.975726	1913.615903	18657	14157
43.767337	47.411375	702.287937	18658	14158
43.946165	6.931732	162.782485	18659	14159
45.030589	97.246509	1265.000100	18660	14160
45.423739	59.127076	162.082759	18661	14161
46.047067	32.598053	431.322791	18662	14162
46.545968	21.977622	360.881694	18663	14163
46.641375	17.943995	456.551372	18664	14164
46.962896	17.160863	348.274393	18665	14165
47.229753	16.316763	902.494401	18666	14166
47.691640	98.530164	40.848387	18667	14167
48.654474	11.897495	612.618373	18668	14168
49.429155	69.344377	1891.092328	18669	14169
50.078500	78.457355	927.156873	18670	14170
50.231739	94.166522	1694.216242	18671	14171
50.520996	54.542862	748.107376	18672	14172
51.439666	18.425765	371.418715	18673	14173
52.204642	99.911579	810.115675	18674	14174
52.871709	44.961906	533.256585	18675	14175
52.917873	31.154751	111.386809	18676	14176
53.230022	41.877818	341.168917	18677	14177
53.240818	18.618659	574.580324	18678	14178
53.573632	86.045654	141.214819	18679	14179
54.083228	70.594326	841.056025	18680	14180
54.205636	25.312268	440.157804	18681	14181
54.544078	67.722389	702.478558	18682	14182
54.709958	48.265267	384.554856	18683	14183
54.924542	31.702906	179.866837	18684	14184
54.960941	44.871943	1271.472969	18685	14185
55.001312	5.673395	140.394905	18686	14186
55.106080	12.083897	576.163315	18687	14187
55.233551	77.418858	879.314348	18688	14188
55.314218	62.036618	1843.296388	18689	14189
55.328429	82.528989	630.495950	18690	14190
55.381375	36.720490	309.085296	18691	14191
55.535189	50.966448	3190.901791	18692	14192
55.911989	37.984651	524.813941	18693	14193
55.914143	96.191699	323.924268	18694	14194
56.326740	26.233078	2631.659621	18695	14195
56.868188	95.154597	850.300503	18696	14196
56.914223	21.584367	332.715348	18697	14197
56.919367	91.973558	2280.595042	18698	14198
57.796770	15.490768	237.563518	18699	14199
58.083073	39.839027	1662.194541	18700	14200
58.292826	84.797343	1012.447875	18701	14201
58.511591	24.694924	268.726435	18702	14202
58.537230	80.920353	219.308101	18703	14203
58.807857	59.587641	1743.230166	18704	14204
58.856692	70.447368	570.708998	18705	14205
59.305738	37.055737	881.929361	18706	14206
59.326142	17.948707	1131.243299	18707	14207
59.431932	16.312053	1349.857437	18708	14208
59.990007	20.414194	633.066659	18709	14209
60.166260	95.375951	1640.230801	18710	14210
60.272525	9.536568	141.186573	18711	14211
60.428614	59.141672	4525.761306	18712	14212
60.455833	33.823334	318.424261	18713	14213
60.627262	8.587861	471.022686	18714	14214
61.021332	65.790221	300.881379	18715	14215
61.312233	86.349431	184.182671	18716	14216
61.899246	97.206127	1039.035020	18717	14217
62.124874	75.971506	1210.284359	18718	14218
62.648303	38.840162	1484.139686	18719	14219
62.733972	9.337789	1207.377810	18720	14220
63.223593	63.159700	756.845765	18721	14221
63.521926	22.026294	1154.809026	18722	14222
63.850391	35.199822	2284.545235	18723	14223
64.476525	74.400915	893.779631	18724	14224
64.498537	32.158225	49.681716	18725	14225
64.646483	55.990268	3032.825905	18726	14226
64.970618	66.987293	1481.977599	18727	14227
64.974491	21.189162	262.696549	18728	14228
65.549067	75.841471	954.129608	18729	14229
66.044050	17.489507	220.565611	18730	14230
66.243221	57.743966	1274.015935	18731	14231
66.963087	44.145125	815.327950	18732	14232
67.290092	96.365532	929.660923	18733	14233
67.373773	36.290869	333.328477	18734	14234
67.606557	63.197136	892.233859	18735	14235
67.683098	50.717085	1519.619508	18736	14236
67.894785	67.758375	1735.818886	18737	14237
68.269847	16.733323	472.008960	18738	14238
68.321327	61.891724	1080.639611	18739	14239
68.595026	88.209295	353.000708	18740	14240
69.919943	86.469893	129.420214	18741	14241
69.960328	52.089355	96.101190	18742	14242
70.515387	28.587949	4547.206133	18743	14243
70.551303	47.947434	1449.853888	18744	14244
70.771615	59.096004	2280.288327	18745	14245
70.863404	82.203682	200.426446	18746	14246
70.910568	64.344566	2168.787373	18747	14247
71.202544	84.764161	49.229853	18748	14248
72.271763	87.826151	1654.794718	18749	14249
72.790316	14.182980	101.907668	18750	14250
73.021913	23.385096	134.697931	18751	14251
73.632696	36.420852	498.608140	18752	14252
73.912895	95.338207	1463.758289	18753	14253
74.108104	20.104608	189.556794	18754	14254
74.144699	23.803623	708.774961	18755	14255
74.587396	56.606293	243.029263	18756	14256
74.627077	64.454242	975.175461	18757	14257
75.023007	30.078879	3326.733336	18758	14258
75.394602	57.924753	571.199908	18759	14259
75.595805	25.658298	2849.350047	18760	14260
75.649287	79.292757	1096.669081	18761	14261
76.663904	67.824543	19.503857	18762	14262
76.664290	97.488554	1666.651780	18763	14263
76.685319	23.854049	471.382997	18764	14264
76.815640	43.027658	1159.782514	18765	14265
77.243013	63.409373	524.197863	18766	14266
77.339827	17.323608	1099.970696	18767	14267
77.809876	48.300855	177.931033	18768	14268
77.977754	40.500968	1017.875856	18769	14269
78.415015	48.125845	307.189950	18770	14270
78.549809	90.067204	842.349975	18771	14271
78.559489	80.325985	311.024091	18772	14272
78.594729	70.200267	534.073363	18773	14273
79.322455	17.997573	2867.920640	18774	14274
79.602578	6.776230	105.747477	18775	14275
79.915825	18.088359	1169.450823	18776	14276
79.993060	39.711537	61.123531	18777	14277
80.349950	45.033681	4099.428737	18778	14278
81.387690	37.664022	2819.712492	18779	14279
81.853190	6.288836	681.240670	18780	14280
82.095206	74.284886	676.808236	18781	14281
82.096218	9.200839	369.943852	18782	14282
82.442230	52.021288	214.546865	18783	14283
82.607301	20.480983	5144.226329	18784	14284
82.662550	38.426619	958.860424	18785	14285
82.781248	50.247543	669.917124	18786	14286
83.309084	58.502886	316.288098	18787	14287
83.486363	33.599223	405.463864	18788	14288
83.560016	8.111366	1668.977926	18789	14289
83.589369	81.433590	4136.490669	18790	14290
83.784754	95.251220	697.429071	18791	14291
83.826619	95.587542	1119.883581	18792	14292
84.059438	66.827336	5520.598053	18793	14293
84.163735	30.507499	870.192662	18794	14294
84.994199	34.905318	129.120144	18795	14295
85.223788	23.204331	170.311860	18796	14296
85.300100	7.450569	276.977956	18797	14297
85.340715	32.392596	2184.895194	18798	14298
85.403864	26.261681	2800.574582	18799	14299
85.518720	26.366245	443.947612	18800	14300
85.862556	15.059610	892.042957	18801	14301
86.505145	72.803921	1379.605816	18802	14302
86.739618	28.198780	640.125295	18803	14303
86.802965	31.694112	1457.428987	18804	14304
86.830949	33.670163	2217.688524	18805	14305
87.439531	9.183263	36.004471	18806	14306
87.610810	26.795373	76.735569	18807	14307
88.146860	69.912301	2260.873849	18808	14308
88.344673	18.404680	35.862419	18809	14309
88.413717	97.574031	26.255745	18810	14310
88.529349	55.963193	650.837636	18811	14311
88.573766	41.432377	1818.780360	18812	14312
88.653105	97.661739	100.217414	18813	14313
88.779187	31.493279	742.614139	18814	14314
89.544895	80.974313	2478.159505	18815	14315
90.227236	69.670417	1499.850551	18816	14316
90.664465	12.350819	96.762230	18817	14317
90.902609	35.403420	898.579445	18818	14318
91.141728	76.020236	4431.386201	18819	14319
91.422014	60.398978	206.018860	18820	14320
91.428831	60.191034	395.756332	18821	14321
91.432993	47.109937	780.851133	18822	14322
91.503674	52.492030	735.223873	18823	14323
91.920433	91.395879	19.162642	18824	14324
92.365180	72.611876	1057.963660	18825	14325
92.381988	37.176006	96.296724	18826	14326
92.988971	5.353131	997.936847	18827	14327
93.101692	50.497356	203.741641	18828	14328
93.166110	12.904042	929.103368	18829	14329
93.179326	36.745136	814.024660	18830	14330
93.213315	46.811584	281.817619	18831	14331
93.455529	53.113084	1106.209069	18832	14332
94.013004	8.485928	375.644651	18833	14333
94.156870	85.645641	178.436139	18834	14334
94.205583	68.912070	1600.825741	18835	14335
94.215641	84.014342	168.185285	18836	14336
95.974692	36.987955	68.865207	18837	14337
96.052676	83.757539	1814.881266	18838	14338
96.062171	22.700648	3130.511174	18839	14339
96.849839	12.360707	404.296927	18840	14340
97.004184	64.143148	486.907805	18841	14341
97.126257	94.502905	912.311012	18842	14342
97.172048	42.548717	16.317803	18843	14343
97.302413	99.793264	452.464217	18844	14344
97.786483	91.832453	1641.740462	18845	14345
98.344061	80.893999	744.697272	18846	14346
98.519118	54.108109	453.862287	18847	14347
98.793045	89.395426	100.921170	18848	14348
99.137913	31.544213	648.747048	18849	14349
99.482069	57.322679	1591.785599	18850	14350
99.665521	18.350178	181.653285	18851	14351
99.754197	76.851837	2206.173257	18852	14352
100.534437	62.557783	414.820305	18853	14353
100.544907	73.383318	304.490706	18854	14354
101.970596	59.581625	1513.370013	18855	14355
102.284526	74.533231	581.658545	18856	14356
103.533742	66.230533	6165.769678	18857	14357
103.806582	11.801243	402.987693	18858	14358
104.161289	93.261655	204.852793	18859	14359
104.413485	93.553170	852.931361	18860	14360
104.758791	63.393276	320.051265	18861	14361
105.362850	8.706469	1485.693473	18862	14362
105.543544	90.023665	1378.822681	18863	14363
105.580353	82.103348	1200.702505	18864	14364
105.840589	99.301170	196.940509	18865	14365
105.866666	62.348014	166.243838	18866	14366
105.894958	78.834159	55.451622	18867	14367
106.187843	33.353495	375.684057	18868	14368
106.348008	72.238025	862.832224	18869	14369
106.393854	62.509440	1056.132096	18870	14370
106.549974	28.371863	283.565570	18871	14371
107.077643	72.201643	107.026775	18872	14372
107.260914	96.646236	385.584876	18873	14373
108.092986	40.591132	1424.177360	18874	14374
108.977119	89.080165	483.531215	18875	14375
109.252823	68.497768	1277.626336	18876	14376
109.338770	80.300846	255.916057	18877	14377
109.978358	94.158586	1059.796914	18878	14378
110.285142	5.583031	188.352002	18879	14379
110.522878	40.988238	2164.057160	18880	14380
110.566347	29.514454	342.615798	18881	14381
111.262102	50.253058	956.347284	18882	14382
111.563769	35.569236	346.822865	18883	14383
111.632261	95.588230	211.276607	18884	14384
111.663909	34.641613	204.054308	18885	14385
112.046366	18.838734	1092.108173	18886	14386
112.692793	24.444582	72.290131	18887	14387
112.930726	58.910399	172.741137	18888	14388
113.517317	33.497889	292.535116	18889	14389
113.600334	5.074057	1076.798302	18890	14390
114.284867	63.888265	524.826222	18891	14391
114.569540	14.950022	1364.707115	18892	14392
115.079034	27.724926	605.740647	18893	14393
116.626940	79.973577	1815.173110	18894	14394
117.022869	67.060828	1262.024586	18895	14395
117.125859	17.241502	2144.793563	18896	14396
117.454980	44.933191	2424.403078	18897	14397
117.645560	68.091041	532.385434	18898	14398
117.664201	28.858690	473.081150	18899	14399
118.037948	36.871967	4058.538678	18900	14400
118.156673	30.125934	580.825809	18901	14401
119.366118	7.546567	676.950552	18902	14402
119.558764	12.012544	1080.466845	18903	14403
119.996959	16.623534	2036.120329	18904	14404
120.130662	52.468150	1936.155082	18905	14405
120.335659	15.190739	241.700912	18906	14406
120.383029	35.271058	39.643498	18907	14407
120.428752	50.862223	1579.034614	18908	14408
120.551910	40.800115	213.977919	18909	14409
120.701520	38.697745	3415.625919	18910	14410
121.101930	89.521835	1287.525417	18911	14411
121.216795	89.472842	1152.713495	18912	14412
121.853646	98.857476	1062.218282	18913	14413
121.863324	23.593344	60.722613	18914	14414
122.049719	97.437798	1081.188138	18915	14415
122.078030	89.698633	325.796035	18916	14416
122.939138	37.650391	21.489487	18917	14417
123.134105	69.159301	2008.332094	18918	14418
123.312779	80.615875	2463.471238	18919	14419
123.333763	33.285833	1170.983632	18920	14420
123.484186	25.181536	108.590692	18921	14421
123.599884	11.542137	301.116406	18922	14422
123.777766	19.544944	201.724858	18923	14423
124.088801	19.539028	141.038697	18924	14424
124.133045	42.574656	1246.809934	18925	14425
124.312670	50.853698	68.488802	18926	14426
124.544835	77.457623	143.346136	18927	14427
124.639105	14.739764	1313.477894	18928	14428
124.657981	95.549209	718.752536	18929	14429
124.703757	84.606590	444.749212	18930	14430
124.882899	64.667301	627.550234	18931	14431
125.661021	47.493349	407.454233	18932	14432
126.111492	47.661218	1533.002975	18933	14433
126.863989	79.840750	382.743271	18934	14434
127.672988	86.893900	807.375773	18935	14435
127.760465	9.545682	88.227149	18936	14436
128.594055	7.350447	603.210812	18937	14437
128.610980	45.188640	1160.593058	18938	14438
128.697772	56.795263	668.247898	18939	14439
129.118294	11.203374	195.521428	18940	14440
129.437174	11.658337	2057.906931	18941	14441
129.612656	72.901476	1154.609122	18942	14442
