Inicio(seg)	Duracao(seg)	Banda(Kbps)	PCli	PServ
0.100416	78.275461	21.473584	18501	14001
0.125879	76.136369	706.729630	18502	14002
0.144405	23.815972	1463.634028	18503	14003
0.451006	13.392282	1184.077387	18504	14004
0.618468	5.375085	735.061948	18505	14005
0.652982	63.189976	1309.956505	18506	14006
0.731190	92.188542	1283.869416	18507	14007
0.843316	18.506155	478.568820	18508	14008
0.939489	46.974152	582.846386	18509	14009
1.031378	53.748133	1076.180556	18510	14010
1.270682	81.496204	755.104403	18511	14011
1.306450	35.327428	97.091160	18512	14012
1.311253	15.828514	1806.571385	18513	14013
1.482338	64.497279	812.193724	18514	14014
1.525671	23.900016	1990.517105	18515	14015
1.741032	76.691531	359.344671	18516	14016
1.790877	35.923606	184.670816	18517	14017
1.807265	13.878736	1762.262953	18518	14018
2.246476	41.490873	2956.359716	18519	14019
2.275428	48.348932	1791.391978	18520	14020
2.351905	61.750307	2387.262846	18521	14021
2.396094	61.069129	41.035894	18522	14022
2.436249	12.563244	373.253535	18523	14023
2.492372	78.513878	41.758213	18524	14024
2.534890	34.918053	1036.238455	18525	14025
2.678961	9.094249	2170.426273	18526	14026
2.771994	88.419181	553.412394	18527	14027
2.802405	53.779330	932.758451	18528	14028
2.838511	33.582774	26.345395	18529	14029
2.921868	27.997208	835.063324	18530	14030
2.928509	50.137564	354.753440	18531	14031
2.996838	97.987819	425.034630	18532	14032
3.035151	97.822669	595.150112	18533	14033
3.227520	54.380714	883.787070	18534	14034
3.379823	11.469241	639.602608	18535	14035
3.383603	73.267267	903.109016	18536	14036
3.419232	38.312357	848.136733	18537	14037
3.436571	53.671745	1146.085411	18538	14038
3.448008	9.795379	422.104725	18539	14039
3.493478	21.995767	2222.122270	18540	14040
3.504781	25.783088	1429.841125	18541	14041
3.595975	75.737308	649.700606	18542	14042
3.699559	19.023918	208.264805	18543	14043
3.777737	9.619661	292.693803	18544	14044
4.033141	26.543468	491.842627	18545	14045
4.109384	92.908903	856.514741	18546	14046
4.194488	6.411702	3903.635805	18547	14047
4.404318	80.216915	844.314917	18548	14048
4.420398	60.498604	1263.530070	18549	14049
4.431448	45.702820	1212.222445	18550	14050
4.502169	46.762498	186.126632	18551	14051
4.663147	82.808407	96.694249	18552	14052
4.685224	58.687004	911.368639	18553	14053
4.689052	46.431234	359.260396	18554	14054
4.825648	7.915060	617.982414	18555	14055
4.844049	57.943064	497.989369	18556	14056
4.996704	84.634825	935.857183	18557	14057
5.148600	85.608372	946.411112	18558	14058
5.287415	63.495003	21.905803	18559	14059
5.359389	21.724003	628.160971	18560	14060
5.378604	50.981985	1905.024386	18561	14061
5.514345	6.390313	1934.248165	18562	14062
5.526758	48.386266	552.339301	18563	14063
