Tempo Switch RegrasInstaladas RegrasAceitas RegrasBloqueadas BytesEnviados
6 HW 2 2 0 0
10 SW 2 2 0 0
10 HW 20 20 0 0
14 HW 48 48 0 0
15 SW 4 4 0 0
18 HW 69 69 0 0
20 SW 6 6 0 0
22 HW 86 86 0 0
25 SW 6 6 0 0
26 HW 107 107 0 0
30 SW 6 6 0 0
30 HW 133 135 0 524664
34 HW 155 157 0 524664
35 SW 2 6 0 360
38 HW 168 178 0 9065952
40 SW 2 6 0 360
42 HW 174 212 0 21490056
45 SW 163 268 0 360
46 HW 192 242 0 26534088
50 SW 219 585 0 360
50 HW 199 262 5 40861800
54 HW 200 269 22 47726280
55 SW 227 764 0 360
58 HW 99 299 32 253084608
60 SW 202 921 0 480
62 HW 123 370 32 275306472
65 SW 178 921 0 480
66 HW 135 396 32 279025992
70 SW 246 1072 0 2756856
70 HW 146 439 32 282139200
74 HW 155 472 32 290609424
75 SW 294 1427 0 6288888
78 HW 167 498 32 290996496
80 SW 313 1624 0 7710348
82 HW 177 521 32 307273176
85 SW 297 1858 0 19954644
86 HW 104 558 32 511210224
90 SW 257 1858 0 36766572
90 HW 136 619 32 530202456
94 HW 138 643 32 532588392
95 SW 273 1927 0 40874676
98 HW 147 677 32 533633184
100 SW 324 2135 0 48625188
102 HW 143 725 32 546956928
105 SW 370 2485 0 79504764
106 HW 115 758 32 572234544
110 SW 394 2759 0 105162012
110 HW 145 808 32 572264784
114 HW 122 841 32 626403456
115 SW 380 3032 0 130858452
118 HW 114 872 32 659960784
120 SW 352 3091 0 189177804
122 HW 113 922 32 675062640
125 SW 374 3366 0 236731836
126 HW 101 969 32 684276768
130 SW 389 3518 0 279786036
130 HW 103 1003 32 688936752
134 HW 127 1027 32 688936752
135 SW 360 3518 0 354986868
138 HW 134 1080 32 718959024
140 SW 322 3589 0 464706840
142 HW 113 1123 32 723800448
145 SW 326 3706 0 538398696
146 HW 123 1155 32 725554368
150 SW 340 3775 0 596707464
150 HW 149 1209 32 725577048
154 HW 146 1249 32 726322464
155 SW 372 4073 0 713196480
158 HW 146 1309 32 755625024
160 SW 393 4368 0 747004800
162 HW 164 1352 32 758234736
165 SW 422 4764 0 784386096
166 HW 170 1400 32 770445648
170 SW 416 5145 0 842499816
170 HW 138 1445 32 828792216
174 HW 124 1486 32 860048280
175 SW 414 5414 0 908137368
178 HW 114 1519 32 874094760
180 SW 379 5474 0 1007245944
182 HW 141 1576 32 883744344
185 SW 390 5667 0 1159369776
186 HW 128 1616 32 889237440
190 SW 388 5851 0 1245340704
190 HW 119 1652 32 893794608
194 HW 137 1698 32 895778352
195 SW 428 6111 0 1274334816
198 HW 117 1733 32 917277480
200 SW 422 6382 0 1338593304
202 HW 111 1782 32 949153464
205 SW 427 6598 0 1417350360
206 HW 110 1823 32 960771672
210 SW 395 6708 0 1491178296
210 HW 117 1867 32 974251152
214 HW 114 1920 32 980347536
215 SW 436 6980 0 1595398944
218 HW 108 1963 32 987739704
220 SW 419 7195 0 1755202344
222 HW 118 2005 32 995765400
225 SW 442 7372 0 1822528800
226 HW 109 2045 32 999016200
230 SW 420 7593 0 1974729744
230 HW 100 2088 32 1010581488
234 HW 109 2125 32 1014672960
235 SW 380 7648 0 2108298312
238 HW 120 2151 32 1019782008
240 SW 324 7648 0 2199482496
242 HW 111 2190 32 1027054728
245 SW 367 7814 0 2329233444
246 HW 97 2227 32 1038486960
250 SW 327 7814 0 2438948700
250 HW 121 2261 32 1040717160
254 HW 119 2299 32 1040777640
255 SW 378 7940 0 2553148548
258 HW 108 2338 32 1067624712
260 SW 387 8109 0 2653838676
262 HW 111 2378 32 1072585584
265 SW 393 8219 0 2858495436
266 HW 131 2408 32 1072907640
270 SW 379 8340 0 3011048856
270 HW 127 2458 32 1090203408
274 HW 111 2492 32 1104780600
275 SW 369 8581 0 3139194000
278 HW 115 2532 32 1113535080
280 SW 382 8695 0 3200259144
282 HW 127 2571 32 1116619560
285 SW 396 8937 0 3346570848
286 HW 106 2615 32 1132367040
290 SW 398 9210 0 3447422760
290 HW 118 2664 32 1140657336
294 HW 110 2695 32 1153668096
295 SW 390 9329 0 3515821104
298 HW 114 2729 32 1162052136
300 SW 372 9448 0 3645862176
302 HW 111 2779 32 1174299336
305 SW 405 9726 0 3747814824
306 HW 110 2820 32 1178151912
310 SW 422 9903 0 3916823160
310 HW 126 2858 32 1180884096
314 HW 136 2894 32 1183735728
315 SW 428 10217 0 4013087664
318 HW 112 2935 32 1206873864
320 SW 408 10334 0 4110568056
322 HW 106 2976 32 1213272648
325 SW 428 10539 0 4198008528
326 HW 106 3010 32 1217778408
330 SW 385 10539 0 4283421408
330 HW 117 3044 32 1227555000
334 HW 106 3095 32 1231923168
335 SW 452 10775 0 4371096240
338 HW 105 3126 32 1241737560
340 SW 423 10829 0 4620530880
342 HW 117 3179 32 1244676888
345 SW 483 11120 0 4694972688
346 HW 141 3228 32 1244714688
350 SW 450 11371 0 4775226624
350 HW 112 3269 32 1262439864
354 HW 121 3310 32 1262488248
355 SW 478 11665 0 4937019696
358 HW 108 3366 32 1282290912
360 SW 475 11934 0 5027000328
362 HW 102 3415 32 1290951648
365 SW 479 12181 0 5136788160
366 HW 97 3453 32 1298064096
370 SW 430 12235 0 5246322336
370 HW 107 3493 32 1303242696
374 HW 110 3532 32 1309568904
375 SW 381 12293 0 5466502800
378 HW 95 3581 32 1312220952
380 SW 405 12512 0 5670849600
382 HW 104 3624 32 1313178048
385 SW 430 12724 0 5754928896
386 HW 112 3668 32 1320688152
390 SW 443 12894 0 5913948960
390 HW 112 3705 32 1331509536
394 HW 109 3741 32 1351020384
395 SW 385 13002 0 6023299824
398 HW 119 3784 32 1361297448
400 SW 365 13116 0 6211333656
402 HW 100 3818 32 1372078008
405 SW 370 13226 0 6282978264
406 HW 98 3854 32 1382453352
410 SW 364 13284 0 6376365432
410 HW 98 3890 32 1390814712
414 HW 101 3926 32 1395232776
415 SW 338 13339 0 6546544176
418 HW 103 3967 32 1399083840
420 SW 334 13444 0 6659380380
422 HW 121 3995 32 1404200448
425 SW 333 13504 0 6771227556
426 HW 112 4044 32 1412894448
430 SW 357 13671 0 6864446892
430 HW 109 4077 32 1425333672
434 HW 108 4108 32 1438525872
435 SW 326 13725 0 6989970108
438 HW 126 4154 32 1438568208
440 SW 371 14031 0 7158694188
442 HW 113 4188 32 1462680072
445 SW 362 14201 0 7288724676
446 HW 100 4231 32 1470276360
450 SW 355 14262 0 7371208812
450 HW 132 4263 32 1470276360
454 HW 103 4308 32 1491745248
455 SW 367 14482 0 7444498656
458 HW 107 4336 32 1497681360
460 SW 311 14482 0 7620168864
462 HW 119 4369 32 1506735216
465 SW 334 14550 0 7647580032
466 HW 129 4403 32 1506771504
470 SW 352 14714 0 7760178672
470 HW 100 4455 32 1528846704
474 HW 126 4501 32 1528876944
475 SW 405 14937 0 7816004736
478 HW 153 4546 32 1528904160
480 SW 416 15292 0 7943777808
482 HW 141 4583 32 1547306712
485 SW 379 15499 0 8043488160
486 HW 121 4629 32 1584341640
490 SW 404 15796 0 8188253208
490 HW 107 4665 32 1597880088
494 HW 104 4702 32 1605810528
495 SW 374 15849 0 8263207584
498 HW 111 4749 32 1608046776
500 SW 404 16123 0 8391130344
502 HW 117 4796 32 1613060568
505 SW 391 16306 0 8533677168
506 HW 120 4838 32 1618390368
510 SW 417 16484 0 8638865496
510 HW 130 4881 32 1622297376
514 HW 127 4923 32 1633901976
515 SW 356 16484 0 8725757232
518 HW 138 4964 32 1637415864
520 SW 310 16484 0 8845150800
522 HW 149 4998 32 1640176776
525 SW 247 16484 0 9006820008
526 HW 136 5036 32 1642603536
530 SW 204 16484 0 9219747408
530 HW 150 5089 32 1643678568
534 HW 133 5108 32 1645886088
535 SW 166 16484 0 9387961944
538 HW 155 5173 32 1645914816
540 SW 148 16484 0 9462450624
542 HW 160 5214 32 1647615816
545 SW 124 16488 0 9593073816
546 HW 156 5246 32 1653291864
550 SW 105 16488 0 9645632448
550 HW 159 5295 32 1674217944
554 HW 134 5324 32 1698115104
555 SW 75 16488 0 9795442920
558 HW 139 5363 32 1706515776
560 SW 57 16488 0 9853010988
562 HW 153 5420 32 1730703240
565 SW 42 16488 0 9898939680
566 HW 156 5465 32 1755052488
570 SW 34 16488 0 9920349600
570 HW 153 5483 32 1769847408
574 HW 124 5500 32 1798393968
575 SW 19 16490 0 9956164344
578 HW 89 5516 32 1836048816
580 SW 7 16490 0 9973203072
582 HW 70 5533 32 1892408616
585 SW 6 16490 0 9974578992
586 HW 68 5541 32 1939784112
590 SW 6 16490 0 9974578992
590 HW 56 5545 32 2006773272
594 HW 44 5547 32 2025618840
595 SW 4 16492 0 9976916664
598 HW 27 5551 32 2064274632
600 SW 4 16492 0 9976916664
602 HW 18 5552 32 2091351528
605 SW 4 16492 0 9976916664
606 HW 12 5552 32 2097961992
610 SW 4 16494 0 9976916784
610 HW 12 5552 32 2097961992
614 HW 4 5552 32 2102389128
615 SW 4 16494 0 9976916784
618 HW 2 5552 32 2111016600
620 SW 4 16494 0 9976916784
622 HW 2 5552 32 2111016600
625 SW 2 16494 0 9976916964
626 HW 2 5552 32 2111016600
