Tempo Switch RegrasInstaladas RegrasAceitas VezesBloqueado BytesEnviados
6 SW 2 2 0 0
6 HW 12 12 0 0
11 SW 2 2 0 0
11 HW 48 48 0 0
16 SW 26 26 0 0
16 HW 73 74 0 1512
21 SW 26 26 0 0
21 HW 92 93 0 1512
26 SW 49 72 0 0
26 HW 116 126 0 530952
31 SW 47 72 0 0
32 HW 128 161 0 5476704
36 SW 91 136 0 0
37 HW 136 187 0 13853184
42 SW 82 136 0 198072
42 HW 152 225 0 26780784
47 SW 126 212 0 198072
47 HW 174 264 0 38267568
52 SW 108 212 0 3479112
52 HW 175 297 0 46124040
57 SW 159 300 0 6745032
57 HW 192 339 0 55409232
62 SW 135 300 0 7992432
62 HW 194 375 0 85918368
67 SW 199 397 0 11052720
67 HW 200 410 8 115544496
72 SW 169 397 0 16276680
73 HW 195 442 23 150939084
77 SW 215 495 0 22368528
78 HW 188 468 31 172702932
82 SW 177 495 0 37512720
83 HW 186 512 31 281950980
87 SW 232 588 0 43262856
88 HW 195 548 31 362368212
92 SW 194 588 0 44762760
93 HW 197 581 34 427836300
97 SW 246 687 0 53568648
98 HW 197 628 40 488564508
102 SW 209 687 0 74975544
103 HW 195 673 46 600328524
107 SW 269 785 0 90921096
108 HW 196 721 60 616431324
113 SW 213 785 0 146958840
114 HW 201 752 68 671365308
118 SW 268 886 0 178231536
119 HW 191 783 81 787982964
123 SW 201 886 0 213275160
124 HW 201 829 101 853216812
128 SW 255 987 0 241873128
129 HW 181 850 121 931623084
133 SW 208 987 0 254560320
134 HW 174 888 121 1166423076
138 SW 245 1074 0 293140512
139 HW 171 927 121 1251308388
143 SW 191 1074 0 324705024
144 HW 175 970 121 1414435044
148 SW 241 1162 0 381101112
149 HW 174 1016 121 1539645396
153 SW 192 1162 0 391858992
155 HW 200 1070 124 1713478524
158 SW 251 1262 0 425472264
160 HW 192 1110 149 1808364084
164 SW 199 1262 0 494067168
165 HW 202 1154 162 1875388140
169 SW 254 1363 0 511660800
170 HW 187 1180 188 2004503868
174 SW 199 1363 0 551421864
175 HW 185 1222 188 2179141500
179 SW 243 1455 0 571939704
180 HW 189 1259 188 2274453444
184 SW 198 1455 0 606056472
185 HW 190 1307 188 2428237572
189 SW 246 1550 0 672129360
190 HW 184 1348 193 2490586404
194 SW 212 1550 0 682164504
196 HW 199 1394 193 2584780980
199 SW 268 1650 0 702449496
201 HW 191 1430 211 2737808988
204 SW 215 1650 0 717265584
206 HW 200 1474 212 2788143468
209 SW 261 1750 0 796712112
211 HW 199 1517 231 2817341700
214 SW 215 1750 0 811135080
216 HW 193 1558 244 2978386452
219 SW 262 1847 0 913193568
221 HW 186 1597 253 3023549892
225 SW 209 1847 0 935137224
226 HW 203 1642 258 3085418028
230 SW 257 1949 0 978959520
232 HW 180 1669 274 3297450324
235 SW 203 1949 0 998426520
237 HW 172 1702 274 3452034180
240 SW 243 2035 0 1030926960
242 HW 182 1751 274 3571288644
245 SW 194 2035 0 1050156576
247 HW 183 1791 274 3701157348
250 SW 251 2127 0 1070252568
252 HW 176 1838 276 3804804948
255 SW 202 2127 0 1100182608
257 HW 195 1883 276 3909471723
260 SW 266 2225 0 1114233624
262 HW 180 1922 282 4079487258
265 SW 201 2225 0 1163580768
268 HW 198 1972 282 4224730098
270 SW 252 2324 0 1196475840
273 HW 187 2002 298 4324685394
275 SW 200 2324 0 1223158104
278 HW 191 2044 298 4386495954
280 SW 250 2420 0 1243155816
283 HW 201 2089 306 4499557266
286 SW 199 2420 0 1294125336
288 HW 200 2126 330 4580653386
291 SW 256 2520 0 1313770752
293 HW 191 2156 341 4634993154
296 SW 212 2520 0 1335968424
298 HW 194 2199 341 4749301866
301 SW 256 2617 0 1381402512
303 HW 199 2240 360 4850264334
306 SW 209 2617 0 1401878016
309 HW 198 2277 365 4938695286
311 SW 260 2716 0 1421355600
314 HW 197 2308 379 5008137500
316 SW 220 2716 0 1444771944
319 HW 200 2351 386 5097327356
321 SW 267 2816 0 1499538096
324 HW 189 2378 399 5178219356
326 SW 230 2816 0 1532601000
329 HW 186 2418 399 5257742996
331 SW 281 2909 0 1572903360
334 HW 183 2456 418 5404452356
336 SW 236 2909 0 1614823560
339 HW 195 2509 418 5573044892
342 SW 294 3007 0 1651460832
344 HW 195 2553 431 5631731660
347 SW 246 3007 0 1670226264
350 HW 200 2596 439 5774478368
352 SW 300 3107 0 1694186928
355 HW 181 2634 450 5886246920
357 SW 244 3107 0 1729115640
360 HW 195 2688 450 5947909304
362 SW 302 3205 0 1776019392
365 HW 173 2718 471 5995358888
367 SW 237 3205 0 1827720720
370 HW 192 2764 471 6109596536
372 SW 274 3301 0 1893604608
375 HW 196 2813 475 6249120872
377 SW 211 3301 0 1920475872
380 HW 200 2855 483 6381251528
382 SW 265 3401 0 1952989920
386 HW 173 2880 506 6424762352
388 SW 218 3401 0 1981873656
391 HW 172 2920 506 6585045176
393 SW 261 3487 0 2039691024
396 HW 187 2968 506 6673575800
398 SW 197 3487 0 2055870936
401 HW 197 3008 506 6768973928
403 SW 247 3586 0 2108030400
406 HW 173 3041 517 6838571288
408 SW 212 3586 0 2117395728
411 HW 170 3081 517 7011961400
413 SW 256 3671 0 2194169040
416 HW 183 3134 517 7089537584
418 SW 196 3671 0 2254916664
421 HW 189 3163 517 7122564200
423 SW 240 3766 0 2296345464
427 HW 180 3202 531 7213027160
428 SW 194 3766 0 2332585080
432 HW 184 3246 531 7309975208
433 SW 249 3858 0 2356377912
437 HW 195 3299 531 7396856420
439 SW 197 3858 0 2376609984
442 HW 199 3334 547 7537106516
444 SW 247 3958 0 2444246280
447 HW 182 3360 563 7623955796
449 SW 198 3958 0 2480065560
452 HW 191 3407 563 7704244508
454 SW 250 4054 0 2502317664
457 HW 188 3441 569 7805516756
459 SW 198 4054 0 2553066432
463 HW 198 3487 569 7867162508
464 SW 250 4153 0 2591865864
468 HW 193 3524 582 7904436332
469 SW 201 4153 0 2640509928
473 HW 200 3570 599 7977754844
474 SW 256 4253 0 2674604016
478 HW 200 3610 615 8108685092
479 SW 208 4253 0 2687936832
483 HW 198 3650 622 8260476284
485 SW 260 4352 0 2709637056
488 HW 184 3682 642 8368458788
490 SW 216 4352 0 2733038280
493 HW 187 3726 642 8461752212
495 SW 261 4446 0 2772313992
498 HW 197 3782 644 8571523412
500 SW 201 4446 0 2797057872
504 HW 202 3817 658 8726300804
505 SW 262 4547 0 2810026296
509 HW 174 3832 677 8833666412
510 SW 210 4547 0 2828271600
514 HW 160 3855 677 8957065388
515 SW 244 4627 0 2839904928
519 HW 132 3875 677 9042076196
520 SW 195 4627 0 2867033232
524 HW 108 3894 677 9171689372
525 SW 216 4681 0 2954807856
529 HW 80 3909 677 9292315220
531 SW 161 4681 0 2967381648
534 HW 90 3927 677 9350203652
536 SW 183 4726 0 2981128752
539 HW 69 3946 677 9432015068
541 SW 132 4726 0 3003033096
544 HW 74 3963 677 9529634324
546 SW 152 4763 0 3059900928
549 HW 47 3975 677 9558723872
551 SW 107 4763 0 3083758776
554 HW 49 3983 677 9663503960
556 SW 123 4788 0 3103579584
559 HW 33 3994 677 9721944392
561 SW 73 4788 0 3173173920
564 HW 41 4004 677 9770094032
566 SW 86 4809 0 3193129296
569 HW 27 4013 677 9820490504
571 SW 56 4809 0 3215472120
574 HW 27 4018 677 9929631200
576 SW 62 4823 0 3251256624
580 HW 20 4024 677 10026340232
581 SW 36 4823 0 3272465448
585 HW 22 4032 677 10074863696
586 SW 46 4834 0 3276691488
590 HW 11 4036 677 10173175448
591 SW 29 4834 0 3283038864
595 HW 10 4036 677 10189479344
596 SW 26 4839 0 3334613184
600 HW 7 4039 677 10213681928
601 SW 11 4839 0 3352997592
605 HW 7 4041 677 10213682108
606 SW 13 4842 0 3353414904
610 HW 4 4041 677 10213686644
612 SW 6 4842 0 3360711816
615 HW 4 4041 677 10213686644
617 SW 5 4842 0 3363200568
620 HW 2 4041 677 10213686824
622 SW 2 4842 0 3363200568
625 HW 2 4041 677 10213686824
627 SW 2 4842 0 3363200568
630 HW 2 4041 677 10213686824
