Tempo Switch RegrasInstaladas RegrasAceitas RegrasBloqueadas BytesEnviados
4 HW 2 2 0 0
8 SW 2 2 0 0
9 HW 18 18 0 0
13 SW 6 6 0 0
14 HW 39 39 0 0
18 SW 6 6 0 0
19 HW 61 61 0 0
23 SW 6 6 0 0
24 HW 80 80 0 0
28 SW 2 6 0 300
30 HW 96 98 0 524664
33 SW 2 6 0 300
34 HW 110 114 0 2617272
38 SW 2 6 0 300
40 HW 120 134 0 16128504
43 SW 2 6 0 300
45 HW 131 159 0 26062344
48 SW 4 8 0 300
50 HW 144 178 0 32772600
53 SW 6 10 0 300
55 HW 160 200 0 40204080
58 SW 102 136 0 300
60 HW 168 234 0 52765776
63 SW 111 183 0 480
65 HW 177 261 0 61692624
69 SW 155 429 0 480
70 HW 186 291 0 96008976
73 SW 133 484 0 660
75 HW 130 310 0 164591784
79 SW 160 551 0 660
80 HW 129 344 0 212865408
84 SW 147 593 0 660
85 HW 140 375 0 247018464
89 SW 139 593 0 103476
90 HW 157 401 0 290431008
94 SW 141 636 0 2202132
95 HW 123 420 0 375834816
99 SW 160 678 0 6712548
100 HW 130 449 0 403298784
104 SW 171 709 0 17039508
105 HW 156 493 0 424667880
109 SW 169 751 0 21091668
110 HW 158 521 0 465236352
114 SW 175 799 0 34860120
115 HW 148 548 0 519594264
119 SW 148 799 0 57771456
120 HW 149 584 0 580913424
124 SW 195 888 0 65316336
125 HW 141 611 0 673659504
129 SW 167 888 0 82566864
130 HW 156 641 0 711643968
134 SW 180 921 0 104286744
135 HW 145 671 0 808232040
139 SW 135 923 0 136648080
140 HW 136 700 0 853047720
144 SW 170 968 0 144766008
145 HW 143 739 0 977861808
149 SW 210 1082 0 179280432
150 HW 143 775 0 1107279936
154 SW 216 1120 0 237439512
155 HW 130 804 0 1143859752
159 SW 191 1155 0 291244332
160 HW 148 835 0 1200505320
164 SW 160 1188 0 316222572
165 HW 133 872 0 1303688736
169 SW 159 1225 0 357026916
170 HW 142 910 0 1353608928
174 SW 190 1299 0 378538140
175 HW 145 942 0 1422501696
179 SW 183 1332 0 398171460
180 HW 136 970 0 1544671296
184 SW 203 1410 0 500648772
185 HW 133 1004 0 1638970200
189 SW 206 1490 0 551589564
190 HW 133 1032 0 1669379544
194 SW 184 1490 0 592486260
195 HW 139 1060 0 1679017032
199 SW 173 1536 0 612880236
200 HW 136 1089 0 1876351176
204 SW 140 1536 0 634530564
205 HW 144 1118 0 1955954952
209 SW 169 1577 0 651132324
210 HW 131 1154 0 2038587264
214 SW 134 1577 0 695444508
215 HW 140 1178 0 2077376112
219 SW 127 1577 0 704303316
220 HW 130 1205 0 2276111880
224 SW 119 1619 0 750901764
225 HW 128 1236 0 2339206128
229 SW 135 1652 0 792580044
230 HW 160 1274 0 2357384904
234 SW 171 1707 0 813930996
235 HW 163 1320 0 2363771592
239 SW 196 1875 0 849277140
240 HW 166 1359 0 2422907424
244 SW 227 2080 0 865378428
245 HW 177 1389 0 2475351144
249 SW 227 2254 0 906577404
250 HW 152 1427 0 2600128944
254 SW 216 2389 0 917852508
255 HW 150 1462 0 2639247408
259 SW 221 2524 0 964987596
260 HW 139 1504 0 2749130496
264 SW 226 2601 0 990727884
265 HW 139 1534 0 2839079376
269 SW 224 2641 0 1018181268
270 HW 132 1562 0 2958400368
274 SW 206 2675 0 1055390076
275 HW 141 1603 0 3079758024
279 SW 202 2712 0 1068839316
280 HW 120 1633 0 3193348536
284 SW 201 2747 0 1079722992
285 HW 135 1672 0 3261246408
289 SW 215 2816 0 1119612576
290 HW 132 1698 0 3352111560
294 SW 209 2855 0 1153552440
295 HW 141 1742 0 3414203352
299 SW 229 2937 0 1171785648
300 HW 127 1776 0 3481324056
304 SW 208 2976 0 1179573960
305 HW 140 1807 0 3570058800
309 SW 179 2978 0 1264303416
310 HW 137 1844 0 3676754592
314 SW 214 3090 0 1355430264
315 HW 134 1887 0 3712424184
319 SW 225 3155 0 1379014440
320 HW 135 1916 0 3800235096
324 SW 210 3155 0 1443809868
325 HW 136 1944 0 3925536048
329 SW 174 3201 0 1491604188
330 HW 128 1987 0 3981718944
334 SW 190 3273 0 1519074204
335 HW 134 2016 0 4001284224
339 SW 218 3342 0 1553608284
340 HW 141 2058 0 4065852672
344 SW 191 3342 0 1690355196
345 HW 141 2080 0 4165231896
349 SW 175 3376 0 1715386356
350 HW 145 2116 0 4195508184
354 SW 176 3418 0 1734921396
355 HW 129 2142 0 4283821080
359 SW 190 3456 0 1769919660
360 HW 142 2175 0 4313971872
364 SW 181 3501 0 1813214388
365 HW 143 2201 0 4371196536
369 SW 152 3501 0 1829380692
370 HW 137 2224 0 4460700888
374 SW 126 3501 0 1860836340
375 HW 145 2256 0 4625208000
379 SW 144 3544 0 1889960664
380 HW 126 2277 0 4690119672
384 SW 169 3585 0 1916077440
385 HW 145 2324 0 4707735984
389 SW 179 3623 0 1988617152
390 HW 154 2354 0 4755741984
394 SW 176 3671 0 2006747544
395 HW 141 2384 0 4857374088
399 SW 184 3752 0 2035297128
400 HW 152 2426 0 4929895656
404 SW 193 3823 0 2066117736
405 HW 149 2456 0 4975299504
409 SW 192 3865 0 2084629452
410 HW 137 2493 0 5089349664
414 SW 189 3934 0 2128929540
415 HW 141 2522 0 5153086512
419 SW 159 3934 0 2152256676
420 HW 139 2549 0 5204214792
424 SW 200 4065 0 2174969940
425 HW 140 2582 0 5298034392
429 SW 177 4065 0 2193969732
430 HW 148 2618 0 5375940192
434 SW 213 4146 0 2217286284
435 HW 138 2644 0 5400210816
439 SW 191 4188 0 2243406084
440 HW 140 2680 0 5438233080
444 SW 184 4188 0 2268671724
445 HW 163 2707 0 5576650632
449 SW 148 4188 0 2301093720
450 HW 161 2755 0 5600851704
454 SW 217 4308 0 2333081592
455 HW 143 2782 0 5696733672
459 SW 233 4349 0 2351642904
460 HW 169 2827 0 5744429712
464 SW 250 4425 0 2380993848
465 HW 168 2861 0 5787300960
469 SW 224 4504 0 2396301336
470 HW 153 2895 0 5865306552
474 SW 251 4614 0 2449838412
475 HW 140 2935 0 6001844688
479 SW 255 4695 0 2466890748
480 HW 143 2968 0 6053810616
484 SW 229 4695 0 2499761628
485 HW 145 2996 0 6148705248
489 SW 227 4775 0 2533719756
490 HW 113 3034 0 6235767720
494 SW 254 4852 0 2541045396
495 HW 131 3077 0 6306115032
499 SW 265 4887 0 2574143076
500 HW 140 3114 0 6361065648
504 SW 212 4887 0 2619781284
505 HW 155 3144 0 6394796856
509 SW 195 4929 0 2655086604
510 HW 160 3185 0 6419106792
514 SW 222 5008 0 2765828508
515 HW 145 3232 0 6514160184
519 SW 239 5052 0 2822114220
520 HW 148 3262 0 6618556224
524 SW 258 5173 0 2858329644
525 HW 150 3298 0 6647185944
529 SW 220 5207 0 2985621900
530 HW 145 3334 0 6685407792
534 SW 226 5282 0 3005442708
535 HW 140 3373 0 6769980000
539 SW 213 5359 0 3052136532
540 HW 138 3413 0 6808021920
544 SW 207 5397 0 3101119284
545 HW 135 3446 0 6891292296
