PSrc PDst
14326 18826
18908 14408
14248 18748
14336 18836
14334 18834
18914 14414
14022 18522
18916 14416
18922 14422
14014 18514
14318 18818
18924 14424
18926 14426
18940 14440
18942 14442
18946 14446
18948 14448
18990 14490
14332 18832
14398 18898
18992 14492
18994 14494
14264 18764
14152 18652
18996 14496
19004 14504
19006 14506
19008 14508
14036 18536
19010 14510
14472 18972
14208 18708
19012 14512
19014 14514
14016 18516
19022 14522
19024 14524
14258 18758
19038 14538
14284 18784
14176 18676
14350 18850
14236 18736
14360 18860
14306 18806
19040 14540
19050 14550
14346 18846
19052 14552
14070 18570
19058 14558
14378 18878
19070 14570
14104 18604
19072 14572
14204 18704
19074 14574
14298 18798
19076 14576
14144 18644
19078 14578
14256 18756
14150 18650
14162 18662
14230 18730
19086 14586
14268 18768
14310 18810
14432 18932
14126 18626
19090 14590
14292 18792
14252 18752
19104 14604
14458 18958
19106 14606
14058 18558
14364 18864
14450 18950
19108 14608
14122 18622
14528 19028
19116 14616
14186 18686
14046 18546
19128 14628
14452 18952
19142 14642
19144 14644
19146 14646
19148 14648
14314 18814
14118 18618
19156 14656
19158 14658
14542 19042
19166 14666
19168 14668
14140 18640
19220 14720
19222 14722
14238 18738
14226 18726
19224 14724
19230 14730
19232 14732
19234 14734
14206 18706
19236 14736
19240 14740
14600 19100
14106 18606
19242 14742
19244 14744
19246 14746
14218 18718
14254 18754
19254 14754
19266 14766
19268 14768
19272 14772
19274 14774
19276 14776
14304 18804
19280 14780
14582 19082
19282 14782
19284 14784
19288 14788
19290 14790
14330 18830
14188 18688
19296 14796
19298 14798
14714 19214
19304 14804
19306 14806
19308 14808
14592 19092
14428 18928
19392 14892
14814 19314
19402 14902
19404 14904
19410 14910
19412 14912
19414 14914
19416 14916
14708 19208
19424 14924
19426 14926
14674 19174
14760 19260
14386 18886
19428 14928
14312 18812
19434 14934
14356 18856
14874 19374
14610 19110
14880 19380
14464 18964
14700 19200
19446 14946
14680 19180
19466 14966
19468 14968
19470 14970
14690 19190
14948 19448
19534 15034
14786 19286
19536 15036
14456 18956
14726 19226
19538 15038
14852 19352
19540 15040
19542 15042
14682 19182
19544 15044
14530 19030
14400 18900
19546 15046
14390 18890
14908 19408
19582 15082
14566 19066
14688 19188
14650 19150
14466 18966
19584 15084
14662 19162
19586 15086
19588 15088
19590 15090
14564 19064
14632 19132
14820 19320
14990 19490
14960 19460
19594 15094
14800 19300
14832 19332
15030 19530
14974 19474
19612 15112
14546 19046
19614 15114
15008 19508
19624 15124
15070 19570
15064 19564
19634 15134
14764 19264
14634 19134
19636 15136
19638 15138
19640 15140
19642 15142
14484 18984
14830 19330
14602 19102
15004 19504
14486 18986
14596 19096
19676 15176
19678 15178
14758 19258
14996 19496
19680 15180
14584 19084
19682 15182
14672 19172
19770 15270
19772 15272
19774 15274
19776 15276
19786 15286
15002 19502
19788 15288
19798 15298
19800 15300
14840 19340
14982 19482
19804 15304
14950 19450
15016 19516
19806 15306
19810 15310
19812 15312
14778 19278
19892 15392
15010 19510
15072 19572
15324 19824
19898 15398
19908 15408
19910 15410
19912 15412
15150 19650
19914 15414
19932 15432
15116 19616
19966 15466
19968 15468
19970 15470
19972 15472
15106 19606
15118 19618
19974 15474
19976 15476
14854 19354
19978 15478
19980 15480
19988 15488
14888 19388
19990 15490
19992 15492
19994 15494
15214 19714
20016 15516
15290 19790
20018 15518
14886 19386
15172 19672
20022 15522
14984 19484
20028 15528
15258 19758
20048 15548
20050 15550
20052 15552
20054 15554
20056 15556
20058 15558
15316 19816
20060 15560
20062 15562
15292 19792
20064 15564
20072 15572
20074 15574
20076 15576
20078 15578
15404 19904
20088 15588
20090 15590
15048 19548
20100 15600
15054 19554
20104 15604
15586 20086
20116 15616
20122 15622
20124 15624
20126 15626
15068 19568
20150 15650
20152 15652
20156 15656
15260 19760
20158 15658
15320 19820
20162 15662
20164 15664
20166 15666
15434 19934
20176 15676
15364 19864
20178 15678
15232 19732
15200 19700
15380 19880
20188 15688
20200 15700
20210 15710
20212 15712
20214 15714
20216 15716
15500 20000
20218 15718
20222 15722
20224 15724
15102 19602
20226 15726
15386 19886
20228 15728
15238 19738
15184 19684
20232 15732
15610 20110
15314 19814
15108 19608
20234 15734
20236 15736
15538 20038
20240 15740
20248 15748
20250 15750
15674 20174
15294 19794
20262 15762
15250 19750
20268 15768
20270 15770
20272 15772
15530 20030
15154 19654
20274 15774
20276 15776
15448 19948
20278 15778
15582 20082
15158 19658
15218 19718
20284 15784
15506 20006
20286 15786
20288 15788
20290 15790
20298 15798
15742 20242
15646 20146
20300 15800
15318 19818
20302 15802
20304 15804
20326 15826
20328 15828
15168 19668
20330 15830
15638 20138
15194 19694
15430 19930
15400 19900
15216 19716
15720 20220
20334 15834
15510 20010
15368 19868
20336 15836
15256 19756
20338 15838
15354 19854
20340 15840
15374 19874
20358 15858
15328 19828
15668 20168
20360 15860
15222 19722
15302 19802
20362 15862
15372 19872
20364 15864
15204 19704
15508 20008
15210 19710
15620 20120
20376 15876
20378 15878
20384 15884
20386 15886
20430 15930
20432 15932
20434 15934
15592 20092
20436 15936
15696 20196
20438 15938
16076 20576
16066 20566
15796 20296
20636 16136
16044 20544
20682 16182
16112 20612
20686 16186
15832 20332
20690 16190
15570 20070
15996 20496
20692 16192
16150 20650
15908 20408
20698 16198
20700 16200
20702 16202
20704 16204
20706 16206
20708 16208
16006 20506
20710 16210
20712 16212
20744 16244
20746 16246
16152 20652
20790 16290
20792 16292
15672 20172
20794 16294
16214 20714
20796 16296
16160 20660
20836 16336
16086 20586
15926 20426
15954 20454
20844 16344
16022 20522
20846 16346
16158 20658
20874 16374
15904 20404
20876 16376
