Inicio(seg)	Duracao(seg)	Banda(Kbps)	PCli	PServ
0.351456	78.275461	21.473584	18501	14001
0.440577	76.136369	706.729630	18502	14002
0.505418	23.815972	1463.634028	18503	14003
1.578522	13.392282	1184.077387	18504	14004
2.164639	5.375085	735.061948	18505	14005
2.285437	63.189976	1309.956505	18506	14006
2.559163	92.188542	1283.869416	18507	14007
2.951607	18.506155	478.568820	18508	14008
3.288211	46.974152	582.846386	18509	14009
3.609823	53.748133	1076.180556	18510	14010
4.447388	81.496204	755.104403	18511	14011
4.572575	35.327428	97.091160	18512	14012
4.589386	15.828514	1806.571385	18513	14013
5.188182	64.497279	812.193724	18514	14014
5.339847	23.900016	1990.517105	18515	14015
6.093613	76.691531	359.344671	18516	14016
6.268071	35.923606	184.670816	18517	14017
6.325427	13.878736	1762.262953	18518	14018
7.862668	41.490873	2956.359716	18519	14019
7.963998	48.348932	1791.391978	18520	14020
8.231667	61.750307	2387.262846	18521	14021
8.386330	61.069129	41.035894	18522	14022
8.526873	12.563244	373.253535	18523	14023
8.723303	78.513878	41.758213	18524	14024
8.872115	34.918053	1036.238455	18525	14025
9.376364	9.094249	2170.426273	18526	14026
9.701980	88.419181	553.412394	18527	14027
9.808417	53.779330	932.758451	18528	14028
9.934788	33.582774	26.345395	18529	14029
10.226539	27.997208	835.063324	18530	14030
10.249782	50.137564	354.753440	18531	14031
10.488934	97.987819	425.034630	18532	14032
10.623028	97.822669	595.150112	18533	14033
11.296322	54.380714	883.787070	18534	14034
11.829381	11.469241	639.602608	18535	14035
11.842611	73.267267	903.109016	18536	14036
11.967312	38.312357	848.136733	18537	14037
12.028000	53.671745	1146.085411	18538	14038
12.068026	9.795379	422.104725	18539	14039
12.227173	21.995767	2222.122270	18540	14040
12.266735	25.783088	1429.841125	18541	14041
12.585914	75.737308	649.700606	18542	14042
12.948458	19.023918	208.264805	18543	14043
13.222081	9.619661	292.693803	18544	14044
14.115993	26.543468	491.842627	18545	14045
14.382845	92.908903	856.514741	18546	14046
14.680709	6.411702	3903.635805	18547	14047
15.415114	80.216915	844.314917	18548	14048
15.471392	60.498604	1263.530070	18549	14049
15.510069	45.702820	1212.222445	18550	14050
15.757590	46.762498	186.126632	18551	14051
16.321014	82.808407	96.694249	18552	14052
16.398284	58.687004	911.368639	18553	14053
16.411683	46.431234	359.260396	18554	14054
16.889768	7.915060	617.982414	18555	14055
16.954172	57.943064	497.989369	18556	14056
17.488462	84.634825	935.857183	18557	14057
18.020099	85.608372	946.411112	18558	14058
18.505953	63.495003	21.905803	18559	14059
18.757863	21.724003	628.160971	18560	14060
18.825114	50.981985	1905.024386	18561	14061
19.300209	6.390313	1934.248165	18562	14062
19.343652	48.386266	552.339301	18563	14063
19.784017	37.174518	101.830303	18564	14064
20.082494	12.323113	236.143793	18565	14065
20.652098	32.913998	1091.911254	18566	14066
21.239517	38.365283	100.452842	18567	14067
21.939037	79.562338	511.915204	18568	14068
22.557993	41.482923	304.606179	18569	14069
22.919803	74.956357	725.468906	18570	14070
24.102738	25.252724	2314.823392	18571	14071
24.232754	35.115148	2054.740347	18572	14072
24.304193	7.400075	51.657166	18573	14073
25.161187	11.558167	304.844092	18574	14074
25.742244	48.495704	142.853666	18575	14075
26.422549	43.329635	25.329740	18576	14076
26.576445	31.058008	1264.431325	18577	14077
26.846824	80.459361	1906.559201	18578	14078
27.012807	58.113219	133.826251	18579	14079
27.791007	45.730996	732.999230	18580	14080
28.342732	33.520008	517.030847	18581	14081
28.984677	44.166227	209.310376	18582	14082
30.560496	59.080783	63.415107	18583	14083
30.721114	26.734322	976.627173	18584	14084
31.323667	81.263714	1011.388726	18585	14085
31.645291	32.384048	329.012313	18586	14086
31.752291	94.158849	1258.080744	18587	14087
33.040783	16.621913	628.558221	18588	14088
33.057537	69.654566	219.899980	18589	14089
33.673431	95.501174	2003.465451	18590	14090
34.608781	96.570550	935.562632	18591	14091
34.771623	18.943037	123.897376	18592	14092
35.127296	77.823212	396.639591	18593	14093
35.271537	5.876005	802.908156	18594	14094
35.441184	90.312309	2893.071025	18595	14095
35.462403	42.631190	2330.365851	18596	14096
35.494248	43.511032	142.810991	18597	14097
35.801269	79.476607	371.947258	18598	14098
36.122807	88.454287	2177.931183	18599	14099
36.246387	66.296636	59.693879	18600	14100
