Tempo Switch RegrasInstaladas RegrasAceitas RegrasBloqueadas BytesEnviados
9 HW 12 12 0 0
9 SW 16 16 0 0
14 HW 24 24 0 0
14 SW 30 30 0 0
19 HW 38 38 0 0
19 SW 43 43 0 0
24 HW 47 47 0 0
24 SW 47 50 0 212
29 HW 62 62 0 0
29 SW 60 66 0 332
35 HW 75 79 0 2408616
35 SW 76 82 0 515
40 HW 85 91 0 4158000
40 SW 91 97 0 515
45 HW 99 107 0 9093168
45 SW 106 115 0 64019
50 HW 116 129 0 11335464
50 SW 130 140 0 549371
55 HW 131 145 0 15312024
55 SW 135 153 0 6198203
60 HW 146 168 0 29996568
60 SW 145 175 0 20968931
65 HW 159 193 0 59547096
65 SW 156 200 0 26679995
70 HW 168 215 0 72526104
70 SW 168 221 0 34397243
75 HW 184 242 0 93282840
75 SW 183 244 0 39786011
80 HW 191 268 0 141108912
80 SW 190 267 0 81760643
85 HW 193 285 0 172972800
85 SW 190 282 0 109324403
90 HW 198 309 4 207833472
90 SW 203 305 0 119078315
95 HW 194 330 5 253004472
95 SW 204 326 0 184626539
100 HW 197 349 14 298054512
101 SW 220 354 0 232466219
106 HW 190 374 18 350316792
106 SW 230 388 0 347875787
111 HW 190 392 18 401569056
111 SW 233 409 0 371649143
116 HW 199 416 18 472171896
116 SW 245 435 0 416980415
121 HW 192 442 18 634256784
121 SW 226 464 0 589921463
126 HW 199 465 18 657400968
126 SW 243 499 0 631138583
131 HW 200 488 26 780520104
131 SW 246 532 0 729595487
136 HW 187 505 31 861719040
136 SW 233 555 0 886188791
141 HW 194 532 31 940990176
141 SW 229 592 0 984521831
146 HW 193 552 37 1077132168
146 SW 234 624 0 1090845671
151 HW 193 572 45 1173599280
151 SW 237 651 0 1137017615
156 HW 196 599 46 1234228968
156 SW 223 679 0 1249805375
161 HW 198 625 46 1315480824
162 SW 209 699 0 1363562207
166 HW 198 642 50 1366607592
167 SW 214 728 0 1496586455
172 HW 195 665 52 1403908632
172 SW 220 758 0 1603413791
177 HW 188 690 52 1544606280
