Tempo Switch RegrasInstaladas RegrasAceitas VezesBloqueado BytesEnviados
12 HW 2 2 0 0
12 SW 19 19 0 0
17 HW 2 2 0 0
18 SW 46 46 0 0
23 HW 42 42 0 0
23 SW 67 68 0 0
28 HW 42 42 0 0
28 SW 94 95 0 0
33 HW 90 130 0 0
33 SW 118 124 0 3264
38 HW 90 130 0 0
38 SW 101 147 0 24511272
43 HW 141 229 0 0
43 SW 124 182 0 24735048
48 HW 135 229 0 300888
48 SW 118 221 0 63102048
53 HW 172 294 0 677376
53 SW 160 267 0 64054608
58 HW 153 294 0 4865616
58 SW 143 294 0 101594544
63 HW 176 342 0 8101296
63 SW 165 331 0 101667240
68 HW 159 342 0 25908120
69 SW 148 368 0 153592344
73 HW 178 383 0 40102776
74 SW 176 413 0 156967248
78 HW 168 383 0 64949472
79 SW 165 442 0 200644392
83 HW 181 415 0 87996888
84 SW 187 481 0 201395856
88 HW 166 415 0 143789688
89 SW 189 526 0 244917264
93 HW 182 450 0 167862240
94 SW 217 569 0 247908000
99 HW 167 450 0 222920208
99 SW 215 612 0 298198752
104 HW 179 483 0 273284928
104 SW 224 651 0 303684288
109 HW 162 483 0 371453040
109 SW 212 693 0 353472936
114 HW 178 525 0 423090864
114 SW 238 740 0 359537568
119 HW 170 525 0 456386616
119 SW 250 791 0 398517108
124 HW 181 557 0 568067472
125 SW 274 837 0 402610092
129 HW 165 557 0 722596896
130 SW 269 885 0 447215604
134 HW 178 595 0 881784792
135 SW 289 932 0 455908092
139 HW 165 595 0 963144000
140 SW 278 980 0 508164444
144 HW 181 633 0 1085546448
145 SW 294 1028 0 518092236
149 HW 166 633 0 1228167360
150 SW 277 1072 0 574749900
154 HW 177 669 0 1339084656
155 SW 279 1115 0 595317636
159 HW 167 669 0 1444858128
160 SW 272 1167 0 659155968
164 HW 176 704 0 1588693176
165 SW 301 1223 0 675310176
170 HW 165 704 0 1680016464
171 SW 310 1286 0 731586816
175 HW 176 743 0 1900292184
176 SW 326 1341 0 754325904
180 HW 165 743 0 1977198552
181 SW 308 1382 0 798237408
185 HW 172 781 0 2113635384
186 SW 295 1422 0 833252304
190 HW 161 781 0 2285902080
191 SW 269 1470 0 909020136
195 HW 174 829 0 2494822680
196 SW 293 1529 0 924775176
200 HW 166 829 0 2513533680
201 SW 296 1583 0 983449848
205 HW 182 866 0 2600296776
207 SW 299 1623 0 999517992
210 HW 163 866 0 2744314776
212 SW 278 1685 0 1098616104
215 HW 175 909 0 2935942632
217 SW 293 1736 0 1115627616
220 HW 162 909 0 3060023400
222 SW 290 1782 0 1173971160
225 HW 177 951 0 3154337424
227 SW 308 1834 0 1199856600
230 HW 168 951 0 3262103712
232 SW 288 1885 0 1277676216
235 HW 179 987 0 3353383152
237 SW 305 1935 0 1295593416
240 HW 165 987 0 3445173648
242 SW 306 1998 0 1365812208
245 HW 187 1029 0 3525560640
248 SW 315 2052 0 1387046916
251 HW 169 1029 0 3696905016
253 SW 300 2097 0 1436394180
256 HW 183 1066 0 3802920408
258 SW 312 2147 0 1454503404
261 HW 167 1066 0 3993415776
263 SW 296 2194 0 1518457980
266 HW 181 1105 0 4101777792
268 SW 306 2240 0 1537377636
271 HW 171 1105 0 4151418264
273 SW 289 2295 0 1596115812
276 HW 185 1140 0 4291412832
278 SW 296 2340 0 1611312924
281 HW 168 1140 0 4440323664
283 SW 280 2391 0 1669215144
286 HW 177 1178 0 4620954744
289 SW 299 2445 0 1684247448
291 HW 167 1178 0 4726649592
294 SW 288 2497 0 1743339432
296 HW 183 1218 0 4837763448
299 SW 311 2560 0 1772500044
301 HW 170 1218 0 4938175368
304 SW 296 2609 0 1825016340
306 HW 179 1258 0 5152961016
309 SW 309 2663 0 1843527756
311 HW 163 1258 0 5217255792
314 SW 289 2714 0 1906847292
316 HW 179 1310 0 5386637592
319 SW 294 2763 0 1938139644
322 HW 166 1310 0 5502738024
324 SW 272 2814 0 1995462768
327 HW 180 1355 0 5617184328
330 SW 277 2852 0 2015493744
332 HW 169 1355 0 5674295592
335 SW 258 2906 0 2081326224
337 HW 184 1390 0 5796179424
340 SW 273 2949 0 2100283680
342 HW 174 1390 0 5847102072
345 SW 281 3007 0 2152783464
347 HW 181 1422 0 5962866840
350 SW 293 3068 0 2172811416
352 HW 165 1422 0 6105673728
355 SW 281 3109 0 2226996960
357 HW 190 1466 0 6170100048
360 SW 295 3171 0 2250129168
362 HW 176 1466 0 6286074984
365 SW 289 3223 0 2295517896
367 HW 187 1501 0 6380142552
371 SW 312 3273 0 2305695168
372 HW 171 1501 0 6506876880
376 SW 283 3314 0 2378520648
377 HW 179 1539 0 6603356088
381 SW 302 3369 0 2391966864
382 HW 164 1539 0 6718381488
386 SW 277 3413 0 2457463680
388 HW 187 1585 0 6832133784
391 SW 300 3474 0 2474301432
