Inicio(seg) Duracao(seg) Banda(Kbps) PortaCli PortaServ
3 129 1380 5502 5002
21 111 441 5503 5003
10 97 7 5504 5004
14 93 3349 5505 5005
18 61 4996 5506 5006
2 120 1564 5507 5007
8 134 1166 5508 5008
10 57 1923 5509 5009
11 123 3271 5510 5010
5 140 4786 5511 5011
26 81 242 5512 5012
14 73 96 5513 5013
29 129 443 5514 5014
21 95 866 5515 5015
2 109 787 5516 5016
1 79 996 5517 5017
43 79 969 5518 5018
9 99 8784 5519 5019
34 73 1819 5520 5020
13 111 1529 5521 5021
5 86 165 5522 5022
22 79 803 5523 5023
15 87 756 5524 5024
0 74 850 5525 5025
8 99 4209 5526 5026
10 103 1860 5527 5027
0 44 715 5528 5028
4 108 722 5529 5029
5 149 1289 5530 5030
57 142 132 5531 5031
8 88 7551 5532 5032
11 26 766 5533 5033
9 123 141 5534 5034
19 97 3046 5535 5035
12 75 863 5536 5036
10 92 712 5537 5037
6 62 103 5538 5038
2 104 228 5539 5039
20 81 493 5540 5040
20 115 226 5541 5041
3 162 319 5542 5042
0 67 2071 5543 5043
7 98 514 5544 5044
38 41 5108 5545 5045
57 127 29 5546 5046
23 163 1702 5547 5047
18 120 1755 5548 5048
8 95 321 5549 5049
2 70 1158 5550 5050
25 99 1414 5551 5051
8 149 441 5552 5052
0 133 701 5553 5053
12 88 2731 5554 5054
2 75 972 5555 5055
28 99 3053 5556 5056
22 124 1848 5557 5057
2 82 2776 5558 5058
10 91 1226 5559 5059
0 126 384 5560 5060
20 88 3777 5561 5061
6 21 248 5562 5062
18 54 198 5563 5063
24 38 2132 5564 5064
1 108 865 5565 5065
29 106 999 5566 5066
4 108 969 5567 5067
15 106 1416 5568 5068
33 112 479 5569 5069
0 77 51 5570 5070
1 113 408 5571 5071
2 100 1224 5572 5072
7 83 3320 5573 5073
23 118 879 5574 5074
11 59 3723 5575 5075
8 59 948 5576 5076
33 94 1431 5577 5077
7 65 3152 5578 5078
27 42 408 5579 5079
3 69 9004 5580 5080
6 93 1907 5581 5081
5 105 3443 5582 5082
13 125 642 5583 5083
1 94 611 5584 5084
55 99 1227 5585 5085
45 59 95 5586 5086
26 107 3913 5587 5087
2 92 5344 5588 5088
6 103 241 5589 5089
0 67 2032 5590 5090
6 123 1568 5591 5091
0 46 4551 5592 5092
2 41 1039 5593 5093
31 111 4215 5594 5094
15 39 1837 5595 5095
3 86 2353 5596 5096
10 81 3249 5597 5097
9 69 172 5598 5098
17 106 1505 5599 5099
0 108 3152 5600 5100
55 57 6613 5601 5101
0 68 846 5602 5102
3 92 3227 5603 5103
4 103 119 5604 5104
80 66 1428 5605 5105
1 85 1839 5606 5106
19 55 681 5607 5107
3 126 1736 5608 5108
32 95 1911 5609 5109
36 159 1406 5610 5110
11 99 1066 5611 5111
41 64 2174 5612 5112
27 79 1897 5613 5113
3 96 19 5614 5114
35 85 283 5615 5115
1 94 183 5616 5116
19 114 2948 5617 5117
2 82 2967 5618 5118
21 69 1543 5619 5119
12 104 1295 5620 5120
17 40 1162 5621 5121
17 118 76 5622 5122
1 114 1297 5623 5123
5 123 2647 5624 5124
0 101 140 5625 5125
4 53 623 5626 5126
2 96 39 5627 5127
4 122 1062 5628 5128
22 76 540 5629 5129
11 126 3836 5630 5130
12 120 1169 5631 5131
5 124 4456 5632 5132
20 108 291 5633 5133
27 134 1123 5634 5134
4 94 1541 5635 5135
36 82 3331 5636 5136
5 52 1716 5637 5137
50 128 1400 5638 5138
39 131 3286 5639 5139
0 95 2510 5640 5140
27 91 679 5641 5141
23 52 243 5642 5142
10 83 2093 5643 5143
11 116 918 5644 5144
27 48 2871 5645 5145
2 90 2074 5646 5146
51 60 3 5647 5147
1 71 654 5648 5148
40 115 1310 5649 5149
52 85 1004 5650 5150
41 98 644 5651 5151
2 102 4095 5652 5152
35 98 3113 5653 5153
6 105 734 5654 5154
1 114 539 5655 5155
17 103 5378 5656 5156
4 53 1654 5657 5157
3 131 699 5658 5158
20 93 39 5659 5159
0 87 3568 5660 5160
9 74 1423 5661 5161
32 75 1823 5662 5162
0 84 1062 5663 5163
29 106 34 5664 5164
7 106 4844 5665 5165
2 113 1919 5666 5166
27 75 519 5667 5167
11 76 3333 5668 5168
11 106 1885 5669 5169
0 105 671 5670 5170
5 63 1745 5671 5171
6 91 433 5672 5172
