Inicio(seg)    Duracao(seg)     Banda(Kbps)    PCli   PServ
1.419          54.577         189.449   10008   30008
1.531          94.999         470.343   10009   30009
1.746          13.248          23.002   10010   30010
2.062          58.193         436.677   10011   30011
2.232          42.176         691.749   10012   30012
2.264          95.170         258.664   10013   30013
2.281          96.032        1935.330   10014   30014
2.289          73.710         295.472   10015   30015
2.340          70.098         228.319   10016   30016
2.348          44.255         267.363   10017   30017
2.382          33.137         948.773   10018   30018
2.412          74.601          74.568   10019   30019
2.707          27.350        2665.817   10020   30020
2.909          18.681        1549.201   10021   30021
2.968          21.065         170.146   10022   30022
3.176          84.713        5892.453   10023   30023
3.190          63.749         421.514   10024   30024
3.197          51.559         393.972   10025   30025
3.333          35.388         341.509   10026   30026
3.588          71.428         405.667   10027   30027
3.593          81.110         981.094   10028   30028
3.807          33.855        1907.325   10029   30029
3.958          14.846        1943.810   10030   30030
4.092          30.404         643.777   10031   30031
4.149          69.770         969.759   10032   30032
4.250          58.331        1677.858   10033   30033
4.469          16.062         378.833   10034   30034
4.534          88.994         108.737   10035   30035
4.566          38.572         592.061   10036   30036
4.632          23.474        2171.854   10037   30037
4.696          35.927         224.685   10038   30038
4.783          79.847         123.640   10039   30039
4.901          61.144         346.911   10040   30040
4.979          85.141        3369.985   10041   30041
5.011          48.601        2030.456   10042   30042
5.066          45.948         372.130   10043   30043
5.072          79.682           5.245   10044   30044
5.089          12.492        1611.684   10045   30045
5.197          16.561        1082.383   10046   30046
5.394          78.571         222.928   10047   30047
5.457          81.243         598.140   10048   30048
5.510          56.486        1227.764   10049   30049
5.553          48.289         472.894   10050   30050
5.594          99.424         100.022   10051   30051
5.609          70.463          84.169   10052   30052
5.644          69.287          18.171   10053   30053
5.789          58.449        1013.809   10054   30054
5.951           5.007         780.955   10055   30055
6.212          40.035        1004.994   10056   30056
6.519          13.003         186.045   10057   30057
6.639          41.137         202.520   10058   30058
6.676          46.971         831.663   10059   30059
6.754          31.770         172.804   10060   30060
6.900          53.564         602.127   10061   30061
6.935          10.826         768.920   10062   30062
7.095           6.405         270.210   10063   30063
7.178          84.581         993.779   10064   30064
7.338          97.593        3348.259   10065   30065
7.457          29.975        1657.549   10066   30066
7.477          57.557         219.238   10067   30067
7.573           9.668        1341.982   10068   30068
7.592          58.939        1169.176   10069   30069
7.650          79.149         387.106   10070   30070
7.734          99.211          43.788   10071   30071
7.903          51.286          31.087   10072   30072
8.077          86.042        2271.953   10073   30073
8.100          44.857          61.596   10074   30074
8.365          17.770        1705.600   10075   30075
8.481          44.486           4.170   10076   30076
8.533          80.415         646.920   10077   30077
8.751          17.186         174.240   10078   30078
8.765          10.682        1473.189   10079   30079
8.864          96.154        2613.156   10080   30080
8.957          57.793          32.998   10081   30081
8.962          32.693         236.250   10082   30082
9.090          33.418        1011.520   10083   30083
9.099          52.626         907.528   10084   30084
9.174          62.767        1533.018   10085   30085
9.259          73.961         875.936   10086   30086
9.297          63.387         426.833   10087   30087
9.349          28.371          96.104   10088   30088
9.416          20.443        1650.892   10089   30089
9.481          52.284         189.234   10090   30090
9.501          56.262        1978.553   10091   30091
9.557          33.081        2046.297   10092   30092
9.641          60.439         871.923   10093   30093
9.676          27.599         547.479   10094   30094
9.813          53.953         947.449   10095   30095
9.919          53.639         256.141   10096   30096
9.924          29.944        3425.087   10097   30097
10.305          13.621        1191.112   10098   30098
10.321          89.435        1846.388   10099   30099
10.347          51.032        1829.831   10100   30100
10.352          34.239         512.401   10101   30101
10.485           7.911        1887.344   10102   30102
