   Time:s        Teid  AppName  Ul/Dl  Activ:s  Dly:ms  Jit:ms  TxPkts  RxPkts  Loss:%  RxBytes  Thp:kbps
   17.148  0x00000017 VoipCall  Ulink    8.864   0.722   0.000     115     115   0.000   169050   152.578
   17.148  0x00000017 VoipCall  Dlink    0.001   0.769   0.048       1       1   0.000     1470 15294.119
   19.540  0x0000000a VoipCall  Ulink   16.583   0.339   0.001    2379    2379   0.000  3497130  1687.049
   19.540  0x0000000a VoipCall  Dlink    0.000   0.389   0.024       1       1   0.000     1470 30237.347
   21.409  0x00000023 VoipCall  Ulink    9.902   0.775   0.001     505     505   0.000   742350   599.777
   21.409  0x00000023 VoipCall  Dlink    0.001   0.789   0.049       1       1   0.000     1470 14906.397
   24.177  0x00000032 VoipCall  Ulink    6.725   0.401   0.002      57      57   0.000    83790    99.683
   24.177  0x00000032 VoipCall  Dlink    0.000   0.429   0.027       1       1   0.000     1470 27417.508
   25.657  0x0000002f VoipCall  Ulink    9.621   0.836   0.000     706     706   0.000  1037820   862.952
   25.657  0x0000002f VoipCall  Dlink    0.001   0.909   0.057       1       1   0.000     1470 12938.389
   27.537  0x0000003c VoipCall  Ulink    7.236   0.425   0.001     453     453   0.000   665910   736.258
   27.537  0x0000003c VoipCall  Dlink    0.000   0.449   0.028       1       1   0.000     1470 26196.029
   29.751  0x0000000e VoipCall  Ulink   25.603   0.377   0.001    6241    6241   0.000  9174270  2866.636
   29.751  0x0000000e VoipCall  Dlink    0.000   0.449   0.028       1       1   0.000     1470 26196.029
   29.903  0x00000012 VoipCall  Ulink   23.241   0.387   0.001    3697    3697   0.000  5434590  1870.681
   29.903  0x00000012 VoipCall  Dlink    0.000   0.449   0.028       1       1   0.000     1470 26196.029
   30.286  0x0000000b VoipCall  Ulink   26.724   0.768   0.000    1410    1410   0.000  2072700   620.480
   30.286  0x0000000b VoipCall  Dlink    0.001   0.929   0.058       1       1   0.000     1470 12659.822
   30.813  0x0000004a VoipCall  Ulink    6.659   0.445   0.004     105     105   0.000   154350   185.440
   30.813  0x0000004a VoipCall  Dlink    0.000   0.449   0.028       1       1   0.000     1470 26196.029
   30.936  0x00000034 VoipCall  Ulink   12.917   0.425   0.002     530     530   0.000   779100   482.536
   30.936  0x00000034 VoipCall  Dlink    0.000   0.449   0.028       1       1   0.000     1470 26196.029
   31.333  0x0000000f VoipCall  Ulink   26.223   0.789   0.001    2075    2075   0.000  3050250   930.547
   31.333  0x0000000f VoipCall  Dlink    0.001   0.929   0.058       1       1   0.000     1470 12659.822
   33.659  0x00000025 VoipCall  Ulink   21.075   0.860   0.002    2664    2664   0.000  3916080  1486.552
   33.659  0x00000025 VoipCall  Dlink    0.001   0.929   0.058       1       1   0.000     1470 12659.822
   34.932  0x0000002b VoipCall  Ulink   20.328   0.874   0.002     517     517   0.000   759990   299.086
   34.932  0x0000002b VoipCall  Dlink    0.001   0.929   0.058       1       1   0.000     1470 12659.822
   35.604  0x0000003d VoipCall  Ulink   15.083   0.913   0.002     757     757   0.000  1112790   590.222
   35.604  0x0000003d VoipCall  Dlink    0.001   0.929   0.058       1       1   0.000     1470 12659.822
   37.533  0x0000002c VoipCall  Ulink   22.147   0.428   0.002     863     863   0.000  1268610   458.249
   37.533  0x0000002c VoipCall  Dlink    0.000   0.469   0.029       1       1   0.000     1470 25078.744
   37.585  0x00000046 VoipCall  Ulink   14.838   0.448   0.005     988     988   0.000  1452360   783.073
   37.585  0x00000046 VoipCall  Dlink    0.000   0.469   0.029       1       1   0.000     1470 25078.744
   38.773  0x00000039 VoipCall  Ulink   19.144   0.921   0.011     150     150   0.000   220500    92.142
   38.773  0x00000039 VoipCall  Dlink    0.001   1.049   0.066       1       1   0.000     1470 11211.499
   39.052  0x00000016 VoipCall  Ulink   31.812   0.410   0.003    1585    1585   0.000  2329950   585.924
   39.052  0x00000016 VoipCall  Dlink    0.000   0.489   0.031       1       1   0.000     1470 24052.867
   39.359  0x00000009 VoipCall  Ulink   36.710   0.805   0.006     181     181   0.000   266070    57.983
   39.359  0x00000009 VoipCall  Dlink    0.001   1.049   0.066       1       1   0.000     1470 11211.499
   39.489  0x00000056 VoipCall  Ulink   12.071   0.459   0.002     784     784   0.000  1152480   763.776
   39.489  0x00000056 VoipCall  Dlink    0.000   0.489   0.031       1       1   0.000     1470 24052.867
   40.852  0x00000049 VoipCall  Ulink   17.219   0.955   0.006     120     120   0.000   176400    81.957
   40.852  0x00000049 VoipCall  Dlink    0.001   1.069   0.067       1       1   0.000     1470 11001.727
   41.743  0x00000008 VoipCall  Ulink   39.623   0.399   0.003    3410    3410   0.000  5012700  1012.083
   41.743  0x00000008 VoipCall  Dlink    0.001   0.509   0.032       1       1   0.000     1470 23107.621
   43.015  0x0000001c VoipCall  Ulink   33.664   0.426   0.001    1484    1484   0.000  2181480   518.417
   43.015  0x0000001c VoipCall  Dlink    0.001   0.509   0.032       1       1   0.000     1470 23107.621
   43.476  0x0000003e VoipCall  Ulink   22.435   0.458   0.002      75      75   0.000   110250    39.313
   43.476  0x0000003e VoipCall  Dlink    0.001   0.509   0.032       1       1   0.000     1470 23107.621
   44.166  0x0000000c VoipCall  Ulink   40.092   0.412   0.003     179     179   0.000   263130    52.505
   44.166  0x0000000c VoipCall  Dlink    0.001   0.509   0.032       1       1   0.000     1470 23107.621
   44.948  0x00000027 VoipCall  Ulink   31.656   0.921   0.002     766     766   0.000  1126020   284.564
   44.948  0x00000027 VoipCall  Dlink    0.001   1.069   0.067       1       1   0.000     1470 11001.727
   45.269  0x00000051 VoipCall  Ulink   20.008   0.985   0.003    1123    1123   0.000  1650810   660.045
   45.269  0x00000051 VoipCall  Dlink    0.001   1.069   0.067       1       1   0.000     1470 11001.727
   46.448  0x0000001e VoipCall  Ulink   36.480   0.436   0.001    6210    6210   0.000  9128700  2001.921
   46.448  0x0000001e VoipCall  Dlink    0.001   0.509   0.032       1       1   0.000     1470 23107.621
   46.838  0x00000050 VoipCall  Ulink   21.699   0.474   0.003     547     547   0.000   804090   296.457
   46.838  0x00000050 VoipCall  Dlink    0.001   0.509   0.032       1       1   0.000     1470 23107.621
