Inicio(seg)    Duracao(seg)     Banda(Kbps)    PCli   PServ
1.003          46.699        1324.495   10008   30008
1.057          83.269         700.514   10009   30009
1.058          80.268         290.917   10010   30010
1.127          76.571         739.292   10011   30011
1.212          37.804         390.017   10012   30012
1.261          69.951        1344.038   10013   30013
1.322          76.734         440.582   10014   30014
1.350          13.051         341.024   10015   30015
1.446          79.582         100.257   10016   30016
1.644          39.366         271.632   10017   30017
1.759          73.892         836.053   10018   30018
1.884          63.433          59.809   10019   30019
1.936          38.506         903.810   10020   30020
2.047           5.888         407.117   10021   30021
2.297          56.309        1116.115   10022   30022
2.300          46.421         170.364   10023   30023
2.340          32.368         236.076   10024   30024
2.387          23.325         672.954   10025   30025
2.705          38.613        1634.536   10026   30026
2.744          80.226         355.644   10027   30027
2.848          70.638        1082.362   10028   30028
2.853          71.030        3297.644   10029   30029
2.961          86.399         488.989   10030   30030
3.222          84.391        2112.548   10031   30031
3.235          78.736        1917.361   10032   30032
3.258          72.003         456.521   10033   30033
3.281          97.045        3192.621   10034   30034
3.408          19.354         517.882   10035   30035
3.447          31.528         214.648   10036   30036
3.630           6.681        1130.034   10037   30037
3.739          19.522         564.624   10038   30038
4.086          38.396         587.046   10039   30039
4.511          33.711        1570.519   10040   30040
4.564          83.919         862.719   10041   30041
4.724          38.390          49.325   10042   30042
4.731          83.784         139.129   10043   30043
4.742          63.431          42.827   10044   30044
4.878          23.052         800.376   10045   30045
4.894          35.510        1245.086   10046   30046
4.896          65.596          32.193   10047   30047
4.907          77.145         785.807   10048   30048
5.281          27.745         431.510   10049   30049
5.301          59.506         751.342   10050   30050
5.690          89.585         207.361   10051   30051
5.764          57.785        1030.970   10052   30052
5.768          73.829        1987.287   10053   30053
5.892          41.467          75.524   10054   30054
5.923          31.154        1517.557   10055   30055
5.961          28.678         793.969   10056   30056
6.067          12.674          26.358   10057   30057
6.331          21.816         886.386   10058   30058
6.336          32.929         315.499   10059   30059
6.344          14.266        2239.257   10060   30060
6.427          81.007         298.947   10061   30061
6.568          94.368         864.226   10062   30062
6.575          61.276          96.070   10063   30063
6.578          42.743        1213.106   10064   30064
6.578          13.127        1080.084   10065   30065
6.789          48.798         215.822   10066   30066
6.896          81.425        1239.064   10067   30067
7.005          36.024         454.626   10068   30068
