   Time:s        Teid  AppName  Ul/Dl  Activ:s  Dly:ms  Jit:ms  TxPkts  RxPkts  Loss:%  RxBytes  Thp:kbps
   11.029  0x00000015 VoipCall  Ulink    5.846   0.771   0.001     205     205   0.000   301350   412.418
   11.029  0x00000015 VoipCall  Dlink    0.001   0.869   0.054       1       1   0.000     1470 13533.995
   16.101  0x0000000f VoipCall  Ulink   12.997   0.662   0.001     381     381   0.000   560070   344.724
   16.101  0x0000000f VoipCall  Dlink    0.001   0.689   0.043       1       1   0.000     1470 17070.122
   16.572  0x00000025 VoipCall  Ulink    6.668   0.590   0.000     647     647   0.000   951090  1141.028
   16.572  0x00000025 VoipCall  Dlink    0.001   0.789   0.049       1       1   0.000     1470 14906.397
   28.579  0x00000023 VoipCall  Ulink   19.325   0.500   0.002     859     859   0.000  1262730   522.740
   28.579  0x00000023 VoipCall  Dlink    0.001   0.809   0.051       1       1   0.000     1470 14537.848
   29.487  0x00000019 VoipCall  Ulink   23.295   0.531   0.000    1345    1345   0.000  1977150   678.984
   29.487  0x00000019 VoipCall  Dlink    0.001   0.809   0.051       1       1   0.000     1470 14537.848
   29.738  0x00000026 VoipCall  Ulink   19.481   0.482   0.001     944     944   0.000  1387680   569.861
   29.738  0x00000026 VoipCall  Dlink    0.001   0.809   0.051       1       1   0.000     1470 14537.848
   29.875  0x00000039 VoipCall  Ulink   11.949   0.615   0.021      28      28   0.000    41160    27.558
   29.875  0x00000039 VoipCall  Dlink    0.001   0.829   0.052       1       1   0.000     1470 14187.083
   31.862  0x00000041 VoipCall  Ulink   13.111   0.580   0.002    1215    1215   0.000  1786050  1089.833
   31.862  0x00000041 VoipCall  Dlink    0.001   0.909   0.057       1       1   0.000     1470 12938.389
   32.297  0x0000003c VoipCall  Ulink   14.257   0.587   0.001    2738    2738   0.000  4024860  2258.436
   32.297  0x0000003c VoipCall  Dlink    0.001   0.929   0.058       1       1   0.000     1470 12659.822
   32.370  0x0000004b VoipCall  Ulink   10.157   0.794   0.002    1535    1535   0.000  2256450  1777.319
   32.370  0x0000004b VoipCall  Dlink    0.001   0.929   0.058       1       1   0.000     1470 12659.822
   36.685  0x0000002d VoipCall  Ulink   23.026   0.592   0.001    1581    1581   0.000  2324070   807.457
   36.685  0x0000002d VoipCall  Dlink    0.001   0.829   0.052       1       1   0.000     1470 14187.083
   38.278  0x00000058 VoipCall  Ulink   10.175   0.636   0.000     280     280   0.000   411600   323.614
   38.278  0x00000058 VoipCall  Dlink    0.001   0.829   0.052       1       1   0.000     1470 14187.083
   38.387  0x00000018 VoipCall  Ulink   32.313   0.514   0.002     655     655   0.000   962850   238.379
   38.387  0x00000018 VoipCall  Dlink    0.001   0.829   0.052       1       1   0.000     1470 14187.083
   38.964  0x00000050 VoipCall  Ulink   13.782   0.649   0.001     320     320   0.000   470400   273.057
   38.964  0x00000050 VoipCall  Dlink    0.001   0.829   0.052       1       1   0.000     1470 14187.083
   39.122  0x0000005a VoipCall  Ulink    9.606   0.596   0.011      44      44   0.000    64680    53.864
   39.122  0x0000005a VoipCall  Dlink    0.001   0.829   0.052       1       1   0.000     1470 14187.083
   39.231  0x00000064 VoipCall  Ulink    7.399   0.827   0.003     710     710   0.000  1043700  1128.479
   39.231  0x00000064 VoipCall  Dlink    0.001   0.829   0.052       1       1   0.000     1470 14187.083
   39.350  0x00000056 VoipCall  Ulink   12.122   0.633   0.002     599     599   0.000   880530   581.135
   39.350  0x00000056 VoipCall  Dlink    0.001   0.849   0.053       1       1   0.000     1470 13852.846
   39.809  0x0000003a VoipCall  Ulink   21.792   0.547   0.002    1657    1657   0.000  2435790   894.201
   39.809  0x0000003a VoipCall  Dlink    0.001   0.949   0.059       1       1   0.000     1470 12392.997
   40.165  0x00000068 VoipCall  Ulink    7.761   0.830   0.003     834     834   0.000  1225980  1263.763
   40.165  0x00000068 VoipCall  Dlink    0.001   0.949   0.059       1       1   0.000     1470 12392.997
   40.249  0x00000059 VoipCall  Ulink   11.421   0.598   0.001    2802    2802   0.000  4118940  2885.218
   40.249  0x00000059 VoipCall  Dlink    0.001   0.949   0.059       1       1   0.000     1470 12392.997
   40.441  0x0000000c VoipCall  Ulink   37.772   0.525   0.003    1264    1264   0.000  1858080   393.533
