Ping 10.0.0.1 via ports 65534->7000
Reply from 10.0.0.1 seq=0 time=0.429248 ms
Reply from 10.0.0.1 seq=1 time=0.509248 ms
Reply from 10.0.0.1 seq=2 time=0.549248 ms
Reply from 10.0.0.1 seq=3 time=0.591575 ms
Reply from 10.0.0.1 seq=4 time=0.589248 ms
Reply from 10.0.0.1 seq=5 time=0.589248 ms
Reply from 10.0.0.1 seq=6 time=0.589248 ms
Reply from 10.0.0.1 seq=7 time=0.64091 ms
Reply from 10.0.0.1 seq=8 time=0.669248 ms
Reply from 10.0.0.1 seq=9 time=0.669248 ms
Reply from 10.0.0.1 seq=10 time=0.869248 ms
Reply from 10.0.0.1 seq=11 time=0.869248 ms
Reply from 10.0.0.1 seq=12 time=0.887756 ms
Reply from 10.0.0.1 seq=13 time=0.909248 ms
Reply from 10.0.0.1 seq=14 time=0.909248 ms
Reply from 10.0.0.1 seq=15 time=0.949248 ms
Reply from 10.0.0.1 seq=16 time=0.952779 ms
Reply from 10.0.0.1 seq=17 time=0.949248 ms
Reply from 10.0.0.1 seq=18 time=0.949248 ms
Reply from 10.0.0.1 seq=19 time=0.949248 ms
Reply from 10.0.0.1 seq=20 time=1.00377 ms
Reply from 10.0.0.1 seq=21 time=0.989248 ms
Reply from 10.0.0.1 seq=22 time=1.03114 ms
Reply from 10.0.0.1 seq=23 time=1.02925 ms
Reply from 10.0.0.1 seq=24 time=1.02925 ms
Reply from 10.0.0.1 seq=25 time=1.03701 ms
Reply from 10.0.0.1 seq=26 time=1.08908 ms
Reply from 10.0.0.1 seq=27 time=1.06925 ms
Reply from 10.0.0.1 seq=28 time=1.06925 ms
Reply from 10.0.0.1 seq=29 time=1.09648 ms
Reply from 10.0.0.1 seq=30 time=1.09723 ms
Reply from 10.0.0.1 seq=31 time=1.10925 ms
Reply from 10.0.0.1 seq=32 time=1.10925 ms
Reply from 10.0.0.1 seq=33 time=1.11986 ms
Reply from 10.0.0.1 seq=34 time=1.10925 ms
Reply from 10.0.0.1 seq=35 time=1.10925 ms
Reply from 10.0.0.1 seq=36 time=1.14478 ms
Reply from 10.0.0.1 seq=37 time=1.12005 ms
Reply from 10.0.0.1 seq=38 time=1.10925 ms
Reply from 10.0.0.1 seq=39 time=1.12903 ms
Reply from 10.0.0.1 seq=40 time=1.10925 ms
Reply from 10.0.0.1 seq=41 time=1.11309 ms
Reply from 10.0.0.1 seq=42 time=1.13176 ms
Reply from 10.0.0.1 seq=43 time=1.1289 ms
Reply from 10.0.0.1 seq=44 time=1.10925 ms
Reply from 10.0.0.1 seq=45 time=1.10925 ms
Reply from 10.0.0.1 seq=46 time=1.11771 ms
Reply from 10.0.0.1 seq=47 time=1.15328 ms
Reply from 10.0.0.1 seq=48 time=1.16481 ms
Reply from 10.0.0.1 seq=49 time=1.15627 ms
Reply from 10.0.0.1 seq=50 time=1.16792 ms
Reply from 10.0.0.1 seq=51 time=1.14925 ms
Reply from 10.0.0.1 seq=52 time=1.16667 ms
Reply from 10.0.0.1 seq=53 time=1.17942 ms
Reply from 10.0.0.1 seq=54 time=1.15496 ms
Reply from 10.0.0.1 seq=55 time=1.14925 ms
Reply from 10.0.0.1 seq=56 time=1.14963 ms
Reply from 10.0.0.1 seq=57 time=1.14925 ms
Reply from 10.0.0.1 seq=58 time=1.14943 ms
Reply from 10.0.0.1 seq=59 time=1.18925 ms
Reply from 10.0.0.1 seq=60 time=1.18925 ms
Reply from 10.0.0.1 seq=61 time=1.20318 ms
Reply from 10.0.0.1 seq=62 time=1.18925 ms
Reply from 10.0.0.1 seq=63 time=1.20891 ms
Reply from 10.0.0.1 seq=64 time=1.18925 ms
Reply from 10.0.0.1 seq=65 time=1.19945 ms
Reply from 10.0.0.1 seq=66 time=1.18925 ms
Reply from 10.0.0.1 seq=67 time=1.25078 ms
Reply from 10.0.0.1 seq=68 time=1.18925 ms
Reply from 10.0.0.1 seq=69 time=1.19218 ms
Reply from 10.0.0.1 seq=70 time=1.18925 ms
Reply from 10.0.0.1 seq=71 time=1.19761 ms
Reply from 10.0.0.1 seq=72 time=1.22276 ms
Reply from 10.0.0.1 seq=73 time=1.21409 ms
Reply from 10.0.0.1 seq=74 time=1.19392 ms
Reply from 10.0.0.1 seq=75 time=1.21532 ms
Reply from 10.0.0.1 seq=76 time=1.21478 ms
Reply from 10.0.0.1 seq=77 time=1.20805 ms
Reply from 10.0.0.1 seq=78 time=1.18925 ms
Reply from 10.0.0.1 seq=79 time=1.20123 ms
Reply from 10.0.0.1 seq=80 time=1.1999 ms
Reply from 10.0.0.1 seq=81 time=1.18925 ms
Reply from 10.0.0.1 seq=82 time=1.21512 ms
Reply from 10.0.0.1 seq=83 time=1.19255 ms
Reply from 10.0.0.1 seq=84 time=1.18925 ms
Reply from 10.0.0.1 seq=85 time=1.21281 ms
Reply from 10.0.0.1 seq=86 time=1.19687 ms
Reply from 10.0.0.1 seq=87 time=1.19831 ms
Reply from 10.0.0.1 seq=88 time=1.20421 ms
Reply from 10.0.0.1 seq=89 time=1.23213 ms
Reply from 10.0.0.1 seq=90 time=1.24688 ms
Reply from 10.0.0.1 seq=91 time=1.24477 ms
Reply from 10.0.0.1 seq=92 time=1.24219 ms
Reply from 10.0.0.1 seq=93 time=1.22925 ms
Reply from 10.0.0.1 seq=94 time=1.24312 ms
Reply from 10.0.0.1 seq=95 time=1.2339 ms
Reply from 10.0.0.1 seq=96 time=1.23727 ms
Reply from 10.0.0.1 seq=97 time=1.24756 ms
Reply from 10.0.0.1 seq=98 time=1.23518 ms
Reply from 10.0.0.1 seq=99 time=1.2723 ms
Reply from 10.0.0.1 seq=100 time=1.26266 ms
Reply from 10.0.0.1 seq=101 time=1.24548 ms
Reply from 10.0.0.1 seq=102 time=1.23132 ms
Reply from 10.0.0.1 seq=103 time=1.23522 ms
Reply from 10.0.0.1 seq=104 time=1.25908 ms
Reply from 10.0.0.1 seq=105 time=1.23789 ms
Reply from 10.0.0.1 seq=106 time=1.24057 ms
Reply from 10.0.0.1 seq=107 time=1.24765 ms
Reply from 10.0.0.1 seq=108 time=1.22925 ms
Reply from 10.0.0.1 seq=109 time=1.22925 ms
Reply from 10.0.0.1 seq=110 time=1.22925 ms
Reply from 10.0.0.1 seq=111 time=1.25592 ms
Reply from 10.0.0.1 seq=112 time=1.24968 ms
Reply from 10.0.0.1 seq=113 time=1.23669 ms
Reply from 10.0.0.1 seq=114 time=1.25732 ms
Reply from 10.0.0.1 seq=115 time=1.22925 ms
Reply from 10.0.0.1 seq=116 time=1.22925 ms
Reply from 10.0.0.1 seq=117 time=1.25029 ms
Reply from 10.0.0.1 seq=118 time=1.24026 ms
Reply from 10.0.0.1 seq=119 time=1.25171 ms
Reply from 10.0.0.1 seq=120 time=1.2684 ms
Reply from 10.0.0.1 seq=121 time=1.22925 ms
Reply from 10.0.0.1 seq=122 time=1.34292 ms
Reply from 10.0.0.1 seq=123 time=1.23289 ms
Reply from 10.0.0.1 seq=124 time=1.23096 ms
Reply from 10.0.0.1 seq=125 time=1.24309 ms
Reply from 10.0.0.1 seq=126 time=1.24804 ms
Reply from 10.0.0.1 seq=127 time=1.29644 ms
Reply from 10.0.0.1 seq=128 time=1.23179 ms
