Inicio(seg)    Duracao(seg)     Banda(Kbps)    PCli   PServ
1.029          50.178        1908.955   10000   30000
1.253          23.809        1348.084   10000   30000
1.419          45.366         296.475   10000   30000
1.851          10.920         570.334   10000   30000
1.872          26.925        1409.008   10000   30000
1.994          17.967         877.678   10001   30001
2.157          84.927         277.154   10001   30001
2.178          16.019        2031.390   10000   30000
2.223          27.515        1946.649   10001   30001
3.110          18.504        1688.272   10000   30000
3.326          91.894        1664.109   10000   30000
3.523          86.490         250.999   10001   30001
3.814          48.378         403.733   10001   30001
3.897          70.103        1068.819   10001   30001
3.986          83.226        1501.201   10000   30000
4.072          62.606         317.890   10001   30001
4.135          45.335        1560.752   10000   30000
4.305          14.224         210.165   10002   30002
4.403          48.402         116.079   10001   30001
4.677          19.780          27.954   10002   30002
4.913          43.159         520.795   10002   30002
5.086          32.752        1584.639   10002   30002
5.094          71.759         648.214   10002   30002
5.241          30.153         410.789   10003   30003
5.267          70.824         277.963   10003   30003
5.354          38.071         348.969   10004   30004
5.370          98.188          94.257   10003   30003
5.593          70.190         311.725   10001   30001
5.828          39.733         284.992   10003   30003
5.841          95.381         224.327   10002   30002
6.174          99.170         355.075   10002   30002
6.267          72.709         829.736   10003   30003
6.315          23.004         534.997   10004   30004
6.417          36.571        2332.821   10002   30002
6.477          50.362         530.775   10005   30005
6.646          38.792         429.244   10003   30003
6.783          10.117         119.720   10001   30001
7.082          17.628         424.843   10004   30004
7.158          85.250         427.821   10002   30002
7.274          87.865        3494.285   10005   30005
7.432          40.735         497.085   10003   30003
7.610          94.965        3787.480   10003   30003
7.643          70.419        4696.915   10004   30004
7.979          88.799         481.823   10004   30004
8.027          31.623           1.056   10005   30005
8.140           7.149        1473.875   10006   30006
8.438           7.962         643.898   10004   30004
8.481          66.204         497.493   10004   30004
8.523          65.116         161.257   10005   30005
8.559          60.248         257.521   10003   30003
8.914          32.286         651.045   10004   30004
8.971          43.751         106.724   10007   30007
9.147           9.584        2274.770   10005   30005
9.286          42.872         473.748   10006   30006
9.418          87.513         577.932   10008   30008
9.447           6.904        2095.919   10006   30006
9.713          54.912         215.132   10004   30004
9.821          87.446         625.739   10005   30005
9.883          72.211        2081.206   10007   30007
9.912          53.323         564.819   10006   30006
9.985          74.068         487.001   10006   30006
10.066          93.059          14.818   10009   30009
10.091          36.989        2027.031   10005   30005
10.442          97.857        1544.660   10007   30007
10.560          96.077         511.474   10002   30002
11.222          25.515        1204.607   10006   30006
11.657          29.941         687.354   10008   30008
11.988          50.144         335.682   10007   30007
12.031          79.888        2000.842   10007   30007
12.052          91.712        1805.038   10008   30008
12.952          91.580        1995.136   10003   30003
13.449          28.713          23.641   10005   30005
13.655          38.607        1197.753   10007   30007
13.675          37.283         631.049   10009   30009
13.798          67.013          23.402   10004   30004
13.935          39.655         793.674   10010   30010
13.998          48.724          97.523   10008   30008
14.072          49.298        2964.243   10010   30010
14.305          57.598           7.023   10011   30011
14.349          81.742          61.385   10006   30006
14.401          41.244        1428.266   10011   30011
14.439          27.908        3671.458   10009   30009
14.808          84.951        1130.570   10008   30008
14.908          48.774        2017.434   10009   30009
15.230          11.436         545.074   10005   30005
15.471          56.427         414.156   10012   30012
15.491          54.525          13.923   10010   30010
16.292          71.434         195.057   10005   30005
16.310          57.902        1111.394   10010   30010
16.338          96.705         432.138   10006   30006
16.434          66.300         459.241   10006   30006
16.829          60.537         953.644   10007   30007
16.957          76.179        1006.366   10011   30011
17.161          69.007         414.857   10008   30008
17.202          72.239        1341.838   10007   30007
17.713           7.918         419.370   10012   30012
17.765          72.201         523.685   10011   30011
18.195          24.828         516.779   10008   30008
18.793           7.731        1343.431   10013   30013
19.269          96.153        1283.630   10008   30008
19.331          96.500        3688.598   10009   30009
