Inicio(seg)    Duracao(seg)     Banda(Kbps)    PCli   PServ
1.028          68.104         327.404   10000   30000
1.146          70.220        1823.007   10000   30000
1.282           7.246         490.396   10000   30000
1.306          17.201         414.558   10000   30000
1.348          17.956         194.367   10000   30000
1.525          34.121         103.396   10000   30000
1.555          60.377         139.473   10000   30000
1.565          13.056        1358.077   10000   30000
1.593          28.386        1733.542   10000   30000
1.646          18.505        1654.093   10000   30000
1.714          73.675         613.932   10001   30001
1.780          40.773        2621.764   10000   30000
1.854          21.113          64.834   10000   30000
1.903          78.760        1693.697   10000   30000
2.118          91.700         387.799   10001   30001
2.164          91.737         917.890   10001   30001
2.292          49.177         212.298   10000   30000
2.315          61.343         207.887   10000   30000
2.564          61.624         698.854   10001   30001
2.595          25.772         388.020   10000   30000
2.655          31.394          17.576   10001   30001
2.798          60.280        1073.212   10002   30002
2.855          85.614         225.303   10003   30003
2.869          20.493         116.201   10001   30001
2.994          31.956         893.356   10000   30000
3.018          24.478         779.758   10001   30001
3.057          32.731        2045.073   10001   30001
3.058          72.089        1024.394   10001   30001
3.113          32.910        1445.408   10001   30001
3.124          22.654        2164.466   10000   30000
3.155          89.412         773.998   10001   30001
3.234          90.993         159.741   10001   30001
3.271          24.490         334.301   10002   30002
3.273          54.975         769.714   10002   30002
3.362          15.444        1167.174   10000   30000
3.447          51.809         139.635   10001   30001
3.456          70.806        1696.651   10000   30000
3.484          83.314        1986.883   10002   30002
3.487          83.547        2575.153   10000   30000
3.531          85.461        2507.724   10002   30002
3.597          74.035         110.446   10003   30003
3.718          53.624         120.366   10000   30000
3.803          25.084          53.379   10000   30000
3.884          11.898        1592.800   10001   30001
3.893          26.094         183.766   10001   30001
3.917          81.424         113.755   10001   30001
3.942          78.762         110.582   10002   30002
4.121          64.806        2646.205   10001   30001
4.159          57.687        6959.555   10001   30001
4.222          64.692         272.477   10003   30003
4.242          87.165        1041.437   10002   30002
4.265          82.384         481.213   10001   30001
4.330          42.798        1193.974   10002   30002
4.539          21.402        1022.300   10003   30003
4.655          41.082        3421.910   10002   30002
4.681          94.047         241.844   10003   30003
4.709          12.224         172.123   10001   30001
4.774          29.443         494.726   10002   30002
5.028          25.137         706.206   10004   30004
5.056          27.368         851.453   10003   30003
5.144          58.439         942.452   10003   30003
5.210          83.923         884.383   10002   30002
5.280          61.856         872.422   10002   30002
5.311          64.135        1832.709   10002   30002
5.439          88.630        1417.152   10004   30004
5.445          98.598        1761.878   10001   30001
5.523          41.831        4003.528   10002   30002
5.576          32.878        1978.675   10003   30003
5.595          79.940        1154.322   10004   30004
5.695          35.657         807.462   10002   30002
5.893          11.240        1556.665   10003   30003
5.933          89.139         457.372   10002   30002
6.067          40.156         420.257   10004   30004
6.105          84.253          40.094   10002   30002
6.143          90.968        2254.030   10005   30005
6.198          90.653        1139.693   10003   30003
6.489          72.024        1078.768   10002   30002
