Inicio(seg)    Duracao(seg)     Banda(Kbps)    PCli   PServ
1.026          23.636          86.362   10000   30000
1.038          95.721         382.614   10000   30000
1.147          93.391         270.465   10000   30000
1.149           6.015         722.280   10000   30000
1.187          17.902         374.458   10000   30000
1.211          13.176        1735.795   10000   30000
1.247          87.366         454.223   10000   30000
1.252          96.071        1741.807   10000   30000
1.279          56.155          14.534   10000   30000
1.311          14.201         425.719   10000   30000
1.332          26.898        4211.445   10000   30000
1.369          76.341        1732.330   10000   30000
1.387          14.464         126.787   10000   30000
1.400          58.081         747.735   10000   30000
1.415          37.913         434.901   10000   30000
1.424          88.747         723.532   10000   30000
1.425          20.476         876.846   10000   30000
1.428           6.199         128.170   10000   30000
1.432          55.751        2090.713   10000   30000
1.435          35.394         938.359   10000   30000
1.447          84.805         287.233   10000   30000
1.462          17.740         258.421   10000   30000
1.466          43.592         532.577   10000   30000
1.466          37.212         355.137   10000   30000
1.474          41.830        1190.951   10000   30000
1.474          88.676         446.141   10000   30000
1.482          44.956          94.166   10000   30000
1.483          18.916        2036.026   10000   30000
1.506          26.906        2263.587   10000   30000
1.511          14.707        1319.917   10000   30000
1.539          13.216         688.562   10000   30000
1.579          31.946          87.666   10000   30000
1.585          52.936         896.001   10000   30000
1.586          69.656         982.805   10001   30001
1.622          58.368         502.887   10000   30000
1.633          88.437         525.641   10000   30000
1.671          76.058         144.255   10001   30001
1.679          95.063         397.540   10001   30001
1.704          92.170        2728.459   10000   30000
1.705          64.169         134.388   10000   30000
1.724          68.201         133.390   10000   30000
1.748          47.497        1783.575   10001   30001
1.760          71.822        1935.064   10000   30000
1.766          51.617         433.310   10000   30000
1.806          28.086        1097.127   10001   30001
1.817           5.966         677.450   10000   30000
1.851          44.434         675.299   10001   30001
1.852           6.676        1305.357   10001   30001
1.893          39.124        1326.978   10000   30000
1.895          89.412        1459.474   10000   30000
1.944          70.804        2787.456   10001   30001
1.968          52.755         161.602   10001   30001
1.978          16.879         906.266   10001   30001
1.987          49.607         964.011   10000   30000
2.007          81.873        2314.179   10000   30000
2.030          21.173         776.277   10001   30001
2.050           9.750        1748.552   10000   30000
2.066          16.347         447.567   10000   30000
2.080          85.962          85.446   10002   30002
2.082           7.348         127.645   10002   30002
2.088          54.085         316.850   10001   30001
2.140          51.902         667.565   10000   30000
2.177          14.853         679.444   10000   30000
2.191          19.559         293.948   10001   30001
2.194          76.560         899.605   10000   30000
2.224          27.181        1456.081   10002   30002
2.231          99.548        2112.148   10001   30001
2.242           5.938         595.880   10000   30000
2.249          39.104        1903.018   10000   30000
2.321          86.420         571.662   10000   30000
2.328          78.670         245.784   10001   30001
2.334          19.416         717.787   10001   30001
2.393          73.595          30.324   10000   30000
2.404          71.792         221.435   10000   30000
2.428          95.460        1007.779   10001   30001
2.457          35.584         702.483   10000   30000
2.509          95.180         365.190   10000   30000
2.524          84.445        3745.828   10000   30000
2.526          44.642         205.164   10001   30001
2.535          78.105           4.711   10001   30001
2.549          89.401         315.244   10002   30002
2.551          15.497        2853.150   10001   30001
2.564          37.593         466.340   10001   30001
2.587          54.774        6189.531   10000   30000
2.599          43.679         155.788   10002   30002
2.623          60.058         421.553   10000   30000
