    Time      SRC      DST   Cookie                 SRCIP          DSTIP       SRCPort  DSTPort  Protocol  NumSwitches Active   InCache  Blocked  Direction  TimeCreated  TimeFinished      ExpBytes       Rate
  10.000       SW       HW 0x0860852710753011       10.0.0.134       10.0.0.133    10000    30000    17        1           true    false     false    2                1.187         0.000         0        8670003
  10.000       SW       HW 0x0380372711753111       10.0.0.56       10.0.0.55    10001    30001    17        1           true    false     false    1                3.496         0.000         0        6058397
  10.000       SW       HW 0x0120112710753011       10.0.0.18       10.0.0.17    10000    30000    17        1           true    false     false    1                1.316         0.000         0        5347313
  10.000       SW       HW 0x0ac0ab2712753211       10.0.0.172       10.0.0.171    10002    30002    17        1           true    false     false    2                7.369         0.000         0        5066023
  10.000       SW       HW 0x0b60b52711753111       10.0.0.182       10.0.0.181    10001    30001    17        1           true    false     false    2                4.638         0.000         0        4620897
  10.000       SW       HW 0x0320312713753311       10.0.0.50       10.0.0.49    10003    30003    17        1           true    false     false    1                6.864         0.000         0        4602665
  10.000       SW       HW 0x0140132713753311       10.0.0.20       10.0.0.19    10003    30003    17        1           true    false     false    1                4.827         0.000         0        4585452
  10.000       SW       HW 0x04c04b2711753111       10.0.0.76       10.0.0.75    10001    30001    17        1           true    false     false    1                5.154         0.000         0        4124732
  10.000       SW       HW 0x0580572715753511       10.0.0.88       10.0.0.87    10005    30005    17        1           true    false     false    1                3.517         0.000         0        4016286
  10.000       SW       HW 0x0780772711753111       10.0.0.120       10.0.0.119    10001    30001    17        1           true    false     false    2                3.467         0.000         0        3982107
  10.000       SW       HW 0x09c09b2714753411       10.0.0.156       10.0.0.155    10004    30004    17        1           true    false     false    2                9.456         0.000         0        3965338
  10.000       SW       HW 0x0080072718753811       10.0.0.8       10.0.0.7    10008    30008    17        1           true    false     false    1                7.496         0.000         0        3792162
  10.000       SW       HW 0x0980972712753211       10.0.0.152       10.0.0.151    10002    30002    17        1           true    false     false    2                6.217         0.000         0        3734608
  10.000       SW       HW 0x0c80c72711753111       10.0.0.200       10.0.0.199    10001    30001    17        1           true    false     false    2                3.401         0.000         0        3715905
  10.000       SW       HW 0x05004f2714753411       10.0.0.80       10.0.0.79    10004    30004    17        1           true    false     false    1                5.327         0.000         0        3563079
  10.000       SW       HW 0x06c06b2711753111       10.0.0.108       10.0.0.107    10001    30001    17        1           true    false     false    2                7.247         0.000         0        3489529
  10.000       SW       HW 0x02c02b2712753211       10.0.0.44       10.0.0.43    10002    30002    17        1           true    false     false    1                7.494         0.000         0        3483912
  10.000       SW       HW 0x0260252716753611       10.0.0.38       10.0.0.37    10006    30006    17        1           true    false     false    1                7.761         0.000         0        3476964
  10.000       SW       HW 0x02e02d2716753611       10.0.0.46       10.0.0.45    10006    30006    17        1           true    false     false    1                8.482         0.000         0        3283197
  10.000       SW       HW 0x03a0392713753311       10.0.0.58       10.0.0.57    10003    30003    17        1           true    false     false    1                6.307         0.000         0        3234643
