Inicio(seg)    Duracao(seg)     Banda(Kbps)    PCli   PServ
1.020          48.595        1149.531   10000   30000
1.049          40.827        1465.084   10000   30000
1.082          76.423        2303.295   10000   30000
1.091          71.426        1486.900   10000   30000
1.094          70.755         692.134   10000   30000
1.114          43.406         934.257   10000   30000
1.132          89.100         750.739   10000   30000
1.134          94.673         818.545   10000   30000
1.146          63.254        1528.977   10000   30000
1.181           9.572         386.101   10000   30000
1.256          68.330         978.344   10000   30000
1.263          53.573        2186.740   10000   30000
1.265           5.390        1432.815   10001   30001
1.267          82.323        4913.582   10000   30000
1.269          73.704         404.226   10000   30000
1.337          83.113         394.277   10001   30001
1.341          69.201         249.808   10001   30001
1.432          50.109        1357.769   10000   30000
1.465          99.869         495.948   10000   30000
1.468          63.014        1698.895   10000   30000
1.543          44.906         247.988   10001   30001
1.632          50.748        3478.097   10000   30000
1.680          13.495         314.471   10000   30000
1.724          67.820         145.640   10000   30000
1.738          62.564         821.504   10000   30000
1.767          91.444         802.124   10000   30000
1.781          38.440          44.395   10000   30000
1.793          80.115         140.435   10000   30000
1.818          37.425         121.492   10000   30000
1.848          85.137          23.333   10000   30000
1.850           8.881         289.332   10000   30000
1.916          16.475        1091.883   10001   30001
1.958          28.887         761.389   10001   30001
1.970          26.457        1971.467   10000   30000
1.976          17.327         209.785   10000   30000
2.006          74.131        1042.592   10000   30000
2.007          55.123         442.348   10000   30000
2.009          91.655         888.072   10001   30001
2.026          62.019         395.631   10001   30001
2.029          32.999         732.209   10000   30000
2.036          81.513        1100.568   10001   30001
2.062          37.202         361.326   10000   30000
2.064          74.484         485.037   10000   30000
2.103          13.866         203.532   10000   30000
2.159          93.122        4059.174   10000   30000
2.176          25.519         945.959   10001   30001
2.184          86.506        1569.355   10000   30000
2.189          18.199        2434.707   10000   30000
2.216          93.728         220.259   10002   30002
2.245          22.280        1756.274   10001   30001
2.301          20.145        1408.570   10000   30000
2.321          81.780         352.324   10001   30001
2.348          87.524        1073.573   10000   30000
2.348          67.561          83.873   10002   30002
2.350          14.817          21.445   10002   30002
2.396          77.039        5445.721   10000   30000
2.417          22.177         611.566   10001   30001
2.419          30.154        1169.861   10001   30001
2.457          44.367         112.571   10001   30001
2.532          41.616         124.838   10001   30001
2.532          35.215        2328.184   10000   30000
2.567          70.816         490.488   10000   30000
2.611          27.106         357.794   10000   30000
2.615          19.573         244.637   10000   30000
2.650          11.371        1717.167   10001   30001
2.664          73.454         545.609   10000   30000
2.679          64.800         561.072   10002   30002
2.679          92.817         109.661   10000   30000
2.695          41.519          87.353   10002   30002
2.704          93.941        1216.580   10003   30003
2.742          11.857         719.149   10001   30001
2.753           5.063        1030.488   10001   30001
2.762          76.033        1034.769   10002   30002
2.768          15.589         273.973   10000   30000
2.787          38.939         146.023   10001   30001
2.798          32.300        1490.505   10000   30000
2.804          12.948         468.945   10000   30000
2.837          41.414        2356.812   10000   30000
2.865          81.126        1051.068   10000   30000
2.892          62.045        1163.960   10002   30002
2.934          87.619        1303.260   10000   30000
2.968          31.903        1056.384   10000   30000
2.994          92.792         879.738   10001   30001
3.088          38.057         951.151   10000   30000
3.111          31.684        2430.626   10002   30002
3.121          25.778         485.464   10003   30003
3.137          20.285         925.835   10001   30001
3.141          48.670        1664.311   10000   30000
3.151          14.901          69.444   10001   30001
3.184          26.566         214.346   10000   30000
3.251          21.611         897.827   10000   30000
3.309          60.703        5325.924   10002   30002
3.327          66.066        3531.837   10002   30002
3.342          26.611        2603.062   10000   30000
3.362          41.979        1195.285   10000   30000
3.390          59.646         263.130   10001   30001
3.435          63.259        2543.013   10001   30001
3.473          62.592        1172.503   10001   30001
3.477          13.486        1451.850   10001   30001
3.510          39.492        1068.894   10001   30001
3.540          37.135        2354.856   10000   30000
3.576          32.865         512.827   10000   30000
3.593          48.642        2327.649   10000   30000
3.606          26.102         174.292   10001   30001
3.611          59.472         536.483   10000   30000
3.637          66.387         440.935   10001   30001
3.637          85.426         904.139   10000   30000
3.642          44.696         665.219   10002   30002
3.655          95.887         946.504   10000   30000
3.655          68.842         871.811   10001   30001
3.692          80.425        1758.322   10000   30000
3.706          68.611        1856.871   10002   30002
3.726          55.870         393.081   10001   30001
3.746          80.088        1353.961   10001   30001
3.752          67.779         449.339   10000   30000
3.813          51.161        1887.514   10000   30000
3.829          15.083          56.600   10001   30001
3.842          79.878         888.072   10001   30001
3.866          51.281        2188.442   10000   30000
3.873          50.568        1282.910   10000   30000
3.880          23.883        1273.698   10001   30001
3.886          99.200         170.306   10000   30000
3.890          57.544         981.062   10001   30001
3.898          14.637        1192.460   10001   30001
3.945          23.998          94.166   10000   30000
3.962          83.093         419.062   10001   30001
3.967          17.248        5558.535   10000   30000
3.973          78.020          34.205   10002   30002
3.983          52.339         343.233   10001   30001
3.995          26.637        1028.556   10001   30001
4.025          82.671        2231.029   10002   30002
4.059          77.226        1919.806   10001   30001
4.072          15.231        2717.465   10001   30001
4.108           6.636        2478.946   10002   30002
4.143          52.237         745.736   10002   30002
4.154          61.801        1524.821   10002   30002
4.159          54.715         566.922   10000   30000
4.197           9.947        2510.960   10001   30001
4.200          93.910         762.766   10001   30001
4.339          98.820        1852.937   10000   30000
4.387          93.032         166.687   10004   30004
4.415          41.019        2589.654   10001   30001
4.432          82.453        1210.156   10000   30000
4.442          37.725        1715.847   10000   30000
4.453          95.271         526.003   10000   30000
4.466           6.923         169.219   10001   30001
4.502          14.683          99.443   10001   30001
4.502          64.392         573.345   10000   30000
4.519          61.818         316.370   10000   30000
4.520          52.951        1254.510   10001   30001
4.523          27.465         119.421   10001   30001
4.554          11.992         773.641   10001   30001
4.570          69.676         860.781   10002   30002
4.581          79.807        3772.325   10002   30002
4.600          83.492         708.621   10002   30002
4.620          29.605        1532.249   10000   30000
4.652          44.117         208.655   10004   30004
4.655          45.918         320.338   10001   30001
4.662          35.478         702.220   10000   30000
4.664          67.492        1530.008   10001   30001
4.667          18.950          17.015   10000   30000
4.705          35.687        1719.926   10001   30001
4.724          23.343        1490.539   10002   30002
4.727          78.589         391.029   10002   30002
4.750          99.172        4331.615   10001   30001
4.813          44.128         714.857   10001   30001
4.837          21.696        4033.825   10001   30001
4.841          99.600         907.601   10001   30001
4.846           5.326        1534.303   10003   30003
4.862          70.855        1527.785   10000   30000
4.863          54.819         457.632   10001   30001
4.867          64.024        1023.097   10001   30001
4.887          72.191         733.290   10000   30000
4.937          34.309        1510.294   10005   30005
4.969          93.171        1593.893   10002   30002
4.982          88.248         861.733   10002   30002
5.001          23.099         920.335   10003   30003
5.007          41.192         441.464   10000   30000
5.018          19.948          62.764   10002   30002
5.041          40.088         148.040   10000   30000
5.113          30.419         167.548   10001   30001
5.147          99.927         427.666   10001   30001
5.157          27.712        1071.750   10000   30000
5.193          45.402        2010.041   10002   30002
5.193           8.955         212.390   10002   30002
5.211          38.699         552.632   10001   30001
5.225          14.838        3087.657   10003   30003
5.229          68.712         509.340   10006   30006
5.255          91.439         589.494   10000   30000
5.283          15.421        1379.062   10003   30003
5.304          33.822         176.303   10002   30002
5.334          28.753         141.417   10001   30001
5.347          99.522         367.728   10002   30002
5.400          69.631         531.474   10002   30002
5.419          89.567        3496.535   10003   30003
5.444          92.531        2456.077   10003   30003
5.450          70.101         331.627   10002   30002
5.494          19.771        1375.686   10001   30001
5.498           5.697        1710.565   10002   30002
5.508          21.671          83.213   10003   30003
5.518          48.269         120.298   10002   30002
5.541          99.738         290.525   10003   30003
5.562          81.579         392.132   10002   30002
5.577          15.642        1079.540   10002   30002
5.613          90.202         757.048   10001   30001
5.632          64.262        1394.502   10000   30000
5.641          47.095        2167.667   10002   30002
5.657          13.333        2749.564   10003   30003
5.686          96.446         739.787   10004   30004
5.705          49.367         590.042   10002   30002
5.779          27.049         746.843   10002   30002
5.798          85.226        2613.596   10003   30003
5.803          59.741        1699.837   10000   30000
5.812          37.181         139.312   10003   30003
5.813          44.359         625.562   10002   30002
5.834          27.907        1427.500   10003   30003
5.853          63.626          48.202   10001   30001
5.879          55.921         304.912   10003   30003
5.879          82.330         606.617   10002   30002
5.915          36.893        1312.293   10001   30001
