   Time:s        Teid  AppName  Ul/Dl  Activ:s  Dly:ms  Jit:ms  TxPkts  RxPkts  Loss:%  RxBytes  Thp:kbps
    8.612  0x00030000 VoipCall  Ulink    5.463   1.147   0.000     296     295   0.338   433650   635.016
    9.081  0x00130000 VoipCall  Ulink    5.722   1.162   0.000     488     487   0.205   715890  1000.866
    9.233  0x005f0000 VoipCall  Ulink    6.318   1.148   0.000     278     277   0.360   407190   515.561
   10.244  0x00270001 VoipCall  Ulink    6.295   1.184   0.028      19      18   5.263    26460    33.625
   11.078  0x00080001 VoipCall  Ulink    5.521   1.220   0.004      49      48   2.041    70560   102.235
   11.301  0x00560004 VoipCall  Ulink    6.402   1.213   0.000     428     427   0.234   627690   784.313
   12.458  0x004d0004 VoipCall  Ulink    7.434   1.224   0.001     659     658   0.152   967260  1040.906
   13.106  0x00350000 VoipCall  Ulink    9.236   1.216   0.000    1235    1234   0.081  1813980  1571.290
   13.906  0x00270000 VoipCall  Ulink   11.366   1.195   0.000     448     447   0.223   657090   462.487
   13.954  0x00420003 VoipCall  Ulink    5.238   1.280   0.000     162     161   0.617   236670   361.499
   14.161  0x00110002 VoipCall  Ulink    7.134   1.274   0.000     445     444   0.225   652680   731.874
   14.480  0x00130003 VoipCall  Ulink    8.864   1.257   0.000     607     606   0.165   890820   804.007
   14.525  0x00370004 VoipCall  Ulink    6.713   1.278   0.030      19      18   5.263    26460    31.534
   14.616  0x00180006 VoipCall  Ulink    5.773   1.288   0.001     102     101   0.980   148470   205.734
   14.919  0x00080003 VoipCall  Ulink    7.044   1.285   0.000     683     682   0.146  1002540  1138.616
   15.328  0x002a0000 VoipCall  Ulink    8.952   1.273   0.002      73      72   1.370   105840    94.584
   15.339  0x00230003 VoipCall  Ulink    8.698   1.279   0.000     924     923   0.108  1356810  1247.934
   15.447  0x002b0005 VoipCall  Ulink    6.190   1.299   0.000     904     903   0.111  1327410  1715.423
   15.595  0x00550001 VoipCall  Ulink   11.128   1.254   0.000     201     200   0.498   294000   211.352
   15.975  0x004f0003 VoipCall  Ulink    5.212   1.320   0.003      57      56   1.754    82320   126.350
   16.148  0x002f0006 VoipCall  Ulink    5.122   1.324   0.000     220     219   0.455   321930   502.864
   16.342  0x00490001 VoipCall  Ulink   12.867   1.243   0.000    1993    1992   0.050  2928240  1820.605
   16.366  0x005f0001 VoipCall  Ulink   10.350   1.277   0.000     967     966   0.103  1420020  1097.644
   16.396  0x00560009 VoipCall  Ulink    6.570   1.310   0.000     673     672   0.149   987840  1202.903
   16.769  0x00330004 VoipCall  Ulink   10.945   1.278   0.000     878     877   0.114  1289190   942.300
   16.922  0x001c0000 VoipCall  Ulink   11.757   1.271   0.000    1547    1546   0.065  2272620  1546.395
   16.940  0x00400003 VoipCall  Ulink    8.465   1.302   0.000     630     629   0.159   924630   873.842
   17.112  0x00250001 VoipCall  Ulink   11.832   1.273   0.000     124     123   0.806   180810   122.247
   17.458  0x00110001 VoipCall  Ulink   10.468   1.296   0.000    2199    2198   0.045  3231060  2469.253
   17.590  0x00530001 VoipCall  Ulink   13.377   1.264   0.000     196     195   0.510   286650   171.428
   17.741  0x00370003 VoipCall  Ulink   10.636   1.298   0.000    2731    2730   0.037  4013100  3018.539
   17.930  0x004b0000 VoipCall  Ulink   15.506   1.231   0.000    2855    2854   0.035  4195380  2164.557
   18.044  0x002a0004 VoipCall  Ulink    6.758   1.332   0.000      86      85   1.163   124950   147.924
   18.047  0x00250002 VoipCall  Ulink   11.780   1.290   0.000    1093    1092   0.091  1605240  1090.169
   18.112  0x00010003 VoipCall  Ulink    7.304   1.327   0.000     534     533   0.187   783510   858.118
   18.181  0x00060002 VoipCall  Ulink    9.388   1.309   0.002      68      67   1.471    98490    83.931
   18.371  0x00050001 VoipCall  Ulink   11.500   1.299   0.000    6954    6953   0.014 10220910  7110.193
   18.587  0x00530002 VoipCall  Ulink   10.385   1.307   0.000    1147    1146   0.087  1684620  1297.771
   18.652  0x00080006 VoipCall  Ulink    8.322   1.324   0.000     374     373   0.267   548310   527.093
   18.777  0x00450000 VoipCall  Ulink   16.209   1.241   0.000     838     837   0.119  1230390   607.260
   19.019  0x00500001 VoipCall  Ulink   15.470   1.262   0.000    3511    3510   0.028  5159700  2668.306
   19.118  0x004a0006 VoipCall  Ulink   10.889   1.309   0.000     558     557   0.179   818790   601.542
   19.185  0x003d0003 VoipCall  Ulink    8.525   1.328   0.000     285     284   0.351   417480   391.774
   19.618  0x00530006 VoipCall  Ulink    6.246   1.345   0.000     699     698   0.143  1026060  1314.111
   19.922  0x00600004 VoipCall  Ulink    5.827   1.345   0.000     107     106   0.935   155820   213.933
   19.982  0x00440000 VoipCall  Ulink   16.664   1.263   0.000    1469    1468   0.068  2157960  1035.990
   20.199  0x00480002 VoipCall  Ulink   13.998   1.298   0.000     223     222   0.448   326340   186.506
   20.625  0x00460007 VoipCall  Ulink    6.603   1.345   0.000     580     579   0.172   851130  1031.207
   20.800  0x000c0008 VoipCall  Ulink    8.294   1.345   0.000     792     791   0.126  1162770  1121.496
   20.931  0x001b0006 VoipCall  Ulink    5.968   1.345   0.000     377     376   0.265   552720   740.851
   21.003  0x00590003 VoipCall  Ulink    7.179   1.345   0.000     207     206   0.483   302820   337.470
   21.185  0x00460001 VoipCall  Ulink   16.930   1.282   0.000    2052    2051   0.049  3014970  1424.675
   21.185  0x00080002 VoipCall  Ulink   15.011   1.301   0.000    1996    1995   0.050  2932650  1562.905
   21.186  0x00320003 VoipCall  Ulink   14.047   1.310   0.000     367     366   0.272   538020   306.408
   21.277  0x002d0007 VoipCall  Ulink    5.489   1.345   0.000     880     879   0.114  1292130  1883.381
   21.309  0x00150006 VoipCall  Ulink    6.577   1.345   0.000    1239    1238   0.081  1819860  2213.522
   21.593  0x00080005 VoipCall  Ulink   11.865   1.325   0.000    1071    1070   0.093  1572900  1060.561
   21.702  0x0062000c VoipCall  Ulink    6.361   1.345   0.000     527     526   0.190   773220   972.480
   21.767  0x00260003 VoipCall  Ulink    9.698   1.345   0.000     889     888   0.112  1305360  1076.771
   21.840  0x00190008 VoipCall  Ulink    5.469   1.345   0.000     320     319   0.312   468930   685.890
   22.072  0x00190007 VoipCall  Ulink    6.529   1.345   0.000     857     856   0.117  1258320  1541.751
   22.403  0x003b0002 VoipCall  Ulink    9.062   1.345   0.000    3737    3719   0.482  5466930  4826.144
   22.513  0x00200002 VoipCall  Ulink   12.321   1.329   0.000     228     227   0.439   333690   216.663
   22.559  0x00400001 VoipCall  Ulink   18.355   1.286   0.000     886     881   0.564  1295070   564.442
   22.644  0x004b0006 VoipCall  Ulink    7.087   1.345   0.069       5       4  20.000     5880     6.637
   22.741  0x001a0001 VoipCall  Ulink   16.703   1.304   0.005     683     677   0.878   995190   476.666
   22.978  0x00400005 VoipCall  Ulink    7.902   1.349   0.005     129     126   2.326   185220   187.525
   22.981  0x004b0004 VoipCall  Ulink   12.829   1.330   0.007      84      82   2.381   120540    75.169
   23.082  0x00350003 VoipCall  Ulink    8.481   1.349   0.000    1075    1049   2.419  1542030  1454.608
   23.270  0x00470003 VoipCall  Ulink   14.410   1.326   0.000    2394    2352   1.754  3457440  1919.410
   23.278  0x00060006 VoipCall  Ulink    5.787   1.354   0.000    1101    1055   4.178  1550850  2143.875
   23.397  0x00390003 VoipCall  Ulink   16.606   1.315   0.000    2057    2019   1.847  2967930  1429.773
   23.420  0x00340004 VoipCall  Ulink   15.295   1.322   0.003     271     264   2.583   388080   202.986
   23.581  0x00140001 VoipCall  Ulink   14.381   1.329   0.000    1061    1035   2.451  1521450   846.347
   23.659  0x00440001 VoipCall  Ulink   16.179   1.321   0.000    2844    2780   2.250  4086600  2020.666
   23.687  0x004e0007 VoipCall  Ulink    7.062   1.356   0.003     135     126   6.667   185220   209.834
   23.690  0x00620001 VoipCall  Ulink   19.901   1.286   0.005     162     158   2.469   232260    93.364
   23.776  0x00620008 VoipCall  Ulink   14.119   1.333   0.000    1126    1091   3.108  1603770   908.715
   24.056  0x00090000 VoipCall  Ulink   20.375   1.289   0.004     137     135   1.460   198450    77.917
   24.163  0x00580002 VoipCall  Ulink   19.167   1.300   0.004     141     135   4.255   198450    82.829
   24.407  0x003c0000 VoipCall  Ulink   16.434   1.327   0.000    3512    3383   3.673  4973010  2420.780
   24.466  0x000a0007 VoipCall  Ulink    9.591   1.360   0.001     265     248   6.415   364560   304.070
   24.916  0x00230005 VoipCall  Ulink   13.560   1.352   0.000    1329    1252   5.794  1840440  1085.769
   24.952  0x00350002 VoipCall  Ulink   10.647   1.362   0.000     375     347   7.467   510090   383.277
   25.094  0x00510001 VoipCall  Ulink   21.698   1.289   0.000     563     541   3.908   795270   293.220
   25.185  0x000b000a VoipCall  Ulink    8.380   1.369   0.000    1031     927  10.087  1362690  1300.916
   25.209  0x000c0007 VoipCall  Ulink   13.371   1.357   0.000    1795    1677   6.574  2465190  1474.996
   25.611  0x005d0004 VoipCall  Ulink    6.181   1.385   0.000     853     714  16.295  1049580  1358.357
   25.645  0x00050005 VoipCall  Ulink    6.718   1.382   0.000     397     338  14.861   496860   591.686
   25.684  0x003f0007 VoipCall  Ulink   12.585   1.364   0.000     276     253   8.333   371910   236.416
   25.684  0x004e0001 VoipCall  Ulink   21.710   1.299   0.001     356     338   5.056   496860   183.091
   25.770  0x005a000a VoipCall  Ulink   11.118   1.366   0.000     260     233  10.385   342510   246.450
   25.919  0x00340005 VoipCall  Ulink   16.015   1.345   0.000     635     589   7.244   865830   432.517
   25.982  0x004a0001 VoipCall  Ulink   23.797   1.272   0.000    1718    1638   4.657  2407860   809.468
   26.167  0x00080007 VoipCall  Ulink   14.142   1.364   0.000     670     616   8.060   905520   512.230
   26.598  0x00280005 VoipCall  Ulink   12.377   1.370   0.000    2237    1998  10.684  2937060  1898.459
   26.744  0x005d0003 VoipCall  Ulink   15.882   1.354   0.002     116     104  10.345   152880    77.009
   26.791  0x00330007 VoipCall  Ulink   13.063   1.369   0.000     247     218  11.741   320460   196.260
   26.874  0x0048000c VoipCall  Ulink    8.822   1.385   0.000     945     792  16.190  1164240  1055.759
   26.973  0x005f0005 VoipCall  Ulink   11.651   1.374   0.023      28      24  14.286    35280    24.224
   26.989  0x00200005 VoipCall  Ulink    8.001   1.391   0.000    1401    1143  18.415  1680210  1680.040
   27.022  0x004d0005 VoipCall  Ulink   19.375   1.337   0.000     824     761   7.646  1118670   461.892
   27.060  0x00600003 VoipCall  Ulink   20.484   1.330   0.000    1683    1560   7.308  2293200   895.625
   27.064  0x000b000c VoipCall  Ulink    6.717   1.403   0.000     147     112  23.810   164640   196.087
   27.362  0x00190003 VoipCall  Ulink   22.055   1.321   0.000     406     378   6.897   555660   201.551
   27.445  0x001b0004 VoipCall  Ulink   18.158   1.347   0.000    1545    1398   9.515  2055060   905.410
   27.453  0x002e0006 VoipCall  Ulink    8.238   1.397   0.016      38      29  23.684    42630    41.399
   27.509  0x00200004 VoipCall  Ulink   11.555   1.379   0.000    1656    1418  14.372  2084460  1443.162
   27.780  0x003c0005 VoipCall  Ulink    7.313   1.407   0.000    1394    1040  25.395  1528800  1672.347
   27.846  0x00490004 VoipCall  Ulink   21.594   1.330   0.000     494     451   8.704   662970   245.612
   28.004  0x001c0003 VoipCall  Ulink   19.448   1.345   0.000     533     482   9.568   708540   291.465
   28.223  0x001d0009 VoipCall  Ulink   13.872   1.376   0.000    2165    1860  14.088  2734200  1576.836
   28.281  0x00610000 VoipCall  Ulink   25.108   1.300   0.000     324     298   8.025   438060   139.576
   28.374  0x000c000a VoipCall  Ulink   15.420   1.374   0.000     708     617  12.853   906990   470.558
   28.431  0x00480001 VoipCall  Ulink   24.157   1.313   0.000     362     331   8.564   486570   161.132
   28.619  0x004f0009 VoipCall  Ulink    7.587   1.418   0.000     734     527  28.202   774690   816.856
   28.637  0x001f0000 VoipCall  Ulink   24.386   1.315   0.000    3674    3351   8.792  4925970  1615.967
   28.729  0x004f0004 VoipCall  Ulink   16.945   1.371   0.000    1007     879  12.711  1292130   610.035
   28.734  0x0033000c VoipCall  Ulink    5.376   1.445   0.001     122      79  35.246   116130   172.797
   28.739  0x00160003 VoipCall  Ulink   20.249   1.347   0.000    3171    2834  10.628  4165980  1645.871
   28.827  0x00240007 VoipCall  Ulink    5.467   1.445   0.000     510     332  34.902   488040   714.201
   28.877  0x00490006 VoipCall  Ulink   21.185   1.345   0.007      57      50  12.281    73500    27.755
   28.989  0x00170001 VoipCall  Ulink   18.536   1.352   0.009      55      44  20.000    64680    27.915
   28.990  0x00530005 VoipCall  Ulink   19.474   1.354   0.000    1829    1616  11.646  2375520   975.887
   29.031  0x00210009 VoipCall  Ulink    9.759   1.402   0.000    2182    1677  23.144  2465190  2020.771
   29.076  0x002f000f VoipCall  Ulink    5.225   1.445   0.000     416     270  35.096   396900   607.641
   29.084  0x00200009 VoipCall  Ulink    7.939   1.420   0.000     420     297  29.286   436590   439.932
   29.242  0x00470002 VoipCall  Ulink   22.727   1.337   0.000     396     355  10.354   521850   183.696
   29.257  0x00240003 VoipCall  Ulink   12.415   1.389   0.000    1328    1075  19.051  1580250  1018.272
   29.276  0x00140002 VoipCall  Ulink   18.362   1.365   0.000    2198    1913  12.966  2812110  1225.189
   29.282  0x00100000 VoipCall  Ulink   16.008   1.345   0.064      10       7  30.000    10290     5.142
   29.342  0x00450006 VoipCall  Ulink   18.815   1.362   0.000    4449    3886  12.655  5712420  2428.887
   29.574  0x00580001 VoipCall  Ulink   25.225   1.319   0.000    1085     977   9.954  1436190   455.484
   29.617  0x004e000a VoipCall  Ulink    7.635   1.435   0.000    1021     681  33.301  1001070  1048.991
   29.699  0x00410000 VoipCall  Ulink   27.465   1.288   0.000   18481   16769   9.264 24650430  7180.194
   29.802  0x00490002 VoipCall  Ulink   25.977   1.313   0.000     565     509   9.912   748230   230.426
   29.811  0x00170005 VoipCall  Ulink   17.374   1.377   0.000    1892    1611  14.852  2368170  1090.452
   30.005  0x0041000b VoipCall  Ulink    6.869   1.445   0.001     116      75  35.345   110250   128.403
   30.219  0x00240001 VoipCall  Ulink   23.007   1.345   0.000    1122     984  12.299  1446480   502.964
   30.259  0x00610001 VoipCall  Ulink   19.728   1.365   0.000    9155    7873  14.003 11573310  4693.169
   30.293  0x00340003 VoipCall  Ulink   23.658   1.341   0.000    1403    1236  11.903  1816920   614.404
   30.525  0x001a0003 VoipCall  Ulink   18.003   1.379   0.017      35      29  17.143    42630    18.943
   30.543  0x00130002 VoipCall  Ulink   24.976   1.333   0.000     413     365  11.622   536550   171.860
   30.581  0x001b0000 VoipCall  Ulink   27.101   1.312   0.000    1710    1529  10.585  2247630   663.484
   30.644  0x000d0007 VoipCall  Ulink   14.155   1.392   0.000     469     372  20.682   546840   309.068
   30.689  0x0063000c VoipCall  Ulink    7.660   1.445   0.000    1503     958  36.261  1408260  1470.744
   30.716  0x00430004 VoipCall  Ulink   19.472   1.371   0.000    1713    1450  15.353  2131500   875.724
   30.867  0x004a000f VoipCall  Ulink    6.045   1.445   0.002      99      61  38.384    89670   118.666
   31.038  0x0013000e VoipCall  Ulink    8.524   1.444   0.000     298     189  36.577   277830   260.764
   31.087  0x00100006 VoipCall  Ulink   15.820   1.388   0.000     581     465  19.966   683550   345.659
   31.095  0x0041000d VoipCall  Ulink    7.863   1.445   0.000    1195     756  36.736  1111320  1130.616
   31.209  0x00530009 VoipCall  Ulink   12.159   1.406   0.000     832     615  26.082   904050   594.819
   31.311  0x00000007 VoipCall  Ulink   17.239   1.385   0.000    2975    2416  18.790  3551520  1648.131
   31.361  0x004a000b VoipCall  Ulink   13.001   1.402   0.000     840     628  25.238   923160   568.059
   31.401  0x00240008 VoipCall  Ulink    6.155   1.445   0.037      27      15  44.444    22050    28.657
   31.432  0x00210007 VoipCall  Ulink   12.398   1.407   0.000    2420    1779  26.488  2615130  1687.469
   31.529  0x004e0000 VoipCall  Ulink   28.067   1.313   0.001     174     150  13.793   220500    62.850
   31.558  0x00210006 VoipCall  Ulink   14.691   1.395   0.000    3487    2695  22.713  3961650  2157.253
   31.613  0x00620000 VoipCall  Ulink   28.144   1.315   0.000     249     219  12.048   321930    91.509
   31.916  0x001e0008 VoipCall  Ulink   16.194   1.391   0.000    2872    2252  21.588  3310440  1635.433
   32.274  0x004a0007 VoipCall  Ulink   23.564   1.358   0.000    2526    2134  15.519  3136980  1064.991
   32.300  0x00200003 VoipCall  Ulink   19.577   1.383   0.000     920     739  19.674  1086330   443.917
   32.569  0x001e0006 VoipCall  Ulink   16.957   1.393   0.006      60      46  23.333    67620    31.901
   32.775  0x00530000 VoipCall  Ulink   29.332   1.318   0.000    3454    2996  13.260  4404120  1201.185
   32.813  0x0019000b VoipCall  Ulink   12.036   1.423   0.000    1508    1007  33.223  1480290   983.941
   32.845  0x0032000e VoipCall  Ulink    7.221   1.445   0.001     116      69  40.517   101430   112.378
   32.851  0x001c0006 VoipCall  Ulink   17.911   1.391   0.000     681     531  22.026   780570   348.634
   32.885  0x0062000e VoipCall  Ulink   14.053   1.408   0.000    2018    1449  28.196  2130030  1212.597
   32.903  0x003e000c VoipCall  Ulink    9.974   1.445   0.000     275     171  37.818   251370   201.626
   32.960  0x00170008 VoipCall  Ulink   17.055   1.394   0.000     265     205  22.642   301350   141.351
   33.003  0x002b0002 VoipCall  Ulink   27.797   1.335   0.000    2280    1949  14.518  2865030   824.544
   33.094  0x00090005 VoipCall  Ulink   15.999   1.400   0.000     249     186  25.301   273420   136.717
   33.112  0x001d0008 VoipCall  Ulink   20.057   1.386   0.000     510     406  20.392   596820   238.045
   33.184  0x003e0010 VoipCall  Ulink    5.373   1.445   0.000    1498     852  43.124  1252440  1864.788
   33.440  0x005d0000 VoipCall  Ulink   30.449   1.313   0.000     826     711  13.923  1045170   274.604
   33.449  0x000f0002 VoipCall  Ulink   29.016   1.331   0.000    2017    1729  14.279  2541630   700.748
   33.472  0x00560008 VoipCall  Ulink   24.451   1.363   0.000     753     621  17.530   912870   298.673
   33.565  0x001e000b VoipCall  Ulink   14.789   1.410   0.000     383     274  28.460   402780   217.880
   33.575  0x00300002 VoipCall  Ulink   28.636   1.335   0.000    1119     950  15.103  1396500   390.137
   33.594  0x002b0004 VoipCall  Ulink   25.368   1.359   0.000    3638    3024  16.877  4445280  1401.830
   33.616  0x005c000a VoipCall  Ulink   11.410   1.441   0.000    1557     973  37.508  1430310  1002.849
   33.672  0x00490009 VoipCall  Ulink   21.982   1.382   0.000    1982    1618  18.365  2378460   865.615
   33.848  0x00480005 VoipCall  Ulink   23.104   1.375   0.000     822     664  19.221   976080   337.975
   33.898  0x00160008 VoipCall  Ulink   16.810   1.401   0.000     906     666  26.490   979020   465.910
   33.930  0x000d0009 VoipCall  Ulink   12.918   1.424   0.000     154     101  34.416   148470    91.947
   34.097  0x00400009 VoipCall  Ulink    9.071   1.445   0.000     539     318  41.002   467460   412.287
   34.136  0x00560000 VoipCall  Ulink   31.381   1.312   0.000    1398    1196  14.449  1758120   448.206
   34.167  0x002a0007 VoipCall  Ulink   20.589   1.389   0.000     639     497  22.222   730590   283.875
   34.222  0x00510004 VoipCall  Ulink   25.784   1.360   0.000     323     258  20.124   379260   117.672
   34.255  0x00390007 VoipCall  Ulink   17.168   1.402   0.000    1525    1115  26.885  1639050   763.777
   34.258  0x003f0000 VoipCall  Ulink   31.624   1.310   0.000    2744    2347  14.468  3450090   872.777
   34.366  0x00140005 VoipCall  Ulink    9.361   1.445   0.000     646     377  41.641   554190   473.605
   34.400  0x004b0007 VoipCall  Ulink   20.443   1.390   0.000    1840    1417  22.989  2082990   815.159
   34.433  0x005e0008 VoipCall  Ulink   20.577   1.391   0.000     388     300  22.680   441000   171.450
   34.535  0x00310006 VoipCall  Ulink   10.328   1.445   0.000    2249    1336  40.596  1963920  1521.245
   34.644  0x003b0003 VoipCall  Ulink   20.729   1.391   0.000    3763    2894  23.093  4254180  1641.808
   34.663  0x005c000b VoipCall  Ulink   10.940   1.445   0.000     653     389  40.429   571830   418.171
   34.715  0x00360007 VoipCall  Ulink    5.272   1.445   0.000     319     171  46.395   251370   381.459
   34.911  0x00060004 VoipCall  Ulink   20.642   1.392   0.000     658     499  24.164   733530   284.291
   34.953  0x003f0003 VoipCall  Ulink   28.086   1.355   0.000    2189    1804  17.588  2651880   755.356
   34.957  0x00390001 VoipCall  Ulink   29.306   1.344   0.000    3027    2517  16.848  3699990  1010.029
   34.997  0x00190004 VoipCall  Ulink   26.983   1.360   0.000    1660    1355  18.373  1991850   590.548
   35.037  0x00070002 VoipCall  Ulink   28.073   1.355   0.000    2806    2312  17.605  3398640   968.499
   35.048  0x000e0000 VoipCall  Ulink   26.606   1.363   0.000    2403    1945  19.060  2859150   859.691
   35.103  0x00030007 VoipCall  Ulink   14.173   1.427   0.000     510     326  36.078   479220   270.502
   35.150  0x002c000c VoipCall  Ulink   10.340   1.445   0.000    1486     870  41.454  1278900   989.477
   35.183  0x00320004 VoipCall  Ulink   27.299   1.360   0.000     942     768  18.471  1128960   330.842
   35.244  0x0050000a VoipCall  Ulink   10.536   1.445   0.000    1025     598  41.659   879060   667.486
   35.264  0x003d0002 VoipCall  Ulink   26.131   1.368   0.000     389     314  19.280   461580   141.314
   35.365  0x00540006 VoipCall  Ulink   16.171   1.415   0.000     915     624  31.803   917280   453.798
   35.424  0x004f0005 VoipCall  Ulink   22.988   1.388   0.000    3241    2511  22.524  3691170  1284.540
   35.477  0x002d0008 VoipCall  Ulink   17.721   1.407   0.000    2375    1681  29.221  2471070  1115.517
