  Cookie                 SRCIP          DSTIP       SRCPort  DSTPort  Protocol  NumSwitches Active   InCache  Blocked  Direction  TimeCreated  TimeFinished      ExpBytes           Rate
0x0040032710753011       10.0.0.4       10.0.0.3    10000    30000    17        0           0        1        0        1          6.31143             111.2      27178848        2096959
0x0040032711753111       10.0.0.4       10.0.0.3    10001    30001    17        0           0        1        0        1          11.3668              53.4       2487756         515154
0x0040032712753211       10.0.0.4       10.0.0.3    10002    30002    17        0           0        1        0        1          15.7731              56.6         42448           9921
0x0040032713753311       10.0.0.4       10.0.0.3    10003    30003    17        0           0        1        0        1          16.7292              73.3       2789440         418907
0x0040032714753411       10.0.0.4       10.0.0.3    10004    30004    17        0           0        1        0        1          19.7148              84.2       6732556         893427
0x0040032715753511       10.0.0.4       10.0.0.3    10005    30005    17        0           0        1        0        1          21.5235             136.7      15629960        1152689
0x0040032716753611       10.0.0.4       10.0.0.3    10006    30006    17        0           0        1        0        1          22.5437             142.8        344132          23438
0x0040032717753711       10.0.0.4       10.0.0.3    10007    30007    17        0           0        1        0        1           22.253             116.7       3950696         360189
0x0040032718753811       10.0.0.4       10.0.0.3    10008    30008    17        0           0        1        0        1          29.2571              99.7       7596676        1000502
0x0040032719753911       10.0.0.4       10.0.0.3    10009    30009    17        0           0        1        0        1          30.6889             137.9       2525656         203454
0x004003271a753a11       10.0.0.4       10.0.0.3    10010    30010    17        0           0        1        0        1          31.1907             121.4      19341128        1742262
0x004003271b753b11       10.0.0.4       10.0.0.3    10011    30011    17        0           0        1        0        1          31.4264               135       8207624         666111
0x004003271c753c11       10.0.0.4       10.0.0.3    10012    30012    17        0           0        1        0        1          33.7474             159.7        933856          64263
0x004003271d753d11       10.0.0.4       10.0.0.3    10013    30013    17        0           0        1        0        1          34.3195             128.4      38268388        3573125
0x004003271e753e11       10.0.0.4       10.0.0.3    10014    30014    17        0           0        1        0        1          36.1004             106.6       9590216        1200660
0x004003271f753f11       10.0.0.4       10.0.0.3    10015    30015    17        0           0        1        0        1          38.0011             115.6        236496          26277
0x0040032720754011       10.0.0.4       10.0.0.3    10016    30016    17        0           0        1        0        1          38.1331             139.8      20170380        1756487
0x0040032721754111       10.0.0.4       10.0.0.3    10017    30017    17        0           0        1        0        1          44.4419             151.2       2760636         209222
0x0040032722754211       10.0.0.4       10.0.0.3    10018    30018    17        0           0        1        0        1           46.642             161.9       9785780         690610
0x0040032723754311       10.0.0.4       10.0.0.3    10019    30019    17        0           0        1        0        1           48.108             119.7       4252380         549651
0x0040032724754411       10.0.0.4       10.0.0.3    10020    30020    17        0           0        1        0        1          50.4807               172       3367036         225371
0x0040032725754511       10.0.0.4       10.0.0.3    10021    30021    17        0           0        1        0        1          55.8744             162.5       1851036         142215
0x0040032726754611       10.0.0.4       10.0.0.3    10022    30022    17        0           0        1        0        1          59.6409             175.6      16384928        1187753
0x0040032727754711       10.0.0.4       10.0.0.3    10023    30023    17        0           0        1        0        1          63.7433             162.5       1352272         112388
0x0040032728754811       10.0.0.4       10.0.0.3    10024    30024    17        0           0        1        0        1          63.8551             104.2       2834920         627455
0x0040032729754911       10.0.0.4       10.0.0.3    10025    30025    17        0           0        1        0        1          67.1224             129.7        325940          49312
0x004003272a754a11       10.0.0.4       10.0.0.3    10026    30026    17        0           0        1        0        1          67.1902             184.9      49973424        3543905
0x004003272b754b11       10.0.0.4       10.0.0.3    10027    30027    17        0           0        1        0        1           69.119             139.4      10140524        1332503
0x004003272c754c11       10.0.0.4       10.0.0.3    10028    30028    17        0           0        1        0        1          70.2123               168       7298024         650246
0x004003272d754d11       10.0.0.4       10.0.0.3    10029    30029    17        0           0        1        0        1           70.292             147.9       1314372         150843
0x004003272e754e11       10.0.0.4       10.0.0.3    10030    30030    17        0           0        1        0        1          76.0703             202.9      29272444        1889615
0x004003272f754f11       10.0.0.4       10.0.0.3    10031    30031    17        0           0        1        0        1          78.0989               172      12059780        1049805
0x0040032730755011       10.0.0.4       10.0.0.3    10032    30032    17        0           0        1        0        1          79.1244             180.9       6681012         529841
0x0040032731755111       10.0.0.4       10.0.0.3    10033    30033    17        0           0        1        0        1          80.8298             199.6      10859108         795756
0x0040032732755211       10.0.0.4       10.0.0.3    10034    30034    17        0           0        1        0        1          82.4082             182.3      10001052         819827
0x0040032733755311       10.0.0.4       10.0.0.3    10035    30035    17        0           0        1        0        1          82.7492             129.4       9105096        1955413
0x0040032734755411       10.0.0.4       10.0.0.3    10036    30036    17        0           0        1        0        1          84.2045             141.5       3997692         573191
0x0040032735755511       10.0.0.4       10.0.0.3    10037    30037    17        0           0        1        0        1          88.2804             171.6       6872028         672742
0x0040032736755611       10.0.0.4       10.0.0.3    10038    30038    17        0           0        1        0        1          88.9684             188.8      23444940        2060379
0x0040032737755711       10.0.0.4       10.0.0.3    10039    30039    17        0           0        1        0        1          89.7219             125.6        519988         137389
0x0040032738755811       10.0.0.4       10.0.0.3    10040    30040    17        0           0        1        0        1          90.8384               190      19565496        1578474
0x0040032739755911       10.0.0.4       10.0.0.3    10041    30041    17        0           0        1        0        1           100.17               163       4096232         547712
0x004003273a755a11       10.0.0.4       10.0.0.3    10042    30042    17        0           0        1        0        1          100.604             186.9      17552248        1768579
0x004003273b755b11       10.0.0.4       10.0.0.3    10043    30043    17        0           0        1        0        1          106.062             204.6       1009656          85984
0x004003273c755c11       10.0.0.4       10.0.0.3    10044    30044    17        0           0        1        0        1          108.087             224.6      33840152        2419042
0x004003273d755d11       10.0.0.4       10.0.0.3    10045    30045    17        0           0        1        0        1          113.586             195.2        566984          59358
0x004003273e755e11       10.0.0.4       10.0.0.3    10046    30046    17        0           0        1        0        1          113.807             235.5      33644588        2316454
0x004003273f755f11       10.0.0.4       10.0.0.3    10047    30047    17        0           0        1        0        1           115.44               225       8603300         658250
0x0040032740756011       10.0.0.4       10.0.0.3    10048    30048    17        0           0        1        0        1          115.915               186       3051708         380959
0x0040032741756111       10.0.0.4       10.0.0.3    10049    30049    17        0           0        1        0        1          117.326               175       1312856         199391
0x0040032742756211       10.0.0.4       10.0.0.3    10050    30050    17        0           0        1        0        1          118.747             203.1       6015488         592269
0x0040032743756311       10.0.0.4       10.0.0.3    10051    30051    17        0           0        1        0        1          121.243             185.6       5503080         749270
0x0040032744756411       10.0.0.4       10.0.0.3    10052    30052    17        0           0        1        0        1          122.485             181.2       1910160         265691
0x0040032745756511       10.0.0.4       10.0.0.3    10053    30053    17        0           0        1        0        1          122.849             192.5       4070460         484934
0x0040032746756611       10.0.0.4       10.0.0.3    10054    30054    17        0           0        1        0        1          122.974             233.9       7884716         589370
0x0040032747756711       10.0.0.4       10.0.0.3    10055    30055    17        0           0        1        0        1          126.602             220.7       4729920         405141
0x0040032748756811       10.0.0.4       10.0.0.3    10056    30056    17        0           0        1        0        1          127.692             203.8       1801008         199258
0x0040032749756911       10.0.0.4       10.0.0.3    10057    30057    17        0           0        1        0        1              128             242.2       6345976         453282
0x004003274a756a11       10.0.0.4       10.0.0.3    10058    30058    17        0           0        1        0        1          129.654             226.5       2357380         208741
0x004003274b756b11       10.0.0.4       10.0.0.3    10059    30059    17        0           0        1        0        1          129.689             217.1       3838512         382365
0x004003274c756c11       10.0.0.4       10.0.0.3    10060    30060    17        0           0        1        0        1          132.042               214       1546320         158682
0x004003274d756d11       10.0.0.4       10.0.0.3    10061    30061    17        0           0        1        0        1          133.122             187.8       2569620         438524
0x004003274e756e11       10.0.0.4       10.0.0.3    10062    30062    17        0           0        1        0        1           133.53             189.5       8281908        1425767
