seq     time
0   1.06779
1   2.06779
2   2.26779
3   2.26779
4   2.46779
5   2.46779
6   2.46779
7   2.66779
8   2.66929
9   2.66779
10   2.86779
11   2.86779
12   2.86779
13   2.86779
14   3.06779
15   3.06779
16   3.06779
17   3.06779
18   3.06779
19   3.06779
20   3.14779
21   3.14779
22   3.14779
23   3.14779
24   3.14779
25   3.14779
26   3.14875
27   3.14779
28   3.14779
29   3.14779
30   3.14779
31   3.14779
32   3.14779
33   3.14779
34   3.14779
35   3.14779
36   3.14779
37   3.14779
38   3.14779
39   3.18779
40   3.14779
41   3.14779
42   3.14779
43   3.14779
44   3.18779
45   3.18779
46   3.18779
47   3.22912
48   3.22779
49   3.22779
50   3.18779
51   3.18779
52   3.18779
53   3.22779
54   3.22779
55   3.22779
56   3.22779
57   3.18779
58   3.18779
59   3.18779
60   3.22779
61   3.22779
62   3.22779
63   3.22779
64   3.22779
65   3.22779
66   3.22779
67   3.18929
68   3.38779
69   3.38779
70   3.42779
71   3.42779
72   3.42779
73   3.42779
74   3.42779
75   3.42779
76   3.42779
77   3.42779
78   3.42779
79   3.42779
80   3.42779
81   3.42779
82   3.42779
83   3.42779
84   3.42779
85   3.42779
86   3.42779
87   3.42779
88   3.42779
89   3.42779
90   3.42779
91   3.42779
92   3.42779
93   3.42779
94   3.42779
95   3.42779
96   3.42968
97   3.42779
98   3.42779
99   3.42779
100   3.42779
101   3.42779
102   3.42779
103   3.42779
104   3.42779
105   3.42779
106   3.42779
107   3.42779
108   3.42779
109   3.42779
110   3.42779
111   3.42779
112   3.42779
113   3.42779
114   3.42779
115   3.42787
116   3.42779
117   3.42779
118   3.42923
119   3.42779
120   3.42828
121   3.42908
122   3.42779
123   3.42779
