Inicio(seg)    Duracao(seg)     Banda(Kbps)    PCli   PServ
1.005          77.340        1166.122   10000   30000
1.008          75.496        1635.596   10000   30000
1.059          31.080        2464.735   10000   30000
1.062          55.781          55.130   10000   30000
1.080          62.613         793.533   10000   30000
1.089          47.450        2450.431   10000   30000
1.117          80.055        1315.710   10000   30000
1.125          14.942         213.508   10000   30000
1.129          55.991         807.776   10000   30000
1.139          68.244          23.762   10000   30000
1.146          40.734         399.250   10000   30000
1.153          14.012         586.329   10000   30000
1.176          75.413         289.593   10000   30000
1.208          14.093         894.282   10000   30000
1.232          46.835         277.042   10000   30000
1.233          48.280         396.445   10000   30000
1.241          48.430        1406.868   10001   30001
1.250          83.487        2126.269   10000   30000
1.271          81.474        2039.147   10000   30000
1.275          91.655         961.926   10000   30000
1.295          59.377         205.737   10000   30000
1.298          30.783        1129.141   10000   30000
1.321           8.376         151.168   10000   30000
1.325          54.728         896.277   10000   30000
1.342          11.293        4396.291   10000   30000
1.357          86.507         786.243   10000   30000
1.379           9.563        1314.559   10000   30000
1.391           6.747        1497.436   10000   30000
1.392          38.056        2671.914   10000   30000
1.398          81.307        2048.376   10001   30001
1.411          46.144         512.837   10001   30001
1.423          16.829         775.120   10000   30000
1.433          88.160         297.746   10000   30000
1.450          89.187         432.042   10001   30001
1.470          23.167         293.758   10001   30001
1.471          55.128        1067.124   10001   30001
1.477          53.936         190.534   10000   30000
1.507          61.819        1520.133   10000   30000
1.508          97.717        1369.358   10000   30000
1.510          11.661        1965.042   10000   30000
1.511          80.650        1337.633   10000   30000
1.519          51.844         392.150   10000   30000
1.522          53.784          93.647   10000   30000
1.523          68.665         116.746   10000   30000
1.525          65.074         157.081   10000   30000
1.526          75.507        1172.938   10000   30000
1.539          95.705          28.854   10000   30000
1.541          52.272         496.109   10000   30000
1.559          24.417          55.712   10001   30001
1.660          64.802        1100.692   10001   30001
1.665          33.109          17.024   10000   30000
1.665          86.908         492.977   10000   30000
1.667          94.371         586.342   10000   30000
1.672          80.280        4118.550   10001   30001
1.702          80.622        1007.556   10000   30000
1.723          43.007          39.874   10001   30001
1.756          64.166         229.820   10001   30001
1.776           9.773         995.208   10000   30000
1.782          36.881          36.024   10000   30000
1.789          60.468          13.236   10001   30001
1.827          53.729        1237.536   10001   30001
1.831          77.981        4820.753   10001   30001
1.839          61.855         293.438   10000   30000
1.853          69.468         382.609   10000   30000
1.857          47.977        1034.517   10001   30001
1.857          34.574         656.167   10000   30000
1.866          28.170        1277.613   10001   30001
1.907          11.725        2142.835   10001   30001
1.910          80.431          97.039   10001   30001
1.937          67.257        1862.948   10000   30000
1.963          45.599         175.649   10002   30002
1.987          62.482        1453.947   10001   30001
2.001          49.377           7.959   10001   30001
2.006          85.895         436.633   10001   30001
2.017          94.235        1164.231   10000   30000
2.040          13.994         776.933   10001   30001
2.044          46.280        1048.198   10000   30000
2.048          61.410        2226.540   10000   30000
2.062          41.696         490.130   10002   30002
2.070           9.210        2096.553   10000   30000
2.093           8.865         479.658   10001   30001
2.126          10.634        1034.740   10000   30000
2.132          82.638         540.812   10000   30000
2.137          25.356          78.055   10001   30001
2.140          88.407        1022.805   10000   30000
2.144          50.907        1089.624   10000   30000
2.158          69.690        1779.326   10000   30000
2.169          18.077         982.596   10000   30000
2.187          27.854        1135.104   10000   30000
2.195          84.354         190.567   10001   30001
2.196          85.654          46.338   10002   30002
2.210          64.607        3503.497   10000   30000
2.220          17.951         717.232   10000   30000
2.243          60.768         205.516   10000   30000
2.298          94.954         195.646   10000   30000
2.307          30.445        1427.793   10002   30002
2.325           6.169         454.988   10000   30000
2.325          66.370         942.530   10000   30000
2.334          35.480         671.211   10002   30002
2.348          49.801        1141.163   10000   30000
2.368          28.397        1180.821   10000   30000
2.370          97.529         478.621   10001   30001
2.371          41.551         709.646   10001   30001
2.372          40.607        3315.966   10000   30000
2.391          48.019         297.931   10000   30000
2.394          19.309         322.136   10000   30000
2.459          56.499         533.924   10001   30001
2.461          45.559        3495.377   10001   30001
2.495          64.324         155.011   10002   30002
2.513          51.417         959.993   10001   30001
2.518          91.511        1575.891   10000   30000
2.525          96.250         487.810   10001   30001
2.539          52.346        1368.924   10000   30000
2.548          99.894         994.624   10001   30001
2.564          13.391         802.777   10001   30001
2.583           5.374         670.682   10001   30001
2.595          85.746          48.136   10001   30001
2.607          56.805         960.913   10001   30001
2.608          32.638         110.949   10000   30000
2.609          93.821         166.760   10002   30002
2.623          19.254        1551.851   10000   30000
2.632          70.243          29.756   10001   30001
2.647          51.939         305.101   10000   30000
2.657          35.779         870.295   10000   30000
2.666          82.839         611.426   10000   30000
2.686          77.036        2612.975   10000   30000
2.687          92.428         583.893   10003   30003
2.687          67.474        2734.881   10001   30001
2.698          84.067        1480.332   10001   30001
2.702          16.264         319.146   10002   30002
2.708          99.709         637.854   10001   30001
2.716          45.970         834.648   10001   30001
2.720          81.328        2043.257   10001   30001
