Inicio(seg)    Duracao(seg)     Banda(Kbps)    PCli   PServ
1.001          10.901        1569.757   10000   30000
1.007          25.621        2456.522   10000   30000
1.010          19.341        2388.870   10000   30000
1.023          57.692          95.342   10001   30001
1.027          96.334          84.128   10000   30000
1.036          63.822         739.949   10001   30001
1.045          19.735         160.831   10000   30000
1.054          60.805          87.071   10000   30000
1.070          72.108        1322.346   10001   30001
1.070           6.753         468.625   10000   30000
1.070          16.419        3396.654   10000   30000
1.076          84.486        1706.605   10000   30000
1.094          81.708          47.688   10000   30000
1.125          34.187         110.657   10000   30000
1.131          25.172        3299.132   10000   30000
1.135          63.737        1123.795   10000   30000
1.139          48.188        1137.449   10000   30000
1.151          91.612        3248.779   10000   30000
1.164          62.365         508.622   10000   30000
1.202          35.500        2988.431   10000   30000
1.224          31.980         684.115   10000   30000
1.245          94.007         101.537   10000   30000
1.246          91.783        1117.624   10000   30000
1.249          30.525        3821.851   10000   30000
1.252          80.722         554.074   10000   30000
1.302          71.250         274.946   10000   30000
1.315          14.100         576.995   10000   30000
1.335          13.097         338.551   10000   30000
1.352          72.018        4000.341   10000   30000
1.356          75.508        1246.763   10000   30000
1.359          57.376         674.239   10000   30000
1.362          75.483         483.858   10000   30000
1.374          11.307         190.811   10001   30001
1.406          85.467         955.564   10002   30002
1.446          53.845         972.608   10000   30000
1.469          63.363          65.590   10000   30000
1.475          77.637         661.574   10000   30000
1.476          71.231         705.028   10000   30000
1.477          59.186         376.505   10000   30000
1.506          95.811         180.829   10000   30000
1.508          66.402         292.790   10000   30000
1.523          39.186         235.779   10001   30001
1.528          18.092         733.370   10001   30001
1.561          70.585         459.233   10001   30001
1.562          95.728         559.618   10000   30000
1.565          18.567         164.610   10000   30000
1.576          40.983          24.966   10000   30000
1.577          73.883         587.838   10000   30000
1.584          12.141        1388.162   10000   30000
1.632          70.689         463.736   10000   30000
1.648          83.426        1369.017   10000   30000
1.665          38.131         740.922   10000   30000
1.674          46.693        2395.253   10000   30000
1.713          83.364         314.725   10000   30000
1.715          65.598        1596.105   10000   30000
1.743           6.669         364.245   10001   30001
1.744          18.189         235.858   10000   30000
1.747          50.687        3458.502   10000   30000
1.757          69.855        3688.685   10000   30000
1.766          21.674         329.665   10000   30000
1.783          30.972        3083.511   10000   30000
1.796          61.277        1576.749   10000   30000
1.819          56.791         206.005   10001   30001
1.826          27.651        1855.272   10000   30000
1.847          62.149         504.490   10000   30000
1.860          70.251        1938.121   10001   30001
1.875          67.558        1022.592   10000   30000
1.878          29.948         344.036   10001   30001
1.878          11.021         184.535   10000   30000
1.903          86.088         368.234   10001   30001
1.907          10.848         877.329   10001   30001
1.911          85.053         586.921   10002   30002
1.913          88.681        1077.325   10000   30000
1.938          79.424         440.869   10000   30000
1.953          81.872         496.173   10001   30001
1.962          42.066        2775.975   10000   30000
1.964          73.197          82.403   10000   30000
1.982          73.325         575.125   10000   30000
1.995          23.367         166.451   10001   30001
1.997          89.515        1021.520   10001   30001
2.008          29.629        1441.906   10001   30001
2.013          71.353         213.724   10000   30000
2.038          88.928         813.933   10000   30000
2.068          97.994         608.234   10001   30001
2.072          83.992        2074.694   10000   30000
2.072          24.595        1997.556   10000   30000
2.073          35.674         731.757   10001   30001
2.092          22.126         686.437   10002   30002
2.099          75.775          33.670   10002   30002
2.127          48.761          99.873   10000   30000
2.140          90.004         624.069   10000   30000
2.162          42.899          51.863   10001   30001
2.166          72.645         479.837   10001   30001
2.192          14.795         617.643   10001   30001
2.232          65.987         939.955   10000   30000
2.269          58.212         398.630   10000   30000
2.296          98.209         169.187   10002   30002
2.299          53.833         339.604   10000   30000
2.304          83.178          84.111   10002   30002
2.329          90.095        3397.236   10001   30001
2.348          37.062        1036.233   10001   30001
2.378          80.508         212.698   10000   30000
2.402          25.182           7.494   10000   30000
2.411          41.653         892.916   10001   30001
2.452          99.830        3350.198   10000   30000
2.455          97.630          89.749   10000   30000
2.455          37.098          71.649   10000   30000
2.467          10.484         132.726   10000   30000
2.467          48.099        1543.427   10001   30001
2.519          43.679        1906.590   10000   30000
2.524          61.481        2235.307   10000   30000
2.526          53.706        2484.385   10000   30000
2.556          70.412         654.819   10001   30001
2.588          13.118        1770.084   10000   30000
2.596          19.731         947.315   10000   30000
2.597          92.604        1416.467   10001   30001
2.607           5.191        1039.933   10001   30001
2.623          76.232         894.383   10000   30000
2.632          39.380         334.566   10001   30001
2.642          34.789        1078.357   10002   30002
2.652          27.082         415.990   10001   30001
2.656          66.488         120.069   10003   30003
2.660          91.058        1724.907   10000   30000
2.674          32.697        1181.553   10002   30002
2.674          60.193        1843.325   10003   30003
2.679          36.250        1466.467   10000   30000
2.697          35.683        1281.517   10000   30000
2.727          60.734        3073.225   10001   30001
2.732          53.494        1294.437   10001   30001
2.735          36.453         838.448   10000   30000
2.783          16.834         199.392   10002   30002
2.786          71.471          77.428   10000   30000
2.799          47.476        1535.138   10000   30000
2.847          90.102        1586.239   10001   30001
2.862          19.228         130.445   10001   30001
2.862          76.919        3222.381   10000   30000
2.865          19.645        2375.902   10003   30003
2.891          65.950         304.989   10001   30001
2.896          24.893         732.543   10001   30001
2.909          89.760         670.904   10001   30001
2.939          37.976         393.305   10001   30001
2.948          56.460        1862.572   10001   30001
2.992          34.445         690.109   10001   30001
3.000           8.489         906.397   10000   30000
3.010          80.663         929.895   10002   30002
3.012          49.964         389.602   10000   30000
3.028          70.148          21.072   10000   30000
3.029          76.360         563.959   10000   30000
3.076          87.975         221.166   10000   30000
3.095          80.686        1672.936   10002   30002
3.110          26.502        2342.905   10000   30000
3.139          85.437         540.143   10000   30000
3.157          65.923         480.959   10002   30002
3.163          25.112         640.345   10000   30000
3.171           6.202        1772.707   10002   30002
3.181          19.993         989.011   10003   30003
3.193          64.796         201.842   10001   30001
3.197          74.847         613.769   10000   30000
3.199          82.332        1028.090   10000   30000
3.224          15.467         107.562   10002   30002
3.226          60.127         168.757   10002   30002
3.228          54.965         661.406   10000   30000
3.234          46.503         709.761   10001   30001
3.248          29.664         282.125   10002   30002
3.250          81.838         667.114   10001   30001
3.263          76.167         492.975   10001   30001
3.267          63.722        1185.767   10000   30000
3.267          50.376        1312.623   10002   30002
3.288          34.061         184.890   10002   30002
3.290          42.106          51.059   10000   30000
3.296          19.978        2696.102   10000   30000
3.305          90.255        1381.132   10001   30001
3.322          61.475         610.520   10000   30000
3.331          84.430          52.949   10000   30000
3.356          59.746         451.764   10001   30001
3.364          86.068         698.835   10001   30001
3.372          15.757        1257.467   10002   30002
3.383          68.367         865.482   10000   30000
3.394          41.932         304.528   10002   30002
3.400          56.744        3743.550   10000   30000
3.429          24.389         626.791   10000   30000
3.438          33.016         358.252   10001   30001
3.442          24.127         189.018   10001   30001
3.457          74.193         733.074   10000   30000
3.463          94.576        1606.239   10000   30000
3.466          85.597        1321.890   10001   30001
