  Cookie                 SRCIP          DSTIP       SRCPort  DSTPort  Protocol  NumSwitches Active   InCache  Blocked  Direction  TimeCreated  TimeFinished      ExpBytes           Rate
0x0040032710753011       10.0.0.4       10.0.0.3    10000    30000    17        0           0        1        0        1          1.62215             115.4       8642716         637969
0x0040032711753111       10.0.0.4       10.0.0.3    10001    30001    17        0           0        1        0        1           2.1135                61       5892692         814378
0x0040032712753211       10.0.0.4       10.0.0.3    10002    30002    17        0           0        1        0        1           3.6162              48.3       1206736         265334
0x0040032713753311       10.0.0.4       10.0.0.3    10003    30003    17        0           0        1        0        1          3.69393                86      12955736        1358291
0x0040032714753411       10.0.0.4       10.0.0.3    10004    30004    17        0           0        1        0        1           7.2198              58.9        400224          74842
0x0040032715753511       10.0.0.4       10.0.0.3    10005    30005    17        0           0        1        0        1          9.18871              48.4       1449296         376302
0x0040032716753611       10.0.0.4       10.0.0.3    10006    30006    17        0           0        1        0        1          10.1606             109.5       6790164         604649
0x0040032717753711       10.0.0.4       10.0.0.3    10007    30007    17        0           0        1        0        1           11.952                52        676136         142164
0x0040032718753811       10.0.0.4       10.0.0.3    10008    30008    17        0           0        1        0        1          18.2251              75.1       5296904         818451
0x0040032719753911       10.0.0.4       10.0.0.3    10009    30009    17        0           0        1        0        1          23.9576             140.8       5571300         384087
0x004003271a753a11       10.0.0.4       10.0.0.3    10010    30010    17        0           0        1        0        1          25.7141             138.3       6806840         522167
0x004003271b753b11       10.0.0.4       10.0.0.3    10011    30011    17        0           0        1        0        1          26.2871             149.6      13997228         984741
0x004003271c753c11       10.0.0.4       10.0.0.3    10012    30012    17        0           0        1        0        1          30.2892              79.7        427512          86124
0x004003271d753d11       10.0.0.4       10.0.0.3    10013    30013    17        0           0        1        0        1          33.2179             155.8       1669116         114340
0x004003271e753e11       10.0.0.4       10.0.0.3    10014    30014    17        0           0        1        0        1          34.2439             129.9        137956          12869
0x004003271f753f11       10.0.0.4       10.0.0.3    10015    30015    17        0           0        1        0        1          34.7885             134.4      10455852         878537
0x0040032720754011       10.0.0.4       10.0.0.3    10016    30016    17        0           0        1        0        1          35.1044              82.3       1373496         244744
0x0040032721754111       10.0.0.4       10.0.0.3    10017    30017    17        0           0        1        0        1          40.3393             111.6       8331936         956859
0x0040032722754211       10.0.0.4       10.0.0.3    10018    30018    17        0           0        1        0        1          46.7137             134.9       4179612         401469
0x0040032723754311       10.0.0.4       10.0.0.3    10019    30019    17        0           0        1        0        1          48.8857             170.4       7757372         512399
0x0040032724754411       10.0.0.4       10.0.0.3    10020    30020    17        0           0        1        0        1          50.5923              90.1       1697920         344688
0x0040032725754511       10.0.0.4       10.0.0.3    10021    30021    17        0           0        1        0        1          50.7444               158      16342480        1317203
0x0040032726754611       10.0.0.4       10.0.0.3    10022    30022    17        0           0        1        0        1          52.4452             119.1      13701608        1904496
0x0040032727754711       10.0.0.4       10.0.0.3    10023    30023    17        0           0        1        0        1          54.5936             170.4      26693728        1850415
0x0040032728754811       10.0.0.4       10.0.0.3    10024    30024    17        0           0        1        0        1          56.0051             158.8       9982860         849651
0x0040032729754911       10.0.0.4       10.0.0.3    10025    30025    17        0           0        1        0        1          59.6167               112       1943512         308596
0x004003272a754a11       10.0.0.4       10.0.0.3    10026    30026    17        0           0        1        0        1          59.8428               143       1919256         191549
0x004003272b754b11       10.0.0.4       10.0.0.3    10027    30027    17        0           0        1        0        1          60.3507             168.3       4763272         382402
0x004003272c754c11       10.0.0.4       10.0.0.3    10028    30028    17        0           0        1        0        1           60.375             180.8       7975676         533378
0x004003272d754d11       10.0.0.4       10.0.0.3    10029    30029    17        0           0        1        0        1          62.2815             141.5      18907552        1946260
0x004003272e754e11       10.0.0.4       10.0.0.3    10030    30030    17        0           0        1        0        1           65.097             130.3         39416           4858
0x004003272f754f11       10.0.0.4       10.0.0.3    10031    30031    17        0           0        1        0        1          64.7781             153.5        139472          13092
0x0040032730755011       10.0.0.4       10.0.0.3    10032    30032    17        0           0        1        0        1          68.3432             126.6       1600896         247927
0x0040032731755111       10.0.0.4       10.0.0.3    10033    30033    17        0           0        1        0        1          68.5798             189.3       8809476         632522
0x0040032732755211       10.0.0.4       10.0.0.3    10034    30034    17        0           0        1        0        1          69.4628             169.4       1757044         155254
0x0040032733755311       10.0.0.4       10.0.0.3    10035    30035    17        0           0        1        0        1          73.2597             173.1        209208          17300
0x0040032734755411       10.0.0.4       10.0.0.3    10036    30036    17        0           0        1        0        1          73.0181             174.7       9631148         794469
0x0040032735755511       10.0.0.4       10.0.0.3    10037    30037    17        0           0        1        0        1          74.3004             112.5        315328          70662
0x0040032736755611       10.0.0.4       10.0.0.3    10038    30038    17        0           0        1        0        1          79.0134             133.9       1837392         288294
0x0040032737755711       10.0.0.4       10.0.0.3    10039    30039    17        0           0        1        0        1          80.8451             175.2       6709816         602081
0x0040032738755811       10.0.0.4       10.0.0.3    10040    30040    17        0           0        1        0        1          85.8803             121.8       1247668         292538
0x0040032739755911       10.0.0.4       10.0.0.3    10041    30041    17        0           0        1        0        1          87.0556             148.3       3336716         504183
0x004003273a755a11       10.0.0.4       10.0.0.3    10042    30042    17        0           0        1        0        1          87.7983               215      12679824         830091
0x004003273b755b11       10.0.0.4       10.0.0.3    10043    30043    17        0           0        1        0        1          87.8721             175.5       5252940         511683
