   Time:s        Teid  AppName  Ul/Dl  Activ:s  Dly:ms  Jit:ms  TxPkts  RxPkts  Loss:%  RxBytes  Thp:kbps
   10.954  0x000e0000 VoipCall  Ulink    8.675   1.007   0.000    1201    1200   0.083  1764000  1626.701
   14.054  0x001c0001 VoipCall  Ulink    8.388   0.905   0.000     573     572   0.175   840840   801.984
   14.365  0x00110001 VoipCall  Ulink   11.215   0.903   0.000     388     387   0.258   568890   405.822
   15.215  0x00000006 VoipCall  Ulink    6.876   0.789   0.000     406     405   0.246   595350   692.633
   15.640  0x002f0003 VoipCall  Ulink    9.637   0.847   0.000     291     290   0.344   426300   353.900
   15.664  0x002f0000 VoipCall  Ulink   12.529   0.856   0.000    1549    1548   0.065  2275560  1453.016
   16.458  0x000a0000 VoipCall  Ulink   13.761   0.848   0.000     454     453   0.220   665910   387.128
   16.479  0x00310001 VoipCall  Ulink   12.373   0.846   0.000     275     274   0.364   402780   260.435
   16.617  0x000a0005 VoipCall  Ulink    9.649   0.787   0.000    3121    3120   0.032  4586400  3802.396
   16.882  0x00140003 VoipCall  Ulink   12.669   0.825   0.000    2160    2159   0.046  3173730  2004.169
   16.993  0x000c0006 VoipCall  Ulink    6.464   0.599   0.000    1073    1072   0.093  1575840  1950.313
   17.050  0x00140006 VoipCall  Ulink    7.821   0.701   0.000     526     525   0.190   771750   789.369
   17.734  0x00010002 VoipCall  Ulink    0.000   0.000   0.000       1       0 100.000        0     0.000
   18.620  0x000e0004 VoipCall  Ulink    8.878   0.654   0.000     275     274   0.364   402780   362.932
   18.632  0x000a0002 VoipCall  Ulink   12.354   0.774   0.000    1293    1292   0.077  1899240  1229.842
   18.699  0x001b0001 VoipCall  Ulink   15.797   0.799   0.000    2160    2159   0.046  3173730  1607.217
   18.813  0x00300003 VoipCall  Ulink   10.647   0.705   0.000    1605    1604   0.062  2357880  1771.738
   19.357  0x00140009 VoipCall  Ulink    7.077   1.305   0.002      60      59   1.667    86730    98.042
   19.665  0x00240006 VoipCall  Ulink    9.967   0.646   0.000     334     333   0.299   489510   392.887
   19.815  0x00090000 VoipCall  Ulink    6.775   1.305   0.001      72      71   1.389   104370   123.243
   20.334  0x00130003 VoipCall  Ulink    8.054   1.305   0.010      35      34   2.857    49980    49.644
   20.467  0x000b0001 VoipCall  Ulink   14.528   0.750   0.000     119     118   0.840   173460    95.515
   20.673  0x00260001 VoipCall  Ulink   18.080   0.781   0.000    1759    1758   0.057  2584260  1143.506
   20.978  0x00170007 VoipCall  Ulink    5.141   1.305   0.000     228     227   0.439   333690   519.238
   21.070  0x00120002 VoipCall  Ulink   16.564   0.766   0.000     556     555   0.180   815850   394.031
   21.193  0x00300001 VoipCall  Ulink   18.719   0.776   0.003    1325    1324   0.075  1946280   831.798
   21.333  0x00300002 VoipCall  Ulink   15.587   0.738   0.000    5948    5947   0.017  8742090  4486.750
   21.488  0x001c0002 VoipCall  Ulink   14.664   0.717   0.000    1674    1673   0.060  2459310  1341.661
   21.576  0x00000009 VoipCall  Ulink    8.095   1.257   0.007     450     449   0.222   660030   652.313
   21.798  0x001a0006 VoipCall  Ulink    8.728   1.242   0.008     332     331   0.301   486570   445.996
   22.017  0x00310002 VoipCall  Ulink   17.026   0.754   0.000     961     960   0.104  1411200   663.099
   22.768  0x00000000 VoipCall  Ulink   19.154   0.761   0.001     264     263   0.379   386610   161.475
   22.827  0x00050001 VoipCall  Ulink   16.876   0.726   0.000    2071    2070   0.048  3042900  1442.509
   22.829  0x00300000 VoipCall  Ulink   20.527   0.758   0.000    3605    3604   0.028  5297880  2064.706
   22.948  0x00040000 VoipCall  Ulink   17.711   0.745   0.000     832     831   0.120  1221570   551.794
   22.969  0x002b0000 VoipCall  Ulink   20.537   0.758   0.000    2787    2786   0.036  4095420  1595.303
   23.037  0x00160007 VoipCall  Ulink    6.157   1.085   0.000     538     537   0.186   789390  1025.756
   23.040  0x002e0005 VoipCall  Ulink   12.871   0.621   0.001     161     160   0.621   235200   146.191
   23.074  0x00070008 VoipCall  Ulink    5.186   1.044   0.014      62      61   1.613    89670   138.333
   23.094  0x00260004 VoipCall  Ulink   11.182   1.177   0.000    1128    1127   0.089  1656690  1185.250
   23.203  0x00270008 VoipCall  Ulink    5.942   1.058   0.001     192     191   0.521   280770   378.045
   23.281  0x00200003 VoipCall  Ulink   16.032   0.709   0.000    1518    1517   0.066  2229990  1112.781
   23.706  0x001e0002 VoipCall  Ulink   12.927   0.588   0.000    5486    5485   0.018  8062950  4989.688
   23.729  0x002c0000 VoipCall  Ulink   20.604   0.760   0.003     115     114   0.870   167580    65.067
   23.927  0x00270009 VoipCall  Ulink    5.593   0.958   0.000     354     353   0.282   518910   742.188
   24.101  0x001a0004 VoipCall  Ulink   13.641   0.601   0.000    2413    2412   0.041  3545640  2079.336
   24.239  0x00150001 VoipCall  Ulink   20.379   0.745   0.000    3282    3281   0.030  4823070  1893.379
   24.389  0x001c0006 VoipCall  Ulink   11.343   1.107   0.000     489     488   0.204   717360   505.947
   24.686  0x000a000c VoipCall  Ulink   11.173   1.087   0.006      95      94   1.053   138180    98.940
   25.023  0x002f000a VoipCall  Ulink    6.966   0.922   0.000    1197    1196   0.084  1758120  2019.228
   25.161  0x00300005 VoipCall  Ulink   14.844   0.609   0.000    7039    7038   0.014 10345860  5575.794
   25.202  0x00210002 VoipCall  Ulink   10.505   1.040   0.000     589     588   0.170   864360   658.247
   25.603  0x00220008 VoipCall  Ulink    5.140   0.715   0.003      66      65   1.515    95550   148.719
   26.755  0x00020002 VoipCall  Ulink   20.677   0.716   0.000     488     487   0.205   715890   276.985
   26.870  0x002c0001 VoipCall  Ulink   19.776   0.693   0.000    4001    4000   0.025  5880000  2378.608
   27.273  0x001f0003 VoipCall  Ulink   15.527   1.035   0.000     780     779   0.128  1145130   590.018
   27.313  0x00200002 VoipCall  Ulink   20.236   0.692   0.000    6312    6311   0.016  9277170  3667.580
   27.534  0x00130002 VoipCall  Ulink   18.739   0.661   0.000     608     607   0.164   892290   380.943
   28.061  0x002a0002 VoipCall  Ulink   21.111   0.701   0.000     286     285   0.350   418950   158.760
   28.352  0x00140001 VoipCall  Ulink   24.297   0.734   0.003      81      80   1.235   117600    38.721
   28.427  0x00120003 VoipCall  Ulink   23.348   0.723   0.000    1372    1371   0.073  2015370   690.558
   28.685  0x00150007 VoipCall  Ulink   14.456   0.952   0.000     303     302   0.330   443940   245.671
