Inicio(seg)    Duracao(seg)     Banda(Kbps)    PCli   PServ
1.036          89.405          78.682   10000   30000
1.114          78.477         981.479   10000   30000
1.122          38.182         150.845   10000   30000
1.181          62.788         759.591   10000   30000
1.195          68.967         478.772   10000   30000
1.201          56.087          89.123   10000   30000
1.269           8.686        1613.628   10000   30000
1.276          98.467         432.608   10001   30001
1.292          85.851         612.201   10000   30000
1.296          20.533        2047.916   10000   30000
1.309          77.868        1326.976   10000   30000
1.419          20.550        1582.330   10000   30000
1.440          86.313         646.999   10000   30000
1.454          18.739         825.037   10001   30001
1.460          68.955         325.659   10000   30000
1.578          18.095        1134.207   10001   30001
1.594          27.505        3028.061   10000   30000
1.599          31.244        1344.023   10000   30000
1.656          13.802         383.984   10000   30000
1.689          36.246        3274.673   10001   30001
1.726          83.109         596.807   10000   30000
1.791          66.964        1085.671   10000   30000
1.836          20.893          64.538   10000   30000
1.888          15.810        1594.154   10001   30001
1.948          46.204         883.696   10000   30000
2.050          50.472        1591.398   10000   30000
2.103          11.262         402.530   10001   30001
2.121          12.543        1441.220   10000   30000
2.178          76.086         202.097   10002   30002
2.206          95.441         348.255   10001   30001
2.221          54.496         255.394   10001   30001
2.228          50.006        2764.699   10000   30000
2.276          65.157        2933.496   10000   30000
2.442          27.308        4878.333   10003   30003
2.461          24.891          38.406   10001   30001
2.498          19.270         160.163   10000   30000
2.584          50.528         823.781   10000   30000
2.708          58.132          23.721   10002   30002
2.716          59.595         364.223   10000   30000
2.726          75.602         323.590   10000   30000
2.811          87.461        1115.689   10002   30002
2.812          98.727         446.136   10001   30001
2.817          40.209          51.328   10000   30000
2.854          20.385        1877.983   10001   30001
2.876          42.384         269.273   10000   30000
2.923          33.035        2295.173   10000   30000
2.976          30.558         243.326   10003   30003
3.015          61.736         458.255   10001   30001
3.026          63.384          30.103   10001   30001
3.059          12.420         258.321   10001   30001
3.064          81.637         136.524   10000   30000
3.150          33.293        1686.683   10001   30001
3.181          73.220        2405.577   10001   30001
3.201          69.094         212.441   10000   30000
3.205          12.677        1987.897   10003   30003
3.231          55.523         459.039   10002   30002
3.403          59.695         678.334   10001   30001
3.466          16.604         390.828   10002   30002
3.583          40.973        1158.128   10001   30001
3.614          29.998        2785.641   10002   30002
3.620          53.514        1995.901   10004   30004
3.763          50.217        1113.612   10003   30003
3.768          87.988         935.646   10001   30001
3.915          74.501         452.717   10001   30001
3.970          17.047         657.711   10002   30002
4.029          95.006        1474.390   10000   30000
4.046          71.965         173.394   10000   30000
4.060          23.366         684.940   10003   30003
4.131          86.005         791.236   10001   30001
4.132          50.116        2088.241   10000   30000
4.200          94.353        2544.192   10002   30002
4.216          17.733         547.310   10000   30000
4.220          46.314        2405.600   10001   30001
4.269          97.478        1334.880   10000   30000
4.274          72.107         591.244   10002   30002
4.280          45.944        1027.911   10002   30002
4.308          66.331         802.026   10001   30001
4.309          61.786         930.214   10000   30000
4.329          98.403        2152.793   10002   30002
4.401          33.146        1078.225   10000   30000
4.457          93.185         943.057   10000   30000
4.489          50.821          52.338   10001   30001
4.495          42.193         405.461   10002   30002
4.580          65.616         857.547   10000   30000
4.651           8.403         795.491   10001   30001
4.706          92.849        3180.253   10002   30002
4.711          67.891        1237.334   10004   30004
4.727          36.970         267.676   10003   30003
4.741          15.592        4450.308   10002   30002
4.742          57.275        1370.258   10002   30002
4.774          92.691          27.382   10002   30002
4.783          30.798         389.113   10001   30001
4.786          14.681          94.739   10001   30001
4.854          60.299        2209.636   10003   30003
4.925          98.498        1707.211   10002   30002
4.928          25.521         675.982   10003   30003
4.939           9.701         351.032   10003   30003
4.940          16.886        1430.789   10001   30001
4.950          50.573         892.708   10001   30001
4.992          99.786         821.430   10001   30001
5.010          20.745         274.733   10002   30002
5.056          35.037        2759.167   10000   30000
5.154          32.081         229.108   10001   30001
5.156          38.068         160.646   10000   30000
5.259          45.999         324.564   10005   30005
5.264          12.369        1219.859   10002   30002
5.337          47.809        1816.819   10000   30000
5.339          25.522         200.480   10001   30001
5.426          33.545          86.351   10006   30006
5.458          85.037        2779.956   10000   30000
5.471          27.137         393.523   10001   30001
5.515          75.762          29.025   10001   30001
5.548          44.261        2331.651   10004   30004
5.660          38.985        1222.004   10003   30003
5.673          69.144        3159.889   10001   30001
5.673          93.037        1925.181   10001   30001
5.752          33.950         239.194   10002   30002
5.754          31.791        2902.690   10004   30004
5.754          47.495        1928.246   10005   30005
5.815          14.674        1330.768   10002   30002
5.821          21.241         157.469   10002   30002
5.824          50.269         568.387   10002   30002
5.833          89.238         627.263   10004   30004
5.846          59.388         736.506   10003   30003
5.921          90.305         916.341   10000   30000
5.924          74.018        1267.218   10004   30004
5.928          66.951        1520.658   10001   30001
5.964           9.653        3771.577   10005   30005
5.983          36.860        1418.431   10002   30002
6.031          88.468          86.976   10003   30003
6.072          20.242        3637.757   10002   30002
6.074          75.783          97.326   10002   30002
6.089          19.781        2359.268   10001   30001
6.099          71.493         438.273   10002   30002
6.112          75.788         360.244   10001   30001
6.156          58.388        1336.612   10004   30004
6.233          16.048        1103.742   10003   30003
6.262          43.479        1760.900   10001   30001
6.320          88.520         178.511   10004   30004
6.345          74.494         513.153   10002   30002
6.373          42.053        1376.733   10001   30001
6.505          86.968        2746.860   10002   30002
6.516          77.140         855.987   10002   30002
6.567          63.961         506.154   10005   30005
6.573          85.148          29.824   10002   30002
6.621          96.577        3203.421   10003   30003
6.659          52.905        2251.576   10000   30000
6.694          84.128         483.614   10006   30006
6.888          73.007         137.494   10004   30004
6.910          64.295         120.565   10003   30003
6.919          29.289        1413.099   10004   30004
6.929          37.160        1287.012   10002   30002
6.980          70.471        1022.382   10002   30002
7.024          41.985         809.667   10003   30003
7.066          76.201        1021.331   10003   30003
7.094          29.270         887.418   10004   30004
7.157          10.656        1757.368   10003   30003
7.194          21.670        1007.056   10003   30003
7.210          87.059        3315.802   10000   30000
7.302          69.664         915.546   10005   30005
7.315          75.151        1149.646   10002   30002
7.320           6.895         687.036   10006   30006
7.401          36.524         492.126   10005   30005
7.448          57.468        1524.439   10003   30003
7.462          73.404        2210.316   10003   30003
7.482          64.949        2044.117   10004   30004
7.538          35.683        1043.707   10005   30005
7.580          30.507          62.464   10004   30004
7.653          50.583         468.999   10003   30003
7.753          54.713          47.864   10003   30003
7.763          18.770         377.847   10002   30002
7.769          60.323        2708.601   10005   30005
7.820          34.282         140.823   10003   30003
7.884          47.314        1205.919   10003   30003
7.990          20.226         237.488   10007   30007
8.026          27.965         130.326   10007   30007
8.039          85.375         479.547   10008   30008
8.126          81.996         445.969   10001   30001
8.212           7.838         782.982   10006   30006
8.290          76.449         922.268   10008   30008
8.292          31.902        1641.697   10001   30001
8.379          60.234         548.223   10001   30001
8.413          73.524        1591.807   10003   30003
8.446          55.965         115.629   10006   30006
8.497          72.985        1281.479   10003   30003
8.508          99.897         126.003   10007   30007
8.519          59.183         445.730   10004   30004
8.607          37.175         826.963   10001   30001
8.644          90.269         935.502   10005   30005
8.654          10.011         389.702   10006   30006
8.675          32.457        1512.011   10003   30003
8.679          94.679         306.342   10001   30001
8.686           8.934         359.993   10004   30004
8.805          54.628         141.764   10004   30004
8.825          66.394        2988.544   10004   30004
8.833          90.070         659.143   10003   30003
8.987          28.445         107.475   10005   30005
9.020           7.714           1.855   10002   30002
9.058          12.982         145.005   10005   30005
9.079          69.710        1088.957   10007   30007
9.079          53.232         511.132   10004   30004
9.207          78.091         794.710   10002   30002
9.289          83.302         912.799   10004   30004
9.295          43.133         765.049   10005   30005
9.295          87.737         551.113   10004   30004
9.314          14.847        5530.516   10005   30005
9.327          27.515        3210.118   10002   30002
9.363          64.713        2596.329   10006   30006
9.429          28.610         121.138   10003   30003
9.433          22.676         263.552   10009   30009
9.450          60.950           1.450   10002   30002
9.453          13.648        2062.460   10004   30004
9.457          47.602         662.348   10005   30005
9.473          64.724         112.651   10004   30004
9.491          29.790        1637.228   10002   30002
9.519           6.474        1934.561   10006   30006
9.551          20.509        4361.187   10007   30007
9.584          42.737           3.084   10005   30005
9.637          70.696         561.389   10004   30004
9.701          35.123         961.519   10004   30004
9.774          12.931        4949.202   10002   30002
9.776          43.760         878.973   10003   30003
9.781          53.745        1483.076   10004   30004
9.845          77.724         574.099   10005   30005
9.867          64.519         770.120   10006   30006
9.919          81.263        1773.849   10005   30005
9.958          61.684         326.283   10003   30003
10.032          48.190        2315.692   10004   30004
10.038          23.833         401.518   10003   30003
10.081          27.179         950.586   10003   30003
10.114          69.148         298.682   10010   30010
10.163          73.525         266.260   10006   30006
10.175          91.797        1725.422   10002   30002
10.207          55.330        3795.506   10005   30005
10.255          23.590         103.883   10005   30005
10.298          62.159        2447.900   10003   30003
10.331          65.448        1356.540   10003   30003
10.341          20.105          75.266   10007   30007
10.341          83.692        1520.218   10004   30004
10.489          60.811        1452.906   10004   30004
10.489          48.661           0.698   10006   30006
10.648          19.803         470.573   10007   30007
10.696          96.022        1549.094   10007   30007
10.709          15.564         585.226   10003   30003
10.821          56.520         712.677   10008   30008
10.838          93.795         248.455   10002   30002
10.885          30.525         980.312   10009   30009
10.890           8.443          49.247   10003   30003
10.897          11.197        1175.643   10004   30004
10.917          19.661        1914.344   10008   30008
10.963          30.426         858.451   10004   30004
10.979          20.099         500.304   10007   30007
10.987          28.229        1787.832   10001   30001
11.002          81.724         142.050   10004   30004
11.053          83.444         388.155   10001   30001
11.091          82.283         699.006   10004   30004
11.104           7.253          97.260   10009   30009
11.178          61.705        4264.086   10008   30008
11.200          22.375        4920.172   10008   30008
11.263          22.496        1304.640   10005   30005
11.381          71.453        2665.206   10007   30007
11.383          35.620        1028.814   10006   30006
11.397          72.632         315.892   10005   30005
11.497          20.640         251.868   10011   30011
11.515          94.441         606.502   10006   30006
11.541          31.183         713.774   10010   30010
11.542          24.379          21.408   10006   30006
11.560          67.040        1257.526   10008   30008
11.626          67.307         236.110   10004   30004
11.649          93.860         483.196   10004   30004
11.769          44.624         653.025   10007   30007
11.935           6.880         122.261   10000   30000
11.938          39.022        2653.925   10007   30007
11.939          17.931        1189.575   10003   30003
11.954          76.817        2722.218   10005   30005
11.981          56.840         925.357   10006   30006
11.983          76.445         595.943   10011   30011
11.988          28.365         159.319   10005   30005
12.006          11.383         501.846   10006   30006
12.042           8.756         442.388   10006   30006
12.084          75.880         670.816   10005   30005
12.109          55.579          26.228   10008   30008
12.155          48.878          77.284   10002   30002
12.242          56.743         822.683   10010   30010
12.259          61.098        1116.163   10009   30009
12.260          44.322        1028.288   10008   30008
12.375          11.311          98.138   10012   30012
12.452          88.401        2009.861   10005   30005
12.461           8.115         647.040   10009   30009
12.594          98.160         162.922   10002   30002
12.603          78.806        2630.548   10005   30005
12.652          99.456         195.276   10007   30007
12.667          53.539         843.686   10003   30003
12.697          80.288         471.367   10004   30004
12.742          63.257         289.452   10006   30006
12.749          56.597         551.531   10011   30011
12.772          90.479        1150.063   10006   30006
12.777          54.286         595.648   10004   30004
12.780          45.196         198.025   10005   30005
12.800          78.275        3484.134   10003   30003
12.865          86.335         262.809   10002   30002
12.901          18.586          83.030   10004   30004
12.959          68.391        1134.484   10005   30005
13.011          57.934        3106.899   10004   30004
13.026          93.908         191.465   10008   30008
13.048          58.836         109.574   10005   30005
13.105          33.139        2039.227   10012   30012
13.173          14.512         243.677   10007   30007
13.180          80.827        1172.343   10008   30008
13.216          80.164         670.513   10005   30005
13.283          32.550         466.925   10003   30003
13.331          19.604         107.652   10005   30005
13.341          24.147        3220.500   10004   30004
13.422          35.774         895.411   10009   30009
13.470          18.740         797.362   10001   30001
13.473          84.086         395.830   10005   30005
13.532          24.781        1761.274   10013   30013
13.538          23.137         494.147   10006   30006
13.551          72.546        1377.805   10006   30006
13.571          93.441        3329.913   10007   30007
13.675          10.527         652.914   10002   30002
13.683          36.360         179.314   10007   30007
13.769          58.590         285.013   10001   30001
13.774          15.642        1435.070   10003   30003
13.806          87.129        1853.042   10005   30005
13.811          29.056        1267.982   10005   30005
13.827          58.929        1345.600   10008   30008
13.918          87.373        2309.318   10006   30006
13.935          67.264         154.821   10005   30005
14.008          75.257          14.778   10007   30007
14.008          34.802        2304.365   10006   30006
14.031          24.722        1018.120   10009   30009
14.084          44.958          13.020   10006   30006
14.129          79.708        1053.994   10009   30009
14.193          50.275        1233.666   10002   30002
14.195          68.928        1733.910   10006   30006
14.228          82.361         750.229   10004   30004
14.233          18.548        2554.182   10004   30004
14.253          70.808         815.378   10005   30005
14.254          90.012         517.376   10003   30003
14.310          46.835        2016.062   10008   30008
14.517          68.027        1920.855   10005   30005
14.524          73.669        2139.880   10007   30007
14.730          67.890         164.849   10006   30006
14.736          98.332          42.881   10002   30002
14.768          68.436         435.671   10004   30004
14.782          42.726         245.497   10006   30006
14.789          64.579        1828.580   10004   30004
14.797           5.181         515.131   10007   30007
14.831          88.246        2429.318   10005   30005
14.846          33.654        1684.949   10006   30006
14.854          46.482         162.820   10012   30012
14.860          81.560         527.984   10010   30010
14.860          60.569        1574.604   10003   30003
14.917          91.418        1587.429   10010   30010
14.927          33.601        1002.518   10010   30010
14.940          86.411        2678.948   10007   30007
14.950          34.225         739.685   10005   30005
14.981          35.627         324.962   10006   30006
14.982          59.423        1507.842   10007   30007
15.102          35.896         603.154   10003   30003
15.195          52.053        1322.209   10006   30006
15.214          84.457         217.224   10006   30006
15.247          53.867        1315.892   10009   30009
15.262          97.358         169.792   10007   30007
15.312          13.719         365.249   10006   30006
15.319          79.258        1567.782   10008   30008
15.489          77.601        1686.010   10007   30007
15.492          17.943         210.157   10007   30007
15.528          63.158        1023.523   10004   30004
15.529          21.936         217.082   10006   30006
15.567          92.415         178.292   10005   30005
15.579          22.574         290.719   10014   30014
15.602          58.544         640.903   10008   30008
15.604          67.794         767.474   10005   30005
15.610          45.598        1226.324   10006   30006
15.763          95.817         184.498   10009   30009
15.765          72.416        1131.428   10007   30007
15.787          92.982         835.154   10008   30008
15.795          73.221         373.947   10009   30009
15.802          44.590          15.687   10007   30007
15.832          50.780         596.937   10009   30009
15.866          90.976          52.332   10009   30009
15.866           6.171        1017.490   10007   30007
15.888          85.216        1763.027   10005   30005
15.898          39.785        1561.351   10010   30010
15.923          45.309        1870.518   10004   30004
