Inicio(seg)    Duracao(seg)     Banda(Kbps)    PCli   PServ
1.220          97.751         843.164   10000   30000
1.224          94.079        1271.909   10000   30000
1.240          77.984         204.746   10000   30000
1.278          92.297        1127.210   10000   30000
1.285          85.015         581.081   10000   30000
1.306          44.762        1878.731   10000   30000
1.358          20.200        1753.706   10000   30000
1.360          96.895         174.055   10000   30000
1.397          46.408        1034.673   10000   30000
1.416          50.272         162.773   10000   30000
1.431          79.530         499.671   10001   30001
1.480          69.136         375.816   10001   30001
1.505          84.305         888.887   10000   30000
1.535          59.980         185.566   10001   30001
1.553          11.357        2889.718   10000   30000
1.630          19.061         662.408   10000   30000
1.720          78.565        2824.489   10000   30000
1.743          45.595          11.005   10001   30001
1.758          51.058         372.196   10000   30000
1.790          73.780          33.640   10000   30000
1.804          16.768           9.531   10000   30000
1.887          67.824         154.925   10001   30001
1.923          35.482         573.041   10001   30001
1.949          38.156        1488.033   10000   30000
1.962          85.405         225.970   10000   30000
2.115           5.555         752.880   10001   30001
2.150          42.553          92.362   10000   30000
2.196          78.892         185.290   10001   30001
2.205          23.466          31.839   10002   30002
2.296          57.903         483.318   10001   30001
2.341           7.234        1310.207   10000   30000
2.399          69.685         817.728   10001   30001
2.408          20.666         239.664   10000   30000
2.428          65.610         606.570   10002   30002
2.436          15.884          31.210   10002   30002
2.447          59.839         630.802   10000   30000
2.463          87.141        1251.445   10002   30002
2.575          87.086        1599.677   10000   30000
2.604          40.597         830.803   10000   30000
2.658          77.024        2250.302   10000   30000
2.792          31.835        1099.444   10001   30001
2.899          80.268        2505.027   10000   30000
2.905          17.589        1017.432   10002   30002
2.926          50.987          43.405   10000   30000
2.938          90.564         186.705   10000   30000
2.985          43.087         872.592   10001   30001
3.078          33.798        3826.473   10000   30000
3.085          95.965          66.606   10000   30000
3.118          67.670         415.038   10002   30002
3.123          89.637         655.475   10000   30000
3.123          64.581         723.001   10001   30001
3.211          89.524         385.875   10000   30000
3.222          10.189         146.845   10002   30002
3.230          26.056         535.835   10000   30000
3.269          42.073        1423.674   10000   30000
3.325          47.103         109.159   10001   30001
3.353          12.086         208.528   10001   30001
3.399          24.774         366.431   10001   30001
3.403          50.471         558.429   10003   30003
3.452          38.366         640.500   10000   30000
3.461          86.036         305.479   10000   30000
3.564          48.779        7811.874   10000   30000
3.578          33.541        1718.357   10002   30002
3.654          59.362        2830.156   10001   30001
3.699          97.572         971.017   10003   30003
3.710          98.239         173.173   10001   30001
3.792          36.333         244.099   10001   30001
3.849          99.718         766.671   10001   30001
3.880          94.614        2421.365   10003   30003
3.894          37.100         528.599   10001   30001
4.012          56.281          80.430   10003   30003
4.022          29.292         378.533   10004   30004
4.023          17.633        6041.475   10001   30001
4.057          23.795         244.716   10005   30005
4.113          56.577         822.463   10000   30000
4.115          57.467        3648.472   10001   30001
4.116          73.167         329.541   10003   30003
4.157          20.471         135.333   10000   30000
4.221          59.965          24.727   10004   30004
4.227          42.048         224.419   10001   30001
4.350          71.713         171.157   10005   30005
4.426          63.169         948.618   10002   30002
4.428          89.598        1358.714   10000   30000
4.473          70.838          35.353   10002   30002
4.499          63.772        2554.570   10002   30002
4.534          35.483         365.323   10002   30002
4.541          47.604         723.697   10002   30002
4.542          90.831         909.717   10003   30003
4.586          31.218         579.898   10001   30001
4.601          19.581         312.086   10002   30002
4.609          17.062         184.356   10000   30000
4.625          17.702         895.784   10001   30001
4.744          60.056          47.148   10006   30006
4.777          93.613         740.481   10003   30003
4.873          48.807          93.295   10004   30004
4.913          57.146         287.490   10004   30004
4.932          29.083         285.648   10000   30000
4.966          66.954        2494.708   10006   30006
4.981          89.874         287.387   10001   30001
4.982          22.199          78.190   10003   30003
5.019          80.440        1010.670   10003   30003
5.034          11.627         129.125   10001   30001
5.165          87.889         382.539   10001   30001
5.168          72.580         484.065   10001   30001
5.175          50.686        1767.783   10003   30003
5.279          81.065         383.967   10000   30000
5.287          36.808         220.863   10001   30001
5.290          53.792         411.846   10002   30002
5.385          89.126         258.390   10000   30000
5.393          23.985        1321.874   10000   30000
5.419          38.458         287.456   10001   30001
5.462          23.754        1183.156   10003   30003
5.507          37.634        1441.341   10001   30001
5.538          32.707         250.806   10004   30004
5.552          77.060         225.862   10000   30000
5.553          33.718         920.555   10002   30002
5.642          17.340         657.681   10000   30000
5.647          70.656         550.785   10004   30004
5.665          52.720        1034.073   10002   30002
5.717          15.812         256.692   10003   30003
5.718          37.676         660.189   10004   30004
5.746          50.714        1586.860   10002   30002
5.796           8.958        5195.701   10004   30004
5.841          85.941         417.498   10005   30005
5.850          35.823         762.936   10000   30000
5.887          81.310         668.264   10001   30001
5.941          75.481         348.234   10001   30001
5.977          58.470        1676.373   10002   30002
6.115          64.651         350.970   10001   30001
6.156          32.014         342.963   10002   30002
6.167          80.715        2903.119   10001   30001
6.178           8.681        6869.705   10002   30002
6.182          10.575         769.753   10003   30003
6.209           6.807        2906.356   10002   30002
6.249          25.559        1189.743   10005   30005
6.316          75.715         750.071   10001   30001
6.347          40.449         266.255   10004   30004
6.396          56.407         158.304   10002   30002
6.435          82.937        2172.666   10001   30001
6.494          62.149         689.018   10007   30007
6.595          74.425        1545.861   10002   30002
6.649          49.577         402.812   10002   30002
