  Cookie                 SRCIP          DSTIP       SRCPort  DSTPort  Protocol  NumSwitches Active   InCache  Blocked  Direction  TimeCreated  TimeFinished      ExpBytes           Rate
0x0040032710753011       10.0.0.4       10.0.0.3    10000    30000    17        0           0        0        0        1          4.12852              90.7       5772928         537820
0x0040032711753111       10.0.0.4       10.0.0.3    10001    30001    17        0           0        0        0        1          4.27941              85.1       1218864         128774
0x0040032712753211       10.0.0.4       10.0.0.3    10002    30002    17        0           0        0        0        1          5.31915              89.1       2740928         293615
0x0040032713753311       10.0.0.4       10.0.0.3    10003    30003    17        0           0        0        0        1          7.41582              44.5        204660          50247
0x0040032714753411       10.0.0.4       10.0.0.3    10004    30004    17        0           0        0        0        1          7.97423              85.1       2555976         283895
0x0040032715753511       10.0.0.4       10.0.0.3    10005    30005    17        0           0        0        0        1          9.50448             121.5       5976072         432674
0x0040032716753611       10.0.0.4       10.0.0.3    10006    30006    17        0           0        0        0        1           13.112              85.1       1544804         184762
0x0040032717753711       10.0.0.4       10.0.0.3    10007    30007    17        0           0        0        0        1          17.8416             136.2      35277320        2516248
0x0040032718753811       10.0.0.4       10.0.0.3    10008    30008    17        0           0        0        0        1          17.9186              93.2       3115380         345762
0x0040032719753911       10.0.0.4       10.0.0.3    10009    30009    17        0           0        0        0        1           18.771              95.2       4772368         536002
0x004003271a753a11       10.0.0.4       10.0.0.3    10010    30010    17        0           0        0        0        1          19.6643               122        488152          38921
0x004003271b753b11       10.0.0.4       10.0.0.3    10011    30011    17        0           0        0        0        1          22.4274             102.7       4758724         490763
0x004003271c753c11       10.0.0.4       10.0.0.3    10012    30012    17        0           0        0        0        1          23.9966             132.3       6189828         467141
0x004003271d753d11       10.0.0.4       10.0.0.3    10013    30013    17        0           0        0        0        1           25.991             102.4      20964764        2266186
0x004003271e753e11       10.0.0.4       10.0.0.3    10014    30014    17        0           0        0        0        1          27.1627             125.9        382032          32920
0x004003271f753f11       10.0.0.4       10.0.0.3    10015    30015    17        0           0        0        0        1          29.1562             116.1       9570508         947062
0x0040032720754011       10.0.0.4       10.0.0.3    10016    30016    17        0           0        0        0        1          31.9414             147.1       4675344         346133
0x0040032721754111       10.0.0.4       10.0.0.3    10017    30017    17        0           0        0        0        1          38.9178             148.5      12241700         968851
0x0040032722754211       10.0.0.4       10.0.0.3    10018    30018    17        0           0        0        0        1          39.6833             105.5       2897076         384248
0x0040032723754311       10.0.0.4       10.0.0.3    10019    30019    17        0           0        0        0        1          42.0447             145.7      19480600        1590978
0x0040032724754411       10.0.0.4       10.0.0.3    10020    30020    17        0           0        0        0        1          46.9349              93.5       1752496         325553
0x0040032725754511       10.0.0.4       10.0.0.3    10021    30021    17        0           0        0        0        1          48.4313             131.7       5829020         571691
0x0040032726754611       10.0.0.4       10.0.0.3    10022    30022    17        0           0        0        0        1          48.4417              93.1       6136768        1181331
0x0040032727754711       10.0.0.4       10.0.0.3    10023    30023    17        0           0        0        0        1          49.9615             133.6      16052924        1604520
0x0040032728754811       10.0.0.4       10.0.0.3    10024    30024    17        0           0        0        0        1          50.5608             138.6       8298584         835716
