Inicio(seg)    Duracao(seg)     Banda(Kbps)    PCli   PServ
1.001          41.136         246.219   10000   30000
1.054          52.911        1570.005   10000   30000
1.065          73.835         882.846   10000   30000
1.119          45.146         808.059   10000   30000
1.138          82.044         679.179   10000   30000
1.149          77.457        1672.793   10000   30000
1.201          77.081         590.344   10000   30000
1.202          52.320         783.830   10000   30000
1.213          34.765        1212.550   10000   30000
1.222          73.903         428.234   10000   30000
1.242          65.851         754.228   10000   30000
1.256          65.050        3515.787   10000   30000
1.325          87.677        1783.843   10001   30001
1.329          65.994         945.462   10000   30000
1.343          59.389          94.057   10001   30001
1.353          74.764         430.168   10001   30001
1.362          64.808         708.566   10002   30002
1.418          71.750         335.176   10000   30000
1.460          76.569         329.099   10000   30000
1.518          50.575          42.861   10000   30000
1.530          45.386         605.416   10002   30002
1.594          26.357         288.951   10000   30000
1.604          63.613        4084.425   10000   30000
1.614          42.957        1189.649   10000   30000
1.745          42.523         167.152   10000   30000
1.809          66.446         320.669   10000   30000
1.813          51.624        2899.008   10002   30002
1.902          75.972        2359.979   10000   30000
1.910          57.036        1202.175   10001   30001
1.947          83.353         557.922   10000   30000
2.077          42.761          46.818   10000   30000
2.190          99.942         919.273   10001   30001
2.229           8.536         310.947   10001   30001
2.242          46.620         382.778   10001   30001
2.312          31.867         859.500   10000   30000
2.364          75.889         854.714   10000   30000
2.429          37.693         688.705   10003   30003
2.430          80.922        1485.552   10000   30000
2.474          95.838        4135.846   10000   30000
2.482          64.939         721.315   10000   30000
2.538           5.477         520.982   10000   30000
2.645          11.540        1453.137   10000   30000
2.664          55.227          60.983   10001   30001
2.686          47.584          62.388   10001   30001
2.748          92.328         920.696   10001   30001
2.753          38.667         387.847   10003   30003
2.883           6.610        2343.185   10000   30000
2.931          71.895         676.896   10000   30000
2.942          17.814         656.801   10001   30001
2.958          23.643        1933.665   10001   30001
2.995          45.690         117.790   10003   30003
3.009          75.631         194.557   10001   30001
3.010          66.422         898.837   10002   30002
3.027          47.495         989.216   10002   30002
3.065          16.500         785.400   10001   30001
3.114          66.055        2144.263   10000   30000
3.128          60.354          89.960   10001   30001
3.223          10.289          89.244   10000   30000
3.251          22.738        1042.480   10001   30001
3.257          80.468         602.383   10001   30001
3.341          93.862         800.989   10003   30003
3.398          40.216         844.593   10001   30001
3.423          26.630        1173.520   10001   30001
3.471          51.102         522.625   10002   30002
3.499          77.362         330.346   10000   30000
3.535          39.431        1732.510   10000   30000
3.594          25.592         777.598   10004   30004
3.636          69.067         937.038   10001   30001
3.662          33.432         752.878   10001   30001
3.781          38.492          95.978   10001   30001
3.882          85.405        2651.820   10002   30002
3.986          39.206        1323.844   10002   30002
4.026          99.732         159.633   10002   30002
4.037          45.709         181.146   10004   30004
4.169          94.523        2014.420   10002   30002
4.202           5.850         479.478   10003   30003
4.262          33.767         455.510   10000   30000
4.292          72.006        2363.360   10001   30001
4.318          97.380        1011.815   10000   30000
4.357          10.219         261.041   10000   30000
4.389          27.523        1505.720   10002   30002
4.412          51.446         268.457   10002   30002
4.433          79.231         103.134   10003   30003
4.445          36.773         278.394   10001   30001
4.491          80.472         758.687   10002   30002
4.494          49.406        1083.867   10003   30003
4.494          67.963         895.040   10000   30000
4.551          20.282         194.007   10004   30004
4.613          55.412         687.077   10000   30000
4.616          87.306        2180.168   10002   30002
