  Cookie                 SRCIP          DSTIP       SRCPort  DSTPort  Protocol  NumSwitches Active   InCache  Blocked  Direction  TimeCreated  TimeFinished      ExpBytes           Rate
0x0040032710753011       10.0.0.4       10.0.0.3    10000    30000    17        0           0        0        0        1          5.73691             124.7      29713600        2080363
0x0040032711753111       10.0.0.4       10.0.0.3    10001    30001    17        0           0        0        0        1          6.36078             102.9        328972          28105
0x0040032712753211       10.0.0.4       10.0.0.3    10002    30002    17        0           0        0        0        1          10.2371              97.5       2803084         281141
0x0040032713753311       10.0.0.4       10.0.0.3    10003    30003    17        0           0        0        0        1           11.288             123.8      14853768        1093072
0x0040032714753411       10.0.0.4       10.0.0.3    10004    30004    17        0           0        0        0        1          14.6116              71.2        418416          60433
0x0040032715753511       10.0.0.4       10.0.0.3    10005    30005    17        0           0        0        0        1          16.3005                60       1550868         283914
0x0040032716753611       10.0.0.4       10.0.0.3    10006    30006    17        0           0        0        0        1          16.4586              68.2        723132         132863
0x0040032717753711       10.0.0.4       10.0.0.3    10007    30007    17        0           0        0        0        1          18.0637              59.1       4607124        1154079
0x0040032718753811       10.0.0.4       10.0.0.3    10008    30008    17        0           0        0        0        1          20.4933             123.1      17587116        1413944
0x0040032719753911       10.0.0.4       10.0.0.3    10009    30009    17        0           0        0        0        1          21.8106              86.7       5177140         711764
0x004003271a753a11       10.0.0.4       10.0.0.3    10010    30010    17        0           0        0        0        1          24.1554              68.5       1779784         397221
0x004003271b753b11       10.0.0.4       10.0.0.3    10011    30011    17        0           0        0        0        1          26.7021             108.7       3788484         413489
0x004003271c753c11       10.0.0.4       10.0.0.3    10012    30012    17        0           0        0        0        1          28.6876              71.2        368388          71336
0x004003271d753d11       10.0.0.4       10.0.0.3    10013    30013    17        0           0        0        0        1          35.7835             112.4       4123520         444485
0x004003271e753e11       10.0.0.4       10.0.0.3    10014    30014    17        0           0        0        0        1          38.8172             109.9        227400          29733
0x004003271f753f11       10.0.0.4       10.0.0.3    10015    30015    17        0           0        0        0        1           38.836             101.2        638236          83478
0x0040032720754011       10.0.0.4       10.0.0.3    10016    30016    17        0           0        0        0        1          38.9308             133.4       2634808         231455
0x0040032721754111       10.0.0.4       10.0.0.3    10017    30017    17        0           0        0        0        1          39.0285               112       5550076         625611
0x0040032722754211       10.0.0.4       10.0.0.3    10018    30018    17        0           0        0        0        1          46.7262             107.3       9365848        1406448
0x0040032723754311       10.0.0.4       10.0.0.3    10019    30019    17        0           0        0        0        1          46.7991              85.3        382032          92053
0x0040032724754411       10.0.0.4       10.0.0.3    10020    30020    17        0           0        0        0        1          47.9996             165.7       3861252         275802
0x0040032725754511       10.0.0.4       10.0.0.3    10021    30021    17        0           0        0        0        1          48.3416             124.5      10704476        1195055
0x0040032726754611       10.0.0.4       10.0.0.3    10022    30022    17        0           0        0        0        1          51.2309              90.7        450252          92909
0x0040032727754711       10.0.0.4       10.0.0.3    10023    30023    17        0           0        0        0        1          51.4346             156.1       8626040         700127
0x0040032728754811       10.0.0.4       10.0.0.3    10024    30024    17        0           0        0        0        1          53.3429             148.2        201628          18613
0x0040032729754911       10.0.0.4       10.0.0.3    10025    30025    17        0           0        0        0        1           54.082             182.7       3415548         217001
0x004003272a754a11       10.0.0.4       10.0.0.3    10026    30026    17        0           0        0        0        1          55.4683             132.3      13892624        1491190
0x004003272b754b11       10.0.0.4       10.0.0.3    10027    30027    17        0           0        0        0        1          56.0711             144.4       3042612         290018
0x004003272c754c11       10.0.0.4       10.0.0.3    10028    30028    17        0           0        0        0        1          57.8877             174.6      13415084         957260
0x004003272d754d11       10.0.0.4       10.0.0.3    10029    30029    17        0           0        0        0        1          58.2447             106.2        463896          88878
0x004003272e754e11       10.0.0.4       10.0.0.3    10030    30030    17        0           0        0        0        1          59.5054             133.5       7725536         876723
0x004003272f754f11       10.0.0.4       10.0.0.3    10031    30031    17        0           0        0        0        1          61.0379             157.1      13516656        1215497
0x0040032730755011       10.0.0.4       10.0.0.3    10032    30032    17        0           0        0        0        1          64.4422             106.4        847444         190663
0x0040032731755111       10.0.0.4       10.0.0.3    10033    30033    17        0           0        0        0        1          65.2423             184.9       3503476         244234
