  Cookie                 SRCIP          DSTIP       SRCPort  DSTPort  Protocol  NumSwitches Active   InCache  Blocked  Direction  TimeCreated  TimeFinished      ExpBytes           Rate
0x0040032710753011       10.0.0.4       10.0.0.3    10000    30000    17        0           0        1        0        1          1.79591              86.2       4734468         484319
0x0040032711753111       10.0.0.4       10.0.0.3    10001    30001    17        0           0        1        0        1          4.66749              83.3       1694888         179990
0x0040032712753211       10.0.0.4       10.0.0.3    10002    30002    17        0           0        1        0        1          6.62215             106.3       5368156         459908
0x0040032713753311       10.0.0.4       10.0.0.3    10003    30003    17        0           0        1        0        1          8.43779              92.1      11592852        1137080
0x0040032714753411       10.0.0.4       10.0.0.3    10004    30004    17        0           0        1        0        1          12.6923             128.9      27506304        2050648
0x0040032715753511       10.0.0.4       10.0.0.3    10005    30005    17        0           0        1        0        1          20.6386               142         54576           3657
0x0040032716753611       10.0.0.4       10.0.0.3    10006    30006    17        0           0        1        0        1           22.338              62.1       2504432         531981
0x0040032717753711       10.0.0.4       10.0.0.3    10007    30007    17        0           0        1        0        1          28.9324             152.9      11811156         780466
0x0040032718753811       10.0.0.4       10.0.0.3    10008    30008    17        0           0        1        0        1          29.5155              91.6       3035032         401429
0x0040032719753911       10.0.0.4       10.0.0.3    10009    30009    17        0           0        1        0        1          32.0863             130.7       3970404         324400
0x004003271a753a11       10.0.0.4       10.0.0.3    10010    30010    17        0           0        1        0        1          35.0207             146.9      48734852        3713864
0x004003271b753b11       10.0.0.4       10.0.0.3    10011    30011    17        0           0        1        0        1          35.0517               100       3353392         413053
0x004003271c753c11       10.0.0.4       10.0.0.3    10012    30012    17        0           0        1        0        1          37.7543             110.6      11081960        1227141
0x004003271d753d11       10.0.0.4       10.0.0.3    10013    30013    17        0           0        0        0        1          40.0402             157.9       3086576         224560
0x004003271e753e11       10.0.0.4       10.0.0.3    10014    30014    17        0           0        0        0        1          40.3903             107.4       4869392         653502
0x004003271f753f11       10.0.0.4       10.0.0.3    10015    30015    17        0           0        1        0        1          40.3952             168.9      15311600        1024145
0x0040032720754011       10.0.0.4       10.0.0.3    10016    30016    17        0           0        0        0        1          40.5483             103.7       2143624         288452
0x0040032721754111       10.0.0.4       10.0.0.3    10017    30017    17        0           0        0        0        1          41.8663              89.7        306232          64243
0x0040032722754211       10.0.0.4       10.0.0.3    10018    30018    17        0           0        0        0        1            45.42             132.7        189500          17923
0x0040032723754311       10.0.0.4       10.0.0.3    10019    30019    17        0           0        0        0        1          45.9773              92.3       1652440         300288
0x0040032724754411       10.0.0.4       10.0.0.3    10020    30020    17        0           0        0        0        1          46.5681              92.3       1837392         338441
0x0040032725754511       10.0.0.4       10.0.0.3    10021    30021    17        0           0        1        0        1          49.3916             154.9      37260248        2962794
0x0040032726754611       10.0.0.4       10.0.0.3    10022    30022    17        0           0        0        0        1          50.4949             127.2       4719308         543189
0x0040032727754711       10.0.0.4       10.0.0.3    10023    30023    17        0           0        1        0        1           51.186               132      29054140        2949133
0x0040032728754811       10.0.0.4       10.0.0.3    10024    30024    17        0           0        0        0        1          52.1451              87.7        394160         113203
0x0040032729754911       10.0.0.4       10.0.0.3    10025    30025    17        0           0        0        0        1          55.0008             106.1       1505388         267629
0x004003272a754a11       10.0.0.4       10.0.0.3    10026    30026    17        0           0        0        0        1           57.569             101.7       1344692         253530
0x004003272b754b11       10.0.0.4       10.0.0.3    10027    30027    17        0           0        1        0        1           62.861             140.3      14730972        1527732
0x004003272c754c11       10.0.0.4       10.0.0.3    10028    30028    17        0           0        1        0        1          75.4239             142.2       9288532        1150709
0x004003272d754d11       10.0.0.4       10.0.0.3    10029    30029    17        0           0        1        0        1          76.1198             166.4      31305400        2985725
0x004003272e754e11       10.0.0.4       10.0.0.3    10030    30030    17        0           0        0        0        1          77.4325             130.3         48512           7382
0x004003272f754f11       10.0.0.4       10.0.0.3    10031    30031    17        0           0        0        0        1          77.1327             114.3        516956         125828
0x0040032730755011       10.0.0.4       10.0.0.3    10032    30032    17        0           0        0        0        1           77.757             165.2       5254456         511115
0x0040032731755111       10.0.0.4       10.0.0.3    10033    30033    17        0           0        1        0        1          79.1708               193      34423812        2484818
0x0040032732755211       10.0.0.4       10.0.0.3    10034    30034    17        0           0        1        0        1          79.2645             208.9      57031920        3778964
0x0040032733755311       10.0.0.4       10.0.0.3    10035    30035    17        0           0        1        0        1          80.8567               210      22979528        1423505
0x0040032734755411       10.0.0.4       10.0.0.3    10036    30036    17        0           0        0        0        1          81.3628               149       3412516         465576
0x0040032735755511       10.0.0.4       10.0.0.3    10037    30037    17        0           0        0        0        1          83.6098             206.4       1851036         127229
0x0040032736755611       10.0.0.4       10.0.0.3    10038    30038    17        0           0        0        0        1          88.7766             186.5       3982532         349255
0x0040032737755711       10.0.0.4       10.0.0.3    10039    30039    17        0           0        0        0        1          89.0629             126.6       1050588         271670
0x0040032738755811       10.0.0.4       10.0.0.3    10040    30040    17        0           0        1        0        1          92.0265             218.7      12405428         841234
0x0040032739755911       10.0.0.4       10.0.0.3    10041    30041    17        0           0        1        0        1          96.1881             172.8       6887188         746458
0x004003273a755a11       10.0.0.4       10.0.0.3    10042    30042    17        0           0        0        0        1          97.4916             147.5        591240         111270
0x004003273b755b11       10.0.0.4       10.0.0.3    10043    30043    17        0           0        0        0        1          99.1492             172.9       4108360         463888
0x004003273c755c11       10.0.0.4       10.0.0.3    10044    30044    17        0           0        0        0        1          101.505             230.2        281976          17555
0x004003273d755d11       10.0.0.4       10.0.0.3    10045    30045    17        0           0        0        0        1          101.166             190.1       2530204         227858
0x004003273e755e11       10.0.0.4       10.0.0.3    10046    30046    17        0           0        0        0        1          102.087             229.5       5113468         346930
0x004003273f755f11       10.0.0.4       10.0.0.3    10047    30047    17        0           0        0        0        1          104.669             214.4       1309824          99482
0x0040032740756011       10.0.0.4       10.0.0.3    10048    30048    17        0           0        1        0        1          107.647             215.4      18116200        1415980
