  Cookie                 SRCIP          DSTIP       SRCPort  DSTPort  Protocol  NumSwitches Active   InCache  Blocked  Direction  TimeCreated  TimeFinished      ExpBytes           Rate
0x0040032710753011       10.0.0.4       10.0.0.3    10000    30000    17        0           0        1        0        1          1.19192             130.5      20740396        1288142
0x0040032711753111       10.0.0.4       10.0.0.3    10001    30001    17        0           0        1        0        1          4.93337              75.3       7586064         932713
0x0040032712753211       10.0.0.4       10.0.0.3    10002    30002    17        0           0        1        0        1          5.94795              97.9       9153608         871232
0x0040032713753311       10.0.0.4       10.0.0.3    10003    30003    17        0           0        1        0        1          6.50741             119.3      22227592        1718197
0x0040032714753411       10.0.0.4       10.0.0.3    10004    30004    17        0           0        1        0        1          22.9872             112.8       1308308         120286
0x0040032715753511       10.0.0.4       10.0.0.3    10005    30005    17        0           0        1        0        1          24.7764               131      11421544         868363
0x0040032716753611       10.0.0.4       10.0.0.3    10006    30006    17        0           0        1        0        1            25.77             138.8        673104          51662
0x0040032717753711       10.0.0.4       10.0.0.3    10007    30007    17        0           0        1        0        1          28.2128             103.3      16509240        1839797
0x0040032718753811       10.0.0.4       10.0.0.3    10008    30008    17        0           0        1        0        1          31.7228             101.2       5374220         629694
0x0040032719753911       10.0.0.4       10.0.0.3    10009    30009    17        0           0        1        0        1          31.7805              76.9       3642948         762531
0x004003271a753a11       10.0.0.4       10.0.0.3    10010    30010    17        0           0        1        0        1          32.0914             147.5      20026360        1484690
0x004003271b753b11       10.0.0.4       10.0.0.3    10011    30011    17        0           0        1        0        1          32.5659              88.1        733744         123749
0x004003271c753c11       10.0.0.4       10.0.0.3    10012    30012    17        0           0        1        0        1          34.1232              99.7       8406220        1203536
0x004003271d753d11       10.0.0.4       10.0.0.3    10013    30013    17        0           0        1        0        1          38.3952                90       3720264         576732
0x004003271e753e11       10.0.0.4       10.0.0.3    10014    30014    17        0           0        0        0        1          41.0193             129.9        354744          35932
0x004003271f753f11       10.0.0.4       10.0.0.3    10015    30015    17        0           0        0        0        1          41.0139             157.4       7824076         574317
0x0040032720754011       10.0.0.4       10.0.0.3    10016    30016    17        0           0        1        0        1          41.1793             129.7       8342548         846736
0x0040032721754111       10.0.0.4       10.0.0.3    10017    30017    17        0           0        1        0        1          42.4703             165.1      26063072        1774058
0x0040032722754211       10.0.0.4       10.0.0.3    10018    30018    17        0           0        1        0        1          43.5319             139.9       8413800         778442
0x0040032723754311       10.0.0.4       10.0.0.3    10019    30019    17        0           0        0        0        1          43.8926               112       1437168         173919
0x0040032724754411       10.0.0.4       10.0.0.3    10020    30020    17        0           0        0        0        1          44.1974             173.3       5080116         323053
0x0040032725754511       10.0.0.4       10.0.0.3    10021    30021    17        0           0        1        0        1          44.2839             107.8       6506672         934261
0x0040032726754611       10.0.0.4       10.0.0.3    10022    30022    17        0           0        1        0        1           45.586             105.1      12087068        1777052
0x0040032727754711       10.0.0.4       10.0.0.3    10023    30023    17        0           0        1        0        1          47.0884             104.3       6308076         953753
0x0040032728754811       10.0.0.4       10.0.0.3    10024    30024    17        0           0        0        0        1          55.3476             174.5       4156872         290050
0x0040032729754911       10.0.0.4       10.0.0.3    10025    30025    17        0           0        1        0        1          56.4784             149.6      13921428        1333445
0x004003272a754a11       10.0.0.4       10.0.0.3    10026    30026    17        0           0        1        0        1           57.433             118.3      10233000        1557326
0x004003272b754b11       10.0.0.4       10.0.0.3    10027    30027    17        0           0        1        0        1          58.0898             187.4      21111816        1385400
